Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,16.5,16.79,16.3,16.62,-0.03,-0.18,318077
29/01/2021,16.99,17.115,16.59,16.65,-0.07,-0.42,471410
28/01/2021,16.68,16.93,16.42,16.72,-0.3,-1.76,449225
27/01/2021,17.12,17.44,16.87,17.02,0.41,2.47,560782
25/01/2021,16.85,16.95,16.54,16.61,-0.18,-1.07,273939
22/01/2021,17.02,17.1,16.45,16.79,-0.08,-0.47,281670
21/01/2021,16.21,17.07,16.21,16.87,0.64,3.94,418812
20/01/2021,16,16.355,15.85,16.23,0.05,0.31,306591
19/01/2021,15.97,16.3,15.58,16.18,0.37,2.34,371874
18/01/2021,15.94,15.98,15.56,15.81,-0.21,-1.31,399389
15/01/2021,16.23,16.33,15.93,16.02,-0.21,-1.29,290645
14/01/2021,16.32,16.64,16.08,16.23,-0.01,-0.06,501698
13/01/2021,16.53,16.66,16.16,16.24,0.01,0.06,502170
12/01/2021,16.3,16.47,16.14,16.23,-0.11,-0.67,511059
11/01/2021,16.78,16.915,16.27,16.34,-0.46,-2.74,498614
08/01/2021,17.08,17.42,16.72,16.8,-0.51,-2.95,413672
07/01/2021,17.63,17.87,17.21,17.31,0.11,0.64,207271
06/01/2021,17,17.52,16.99,17.2,0.31,1.84,466493
05/01/2021,16.85,16.98,16.68,16.89,-0.24,-1.4,334369
04/01/2021,17.42,17.49,16.73,17.13,-0.37,-2.11,530319
31/12/2020,17.71,17.935,17.4,17.5,-0.33,-1.85,239952
30/12/2020,18.02,18.3,17.7,17.83,-0.33,-1.82,263682
29/12/2020,18.25,18.46,17.98,18.16,0.03,0.17,180210
24/12/2020,17.77,18.31,17.71,18.13,0.57,3.25,166007
23/12/2020,17.06,17.71,17.01,17.56,0.42,2.45,507621
22/12/2020,17.58,17.8,17.09,17.14,-0.71,-3.98,575951
21/12/2020,17.7,18.25,17.41,17.85,-0.17,-0.94,1001211
18/12/2020,17.84,18.14,17.21,18.02,0.09,0.5,1229253
17/12/2020,18.9,19.05,17.81,17.93,-0.82,-4.37,630476
16/12/2020,18.01,19.32,18.01,18.75,0.42,2.29,723082
15/12/2020,18.88,18.95,18.32,18.33,-0.7,-3.68,722078
14/12/2020,19.52,19.8,18.84,19.03,-0.65,-3.3,580223
11/12/2020,19.32,19.75,19.15,19.68,0.18,0.92,401663
10/12/2020,19.05,19.62,18.94,19.5,0.03,0.15,580760
09/12/2020,19.3,19.66,19.29,19.47,0.17,0.88,550326
08/12/2020,19,19.37,18.93,19.3,-0.02,-0.1,477797
07/12/2020,19.82,20.07,19.21,19.32,-0.49,-2.47,606718
04/12/2020,19.8,20.33,19.78,19.81,0.06,0.3,321344
03/12/2020,19.4,19.91,19.36,19.75,0.21,1.07,408567
02/12/2020,19.56,19.67,19.29,19.54,-0.09,-0.46,340815
01/12/2020,19.64,19.91,19.34,19.63,-0.37,-1.85,572275
30/11/2020,21,21,19.99,20,-0.99,-4.72,780573
27/11/2020,20.98,21.07,20.75,20.99,0.07,0.33,376248
26/11/2020,21.54,21.76,20.87,20.92,-0.3,-1.41,727707
25/11/2020,20.32,21.43,20.32,21.22,0.96,4.74,641917
24/11/2020,19.5,20.42,19.5,20.26,0.62,3.16,481910
23/11/2020,19.64,19.91,19.42,19.64,-0.14,-0.71,410330
20/11/2020,19.89,20.01,19.69,19.78,-0.15,-0.75,446338
19/11/2020,20.34,20.42,19.78,19.93,-0.18,-0.9,546041
18/11/2020,19.7,20.36,19.67,20.11,0.32,1.62,552818
17/11/2020,19.99,20.13,19.6,19.79,-0.05,-0.25,1377702
16/11/2020,19.4,19.85,19.4,19.84,0.62,3.23,37917
13/11/2020,19.43,19.43,18.65,19.22,-0.28,-1.44,464000
12/11/2020,19.88,19.93,19.02,19.5,-0.53,-2.65,704659
11/11/2020,19.7,20.29,19.54,20.03,0.2,1.01,1651112
10/11/2020,18.85,20.31,18.63,19.83,2.71,15.83,2918158
09/11/2020,16.71,17.16,16.66,17.12,0.38,2.27,323355
06/11/2020,16.9,17.01,16.59,16.74,0.11,0.66,288314
05/11/2020,16.15,16.72,16.15,16.63,0.57,3.55,411462
04/11/2020,15.77,16.27,15.5,16.06,0.59,3.81,655530
03/11/2020,14.73,15.47,14.68,15.47,0.8,5.45,735166
02/11/2020,14.5,15,14.38,14.67,0.07,0.48,682065
30/10/2020,15.26,15.43,14.53,14.6,-0.55,-3.63,1696377
29/10/2020,15.3,15.53,15.03,15.15,-0.87,-5.43,1187553
28/10/2020,16.45,16.64,15.96,16.02,-0.66,-3.96,665794
27/10/2020,17.61,17.77,16.605,16.68,-1.32,-7.33,1184691
26/10/2020,17.5,18.18,17.5,18,0.59,3.39,913511
23/10/2020,17.7,18.065,17.18,17.41,-0.28,-1.58,1188228
22/10/2020,17.52,17.77,17.49,17.69,-0.21,-1.17,671997
21/10/2020,17.55,18.12,17.41,17.9,0.41,2.34,626819
20/10/2020,17.4,17.5,17.02,17.49,-0.08,-0.46,937251
19/10/2020,17.8,18.24,17.57,17.57,-0.25,-1.4,830040
16/10/2020,17.45,18,17.45,17.82,0.57,3.3,736546
15/10/2020,17.85,18.06,17.21,17.25,-0.49,-2.76,867502
14/10/2020,17.21,17.85,16.76,17.74,0.12,0.68,1809355
13/10/2020,17.3,17.84,17.21,17.62,0.29,1.67,1230417
12/10/2020,16.86,17.5,16.74,17.33,0.32,1.88,981854
09/10/2020,17.08,17.27,16.865,17.01,-0.26,-1.51,933343
08/10/2020,17.8,18.2,17.18,17.27,-0.21,-1.2,1057107
07/10/2020,17.33,17.56,17.22,17.48,0.16,0.92,742721
06/10/2020,17.12,17.51,16.9,17.32,-0.01,-0.06,808241
05/10/2020,17.19,17.33,16.81,17.33,0.29,1.7,448189
02/10/2020,17.4,17.72,16.9,17.04,-0.26,-1.5,1002366
01/10/2020,17.23,17.48,16.92,17.3,0.07,0.41,1281512
30/09/2020,18,18.68,17.19,17.23,1.07,6.62,3860448
25/09/2020,15.82,16.22,15.63,16.16,0.31,1.96,424404
24/09/2020,15.92,16.39,15.82,15.85,-0.26,-1.61,757214
23/09/2020,16.1,16.3,15.83,16.11,0.3,1.9,731777
22/09/2020,16.4,16.49,15.77,15.81,-0.97,-5.78,866112
21/09/2020,16.91,17.01,16.66,16.78,-0.19,-1.12,522703
18/09/2020,16.77,17.08,16.59,16.97,0.2,1.19,697127
17/09/2020,17.28,17.68,16.76,16.77,-0.39,-2.27,725126
16/09/2020,16.36,17.2,16.08,17.16,0.57,3.44,1347911
15/09/2020,16.09,16.68,15.9,16.59,0.34,2.09,1035460
14/09/2020,15.56,16.25,15.56,16.25,0.75,4.84,739275
11/09/2020,15.42,15.59,15.25,15.5,-0.32,-2.02,661860
10/09/2020,15.77,15.96,15.52,15.82,0.13,0.83,1023582
09/09/2020,15.8,16.16,15.35,15.69,-0.77,-4.68,1163461
08/09/2020,16.2,16.67,15.99,16.46,0.26,1.6,951057
07/09/2020,15.44,16.22,15.34,16.2,0.3,1.89,855050
04/09/2020,15.14,15.98,15,15.9,0.16,1.02,938842
03/09/2020,16.32,16.51,15.6,15.74,-0.54,-3.32,1201473
02/09/2020,15.44,16.31,15.31,16.28,0.8,5.17,1107488
01/09/2020,15.74,15.75,14.97,15.48,-0.51,-3.19,1253036
31/08/2020,15.6,16.14,15.48,15.99,0.39,2.5,742239
28/08/2020,15.6,16.18,15.35,15.6,-0.1,-0.64,879854
27/08/2020,15.39,15.75,15.01,15.7,0.34,2.21,1046237
26/08/2020,15.3,15.6,14.99,15.36,0.13,0.85,1110960
25/08/2020,14.65,15.28,14.65,15.23,0.86,5.98,1504275
24/08/2020,13.78,14.38,13.69,14.37,0.59,4.28,1282163
21/08/2020,13.13,13.92,13.06,13.78,0.59,4.47,1020848
20/08/2020,13.76,13.77,13.015,13.19,-0.24,-1.79,1548771
19/08/2020,13.5,14.25,13.05,13.43,1.29,10.63,3612206
18/08/2020,11.9,12.28,11.57,12.14,0.34,2.88,1787715
17/08/2020,11.4,11.89,11.4,11.8,0.4,3.51,1540607
14/08/2020,11.34,11.49,10.9,11.4,0.23,2.06,922263
13/08/2020,11.39,11.41,10.88,11.17,0.59,5.58,1455860
12/08/2020,10.42,10.84,10.29,10.58,0.17,1.63,681306
11/08/2020,10.05,10.56,10.05,10.41,0.44,4.41,1129594
10/08/2020,9.95,10.12,9.42,9.97,0.23,2.36,1534533
07/08/2020,9.2,9.75,9.15,9.74,0.59,6.45,1388638
06/08/2020,8.62,9.21,8.62,9.15,0.59,6.89,932075
05/08/2020,8.25,8.68,8.23,8.56,0.26,3.13,1120871
04/08/2020,8.26,8.55,8.15,8.3,0.12,1.47,1159555
03/08/2020,8.46,8.51,8.18,8.18,-0.55,-6.3,932811
31/07/2020,8.55,8.76,8.47,8.73,0.08,0.92,485487
30/07/2020,8.94,9.11,8.53,8.65,-0.15,-1.7,830945
29/07/2020,8.84,8.99,8.56,8.8,-0.04,-0.45,494329
28/07/2020,8.94,9.01,8.75,8.84,-0.11,-1.23,445335
27/07/2020,9.1,9.34,8.89,8.95,-0.38,-4.07,660191
24/07/2020,9.55,9.8,9.3,9.33,-0.3,-3.12,728412
23/07/2020,9.25,9.75,9.06,9.63,0.34,3.66,1088888
22/07/2020,9.35,9.35,8.92,9.29,-0.08,-0.85,870317
21/07/2020,8.69,9.41,8.54,9.37,0.84,9.85,1557603
20/07/2020,8.93,8.98,8.45,8.53,-0.32,-3.62,1134550
17/07/2020,9.05,9.13,8.5,8.85,-0.03,-0.34,771661
16/07/2020,9.21,9.3,8.78,8.88,0.06,0.68,968198
15/07/2020,8.82,8.95,8.48,8.82,0.3,3.52,683210
14/07/2020,8.57,8.785,8.37,8.52,-0.07,-0.81,884025
13/07/2020,9.14,9.39,8.46,8.59,-0.24,-2.72,1367003
10/07/2020,9.41,9.45,8.74,8.83,-0.66,-6.95,979453
09/07/2020,9.4,9.66,9.33,9.49,0.15,1.61,692200
08/07/2020,9.6,9.66,9.27,9.34,-0.49,-4.98,883554
07/07/2020,10.33,10.4,9.75,9.83,-0.48,-4.66,884313
06/07/2020,10.15,10.49,10.1,10.31,-0.1,-0.96,443430
03/07/2020,10.45,10.63,10.26,10.41,-0.07,-0.67,577970
02/07/2020,10.5,10.52,10.15,10.48,0.02,0.19,1247589
01/07/2020,9.75,10.46,9.6,10.46,0.77,7.95,840700
30/06/2020,9.73,10.11,9.69,9.69,0.31,3.3,848977
29/06/2020,9.43,9.61,9.22,9.38,-0.35,-3.6,580982
26/06/2020,9.72,10.125,9.51,9.73,0.07,0.72,1282736
25/06/2020,10.11,10.13,9.52,9.66,-0.84,-8,1550501
24/06/2020,10.72,11.1,10.42,10.5,-0.22,-2.05,922869
23/06/2020,11.05,11.3,10.54,10.72,-0.31,-2.81,1580894
22/06/2020,11.63,11.72,10.97,11.03,-0.96,-8.01,1152656
19/06/2020,11.74,12.4,11.7,11.99,0.49,4.26,773684
18/06/2020,11.81,11.99,11.41,11.5,-0.55,-4.56,736899
17/06/2020,12.5,12.69,11.85,12.05,-0.37,-2.98,684169
16/06/2020,11.85,12.5,11.69,12.42,1.02,8.95,821277
15/06/2020,12.99,13.03,11.34,11.4,-1.31,-10.31,1471616
12/06/2020,12.3,12.85,11.88,12.71,-0.77,-5.71,1337765
11/06/2020,14.36,14.6,13.1,13.48,-1.13,-7.73,1088431
10/06/2020,14.03,14.75,13.99,14.61,0.41,2.89,1045791
09/06/2020,13.89,14.52,13.89,14.2,0.9,6.77,933457
05/06/2020,13.5,13.82,13.12,13.3,-0.05,-0.37,588791
04/06/2020,12.33,13.54,12.3,13.35,1.08,8.8,842334
03/06/2020,12.5,12.69,12.01,12.27,-0.08,-0.65,799728
02/06/2020,12.15,12.63,12.15,12.35,0.24,1.98,817268
01/06/2020,11.74,12.11,11.38,12.11,0.12,1,846170
29/05/2020,12.03,12.1,11.58,11.99,-0.04,-0.33,1518346
28/05/2020,12.35,12.48,11.9,12.03,-0.21,-1.72,1351689
27/05/2020,12.55,12.71,11.75,12.24,-0.31,-2.47,1007557
26/05/2020,12.34,12.91,12.34,12.55,0.39,3.21,1006246
25/05/2020,12.1,12.44,11.85,12.16,0.38,3.23,936919
22/05/2020,11.1,12.07,11.1,11.78,0.7,6.32,1098340
21/05/2020,11.42,11.56,10.9,11.08,-0.26,-2.29,640218
20/05/2020,11,11.56,10.8,11.34,0.17,1.52,426037
19/05/2020,11.85,12.02,11.13,11.17,0,0,525179
18/05/2020,10.75,11.18,10.55,11.17,0.64,6.08,710504
15/05/2020,10.86,10.99,10.27,10.53,-0.12,-1.13,466299
14/05/2020,10.79,11.09,10.59,10.65,-0.35,-3.18,529989
13/05/2020,11.01,11.25,10.77,11,-0.51,-4.43,1114966
12/05/2020,12.43,12.44,11.33,11.51,-0.92,-7.4,602830
11/05/2020,12.1,12.46,11.975,12.43,0.49,4.1,609183
08/05/2020,12.14,12.5,11.88,11.94,-0.14,-1.16,555134
07/05/2020,11.7,12.68,11.38,12.08,0.08,0.67,1307946
06/05/2020,12.01,12.05,11.58,12,0.08,0.67,645641
05/05/2020,12.3,12.55,11.76,11.92,-0.33,-2.69,719691
04/05/2020,12.34,12.65,12.03,12.25,-0.32,-2.55,2046796
01/05/2020,12.03,12.7,11.35,12.57,-0.13,-1.02,1183552
30/04/2020,11.6,12.85,11.6,12.7,1.65,14.93,1517058
29/04/2020,10.01,11.45,9.93,11.05,1.05,10.5,1060697
28/04/2020,9.38,10.1,9.22,10,0.86,9.41,1183523
27/04/2020,9.2,9.35,8.95,9.14,0.06,0.66,594882
24/04/2020,8.58,9.38,8.5,9.08,0.58,6.82,646957
23/04/2020,9,9.09,8.43,8.5,-0.36,-4.06,751843
22/04/2020,8.81,9.03,8.51,8.86,-0.16,-1.77,886027
21/04/2020,9.2,9.45,8.87,9.02,-0.31,-3.32,709917
20/04/2020,9.67,9.88,9.01,9.33,-0.16,-1.69,686548
17/04/2020,9.6,9.925,9.34,9.49,0.28,3.04,711854
16/04/2020,10.4,10.44,9.08,9.21,-1.75,-15.97,1325859
15/04/2020,12,12.04,10.78,10.96,-1.04,-8.67,835497
14/04/2020,9.83,12.21,9.6,12,2.14,21.7,922886
