Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,21.61,21.75,21.38,21.7,-0.16,-0.73,115361
29/01/2021,21.57,22.6,21.57,21.86,-0.22,-1,147284
28/01/2021,21.55,22.27,21.5,22.08,-0.22,-0.99,163527
27/01/2021,22.15,22.67,22.11,22.3,0.15,0.68,116359
25/01/2021,21.89,22.4,21.75,22.15,0.43,1.98,116706
22/01/2021,21.9,22.39,21.7,21.72,-0.24,-1.09,120530
21/01/2021,21.94,22.17,21.61,21.96,0.17,0.78,145314
20/01/2021,21.89,22.26,21.775,21.79,-0.23,-1.04,136698
19/01/2021,22.37,22.42,21.85,22.02,0.18,0.82,87763
18/01/2021,22.2,22.46,21.77,21.84,-0.47,-2.11,72923
15/01/2021,21.99,22.63,21.75,22.31,0.74,3.43,134143
14/01/2021,21.4,21.81,21.31,21.57,0.28,1.32,72102
13/01/2021,21.77,21.77,21.13,21.29,0.25,1.19,130604
12/01/2021,20.67,21.27,20.67,21.04,0.64,3.14,131519
11/01/2021,20.8,21.24,20.33,20.4,-0.4,-1.92,103455
08/01/2021,21.44,21.48,20.65,20.8,0.13,0.63,104830
07/01/2021,21.5,21.76,20.6,20.67,-0.56,-2.64,117725
06/01/2021,21.92,22.16,21.08,21.23,-0.84,-3.81,133249
05/01/2021,22.25,22.41,21.93,22.07,-0.67,-2.95,152459
04/01/2021,22.45,22.9,22.25,22.74,0.42,1.88,89282
31/12/2020,22.8,22.8,22.28,22.32,-0.3,-1.33,61033
30/12/2020,23,23.2,22.45,22.62,-0.5,-2.16,106599
29/12/2020,22.99,23.12,22.57,23.12,0.08,0.35,80506
24/12/2020,23,23.15,22.68,23.04,-0.05,-0.22,30099
23/12/2020,22.5,23.43,22.38,23.09,0.61,2.71,101559
22/12/2020,22.78,22.87,22.33,22.48,-0.51,-2.22,76727
21/12/2020,23.11,23.56,22.79,22.99,-0.13,-0.56,84302
18/12/2020,22.7,23.3,22.38,23.12,0.42,1.85,134087
17/12/2020,22.62,22.76,22.33,22.7,0.04,0.18,96183
16/12/2020,22.4,23.13,22.34,22.66,0.38,1.71,138732
15/12/2020,22.05,22.42,21.67,22.28,0.2,0.91,112603
