Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.4,9.64,9.3,9.58,-0.02,-0.21,1284356
29/01/2021,9.75,9.8,9.59,9.6,-0.08,-0.83,1967207
28/01/2021,9.68,9.75,9.55,9.68,-0.14,-1.43,1113179
27/01/2021,10.05,10.13,9.79,9.82,-0.25,-2.48,1561267
25/01/2021,10,10.1,9.87,10.07,0.13,1.31,1043173
22/01/2021,10.01,10.06,9.89,9.94,-0.11,-1.09,980587
21/01/2021,10.1,10.2,9.95,10.05,-0.2,-1.95,1397636
20/01/2021,10.06,10.32,9.99,10.25,0,0,1051748
19/01/2021,10.1,10.25,10.05,10.25,0.19,1.89,1566556
18/01/2021,10.06,10.13,10,10.06,-0.05,-0.49,2479653
15/01/2021,10.18,10.27,10.1,10.11,-0.09,-0.88,4613072
14/01/2021,10.17,10.245,10.07,10.2,-0.07,-0.68,1300183
13/01/2021,10,10.3,10,10.27,0.12,1.18,1256770
12/01/2021,10.15,10.23,10.07,10.15,-0.03,-0.29,2001902
11/01/2021,9.88,10.27,9.88,10.18,0.18,1.8,1808519
08/01/2021,9.8,10,9.7,10,0.17,1.73,1094612
07/01/2021,9.92,9.92,9.78,9.83,0.06,0.61,1713075
06/01/2021,9.86,9.94,9.74,9.77,-0.02,-0.2,1395400
05/01/2021,9.74,9.82,9.64,9.79,-0.11,-1.11,1142141
04/01/2021,9.6,9.94,9.57,9.9,0.27,2.8,1284969
31/12/2020,9.83,9.84,9.63,9.63,-0.14,-1.43,432780
30/12/2020,9.73,9.83,9.69,9.77,0,0,472441
29/12/2020,9.76,9.89,9.72,9.77,0.05,0.51,411984
24/12/2020,9.5,9.8,9.5,9.72,0.06,0.62,300547
23/12/2020,9.5,9.75,9.47,9.66,0.1,1.05,667813
22/12/2020,9.58,9.695,9.5,9.56,-0.06,-0.62,1155069
21/12/2020,9.71,9.75,9.57,9.62,-0.17,-1.74,2280007
18/12/2020,9.75,9.85,9.67,9.79,-0.08,-0.81,2654620
17/12/2020,9.76,9.9,9.73,9.87,0.02,0.2,2141567
16/12/2020,9.8,9.94,9.73,9.85,0.12,1.23,1499563
15/12/2020,9.8,9.86,9.66,9.73,-0.06,-0.61,1128204
14/12/2020,9.67,9.89,9.57,9.79,0.07,0.72,1236081
11/12/2020,9.66,9.74,9.6,9.72,-0.03,-0.31,1569585
10/12/2020,9.68,9.89,9.68,9.75,0.01,0.1,8581038
09/12/2020,9.61,9.75,9.61,9.74,0.1,1.04,1594874
08/12/2020,9.7,9.75,9.58,9.64,-0.12,-1.23,1598091
07/12/2020,9.75,9.9,9.71,9.76,-0.03,-0.31,782828
04/12/2020,9.73,9.86,9.73,9.79,0.03,0.31,2111452
03/12/2020,9.8,9.85,9.71,9.76,-0.05,-0.51,2649236
02/12/2020,9.75,9.85,9.65,9.81,0.06,0.62,1084597
01/12/2020,9.66,9.81,9.59,9.75,0.11,1.14,1133073
30/11/2020,9.97,10.055,9.605,9.64,-0.31,-3.12,5186965
27/11/2020,9.96,9.99,9.9,9.95,-0.01,-0.1,1361591
26/11/2020,10.17,10.17,9.81,9.96,-0.18,-1.78,1686558
25/11/2020,9.7,10.19,9.69,10.14,0.52,5.41,3022246
24/11/2020,9.4,9.67,9.36,9.62,0.21,2.23,1441804
23/11/2020,9.32,9.43,9.22,9.41,0.08,0.86,1575731
