Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.19,2.25,2.18,2.24,0.02,0.9,8624853
29/01/2021,2.29,2.29,2.2,2.22,-0.02,-0.89,12559780
28/01/2021,2.3,2.325,2.22,2.24,-0.08,-3.45,10930420
27/01/2021,2.33,2.36,2.305,2.32,-0.01,-0.43,14007348
25/01/2021,2.34,2.38,2.315,2.33,0,0,9759847
22/01/2021,2.35,2.375,2.32,2.33,-0.05,-2.1,21488211
21/01/2021,2.31,2.41,2.27,2.38,-0.22,-8.46,52211831
20/01/2021,2.52,2.615,2.52,2.6,0.04,1.56,7302478
19/01/2021,2.57,2.62,2.52,2.56,0.09,3.64,10265492
18/01/2021,2.44,2.49,2.44,2.47,0.01,0.41,3548822
15/01/2021,2.44,2.48,2.425,2.46,0.01,0.41,6858791
14/01/2021,2.42,2.45,2.41,2.45,0.04,1.66,4681330
13/01/2021,2.4,2.42,2.38,2.41,0.01,0.42,3811534
12/01/2021,2.47,2.47,2.4,2.4,-0.04,-1.64,4250247
11/01/2021,2.51,2.51,2.43,2.44,-0.07,-2.79,4115618
08/01/2021,2.45,2.525,2.44,2.51,0.13,5.46,7172246
07/01/2021,2.4,2.41,2.37,2.38,-0.02,-0.83,4167551
06/01/2021,2.35,2.41,2.35,2.4,0.04,1.69,6188231
05/01/2021,2.33,2.38,2.32,2.36,0.02,0.85,4976823
04/01/2021,2.35,2.36,2.315,2.34,-0.01,-0.43,6219255
31/12/2020,2.38,2.39,2.35,2.35,-0.04,-1.67,1913665
30/12/2020,2.39,2.4,2.36,2.39,0.01,0.42,3282946
29/12/2020,2.38,2.39,2.345,2.38,0.03,1.28,2488214
24/12/2020,2.39,2.39,2.34,2.35,0,0,3436320
23/12/2020,2.38,2.4,2.33,2.35,-0.03,-1.26,7956790
22/12/2020,2.36,2.41,2.32,2.38,0.02,0.85,13402661
21/12/2020,2.33,2.38,2.33,2.36,-0.03,-1.26,4478129
18/12/2020,2.39,2.4,2.37,2.39,0,0,16973948
17/12/2020,2.36,2.43,2.3,2.39,-0.03,-1.24,10540483
16/12/2020,2.5,2.5,2.37,2.42,-0.02,-0.82,21349996
15/12/2020,2.45,2.46,2.41,2.44,0.01,0.41,5811121
14/12/2020,2.46,2.475,2.415,2.43,-0.02,-0.82,8684730
11/12/2020,2.47,2.51,2.42,2.45,-0.1,-3.92,7936734
10/12/2020,2.59,2.6,2.53,2.55,-0.06,-2.3,12713354
09/12/2020,2.63,2.64,2.58,2.61,0.01,0.38,7242471
08/12/2020,2.62,2.65,2.6,2.6,-0.05,-1.89,20038010
07/12/2020,2.62,2.665,2.605,2.65,0.05,1.92,8674997
04/12/2020,2.52,2.61,2.52,2.6,0.06,2.36,10289259
03/12/2020,2.51,2.57,2.47,2.54,0.02,0.79,10345455
02/12/2020,2.43,2.55,2.415,2.52,0.11,4.56,9694418
01/12/2020,2.42,2.43,2.38,2.41,0.02,0.84,5700610
