Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.04,5.14,4.885,4.96,-0.03,-0.6,4426703
29/01/2021,4.83,5.085,4.77,4.99,0.37,8.01,1916807
28/01/2021,4.75,4.75,4.56,4.62,-0.17,-3.55,1182554
27/01/2021,4.6,4.84,4.57,4.79,0.26,5.74,2296179
25/01/2021,4.6,4.64,4.53,4.53,-0.09,-1.95,399957
22/01/2021,4.59,4.65,4.55,4.62,0.03,0.65,632180
21/01/2021,4.5,4.6,4.48,4.59,0.19,4.32,940760
20/01/2021,4.31,4.42,4.31,4.4,0.05,1.15,561898
19/01/2021,4.3,4.37,4.3,4.35,0.05,1.16,288391
18/01/2021,4.22,4.42,4.22,4.3,-0.06,-1.38,794680
15/01/2021,4.19,4.42,4.19,4.36,0.13,3.07,904263
14/01/2021,4.25,4.3,4.19,4.23,-0.06,-1.4,640794
13/01/2021,4.4,4.42,4.265,4.29,-0.09,-2.05,997714
12/01/2021,4.42,4.445,4.38,4.38,-0.01,-0.23,500325
11/01/2021,4.4,4.51,4.39,4.39,-0.15,-3.3,447090
08/01/2021,4.46,4.56,4.4,4.54,0.12,2.71,706355
07/01/2021,4.47,4.51,4.4,4.42,-0.03,-0.67,1211559
06/01/2021,4.5,4.57,4.42,4.45,-0.1,-2.2,2125490
05/01/2021,4.41,4.56,4.12,4.55,0,0,2148370
04/01/2021,4.48,4.55,4.4,4.55,0.06,1.34,535456
31/12/2020,4.53,4.57,4.48,4.49,-0.08,-1.75,347152
30/12/2020,4.52,4.57,4.51,4.57,0.01,0.22,440578
29/12/2020,4.51,4.58,4.51,4.56,0.02,0.44,371209
24/12/2020,4.62,4.62,4.54,4.54,-0.08,-1.73,589746
23/12/2020,4.59,4.68,4.56,4.62,0.08,1.76,1009025
22/12/2020,4.75,4.75,4.485,4.54,-0.16,-3.4,1149729
21/12/2020,4.54,4.71,4.5,4.7,0.12,2.62,1662339
18/12/2020,4.54,4.58,4.51,4.58,0.02,0.44,1343696
17/12/2020,4.62,4.66,4.5,4.56,0,0,1444082
16/12/2020,4.53,4.565,4.48,4.56,0.1,2.24,1850030
15/12/2020,4.48,4.515,4.395,4.46,-0.03,-0.67,784434
14/12/2020,4.59,4.59,4.48,4.49,-0.06,-1.32,710801
11/12/2020,4.52,4.57,4.505,4.55,0.05,1.11,856181
10/12/2020,4.46,4.57,4.44,4.5,-0.05,-1.1,884230
09/12/2020,4.57,4.6,4.5,4.55,0.01,0.22,674944
08/12/2020,4.54,4.625,4.53,4.54,0,0,1286042
07/12/2020,4.52,4.59,4.52,4.54,0.03,0.67,682941
04/12/2020,4.46,4.55,4.46,4.51,0.05,1.12,469517
03/12/2020,4.52,4.55,4.44,4.46,-0.06,-1.33,426118
02/12/2020,4.51,4.55,4.47,4.52,0.07,1.57,735324
01/12/2020,4.44,4.52,4.44,4.45,-0.03,-0.67,601319
30/11/2020,4.47,4.54,4.47,4.48,0.06,1.36,867006
27/11/2020,4.4,4.46,4.36,4.42,0,0,528116
26/11/2020,4.38,4.455,4.37,4.42,0.04,0.91,793976
25/11/2020,4.38,4.46,4.25,4.38,-0.01,-0.23,2181297
24/11/2020,4.41,4.52,4.35,4.39,-0.03,-0.68,1147274
23/11/2020,4.5,4.56,4.4,4.42,0.01,0.23,1382620
20/11/2020,4.46,4.55,4.41,4.41,-0.01,-0.23,799593
19/11/2020,4.57,4.58,4.4,4.42,-0.09,-2,1493544
18/11/2020,4.59,4.6,4.51,4.51,0.01,0.22,781609
17/11/2020,4.45,4.52,4.41,4.5,0.07,1.58,1200085
16/11/2020,4.51,4.51,4.39,4.43,-0.05,-1.12,88872
13/11/2020,4.47,4.5,4.37,4.48,0.05,1.13,859109
12/11/2020,4.45,4.49,4.39,4.43,0.05,1.14,832661
11/11/2020,4.19,4.42,4.12,4.38,0.08,1.86,2314812
10/11/2020,4.62,4.67,4.25,4.3,-0.32,-6.93,3021951
09/11/2020,4.51,4.65,4.49,4.62,0.24,5.48,1526819
06/11/2020,4.27,4.45,4.235,4.38,0.06,1.39,3894523
05/11/2020,4.22,4.38,4.2,4.32,0.13,3.1,1886067
04/11/2020,3.95,4.2,3.95,4.19,0.19,4.75,3078479
03/11/2020,3.81,4.01,3.81,4,0.16,4.17,1029968
02/11/2020,3.94,3.95,3.81,3.84,-0.1,-2.54,973746
30/10/2020,4.08,4.12,3.93,3.94,-0.14,-3.43,784535
29/10/2020,4.08,4.1,4,4.08,-0.02,-0.49,1126730
28/10/2020,3.94,4.14,3.93,4.1,0.06,1.49,764376
27/10/2020,4.02,4.095,3.99,4.04,-0.05,-1.22,1843817
26/10/2020,4.08,4.18,4.06,4.09,0,0,1110090
23/10/2020,4.06,4.14,4.06,4.09,0.05,1.24,2949718
22/10/2020,4.01,4.1,4,4.04,-0.06,-1.46,2667836
21/10/2020,4.07,4.11,4.02,4.1,0.05,1.23,1243321
20/10/2020,3.95,4.08,3.92,4.05,0.07,1.76,1884584
19/10/2020,4.06,4.06,3.96,3.98,-0.01,-0.25,801094
16/10/2020,4,4.16,3.98,3.99,0,0,3153226
15/10/2020,3.94,3.99,3.9,3.99,0.07,1.79,3018518
14/10/2020,3.93,3.98,3.89,3.92,-0.01,-0.25,1738856
13/10/2020,4,4.02,3.93,3.93,-0.01,-0.25,883711
12/10/2020,3.99,3.99,3.92,3.94,-0.01,-0.25,1468386
09/10/2020,3.96,3.99,3.91,3.95,-0.02,-0.5,1085320
