Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
29/01/2021,91.36,92.98,90.6,92.02,1.52,1.68,334129
28/01/2021,90.94,91.76,89.74,90.5,-1.94,-2.1,303621
27/01/2021,91.91,94.99,91.9,92.44,0.74,0.81,560612
25/01/2021,91.18,91.93,90.375,91.7,0.26,0.28,191259
22/01/2021,90.77,91.99,90.15,91.44,0.67,0.74,347631
21/01/2021,89.81,91.65,89.29,90.77,1.16,1.29,238815
20/01/2021,89.36,90.31,88.56,89.61,0.02,0.02,317321
19/01/2021,85.8,89.66,85.6,89.59,6.61,7.97,218303
18/01/2021,81.95,84.15,81.8,82.98,1.16,1.42,175173
15/01/2021,81.3,82.23,81.2,81.82,-0.23,-0.28,140708
14/01/2021,81.85,82.83,81.51,82.05,-0.61,-0.74,101288
13/01/2021,82.5,83.07,81.88,82.66,-0.01,-0.01,138074
12/01/2021,83.37,83.99,82.55,82.67,-0.75,-0.9,158471
11/01/2021,84,85.24,82.95,83.42,-2.51,-2.92,182095
08/01/2021,83,86.17,82.77,85.93,2.52,3.02,116533
07/01/2021,86.08,86.08,83.04,83.41,-1.03,-1.22,137603
06/01/2021,85.34,85.86,83.77,84.44,-2.44,-2.81,160788
05/01/2021,85.77,87.51,85.77,86.88,-1.31,-1.49,141176
04/01/2021,86.11,88.49,85.67,88.19,1.51,1.74,172611
31/12/2020,87.95,88.14,86.26,86.68,-0.85,-0.97,63792
30/12/2020,87.27,87.53,86.36,87.53,-0.51,-0.58,126712
29/12/2020,88.49,88.5,86.92,88.04,0.34,0.39,64263
24/12/2020,87.5,88.11,86.69,87.7,-0.12,-0.14,148953
23/12/2020,87.13,88.99,87.13,87.82,1.41,1.63,258222
22/12/2020,86.41,87.73,85.5,86.41,-0.65,-0.75,134190
21/12/2020,85.93,87.29,85.86,87.06,-0.18,-0.21,174957
18/12/2020,87.35,87.64,86.275,87.24,-0.01,-0.01,254066
17/12/2020,85.92,87.82,84.77,87.25,1.49,1.74,206423
16/12/2020,85.76,86.16,84.54,85.76,1.48,1.76,126143
15/12/2020,84.38,85.19,83.31,84.28,0.83,0.99,147421
