Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.1,5.215,5.05,5.18,0.02,0.39,1583960
29/01/2021,5.3,5.3,5.15,5.16,-0.01,-0.19,1883664
28/01/2021,5.22,5.26,5.16,5.17,-0.11,-2.08,2645758
27/01/2021,5.33,5.38,5.28,5.28,-0.1,-1.86,2850226
25/01/2021,5.45,5.46,5.37,5.38,-0.01,-0.19,886162
22/01/2021,5.43,5.46,5.39,5.39,-0.09,-1.64,1200083
21/01/2021,5.49,5.52,5.35,5.48,0.03,0.55,2096683
20/01/2021,5.48,5.54,5.45,5.45,0.09,1.68,2156479
19/01/2021,5.4,5.41,5.33,5.36,0.01,0.19,2370595
18/01/2021,5.44,5.49,5.31,5.35,-0.15,-2.73,2238534
15/01/2021,5.56,5.63,5.48,5.5,-0.06,-1.08,2034159
14/01/2021,5.52,5.58,5.48,5.56,0.01,0.18,1579860
13/01/2021,5.53,5.56,5.42,5.55,0.02,0.36,2214422
12/01/2021,5.49,5.6,5.44,5.53,0.05,0.91,3512042
11/01/2021,5.77,5.79,5.47,5.48,-0.28,-4.86,3500559
08/01/2021,5.76,5.81,5.72,5.76,0.04,0.7,1489288
07/01/2021,5.5,5.72,5.475,5.72,0.3,5.54,2387662
06/01/2021,5.38,5.49,5.36,5.42,0.03,0.56,2059265
05/01/2021,5.35,5.41,5.28,5.39,-0.06,-1.1,1103471
04/01/2021,5.41,5.49,5.37,5.45,0.12,2.25,1595125
31/12/2020,5.4,5.45,5.33,5.33,-0.11,-2.02,816917
30/12/2020,5.42,5.44,5.35,5.44,-0.01,-0.18,1032764
29/12/2020,5.42,5.48,5.38,5.45,0.05,0.93,1117745
24/12/2020,5.4,5.47,5.35,5.4,0.08,1.5,722041
23/12/2020,5.3,5.35,5.24,5.32,0.02,0.38,1733592
22/12/2020,5.41,5.41,5.27,5.3,-0.11,-2.03,2156575
21/12/2020,5.48,5.51,5.4,5.41,-0.1,-1.81,2152969
18/12/2020,5.37,5.515,5.28,5.51,0.12,2.23,5158138
17/12/2020,5.28,5.415,5.26,5.39,0.11,2.08,2518153
16/12/2020,5.39,5.42,5.26,5.28,-0.09,-1.68,4064135
15/12/2020,5.24,5.4,5.2,5.37,0.12,2.29,2620069
14/12/2020,5.26,5.32,5.24,5.25,0,0,2290113
11/12/2020,5.34,5.44,5.2,5.25,-0.1,-1.87,3992062
10/12/2020,5.37,5.41,5.28,5.35,-0.06,-1.11,1917722
09/12/2020,5.45,5.49,5.37,5.41,-0.02,-0.37,2247327
08/12/2020,5.56,5.57,5.42,5.43,-0.12,-2.16,3902401
07/12/2020,5.45,5.59,5.45,5.55,0.19,3.54,3296406
04/12/2020,5.43,5.43,5.345,5.36,-0.01,-0.19,2473949
03/12/2020,5.38,5.44,5.315,5.37,0.04,0.75,3891217
02/12/2020,5.38,5.38,5.26,5.33,0.05,0.95,2351725
01/12/2020,5.24,5.32,5.17,5.28,0.08,1.54,2367787
30/11/2020,5.41,5.41,5.2,5.2,-0.16,-2.99,6040912
27/11/2020,5.39,5.46,5.3,5.36,-0.02,-0.37,4155972
26/11/2020,5.58,5.58,5.37,5.38,-0.17,-3.06,2481840
25/11/2020,5.44,5.58,5.43,5.55,0.19,3.54,5230705
24/11/2020,5.23,5.37,5.23,5.36,0.19,3.68,5351236
23/11/2020,5.33,5.34,5.17,5.17,-0.14,-2.64,5200767
20/11/2020,5.26,5.36,5.23,5.31,0.05,0.95,3713931
19/11/2020,5.21,5.27,5.13,5.26,0.03,0.57,5000685
18/11/2020,5.18,5.33,5.18,5.23,0.03,0.58,4641417
17/11/2020,5.2,5.31,5.16,5.2,0,0,3601827
16/11/2020,5.22,5.22,5.2,5.2,0.1,1.96,29492
13/11/2020,5.19,5.23,5.04,5.1,-0.07,-1.35,3474665
12/11/2020,5.2,5.2,5.1,5.17,-0.03,-0.58,3107307
11/11/2020,5.25,5.38,5.19,5.2,0.06,1.17,8898666
10/11/2020,4.9,5.17,4.89,5.14,0.38,7.98,8461262
09/11/2020,4.74,4.81,4.7,4.76,0.08,1.71,2326248
06/11/2020,4.62,4.68,4.545,4.68,0.09,1.96,3541229
05/11/2020,4.59,4.63,4.485,4.59,0.06,1.32,3487400
04/11/2020,4.62,4.65,4.5,4.53,-0.08,-1.74,3978719
03/11/2020,4.54,4.64,4.49,4.61,0.14,3.13,3446268
02/11/2020,4.46,4.5,4.42,4.47,0.07,1.59,6526377
30/10/2020,4.48,4.5,4.4,4.4,-0.06,-1.35,2596193
29/10/2020,4.51,4.53,4.445,4.46,-0.1,-2.19,6570258
28/10/2020,4.57,4.6,4.54,4.56,-0.06,-1.3,1815786
27/10/2020,4.73,4.74,4.57,4.62,-0.19,-3.95,4404530
26/10/2020,4.78,4.86,4.76,4.81,0.03,0.63,1368344
23/10/2020,4.8,4.83,4.72,4.78,-0.02,-0.42,2246567
22/10/2020,4.83,4.87,4.77,4.8,-0.12,-2.44,3061742
21/10/2020,4.82,4.96,4.78,4.92,0.11,2.29,3651779
20/10/2020,4.86,4.86,4.76,4.81,-0.08,-1.64,2325101
19/10/2020,4.86,4.92,4.84,4.89,0.07,1.45,1843204
