Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.34,4.55,4.3,4.34,0.03,0.7,2040978
29/01/2021,4.49,4.58,4.31,4.31,-0.11,-2.49,4583586
28/01/2021,4.4,4.45,4.32,4.42,-0.08,-1.78,3574337
27/01/2021,4.74,4.83,4.49,4.5,-0.23,-4.86,2337217
25/01/2021,4.63,4.74,4.61,4.73,0.09,1.94,614899
22/01/2021,4.61,4.71,4.61,4.64,0.03,0.65,1320956
21/01/2021,4.48,4.67,4.48,4.61,0.14,3.13,2250970
20/01/2021,4.67,4.7,4.445,4.47,-0.07,-1.54,2370091
19/01/2021,4.41,4.56,4.41,4.54,0.15,3.42,4466672
18/01/2021,4.35,4.41,4.35,4.39,-0.03,-0.68,9285202
15/01/2021,4.51,4.57,4.38,4.42,-0.11,-2.43,3584252
14/01/2021,4.55,4.58,4.5,4.53,-0.05,-1.09,1209311
13/01/2021,4.59,4.61,4.545,4.58,-0.03,-0.65,2093432
12/01/2021,4.64,4.73,4.61,4.61,-0.03,-0.65,1286012
11/01/2021,4.66,4.72,4.63,4.64,-0.04,-0.85,1258794
08/01/2021,4.92,4.94,4.61,4.68,-0.19,-3.9,1218697
07/01/2021,4.77,4.94,4.77,4.87,0.11,2.31,1428760
06/01/2021,4.83,4.99,4.725,4.76,-0.12,-2.46,2340250
05/01/2021,4.83,4.97,4.83,4.88,0.03,0.62,1318479
04/01/2021,4.8,4.88,4.78,4.85,0.05,1.04,506284
31/12/2020,4.77,4.84,4.745,4.8,-0.02,-0.41,609250
30/12/2020,4.82,4.85,4.755,4.82,-0.01,-0.21,1335260
29/12/2020,4.81,4.9,4.81,4.83,0,0,1029319
24/12/2020,4.78,4.86,4.78,4.83,0.03,0.62,342476
23/12/2020,4.8,4.87,4.75,4.8,-0.03,-0.62,1548358
22/12/2020,4.94,4.96,4.8,4.83,-0.11,-2.23,2279400
21/12/2020,4.77,4.98,4.735,4.94,0.2,4.22,1519261
18/12/2020,4.68,4.8,4.63,4.74,0.09,1.94,5545422
17/12/2020,4.57,4.73,4.52,4.65,0.08,1.75,4178344
16/12/2020,4.7,4.77,4.52,4.57,-0.04,-0.87,6729262
15/12/2020,4.77,4.78,4.58,4.61,-0.2,-4.16,6676932
14/12/2020,4.95,4.95,4.77,4.81,-0.19,-3.8,2439569
11/12/2020,4.97,5.12,4.91,5,0.03,0.6,2305085
10/12/2020,5.08,5.185,4.92,4.97,-0.11,-2.17,2918803
09/12/2020,5.05,5.2,5.02,5.08,-0.04,-0.78,6082144
08/12/2020,5.29,5.29,5.07,5.12,-0.13,-2.48,3575647
07/12/2020,5.2,5.35,5.19,5.25,0.12,2.34,1932990
04/12/2020,5,5.16,4.99,5.13,0.15,3.01,2315156
03/12/2020,4.8,4.99,4.77,4.98,0.22,4.62,5282422
02/12/2020,4.65,4.805,4.62,4.76,0.16,3.48,4699118
01/12/2020,4.57,4.68,4.55,4.6,0,0,2729849
30/11/2020,4.72,4.76,4.6,4.6,-0.05,-1.08,6520611
27/11/2020,4.47,4.65,4.47,4.65,0.15,3.33,2805440
26/11/2020,4.45,4.555,4.45,4.5,0.02,0.45,998676
25/11/2020,4.57,4.6,4.43,4.48,-0.04,-0.88,1011733
24/11/2020,4.4,4.58,4.36,4.52,0.16,3.67,3074634
23/11/2020,4.3,4.38,4.29,4.36,0.1,2.35,2931797
20/11/2020,4.25,4.3,4.12,4.26,0.02,0.47,1378864
19/11/2020,4.17,4.32,4.17,4.24,0.06,1.44,2401867
18/11/2020,4.18,4.24,4.12,4.18,-0.04,-0.95,10708291
17/11/2020,4.27,4.3,4.15,4.22,-0.05,-1.17,6300157
16/11/2020,4.27,4.27,4.27,4.27,0.06,1.43,32531
13/11/2020,4.31,4.34,4.16,4.21,-0.15,-3.44,3587726
12/11/2020,4.24,4.44,4.22,4.36,0.08,1.87,5234217
11/11/2020,4.4,4.4,4.15,4.28,-0.02,-0.47,5907037
10/11/2020,4.44,4.56,4.21,4.3,-0.1,-2.27,1357417
09/11/2020,4.35,4.47,4.33,4.4,0.08,1.85,6172848
06/11/2020,4.3,4.43,4.22,4.32,0.07,1.65,4110070
05/11/2020,4.1,4.25,4.06,4.25,0.21,5.2,4054496
04/11/2020,4,4.08,3.89,4.04,0.09,2.28,7227101
03/11/2020,4.05,4.11,3.95,3.95,-0.11,-2.71,2379682
02/11/2020,4,4.08,3.96,4.06,0.13,3.31,2601041
30/10/2020,3.98,4.15,3.91,3.93,-0.08,-2,5340696
29/10/2020,4.01,4.08,3.925,4.01,-0.14,-3.37,4690281
28/10/2020,4.18,4.32,4.095,4.15,0.09,2.22,3897059
27/10/2020,4.35,4.41,4.06,4.06,-0.24,-5.58,9470779
26/10/2020,4.65,4.69,4.25,4.3,-0.3,-6.52,3673027
23/10/2020,4.87,4.95,4.585,4.6,,,6960243
