Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,8.84,8.98,8.81,8.89,-0.12,-1.33,3374550
29/01/2021,8.99,9.08,8.94,9.01,0.05,0.56,4484150
28/01/2021,9.05,9.09,8.81,8.96,-0.24,-2.61,5133697
27/01/2021,9.14,9.26,9.11,9.2,0.07,0.77,4701041
25/01/2021,9.25,9.29,9.09,9.13,-0.05,-0.54,3106840
22/01/2021,9.09,9.21,9.09,9.18,0.05,0.55,3763734
21/01/2021,9.05,9.15,9.05,9.13,0.09,1,4126471
20/01/2021,8.87,9.095,8.85,9.04,0.01,0.11,4092019
19/01/2021,9.01,9.09,9,9.03,0.05,0.56,3358609
18/01/2021,9.11,9.2,8.935,8.98,-0.01,-0.11,3341486
15/01/2021,9,9.075,8.96,8.99,-0.04,-0.44,4794252
14/01/2021,8.98,9.1,8.945,9.03,0.14,1.57,5601898
13/01/2021,8.91,8.98,8.82,8.89,-0.06,-0.67,7571582
12/01/2021,9.01,9.05,8.95,8.95,-0.05,-0.56,4717600
11/01/2021,9.07,9.11,8.96,9,-0.12,-1.32,3455014
08/01/2021,9.2,9.34,9.02,9.12,-0.06,-0.65,3573878
07/01/2021,9.28,9.38,9.18,9.18,-0.11,-1.18,3839326
06/01/2021,9.22,9.34,9.17,9.29,-0.03,-0.32,4272233
05/01/2021,9.12,9.325,9.1,9.32,-0.09,-0.96,3565797
04/01/2021,9.39,9.51,9.37,9.41,0.01,0.11,1997663
31/12/2020,9.5,9.59,9.4,9.4,-0.19,-1.98,1808421
30/12/2020,9.45,9.59,9.37,9.59,-0.17,-1.74,2952374
29/12/2020,9.74,9.83,9.665,9.76,0.13,1.35,2968532
24/12/2020,9.62,9.67,9.58,9.63,0.01,0.1,874216
23/12/2020,9.63,9.73,9.56,9.62,0.1,1.05,2263942
22/12/2020,9.55,9.58,9.46,9.52,-0.03,-0.31,2303065
21/12/2020,9.55,9.62,9.45,9.55,-0.01,-0.1,2706989
18/12/2020,9.83,9.86,9.53,9.56,-0.27,-2.75,6364824
17/12/2020,10.03,10.03,9.75,9.83,0.08,0.82,4446201
16/12/2020,9.95,9.95,9.71,9.75,-0.15,-1.52,3742454
15/12/2020,9.83,9.94,9.81,9.9,0.07,0.71,3750939
14/12/2020,9.64,9.87,9.62,9.83,0.22,2.29,4618854
11/12/2020,9.56,9.68,9.54,9.61,-0.07,-0.72,4605250
10/12/2020,9.6,9.71,9.58,9.68,0.07,0.73,5059950
09/12/2020,9.71,9.755,9.61,9.61,-0.15,-1.54,3968970
08/12/2020,9.74,9.79,9.66,9.76,0.02,0.21,6591758
07/12/2020,9.83,9.85,9.7,9.74,0,0,3922297
04/12/2020,9.75,9.79,9.69,9.74,0.06,0.62,2338566
03/12/2020,9.78,9.8,9.65,9.68,-0.03,-0.31,4677026
02/12/2020,9.8,9.83,9.63,9.71,0,0,3713954
01/12/2020,9.67,9.81,9.63,9.71,-0.06,-0.61,4618988
30/11/2020,9.88,9.89,9.72,9.77,-0.05,-0.51,8954516
27/11/2020,9.8,9.96,9.76,9.82,-0.03,-0.3,3458086
26/11/2020,9.9,10,9.85,9.85,-0.05,-0.51,4874006
25/11/2020,9.78,9.9,9.75,9.9,0.06,0.61,5625441
24/11/2020,9.8,9.87,9.68,9.84,0.04,0.41,7315253
23/11/2020,9.93,9.93,9.715,9.8,-0.06,-0.61,5341207
20/11/2020,9.82,9.9,9.77,9.86,0.04,0.41,4695654
19/11/2020,9.58,9.82,9.58,9.82,-0.03,-0.3,6796239
18/11/2020,9.9,9.96,9.8,9.85,0.03,0.31,5133011
17/11/2020,9.76,9.89,9.67,9.82,0.18,1.87,8897610
16/11/2020,9.62,9.66,9.57,9.64,0.19,2.01,125861
13/11/2020,9.55,9.625,9.42,9.45,-0.27,-2.78,4813544
12/11/2020,9.95,9.95,9.595,9.72,-0.15,-1.52,9366469
11/11/2020,10.04,10.04,9.71,9.87,0.11,1.13,9590292
10/11/2020,9.55,9.95,9.47,9.76,0.73,8.08,10312088
09/11/2020,9.1,9.155,8.98,9.03,-0.02,-0.22,3355449
06/11/2020,9,9.12,8.9,9.05,-0.01,-0.11,2167153
05/11/2020,9.03,9.11,8.985,9.06,0.07,0.78,3178181
04/11/2020,8.97,9.075,8.86,8.99,-0.03,-0.33,3757679
03/11/2020,8.88,9.09,8.83,9.02,0.22,2.5,5653678
02/11/2020,8.69,8.85,8.66,8.8,0.19,2.21,2521802
30/10/2020,8.71,8.78,8.6,8.61,-0.12,-1.37,6185657
29/10/2020,8.75,8.84,8.685,8.73,-0.12,-1.36,4368222
28/10/2020,8.86,8.88,8.7,8.85,-0.14,-1.56,6499586
27/10/2020,9.04,9.08,8.895,8.99,-0.2,-2.18,4277232
26/10/2020,9.28,9.28,9.15,9.19,-0.05,-0.54,5390085
23/10/2020,9.38,9.41,9.2,9.24,-0.06,-0.65,4835007
22/10/2020,9.25,9.39,9.21,9.3,0.02,0.22,5396140
21/10/2020,9.21,9.42,9.15,9.28,0.18,1.98,6793467
20/10/2020,8.98,9.14,8.96,9.1,0.07,0.78,3515274
19/10/2020,9.11,9.12,8.9,9.03,0.01,0.11,3862936
16/10/2020,9.22,9.25,9,9.02,-0.3,-3.22,5802656
15/10/2020,9.15,9.35,9.07,9.32,0.15,1.64,4149872
14/10/2020,9.05,9.2,9.01,9.17,-0.03,-0.33,3394717
13/10/2020,9.15,9.22,9.1,9.2,0.1,1.1,3068142
12/10/2020,9.1,9.15,9.02,9.1,-0.05,-0.55,3682443
09/10/2020,9.22,9.27,9.1,9.15,-0.02,-0.22,4644286
08/10/2020,9.23,9.4,9.13,9.17,-0.1,-1.08,2885792
07/10/2020,9.17,9.3,9.14,9.27,0.12,1.31,3367985
06/10/2020,9.19,9.23,9.02,9.15,-0.12,-1.29,3272959
05/10/2020,9.29,9.41,9.21,9.27,0.15,1.64,2020072
02/10/2020,9.15,9.22,9.02,9.12,0.01,0.11,3607238
01/10/2020,8.9,9.16,8.88,9.11,0.22,2.47,4473044
30/09/2020,8.85,8.98,8.78,8.89,-0.09,-1,6954257
29/09/2020,9.24,9.3,8.94,8.98,-0.16,-1.75,5005239
28/09/2020,9.1,9.21,9.03,9.14,0.07,0.77,3499795
25/09/2020,8.86,9.09,8.82,9.07,0.24,2.72,4658653
24/09/2020,8.72,8.87,8.67,8.83,0.03,0.34,4891868
23/09/2020,8.69,8.8,8.61,8.8,0.23,2.68,6057529
22/09/2020,8.57,8.63,8.51,8.57,-0.13,-1.49,6487602
21/09/2020,8.6,8.75,8.53,8.7,-0.32,-3.55,8251531
18/09/2020,9.16,9.18,9,9.02,-0.19,-2.06,7896944
17/09/2020,9.12,9.32,9.105,9.21,0.09,0.99,6124590
16/09/2020,9.11,9.17,8.99,9.12,0.09,1,7984134
15/09/2020,9.01,9.06,8.87,9.03,0.1,1.12,4901448
14/09/2020,8.97,9.03,8.875,8.93,-0.01,-0.11,2962424
11/09/2020,8.89,9.07,8.83,8.94,-0.05,-0.56,4410362
10/09/2020,9.03,9.05,8.88,8.99,0.07,0.78,4252516
09/09/2020,8.77,8.93,8.74,8.92,-0.13,-1.44,6870781
08/09/2020,8.92,9.06,8.88,9.05,0.16,1.8,6604099
07/09/2020,8.94,8.97,8.76,8.89,-0.16,-1.77,5086670
04/09/2020,9.05,9.09,8.98,9.05,-0.08,-0.88,8100733
03/09/2020,9,9.25,8.92,9.13,0.41,4.7,7997216
02/09/2020,8.55,8.72,8.52,8.72,0.21,2.47,4362175
01/09/2020,8.7,8.79,8.505,8.51,-0.32,-3.62,8888721
31/08/2020,8.67,8.87,8.67,8.83,0.12,1.38,5136321
28/08/2020,8.55,8.745,8.55,8.71,0.07,0.81,5894650
27/08/2020,8.56,8.66,8.5,8.64,-0.01,-0.12,8910777
26/08/2020,8.51,8.67,8.45,8.65,0.08,0.93,4167813
25/08/2020,8.74,8.775,8.44,8.57,-0.1,-1.15,11383430
24/08/2020,8.75,8.775,8.64,8.67,-0.08,-0.91,3545721
21/08/2020,8.76,8.82,8.65,8.75,0.04,0.46,5291227
20/08/2020,8.59,8.73,8.52,8.71,0.23,2.71,14060342
19/08/2020,8.28,8.6,8.28,8.48,0.07,0.83,6725524
18/08/2020,8.32,8.41,8.255,8.41,0.08,0.96,4683988
17/08/2020,8.33,8.42,8.3,8.33,-0.13,-1.54,5878003
14/08/2020,8.65,8.65,8.4,8.46,-0.14,-1.63,4523341
13/08/2020,8.56,8.6,8.47,8.6,0.02,0.23,4112056
12/08/2020,8.56,8.58,8.47,8.58,-0.01,-0.12,4941088
11/08/2020,8.46,8.63,8.42,8.59,0.1,1.18,5417224
10/08/2020,8.51,8.56,8.45,8.49,0.13,1.56,3903951
07/08/2020,8.23,8.44,8.23,8.36,0.08,0.97,2857699
06/08/2020,8.38,8.41,8.2,8.28,-0.15,-1.78,13244059
05/08/2020,8.57,8.63,8.4,8.43,-0.15,-1.75,4590219
04/08/2020,8.56,8.64,8.525,8.58,0.06,0.7,9212605
03/08/2020,8.43,8.61,8.42,8.52,0.01,0.12,7247788
31/07/2020,8.57,8.6,8.42,8.51,-0.11,-1.28,7213311
30/07/2020,8.7,8.79,8.57,8.62,-0.03,-0.35,4923801
29/07/2020,8.7,8.755,8.64,8.65,0.01,0.12,7105975
28/07/2020,8.9,8.91,8.59,8.64,-0.25,-2.81,8943941
27/07/2020,8.94,8.97,8.87,8.89,-0.09,-1,3448083
24/07/2020,9.1,9.16,8.96,8.98,-0.26,-2.81,2522191
23/07/2020,9.13,9.29,9.09,9.24,0.12,1.32,3135464
22/07/2020,9.12,9.17,9.03,9.12,-0.05,-0.55,3304288
21/07/2020,9.07,9.2,9.01,9.17,0.1,1.1,3314393
20/07/2020,9.2,9.2,9.03,9.07,-0.1,-1.09,4135325
17/07/2020,9.27,9.28,9.1,9.17,-0.07,-0.76,4906442
16/07/2020,9.47,9.54,9.15,9.24,-0.17,-1.81,4881572
15/07/2020,9.38,9.44,9.34,9.41,0.12,1.29,3942313
14/07/2020,9.28,9.38,9.19,9.29,0.01,0.11,3347018
13/07/2020,9.27,9.45,9.145,9.28,0.12,1.31,2974206
10/07/2020,9.07,9.2,9.07,9.16,0.1,1.1,2770085
09/07/2020,9.15,9.21,9.06,9.06,-0.06,-0.66,4526632
08/07/2020,9.24,9.36,9.09,9.12,-0.1,-1.08,5901106
07/07/2020,9.49,9.525,9.17,9.22,-0.17,-1.81,5003879
06/07/2020,9.4,9.57,9.36,9.39,-0.07,-0.74,3429177
03/07/2020,9.69,9.715,9.41,9.46,-0.13,-1.36,4010904
02/07/2020,9.57,9.64,9.425,9.59,0.21,2.24,4142464
01/07/2020,9.25,9.4,9.19,9.38,0.18,1.96,6529606
30/06/2020,9.49,9.55,9.165,9.2,-0.06,-0.65,9743481
29/06/2020,9.21,9.42,9.17,9.26,-0.41,-4.24,6279569
26/06/2020,9.83,9.99,9.63,9.67,-0.09,-0.92,8233406
25/06/2020,10.04,10.22,9.76,9.76,-0.34,-3.37,5944154
24/06/2020,9.93,10.12,9.78,10.1,0.09,0.9,14099392
23/06/2020,10.04,10.11,9.825,10.01,0.09,0.91,4073447
22/06/2020,9.85,9.99,9.82,9.92,-0.13,-1.29,5674936
19/06/2020,10.01,10.18,9.93,10.05,0.05,0.5,8196382
18/06/2020,10.19,10.19,9.85,10,-0.19,-1.86,7004484
17/06/2020,10.08,10.245,9.86,10.19,0.27,2.72,11002975
16/06/2020,9.88,10,9.765,9.92,0.31,3.23,7380091
15/06/2020,9.65,9.73,9.51,9.61,-0.03,-0.31,6323359
12/06/2020,9.61,9.735,9.5,9.64,-0.12,-1.23,9815146
11/06/2020,9.6,9.87,9.55,9.76,-0.11,-1.11,7693722
10/06/2020,9.87,9.97,9.76,9.87,-0.14,-1.4,5546684
09/06/2020,10,10.09,9.815,10.01,0.35,3.62,8093847
05/06/2020,9.5,9.695,9.42,9.66,0.09,0.94,9267189
04/06/2020,9.54,9.58,9.36,9.57,0.31,3.35,11129990
03/06/2020,9.03,9.26,8.98,9.26,0.29,3.23,9676823
02/06/2020,9.16,9.2,8.845,8.97,-0.21,-2.29,6947056
01/06/2020,8.76,9.34,8.73,9.18,0.18,2,8658222
29/05/2020,9,9.04,8.86,9,-0.07,-0.77,12231416
28/05/2020,9.1,9.15,8.86,9.07,0.07,0.78,24924190
27/05/2020,9,9.05,8.74,9,0.19,2.16,9173844
26/05/2020,8.6,8.825,8.56,8.81,0.26,3.04,12387065
25/05/2020,8.52,8.61,8.33,8.55,0.13,1.54,10032890
22/05/2020,8.65,8.73,8.4,8.42,-0.26,-3,8644826
21/05/2020,8.75,8.84,8.68,8.68,-0.03,-0.34,4491241
20/05/2020,8.72,8.78,8.61,8.71,-0.12,-1.36,7603541
19/05/2020,8.95,9.07,8.8,8.83,0.16,1.85,7155351
18/05/2020,8.72,8.88,8.62,8.67,-0.06,-0.69,9130752
15/05/2020,9.07,9.16,8.665,8.73,-0.2,-2.24,3480633
14/05/2020,8.8,9.03,8.65,8.93,-0.01,-0.11,5021051
13/05/2020,9,9.03,8.76,8.94,-0.28,-3.04,5786604
12/05/2020,9.05,9.26,8.9,9.22,-0.04,-0.43,6495220
11/05/2020,8.98,9.31,8.95,9.26,0.41,4.63,4227991
08/05/2020,8.74,9.02,8.64,8.85,0.15,1.72,5894866
07/05/2020,8.85,8.91,8.61,8.7,-0.18,-2.03,4368353
06/05/2020,8.96,9,8.83,8.88,-0.16,-1.77,4332082
05/05/2020,8.74,9.06,8.74,9.04,0.28,3.2,5221852
04/05/2020,8.7,8.8,8.55,8.76,-0.05,-0.57,3719670
01/05/2020,8.91,9.1,8.755,8.81,-0.35,-3.82,4771415
30/04/2020,8.92,9.22,8.83,9.16,0.35,3.97,6121026
29/04/2020,8.79,8.97,8.74,8.81,-0.09,-1.01,3379223
28/04/2020,9.13,9.16,8.81,8.9,-0.05,-0.56,4750454
27/04/2020,8.64,9.015,8.56,8.95,0.21,2.4,4484787
24/04/2020,8.63,8.81,8.57,8.74,-0.02,-0.23,3882839
23/04/2020,8.83,8.93,8.68,8.76,-0.03,-0.34,5008769
22/04/2020,8.65,8.85,8.49,8.79,-0.03,-0.34,5528867
21/04/2020,9.04,9.11,8.8,8.82,-0.38,-4.13,4165994
20/04/2020,9.45,9.51,9.185,9.2,-0.43,-4.47,5492893
