Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,1.15,1.16,1.13,1.135,-0.005,-0.44,3770104
02/02/2021,1.09,1.14,1.07,1.14,0.065,6.05,2266591
01/02/2021,1.115,1.13,1.0625,1.075,-0.045,-4.02,5268776
29/01/2021,1.155,1.18,1.115,1.12,-0.05,-4.27,1735211
28/01/2021,1.16,1.18,1.13,1.17,-0.01,-0.85,1447550
27/01/2021,1.195,1.235,1.15,1.18,-0.015,-1.26,3665996
25/01/2021,1.145,1.225,1.145,1.195,0.045,3.91,2165939
22/01/2021,1.135,1.16,1.115,1.15,0.02,1.77,2155675
21/01/2021,1.16,1.175,1.127,1.13,-0.03,-2.59,1144017
20/01/2021,1.145,1.19,1.142,1.16,0.02,1.75,2156378
19/01/2021,1.115,1.14,1.115,1.14,0.03,2.7,1226236
18/01/2021,1.15,1.15,1.11,1.11,-0.05,-4.31,1538896
15/01/2021,1.14,1.175,1.13,1.16,0.01,0.87,749137
14/01/2021,1.125,1.16,1.11,1.15,0.03,2.68,1836917
13/01/2021,1.15,1.165,1.115,1.12,-0.035,-3.03,2473703
12/01/2021,1.16,1.16,1.12,1.155,-0.02,-1.7,2827766
11/01/2021,1.16,1.18,1.145,1.175,-0.005,-0.42,1626646
08/01/2021,1.17,1.18,1.14,1.18,0.01,0.85,1580282
07/01/2021,1.15,1.21,1.15,1.17,0.03,2.63,4623875
06/01/2021,1.13,1.16,1.1275,1.14,0.01,0.88,972605
05/01/2021,1.14,1.14,1.115,1.13,-0.02,-1.74,2032455
04/01/2021,1.145,1.17,1.13,1.15,0.01,0.88,1477136
31/12/2020,1.145,1.185,1.14,1.14,-0.005,-0.44,1974469
30/12/2020,1.15,1.155,1.12,1.145,-0.01,-0.87,810338
29/12/2020,1.105,1.16,1.105,1.155,0.035,3.12,1556182
24/12/2020,1.095,1.12,1.085,1.12,0.04,3.7,2342526
23/12/2020,1.1,1.115,1.075,1.08,-0.025,-2.26,2780129
22/12/2020,1.1,1.12,1.085,1.105,0.005,0.45,2120917
21/12/2020,1.1,1.12,1.09,1.1,-0.015,-1.35,1417618
18/12/2020,1.14,1.145,1.09,1.115,-0.025,-2.19,2777007
17/12/2020,1.12,1.14,1.11,1.14,0.025,2.24,3438801
16/12/2020,1.14,1.16,1.107,1.115,-0.02,-1.76,3647156
15/12/2020,1.1,1.145,1.005,1.135,-0.005,-0.44,5482583
14/12/2020,1.14,1.155,1.125,1.14,0.01,0.88,1363716
11/12/2020,1.13,1.16,1.12,1.13,0.01,0.89,3705915
10/12/2020,1.13,1.14,1.105,1.12,-0.01,-0.88,3387483
09/12/2020,1.125,1.14,1.11,1.13,0.005,0.44,3691807
08/12/2020,1.135,1.17,1.115,1.125,0,0,3531712
07/12/2020,1.12,1.14,1.11,1.125,0.02,1.81,1555990
04/12/2020,1.09,1.115,1.075,1.105,0.005,0.45,2859023
03/12/2020,1.055,1.12,1.055,1.1,0.045,4.27,2213025
02/12/2020,1.055,1.07,1.04,1.055,0.005,0.48,1381499
01/12/2020,1.04,1.08,1.03,1.05,0.01,0.96,2931540
30/11/2020,1.055,1.065,1.035,1.04,0.015,1.46,2876168
27/11/2020,1.03,1.05,1.015,1.025,0,0,781074
26/11/2020,1.05,1.06,1.02,1.025,-0.025,-2.38,3957204
25/11/2020,1.03,1.06,1.02,1.05,0.03,2.94,3913237
24/11/2020,0.98,1.02,0.98,1.02,0.05,5.15,4775684
23/11/2020,0.98,0.99,0.96,0.97,-0.01,-1.02,2243997
20/11/2020,0.975,0.98,0.955,0.98,-0.005,-0.51,1606540
19/11/2020,0.98,0.995,0.97,0.985,0,0,2872315
18/11/2020,0.985,0.995,0.945,0.985,0.005,0.51,2513350
17/11/2020,0.95,1,0.947,0.98,0.03,3.16,5407020
16/11/2020,0.95,0.95,0.95,0.95,0,0,41502
13/11/2020,0.925,0.96,0.915,0.95,0.01,1.06,7961839
12/11/2020,0.875,0.94,0.87,0.94,0.07,8.05,8585501
