Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,10.6,11.17,10.36,11.13,0.49,4.61,1993956
29/01/2021,10.73,10.76,10.56,10.64,0.19,1.82,931543
28/01/2021,10.5,10.56,10.36,10.45,-0.21,-1.97,763430
27/01/2021,10.72,10.895,10.47,10.66,-0.04,-0.37,584933
25/01/2021,10.6,10.81,10.6,10.7,0.08,0.75,456709
22/01/2021,10.95,10.95,10.6,10.62,-0.08,-0.75,497864
21/01/2021,11.06,11.12,10.67,10.7,-0.35,-3.17,737121
20/01/2021,11.25,11.26,10.87,11.05,-0.07,-0.63,1545663
19/01/2021,10.82,11.18,10.77,11.12,0.42,3.93,1170615
18/01/2021,10.71,10.9,10.62,10.7,-0.01,-0.09,1034605
15/01/2021,10.8,10.92,10.56,10.71,0.15,1.42,951998
14/01/2021,10.5,10.65,10.29,10.56,0.06,0.57,536538
13/01/2021,10.69,10.73,10.435,10.5,-0.19,-1.78,1644960
12/01/2021,10.72,10.82,10.51,10.69,0.17,1.62,2181883
11/01/2021,10.66,10.78,10.375,10.52,-0.14,-1.31,843408
08/01/2021,10.3,10.72,10.28,10.66,0.47,4.61,1112377
07/01/2021,10.17,10.28,10,10.19,0.19,1.9,1929572
06/01/2021,10.29,10.32,9.955,10,-0.29,-2.82,878961
05/01/2021,9.98,10.35,9.88,10.29,0.29,2.9,1067820
04/01/2021,9.95,10.07,9.87,10,0.14,1.42,435990
31/12/2020,9.85,9.955,9.79,9.86,0.01,0.1,335658
30/12/2020,9.81,9.93,9.68,9.85,0.02,0.2,814522
29/12/2020,9.94,10,9.69,9.83,-0.07,-0.71,493634
24/12/2020,9.66,9.94,9.66,9.9,0.18,1.85,471233
23/12/2020,9.8,9.93,9.67,9.72,-0.17,-1.72,835774
22/12/2020,9.91,9.96,9.69,9.89,-0.01,-0.1,744467
21/12/2020,10.1,10.1,9.84,9.9,-0.15,-1.49,954119
18/12/2020,10,10.11,9.98,10.05,0.16,1.62,858745
17/12/2020,9.97,10.01,9.84,9.89,-0.05,-0.5,772271
16/12/2020,10.08,10.095,9.91,9.94,-0.08,-0.8,626864
15/12/2020,10.08,10.13,9.9,10.02,-0.02,-0.2,2875090
14/12/2020,10.02,10.09,9.91,10.04,0.04,0.4,365098
11/12/2020,10.26,10.33,9.985,10,-0.27,-2.63,657052
10/12/2020,10.33,10.35,10.21,10.27,0.02,0.2,1291781
