Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.84,3.91,3.68,3.88,0.03,0.78,1962540
29/01/2021,3.9,4.04,3.85,3.85,0.03,0.79,2299524
28/01/2021,3.93,3.93,3.82,3.82,-0.19,-4.74,2202271
27/01/2021,3.99,4.025,3.92,4.01,0.02,0.5,1998677
25/01/2021,3.99,4.03,3.89,3.99,-0.01,-0.25,1478345
22/01/2021,4.01,4.07,3.95,4,-0.03,-0.74,2216520
21/01/2021,4,4.08,3.915,4.03,0.12,3.07,2513669
20/01/2021,3.78,3.98,3.77,3.91,0.12,3.17,2222627
19/01/2021,3.71,3.79,3.68,3.79,0.06,1.61,1761999
18/01/2021,3.65,3.765,3.65,3.73,0.07,1.91,1191833
15/01/2021,3.71,3.72,3.63,3.66,-0.08,-2.14,2260124
14/01/2021,3.67,3.74,3.67,3.74,0.07,1.91,1856250
13/01/2021,3.73,3.75,3.65,3.67,-0.07,-1.87,1455023
12/01/2021,3.8,3.82,3.685,3.74,-0.06,-1.58,2696270
11/01/2021,3.78,3.85,3.75,3.8,-0.01,-0.26,1827481
08/01/2021,3.85,3.9,3.78,3.81,-0.03,-0.78,2168414
07/01/2021,3.95,3.96,3.67,3.84,-0.11,-2.78,5199699
06/01/2021,4.05,4.08,3.94,3.95,-0.11,-2.71,2957609
05/01/2021,4.17,4.17,4.04,4.06,-0.17,-4.02,2358203
04/01/2021,4.19,4.25,4.15,4.23,0.05,1.2,1044351
31/12/2020,4.25,4.29,4.18,4.18,-0.07,-1.65,754626
30/12/2020,4.24,4.29,4.16,4.25,0,0,1319256
29/12/2020,4.2,4.28,4.18,4.25,0.07,1.67,1503568
24/12/2020,4.11,4.2,4.1,4.18,0.09,2.2,940163
23/12/2020,4.05,4.14,4.015,4.09,0.06,1.49,1689357
22/12/2020,4.15,4.15,3.97,4.03,-0.17,-4.05,3398614
21/12/2020,4.4,4.4,4.105,4.2,-0.21,-4.76,3441901
18/12/2020,4.44,4.515,4.24,4.41,-0.01,-0.23,6721805
17/12/2020,4.36,4.43,4.27,4.42,0.15,3.51,5706770
16/12/2020,4.12,4.28,4.12,4.27,0.16,3.89,3106280
15/12/2020,4.07,4.14,4,4.11,0.04,0.98,3538770
14/12/2020,3.95,4.09,3.93,4.07,0.17,4.36,4273193
11/12/2020,3.83,4,3.83,3.9,0.06,1.56,2749865
10/12/2020,3.91,3.94,3.83,3.84,-0.1,-2.54,2390421
09/12/2020,3.98,4.03,3.82,3.94,-0.03,-0.76,4299711
08/12/2020,3.85,3.97,3.78,3.97,0.15,3.93,3107538
07/12/2020,3.9,3.95,3.78,3.82,-0.03,-0.78,1826264
04/12/2020,3.82,3.88,3.75,3.85,0.05,1.32,1812986
03/12/2020,3.87,3.89,3.75,3.8,-0.06,-1.55,2428498
02/12/2020,3.97,3.99,3.83,3.86,-0.08,-2.03,5414272
01/12/2020,3.72,3.96,3.66,3.94,0.21,5.63,4851582
30/11/2020,3.62,3.76,3.61,3.73,0.16,4.48,3050964
27/11/2020,3.69,3.7,3.525,3.57,-0.09,-2.46,2118967
26/11/2020,3.76,3.78,3.63,3.66,-0.08,-2.14,2509569
25/11/2020,3.64,3.78,3.59,3.74,0.09,2.47,5291449
24/11/2020,3.65,3.73,3.61,3.65,0.05,1.39,2691346
23/11/2020,3.7,3.75,3.59,3.6,-0.03,-0.83,2489238
20/11/2020,3.82,3.83,3.59,3.63,-0.18,-4.72,4222611
19/11/2020,3.67,3.82,3.61,3.81,0.18,4.96,4397454
18/11/2020,3.66,3.69,3.61,3.63,-0.01,-0.27,2325258
17/11/2020,3.56,3.675,3.53,3.64,0.11,3.12,4192495
16/11/2020,3.52,3.57,3.51,3.53,0.03,0.86,430961
13/11/2020,3.45,3.52,3.36,3.5,0.08,2.34,2318813
12/11/2020,3.45,3.47,3.38,3.42,0.01,0.29,1864126
11/11/2020,3.57,3.59,3.385,3.41,-0.1,-2.85,2580828
10/11/2020,3.51,3.69,3.45,3.51,0.23,7.01,8653793
09/11/2020,3.11,3.28,3.11,3.28,0.18,5.81,2580271
06/11/2020,3.17,3.21,3.08,3.1,-0.04,-1.27,2669388
05/11/2020,3.19,3.19,3.05,3.14,0.05,1.62,2339821
04/11/2020,3,3.11,2.965,3.09,0.11,3.69,4339288
03/11/2020,2.96,3.04,2.95,2.98,0.06,2.05,3176983
02/11/2020,2.98,3.02,2.885,2.92,-0.09,-2.99,4513782
30/10/2020,3.2,3.21,3,3.01,-0.18,-5.64,4077505
29/10/2020,3.2,3.21,3.12,3.19,-0.11,-3.33,4554225
28/10/2020,3.33,3.38,3.27,3.3,-0.03,-0.9,2863480
27/10/2020,3.4,3.45,3.3,3.33,-0.15,-4.31,3271299
26/10/2020,3.73,3.78,3.47,3.48,-0.21,-5.69,3824443
23/10/2020,3.74,3.78,3.68,3.69,-0.02,-0.54,1748212
22/10/2020,3.59,3.74,3.545,3.71,0.1,2.77,2975979
21/10/2020,3.88,3.97,3.6,3.61,-0.09,-2.43,6813387
20/10/2020,3.55,3.73,3.5,3.7,0.14,3.93,3915783
19/10/2020,3.54,3.61,3.53,3.56,0.04,1.14,3166023
16/10/2020,3.54,3.56,3.5,3.52,-0.02,-0.56,2441922
15/10/2020,3.66,3.66,3.5,3.54,-0.1,-2.75,4921446
14/10/2020,3.27,3.685,3.27,3.64,0.37,11.31,10581944
13/10/2020,3.3,3.32,3.24,3.27,0,0,2692980
12/10/2020,3.3,3.33,3.22,3.27,-0.02,-0.61,1923880
09/10/2020,3.28,3.32,3.225,3.29,0.01,0.3,2373381
08/10/2020,3.24,3.33,3.23,3.28,0.06,1.86,3958841
07/10/2020,3.16,3.25,3.12,3.22,0.04,1.26,4101285
06/10/2020,3.08,3.18,3.04,3.18,0.12,3.92,3203104
05/10/2020,3.1,3.16,3.04,3.06,0.01,0.33,2804983
02/10/2020,2.99,3.2,2.97,3.05,0.09,3.04,8152329
01/10/2020,2.88,2.98,2.87,2.96,0.11,3.86,4329091
