Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.75,4.82,4.62,4.82,0.09,1.9,13185398
29/01/2021,4.64,4.79,4.64,4.73,0.18,3.96,17435781
28/01/2021,4.64,4.69,4.54,4.55,-0.14,-2.99,12625545
27/01/2021,4.72,4.76,4.57,4.69,0.06,1.3,15332704
25/01/2021,4.62,4.68,4.56,4.63,0.01,0.22,8316462
22/01/2021,4.63,4.73,4.6,4.62,-0.06,-1.28,7929896
21/01/2021,4.77,4.79,4.67,4.68,0.02,0.43,6968336
20/01/2021,4.56,4.695,4.52,4.66,0.07,1.53,7373607
19/01/2021,4.59,4.66,4.54,4.59,0.05,1.1,6688773
18/01/2021,4.6,4.65,4.54,4.54,-0.07,-1.52,5999673
15/01/2021,4.63,4.65,4.56,4.61,-0.05,-1.07,7454373
14/01/2021,4.68,4.76,4.64,4.66,-0.12,-2.51,9635386
13/01/2021,4.66,4.82,4.62,4.78,0.11,2.36,11027793
12/01/2021,4.73,4.73,4.62,4.67,-0.05,-1.06,15426485
11/01/2021,4.77,4.77,4.65,4.72,-0.24,-4.84,11637375
08/01/2021,5.02,5.06,4.93,4.96,-0.09,-1.78,9511155
07/01/2021,5.16,5.16,5.05,5.05,-0.12,-2.32,12868758
06/01/2021,5.26,5.29,5.16,5.17,-0.13,-2.45,12210489
05/01/2021,5.4,5.43,5.295,5.3,0.03,0.57,21448228
04/01/2021,5.06,5.28,5.04,5.27,0.28,5.61,6381418
31/12/2020,5.07,5.11,4.99,4.99,-0.02,-0.4,4126813
30/12/2020,5.02,5.03,4.92,5.01,-0.01,-0.2,6087942
29/12/2020,5.09,5.09,5,5.02,-0.01,-0.2,3190527
24/12/2020,5.07,5.1,5.02,5.03,-0.04,-0.79,2404288
23/12/2020,4.95,5.13,4.93,5.07,0.03,0.6,7659839
22/12/2020,5.01,5.09,4.95,5.04,-0.11,-2.14,9369286
21/12/2020,5.05,5.16,5,5.15,0.06,1.18,9740365
18/12/2020,4.99,5.14,4.97,5.09,0.18,3.67,25202459
17/12/2020,4.94,4.97,4.88,4.91,0.01,0.2,11422037
16/12/2020,4.88,4.94,4.86,4.9,0.12,2.51,9834222
15/12/2020,4.78,4.82,4.73,4.78,-0.02,-0.42,8661525
14/12/2020,4.88,4.91,4.78,4.8,-0.09,-1.84,7202655
11/12/2020,4.81,4.9,4.77,4.89,0,0,21690356
10/12/2020,5.05,5.05,4.83,4.89,-0.23,-4.49,12484347
09/12/2020,5.12,5.18,5.095,5.12,0,0,7379442
08/12/2020,5.18,5.2,5.06,5.12,0.12,2.4,10533903
07/12/2020,5.09,5.12,4.98,5,-0.05,-0.99,6622202
04/12/2020,5.06,5.1,4.95,5.05,-0.06,-1.17,8170221
03/12/2020,5.24,5.26,5.04,5.11,-0.07,-1.35,10192721
02/12/2020,5.26,5.29,5.15,5.18,0.05,0.97,15021241
01/12/2020,4.99,5.15,4.99,5.13,0.16,3.22,11123023
30/11/2020,4.99,5.03,4.86,4.97,-0.13,-2.55,19571553
27/11/2020,4.99,5.14,4.97,5.1,0.1,2,9645147
26/11/2020,4.96,5.01,4.8,5,0.12,2.46,10249848
25/11/2020,4.87,4.95,4.755,4.88,-0.11,-2.2,17497855
24/11/2020,5.21,5.24,4.99,4.99,-0.46,-8.44,17267239
23/11/2020,5.5,5.52,5.415,5.45,-0.01,-0.18,8267696
20/11/2020,5.56,5.58,5.44,5.46,-0.07,-1.27,10285281
19/11/2020,5.55,5.62,5.52,5.53,-0.14,-2.47,9592443
18/11/2020,5.69,5.81,5.63,5.67,-0.03,-0.53,15826310
17/11/2020,5.85,5.91,5.7,5.7,-0.32,-5.32,11378158
16/11/2020,6.06,6.065,5.99,6.02,0.03,0.5,446432
13/11/2020,5.69,6.02,5.69,5.99,0.36,6.39,7978366
12/11/2020,5.66,5.73,5.63,5.63,-0.03,-0.53,9346636
11/11/2020,5.76,5.79,5.56,5.66,-0.12,-2.08,13863467
10/11/2020,5.98,6.01,5.74,5.78,-0.67,-10.39,16346086
09/11/2020,6.27,6.46,6.27,6.45,0.2,3.2,10003302
06/11/2020,6.07,6.25,6.07,6.25,0.39,6.66,12118412
05/11/2020,5.75,5.87,5.75,5.86,0.05,0.86,6959028
04/11/2020,5.78,5.84,5.69,5.81,-0.02,-0.34,6923551
03/11/2020,5.77,5.86,5.77,5.83,0.1,1.75,7555098
02/11/2020,5.5,5.73,5.5,5.73,0.19,3.43,9961695
30/10/2020,5.56,5.59,5.46,5.54,-0.01,-0.18,9950513
29/10/2020,5.56,5.6,5.48,5.55,-0.25,-4.31,7292639
28/10/2020,5.6,5.83,5.56,5.8,0.23,4.13,7174347
27/10/2020,5.6,5.67,5.525,5.57,-0.06,-1.07,6928380
