Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.79,5.86,5.69,5.83,0.06,1.04,827569
29/01/2021,5.88,5.88,5.77,5.77,0.01,0.17,1088965
28/01/2021,5.79,5.84,5.71,5.76,-0.17,-2.87,1797403
27/01/2021,5.97,6.09,5.87,5.93,0.08,1.37,1888733
25/01/2021,5.85,5.865,5.76,5.85,0,0,577231
22/01/2021,5.84,5.89,5.79,5.85,0.04,0.69,1208343
21/01/2021,5.87,5.895,5.775,5.81,0.04,0.69,1259832
20/01/2021,5.77,5.8,5.74,5.77,0.03,0.52,1078384
19/01/2021,5.74,5.785,5.69,5.74,0.05,0.88,1573077
18/01/2021,5.76,5.85,5.68,5.69,-0.06,-1.04,1317925
15/01/2021,5.55,5.81,5.55,5.75,0.17,3.05,2781735
14/01/2021,5.59,5.62,5.545,5.58,0.01,0.18,992378
13/01/2021,5.6,5.65,5.54,5.57,0.04,0.72,1303782
12/01/2021,5.6,5.64,5.52,5.53,-0.06,-1.07,1143318
11/01/2021,5.58,5.64,5.56,5.59,-0.03,-0.53,851713
08/01/2021,5.55,5.65,5.54,5.62,0.08,1.44,860708
07/01/2021,5.43,5.585,5.37,5.54,0.22,4.14,1585381
06/01/2021,5.45,5.49,5.305,5.32,-0.06,-1.12,757455
05/01/2021,5.38,5.46,5.34,5.38,0.04,0.75,771949
04/01/2021,5.4,5.42,5.31,5.34,-0.1,-1.84,500421
31/12/2020,5.48,5.55,5.44,5.44,-0.06,-1.09,439295
30/12/2020,5.41,5.5,5.39,5.5,0.09,1.66,1017918
29/12/2020,5.41,5.44,5.38,5.41,0.01,0.19,448100
24/12/2020,5.39,5.45,5.35,5.4,0.01,0.19,201374
23/12/2020,5.35,5.415,5.24,5.39,0.04,0.75,1193307
22/12/2020,5.35,5.41,5.32,5.35,0,0,1750590
21/12/2020,5.26,5.37,5.25,5.35,0.08,1.52,1212474
18/12/2020,5.33,5.38,5.24,5.27,-0.12,-2.23,1645883
17/12/2020,5.35,5.45,5.35,5.39,0.07,1.32,2063443
16/12/2020,5.35,5.45,5.31,5.32,-0.05,-0.93,1406880
15/12/2020,5.37,5.41,5.31,5.37,-0.04,-0.74,1455117
14/12/2020,5.35,5.455,5.27,5.41,0.04,0.74,1055236
11/12/2020,5.39,5.475,5.37,5.37,-0.03,-0.56,1229584
10/12/2020,5.42,5.47,5.38,5.4,-0.08,-1.46,1678329
09/12/2020,5.56,5.56,5.45,5.48,-0.07,-1.26,1892328
08/12/2020,5.49,5.57,5.47,5.55,0.03,0.54,1800606
07/12/2020,5.47,5.54,5.44,5.52,-0.03,-0.54,2569676
04/12/2020,5.5,5.58,5.47,5.55,0.07,1.28,1614249
03/12/2020,5.48,5.53,5.47,5.48,-0.04,-0.72,2374213
02/12/2020,5.54,5.63,5.5,5.52,0.04,0.73,3198015
01/12/2020,5.37,5.55,5.37,5.48,0.08,1.48,3661624
30/11/2020,5.45,5.46,5.33,5.4,-0.02,-0.37,4486485
27/11/2020,5.45,5.51,5.42,5.42,-0.08,-1.45,1750225
26/11/2020,5.59,5.59,5.5,5.5,-0.03,-0.54,4987568
25/11/2020,5.47,5.585,5.43,5.53,0.05,0.91,5001615
24/11/2020,5.25,5.48,5.25,5.48,0.21,3.98,2667161
23/11/2020,5.18,5.31,5.15,5.27,0.09,1.74,3642519
20/11/2020,5.21,5.235,5.155,5.18,-0.08,-1.52,1382208
19/11/2020,5.18,5.29,5.17,5.26,0.04,0.77,6146076
18/11/2020,5.28,5.34,5.11,5.22,-0.11,-2.06,5109004
17/11/2020,5.19,5.38,5.13,5.33,0.2,3.9,4780204
16/11/2020,5.17,5.2,5.1,5.13,0.03,0.59,138701
13/11/2020,5,5.12,5,5.1,0.03,0.59,3711669
12/11/2020,4.97,5.12,4.945,5.07,0.07,1.4,6430245
11/11/2020,5,5.17,4.97,5,0.13,2.67,8151456
10/11/2020,4.8,4.955,4.74,4.87,0.69,16.51,5093393
09/11/2020,4.19,4.27,4.17,4.18,-0.01,-0.24,1624995
06/11/2020,4.11,4.21,4.11,4.19,0.12,2.95,1826990
05/11/2020,4.1,4.185,4.07,4.07,-0.03,-0.73,2681172
04/11/2020,4.1,4.12,4.01,4.1,0.01,0.24,4136835
03/11/2020,4.03,4.125,4.03,4.09,0.14,3.54,2831642
02/11/2020,3.89,4,3.88,3.95,0.08,2.07,1765423
30/10/2020,3.87,3.91,3.85,3.87,0.02,0.52,1679840
29/10/2020,3.86,3.905,3.83,3.85,-0.02,-0.52,1795288
28/10/2020,3.85,3.935,3.85,3.87,-0.03,-0.77,5202865
27/10/2020,3.91,3.91,3.84,3.9,-0.04,-1.02,1911423
26/10/2020,3.98,4,3.93,3.94,-0.01,-0.25,1535506
23/10/2020,3.91,3.99,3.89,3.95,0.03,0.77,1128074
22/10/2020,3.9,3.95,3.88,3.92,0,0,2129758
21/10/2020,3.92,3.94,3.885,3.92,0,0,1477779
20/10/2020,3.99,4.005,3.91,3.92,-0.09,-2.24,929507
19/10/2020,3.97,4.04,3.96,4.01,0.05,1.26,1503004
16/10/2020,3.98,4.01,3.93,3.96,0,0,897922
15/10/2020,3.95,4.01,3.92,3.96,-0.01,-0.25,1771594
14/10/2020,3.99,4.04,3.955,3.97,-0.06,-1.49,1574239
13/10/2020,4.09,4.11,4.02,4.03,-0.04,-0.98,1415984
12/10/2020,4.1,4.13,4.03,4.07,-0.01,-0.25,1112786
09/10/2020,4.02,4.11,4,4.08,0.13,3.29,1560088
08/10/2020,3.95,4,3.94,3.95,0.01,0.25,2110290
07/10/2020,3.93,3.95,3.88,3.94,0.02,0.51,1931416
06/10/2020,3.88,3.96,3.81,3.92,0.07,1.82,2375302
05/10/2020,3.74,3.89,3.73,3.85,0.19,5.19,1844783
02/10/2020,3.64,3.79,3.63,3.66,0.06,1.67,2319943
01/10/2020,3.6,3.62,3.55,3.6,0.04,1.12,1682734
30/09/2020,3.53,3.59,3.525,3.56,-0.04,-1.11,1348715
29/09/2020,3.66,3.66,3.51,3.6,-0.03,-0.83,2064984
28/09/2020,3.6,3.67,3.58,3.63,0.04,1.11,1056024
25/09/2020,3.5,3.59,3.49,3.59,0.11,3.16,1576465
24/09/2020,3.49,3.51,3.46,3.48,-0.05,-1.42,2554136
23/09/2020,3.54,3.57,3.47,3.53,0.03,0.86,1827691
22/09/2020,3.43,3.55,3.42,3.5,0.04,1.16,4426058
21/09/2020,3.5,3.5,3.44,3.46,-0.04,-1.14,1416548
18/09/2020,3.52,3.56,3.47,3.5,0.01,0.29,1758167
17/09/2020,3.41,3.51,3.41,3.49,0.1,2.95,2085537
16/09/2020,3.39,3.41,3.34,3.39,0.02,0.59,2126411
15/09/2020,3.44,3.46,3.33,3.37,-0.05,-1.46,4471396
14/09/2020,3.37,3.42,3.35,3.42,0.08,2.4,1151948
11/09/2020,3.29,3.38,3.29,3.34,-0.01,-0.3,1026982
10/09/2020,3.38,3.43,3.3,3.35,-0.01,-0.3,1190296
09/09/2020,3.36,3.38,3.26,3.36,-0.1,-2.89,1784969
08/09/2020,3.43,3.5,3.43,3.46,0.04,1.17,1826347
07/09/2020,3.36,3.44,3.355,3.42,0.05,1.48,1232596
04/09/2020,3.31,3.42,3.3,3.37,-0.02,-0.59,2319665
03/09/2020,3.33,3.39,3.31,3.39,0.07,2.11,1441828
02/09/2020,3.22,3.32,3.215,3.32,0.18,5.73,1197771
01/09/2020,3.21,3.23,3.11,3.14,-0.12,-3.68,3521983
31/08/2020,3.28,3.36,3.25,3.26,-0.02,-0.61,2074411
28/08/2020,3.11,3.31,3.1,3.28,0.17,5.47,2693193
27/08/2020,3.08,3.15,3.065,3.11,0.03,0.97,1529758
26/08/2020,3.09,3.11,3.04,3.08,-0.02,-0.65,969681
25/08/2020,3.11,3.17,3.095,3.1,0,0,2619175
24/08/2020,3.07,3.13,3.07,3.1,0.02,0.65,1543021
21/08/2020,3.1,3.1,3.04,3.08,0,0,1095920
