Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,14,14.02,13.59,13.71,-0.37,-2.63,3710021
29/01/2021,14.81,14.95,14.04,14.08,-0.32,-2.22,4385762
28/01/2021,14.66,14.77,14.33,14.4,-0.49,-3.29,3427261
27/01/2021,15.06,15.2,14.85,14.89,-0.21,-1.39,2255335
25/01/2021,15.5,15.5,15.03,15.1,-0.52,-3.33,2065489
22/01/2021,15.8,15.82,15.44,15.62,-0.17,-1.08,2385208
21/01/2021,15.47,15.8,15.42,15.79,0.42,2.73,2186668
20/01/2021,15.26,15.39,15.03,15.37,0.11,0.72,1528184
19/01/2021,15.05,15.275,14.88,15.26,0.14,0.93,1813358
18/01/2021,15.25,15.29,14.94,15.12,-0.16,-1.05,1476249
15/01/2021,15.33,15.55,15.25,15.28,-0.05,-0.33,1153928
14/01/2021,15.24,15.4,15.04,15.33,0.16,1.05,1212601
13/01/2021,15.1,15.24,14.9,15.17,0.11,0.73,1813551
12/01/2021,15.24,15.42,15.03,15.06,-0.15,-0.99,2371965
11/01/2021,15.66,15.78,15.2,15.21,-0.45,-2.87,2383009
08/01/2021,15.85,15.94,15.54,15.66,-0.08,-0.51,1889641
07/01/2021,15.94,16.08,15.67,15.74,0.09,0.58,1976085
06/01/2021,15.78,16.07,15.49,15.65,0.03,0.19,1831450
05/01/2021,15.68,15.78,15.43,15.62,-0.38,-2.38,2199362
04/01/2021,15.77,16.05,15.43,16,0.15,0.95,3526219
31/12/2020,16.33,16.38,15.81,15.85,-0.65,-3.94,2310579
30/12/2020,16.71,16.84,16.46,16.5,-0.27,-1.61,2522923
29/12/2020,16.4,16.83,16.36,16.77,0.69,4.29,2439216
24/12/2020,16.04,16.42,16.01,16.08,0.49,3.14,2060414
23/12/2020,15.01,15.78,15.01,15.59,0.67,4.49,2782997
22/12/2020,15.26,15.47,14.9,14.92,-0.66,-4.24,4065856
21/12/2020,15.43,15.74,14.74,15.58,-0.28,-1.77,5484041
18/12/2020,16.03,16.05,15.5,15.86,-0.44,-2.7,7478355
17/12/2020,16.98,17.12,16.23,16.3,-0.51,-3.03,2994455
16/12/2020,16.12,16.93,16.12,16.81,0.76,4.74,2581745
15/12/2020,16.45,16.47,16,16.05,-0.38,-2.31,2335982
14/12/2020,16.82,16.95,15.81,16.43,-0.35,-2.09,5368403
11/12/2020,16.9,17.13,16.71,16.78,-0.09,-0.53,2872801
10/12/2020,17.51,17.53,16.71,16.87,-0.77,-4.37,4489755
09/12/2020,17.82,17.95,17.55,17.64,-0.12,-0.68,1905236
08/12/2020,17.95,17.98,17.65,17.76,-0.14,-0.78,2643729
07/12/2020,17.73,18.29,17.71,17.9,0.36,2.05,4333583
04/12/2020,17.62,17.79,17.47,17.54,0.07,0.4,2654976
03/12/2020,17.39,17.79,17.3,17.47,0.21,1.22,3327803
02/12/2020,17.24,17.39,17,17.26,0.15,0.88,2355636
01/12/2020,17.09,17.16,16.53,17.11,0,0,4013052
30/11/2020,17.56,17.75,17.1,17.11,-0.29,-1.67,3448777
27/11/2020,17.89,17.9,17.11,17.4,-0.52,-2.9,4934703
26/11/2020,18.33,19.05,17.71,17.92,-0.15,-0.83,9169745
25/11/2020,16.98,18.17,16.9,18.07,1.48,8.92,9799854
24/11/2020,16.25,16.68,16.07,16.59,0.49,3.04,6802812
23/11/2020,16.34,16.35,15.91,16.1,-0.05,-0.31,3471638
20/11/2020,16.31,16.39,16.1,16.15,-0.05,-0.31,2869933
19/11/2020,16.43,16.43,16.2,16.2,-0.25,-1.52,3665703
18/11/2020,16.45,16.55,16.23,16.45,0.07,0.43,5118762
17/11/2020,16.25,16.57,16.2,16.38,0.32,1.99,6785123
16/11/2020,15.98,16.13,15.86,16.06,0.4,2.55,508638
13/11/2020,15.88,15.9,15.54,15.66,-0.38,-2.37,4243643
12/11/2020,15.94,16.17,15.54,16.04,0.1,0.63,6194415
11/11/2020,15.95,16.07,15.1,15.94,0.24,1.53,13110708
10/11/2020,16.49,16.59,15.34,15.7,1.33,9.26,10962158
09/11/2020,14.05,14.38,13.9,14.37,0.36,2.57,3621342
06/11/2020,14.1,14.24,13.56,14.01,0.19,1.37,7170679
05/11/2020,13.22,13.82,13.16,13.82,0.89,6.88,7065494
04/11/2020,12.5,13.04,12.33,12.93,0.74,6.07,4947084
03/11/2020,11.52,12.2,11.49,12.19,0.8,7.02,3464531
02/11/2020,11.38,11.62,11.23,11.39,0.13,1.15,3597435
30/10/2020,11.71,11.91,11.18,11.26,-0.41,-3.51,5827131
29/10/2020,11.6,11.74,11.19,11.67,-0.28,-2.34,5644111
28/10/2020,12.43,12.43,11.93,11.95,-0.58,-4.63,5768707
27/10/2020,13.03,13.05,12.46,12.53,-0.65,-4.93,4188872
26/10/2020,13.42,13.64,13.175,13.18,-0.2,-1.49,3798969
23/10/2020,13.88,13.9,13.335,13.38,-0.23,-1.69,3332179
22/10/2020,13.62,13.72,13.32,13.61,-0.12,-0.87,2253033
21/10/2020,13.52,13.98,13.52,13.73,0.25,1.85,3567633
20/10/2020,13.26,13.49,13.13,13.48,0.22,1.66,2190593
19/10/2020,13.08,13.35,13.08,13.26,0.26,2,2771007
16/10/2020,13.12,13.39,13,13,-0.12,-0.91,3884295
15/10/2020,13.33,13.53,13.01,13.12,-0.16,-1.2,3549454
14/10/2020,14.2,14.22,13.26,13.28,-1.11,-7.71,8070370
13/10/2020,14.28,14.49,14.16,14.39,0.14,0.98,2177373
12/10/2020,14.3,14.35,13.98,14.25,-0.05,-0.35,1958385
09/10/2020,14.36,14.44,14.15,14.3,-0.06,-0.42,1876276
08/10/2020,14.6,14.7,14.3,14.36,-0.15,-1.03,1982674
07/10/2020,14.59,14.67,14.26,14.51,-0.09,-0.62,3730129
06/10/2020,14.59,14.66,14.41,14.6,0.17,1.18,3058066
05/10/2020,14.3,14.56,14.22,14.43,0.45,3.22,2519705
02/10/2020,14.15,14.48,13.95,13.98,-0.18,-1.27,4513645
01/10/2020,13.9,14.18,13.7,14.16,0.39,2.83,3301779
30/09/2020,13.93,14.19,13.75,13.77,-0.21,-1.5,4151581
29/09/2020,14.28,14.66,13.85,13.98,0.02,0.14,4898334
28/09/2020,13.45,14.23,13.37,13.96,0.76,5.76,6258472
25/09/2020,13.8,13.9,13.16,13.2,-0.42,-3.08,4435873
24/09/2020,13.35,14.065,13.22,13.62,-0.06,-0.44,4571050
23/09/2020,13.1,13.68,12.95,13.68,0.83,6.46,5552772
22/09/2020,13.1,13.15,12.77,12.85,-0.55,-4.1,6230114
21/09/2020,13.33,13.48,13.12,13.4,0.18,1.36,3042445
18/09/2020,13.13,13.38,13.04,13.22,0.13,0.99,3885547
17/09/2020,13.37,13.76,13.09,13.09,-0.21,-1.58,3515648
16/09/2020,13.18,13.32,12.84,13.3,0.24,1.84,2821087
15/09/2020,13.48,13.48,13.05,13.06,-0.38,-2.83,2681392
14/09/2020,12.64,13.46,12.6,13.44,0.97,7.78,4212729
11/09/2020,12.68,12.73,12.43,12.47,-0.32,-2.5,2240909
10/09/2020,13.2,13.26,12.71,12.79,-0.23,-1.77,2875590
09/09/2020,12.98,13.25,12.87,13.02,-0.48,-3.56,3367623
08/09/2020,13.1,13.5,13.1,13.5,0.47,3.61,3425090
07/09/2020,12.65,13.14,12.5,13.03,0.33,2.6,2773011
04/09/2020,12.4,12.83,12.18,12.7,-0.2,-1.55,2679774
03/09/2020,12.66,13.15,12.64,12.9,0.47,3.78,3436189
02/09/2020,12.56,12.64,11.96,12.43,-0.04,-0.32,4043165
01/09/2020,13.06,13.13,12.4,12.47,-0.76,-5.74,4281594
31/08/2020,13.19,13.46,13,13.23,0.05,0.38,2764927
28/08/2020,12.6,13.32,12.6,13.18,0.6,4.77,3693046
27/08/2020,12.7,12.94,12.25,12.58,-0.03,-0.24,3356250
26/08/2020,13.28,13.29,12.58,12.61,-0.68,-5.12,3464788
25/08/2020,12.84,13.44,12.84,13.29,0.78,6.24,4529405
24/08/2020,12.51,12.75,12.3,12.51,0,0,2650989
21/08/2020,11.7,12.58,11.62,12.51,0.83,7.11,6101230
20/08/2020,11.79,11.82,11.52,11.68,-0.13,-1.1,1928947
19/08/2020,11.49,12.11,11.45,11.81,0.41,3.6,3851962
18/08/2020,12.03,12.11,11.22,11.4,-0.67,-5.55,4333773
17/08/2020,12.18,12.2,11.93,12.07,-0.15,-1.23,2757771
14/08/2020,12.35,12.49,11.82,12.22,-0.06,-0.49,3476562
13/08/2020,12.14,12.38,11.96,12.28,0.59,5.05,4695387
12/08/2020,11.82,12.16,11.35,11.69,-0.01,-0.09,4310815
11/08/2020,11.16,11.82,11.13,11.7,0.66,5.98,4851268
10/08/2020,10.79,11.14,10.57,11.04,0.41,3.86,3512191
07/08/2020,10.01,10.71,10.01,10.63,0.63,6.3,4315055
06/08/2020,10,10.19,9.925,10,0.15,1.52,3249099
05/08/2020,10,10.12,9.76,9.85,-0.13,-1.3,3834363
04/08/2020,10,10.19,9.92,9.98,0.09,0.91,2587987
03/08/2020,10.29,10.33,9.87,9.89,-0.7,-6.61,4989684
31/07/2020,10.28,10.59,10.12,10.59,0.3,2.92,2658982
30/07/2020,10.45,10.585,10.24,10.29,-0.16,-1.53,1592841
29/07/2020,10.38,10.63,10.32,10.45,0.02,0.19,1705531
28/07/2020,10.68,10.75,10.385,10.43,-0.35,-3.25,2434728
27/07/2020,10.76,10.83,10.51,10.78,-0.1,-0.92,1691198
24/07/2020,10.95,11.19,10.83,10.88,-0.33,-2.94,1850479
23/07/2020,10.76,11.23,10.74,11.21,0.39,3.6,3508356
22/07/2020,11.06,11.19,10.74,10.82,-0.22,-1.99,3207919
21/07/2020,10.3,11.04,10.29,11.04,0.76,7.39,3218210
20/07/2020,10.4,10.41,10.11,10.28,-0.18,-1.72,2399879
17/07/2020,10.74,10.76,10.22,10.46,-0.3,-2.79,3303052
16/07/2020,10.8,11.35,10.47,10.76,0.36,3.46,4020146
15/07/2020,10.46,10.6,10.15,10.4,0.13,1.27,2766830
14/07/2020,10.3,10.38,10.1,10.27,-0.14,-1.34,4041054
13/07/2020,10.74,10.92,10.3,10.41,-0.13,-1.23,3020546
10/07/2020,10.78,10.82,10.52,10.54,-0.27,-2.5,4191652
09/07/2020,11.18,11.28,10.77,10.81,-0.3,-2.7,3163720
08/07/2020,10.85,11.17,10.68,11.11,0.13,1.18,3357727
07/07/2020,11.64,11.775,10.93,10.98,-0.46,-4.02,3696193
06/07/2020,11.37,11.67,11.2,11.44,0.04,0.35,2899822
03/07/2020,12.25,12.3,11.24,11.4,-0.55,-4.6,3065553
02/07/2020,11.7,12.11,11.49,11.95,0.48,4.18,4314364
01/07/2020,11.25,11.91,11.13,11.47,0.35,3.15,5413634
30/06/2020,11.12,11.29,10.91,11.12,0.37,3.44,5325876
29/06/2020,10.8,10.8,10.5,10.75,-0.57,-5.04,5138367
26/06/2020,11.46,11.9,11.04,11.32,-0.14,-1.22,5927269
25/06/2020,12.28,12.28,11.36,11.46,-1.42,-11.02,8668222
24/06/2020,13.16,13.42,12.88,12.88,-0.23,-1.75,2735695
23/06/2020,13.2,13.42,12.73,13.11,0.06,0.46,4011010
22/06/2020,13.16,13.2,12.67,13.05,-0.56,-4.11,5875081
19/06/2020,13.36,14.23,13.36,13.61,0.41,3.11,7081738
18/06/2020,13.55,13.55,13,13.2,-0.53,-3.86,5262262
17/06/2020,14.49,14.53,13.48,13.73,-0.37,-2.62,5977822
16/06/2020,13.99,14.24,13.6,14.1,1.02,7.8,7121852
15/06/2020,14.8,15,13.02,13.08,-1.22,-8.53,8348522
12/06/2020,13.98,14.6,13.01,14.3,-0.8,-5.3,10530443
11/06/2020,16.5,16.51,15.025,15.1,-1.75,-10.39,9244183
10/06/2020,17.35,17.35,16.75,16.85,-0.67,-3.82,7362303
09/06/2020,16.5,17.89,16.3,17.52,2.13,13.84,8702454
05/06/2020,15.34,15.73,15.01,15.39,0.46,3.08,5531957
04/06/2020,14.02,14.98,13.86,14.93,1.16,8.42,8573242
03/06/2020,13.68,13.94,13.6,13.77,0.27,2,4115933
02/06/2020,13.85,14.05,13.47,13.5,-0.15,-1.1,4356453
01/06/2020,13.16,14.2,12.97,13.65,0.57,4.36,5155286
29/05/2020,13.5,13.66,13.08,13.08,-0.39,-2.9,16593177
