Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,21.5,22.32,21.21,22.27,0.48,2.2,10634394
29/01/2021,22.99,23.27,21.6,21.79,-0.94,-4.14,14199819
28/01/2021,23.09,23.55,22.56,22.73,-0.95,-4.01,12830199
27/01/2021,24.3,24.37,23.43,23.68,-1.62,-6.4,15474212
25/01/2021,24.5,25.51,24.45,25.3,0.98,4.03,6890226
22/01/2021,24.9,25.04,24.32,24.32,-0.55,-2.21,9868662
21/01/2021,25.1,25.1,24.65,24.87,0.04,0.16,5799050
20/01/2021,24.84,24.97,24.55,24.83,0.01,0.04,5295136
19/01/2021,25,25.12,24.785,24.82,0,0,3454365
18/01/2021,24.7,25.04,24.51,24.82,-0.36,-1.43,3876499
15/01/2021,25.05,25.31,24.65,25.18,0.42,1.7,7508737
14/01/2021,25.11,25.16,24.51,24.76,-0.41,-1.63,7054169
13/01/2021,25.3,25.6,25.05,25.17,0.04,0.16,6861988
12/01/2021,24.9,25.36,24.87,25.13,-0.08,-0.32,5922051
11/01/2021,25.34,25.51,25.14,25.21,-0.13,-0.51,5641632
08/01/2021,26.27,26.4,25.245,25.34,-0.58,-2.24,7688849
07/01/2021,25.65,26.15,25.54,25.92,0.87,3.47,7260920
06/01/2021,25.2,25.795,25.05,25.05,-0.14,-0.56,8555725
05/01/2021,24.76,25.33,24.61,25.19,0.39,1.57,7685878
04/01/2021,23.71,24.8,23.7,24.8,1.37,5.85,12325368
31/12/2020,24,24.3,23.43,23.43,-0.55,-2.29,3706714
30/12/2020,23.9,24.06,23.66,23.98,0,0,5706576
29/12/2020,23.86,24.18,23.83,23.98,0.36,1.52,4118984
24/12/2020,23.75,23.83,23.555,23.62,0.15,0.64,2992054
23/12/2020,23.44,23.7,23.12,23.47,-0.01,-0.04,7121062
22/12/2020,24.11,24.38,23.3,23.48,-0.56,-2.33,11247976
21/12/2020,23.23,24.08,23.105,24.04,1.13,4.93,10451574
18/12/2020,22.66,22.99,22.61,22.91,0.5,2.23,17794109
17/12/2020,22.44,22.54,22.1,22.41,0.44,2,15807031
16/12/2020,21.9,22.23,21.87,21.97,0.49,2.28,9830502
15/12/2020,21.45,21.84,21.02,21.48,-0.68,-3.07,13374966
14/12/2020,23.07,23.29,22.15,22.16,-0.79,-3.44,13135705
11/12/2020,23.12,23.27,22.75,22.95,0.44,1.95,23521944
10/12/2020,21.7,22.64,21.7,22.51,0.71,3.26,13650663
09/12/2020,21.5,21.81,21.5,21.8,0.34,1.58,10254635
08/12/2020,21.27,21.46,21.02,21.46,0.07,0.33,12471442
07/12/2020,21,21.55,20.91,21.39,0.78,3.78,15781280
04/12/2020,20.55,20.695,20.4,20.61,-0.04,-0.19,15961067
03/12/2020,19.53,20.77,19.25,20.65,2.42,13.27,42057460
02/12/2020,18.46,18.61,18.07,18.23,-0.1,-0.55,10859610
01/12/2020,18.02,18.51,17.86,18.33,0.1,0.55,9684805
30/11/2020,18.67,18.85,18.23,18.23,-0.34,-1.83,16387745
27/11/2020,18.43,18.7,18.4,18.57,0.03,0.16,10941472
26/11/2020,18.69,18.69,18.45,18.54,-0.06,-0.32,15423296
