Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,32.22,32.27,31.455,31.78,-0.52,-1.61,562872
29/01/2021,32.27,32.74,32.16,32.3,0.06,0.19,323006
28/01/2021,32.23,32.6,31.96,32.24,-0.7,-2.13,678683
27/01/2021,32.78,33.09,32.41,32.94,0.03,0.09,554975
25/01/2021,32.49,33.1,31.89,32.91,0.41,1.26,717657
22/01/2021,33,33.2,32.165,32.5,1.8,5.86,954713
21/01/2021,31,31.51,30.65,30.7,-0.1,-0.32,480138
20/01/2021,29.88,31.17,29.84,30.8,1.03,3.46,700668
19/01/2021,29.06,29.98,28.77,29.77,0.54,1.85,1093918
18/01/2021,28.9,29.65,28.9,29.23,-0.1,-0.34,893695
15/01/2021,30.17,30.43,29.33,29.33,-0.67,-2.23,573395
14/01/2021,29.97,30.19,29.76,30,0.22,0.74,462461
13/01/2021,29.9,30.15,29.63,29.78,0.04,0.13,654276
12/01/2021,30.12,30.28,29.67,29.74,-0.41,-1.36,517381
11/01/2021,30.3,30.46,29.94,30.15,-0.43,-1.41,489103
08/01/2021,30.43,30.74,30.17,30.58,0.29,0.96,354383
07/01/2021,30.81,30.94,30.29,30.29,-0.4,-1.3,547138
06/01/2021,31.19,31.55,30.62,30.69,-0.48,-1.54,570953
05/01/2021,30.49,31.26,30.46,31.17,0.4,1.3,428803
04/01/2021,30.32,30.88,30.15,30.77,-0.18,-0.58,294620
31/12/2020,30.8,31.32,30.77,30.95,-0.24,-0.77,151708
30/12/2020,31.57,31.63,30.82,31.19,-0.33,-1.05,235869
29/12/2020,31.52,31.66,31.31,31.52,0.27,0.86,201875
24/12/2020,31.98,31.98,31.25,31.25,-0.19,-0.6,178166
23/12/2020,31.51,31.88,31.35,31.44,0.09,0.29,359957
22/12/2020,31,31.66,30.9,31.35,0.47,1.52,648952
21/12/2020,31.52,31.81,30.66,30.88,-0.62,-1.97,642074
18/12/2020,31.09,31.97,30.72,31.5,0.5,1.61,868516
17/12/2020,30.62,31.4,30.53,31,0.58,1.91,727896
16/12/2020,30.37,30.775,30.08,30.42,0.24,0.8,1265015
15/12/2020,30.22,30.54,30.01,30.18,0.05,0.17,480083
14/12/2020,31.2,31.2,30.11,30.13,-0.58,-1.89,927293
11/12/2020,29.96,31.34,29.69,30.71,0.74,2.47,1084863
10/12/2020,30.58,30.61,29.78,29.97,-0.33,-1.09,635319
09/12/2020,30.45,30.62,30.16,30.3,0.24,0.8,1375273
08/12/2020,30.1,30.43,29.8,30.06,0.05,0.17,1057516
07/12/2020,31.04,31.04,30,30.01,-0.79,-2.56,1247450
04/12/2020,31.62,32.5,30.6,30.8,-1.11,-3.48,1027793
03/12/2020,32.48,32.74,31.91,31.91,-1.05,-3.19,940694
02/12/2020,34,34,32.93,32.96,-0.83,-2.46,1039517
01/12/2020,34.19,34.33,33.705,33.79,0.23,0.69,992341
30/11/2020,32.4,33.88,32.28,33.56,1.62,5.07,1225011
27/11/2020,30.95,32.33,30.91,31.94,1.11,3.6,706828
26/11/2020,31.83,32.13,30.65,30.83,-0.67,-2.13,1733734
