Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.69,3.75,3.63,3.75,-0.01,-0.27,279505
29/01/2021,3.81,3.82,3.75,3.76,-0.01,-0.27,353357
28/01/2021,3.77,3.8,3.73,3.77,-0.04,-1.05,386945
27/01/2021,3.91,3.91,3.81,3.81,-0.12,-3.05,479086
25/01/2021,3.92,3.95,3.91,3.93,0,0,389824
22/01/2021,4.06,4.06,3.93,3.93,-0.13,-3.2,982683
21/01/2021,4.08,4.08,4.04,4.06,0.01,0.25,226739
20/01/2021,4.04,4.09,4.04,4.05,0.05,1.25,906680
19/01/2021,4.08,4.08,3.99,4,0.01,0.25,340965
18/01/2021,4.09,4.09,3.97,3.99,-0.11,-2.68,254938
15/01/2021,4.15,4.17,4.09,4.1,0.03,0.74,336263
14/01/2021,4.13,4.14,4.04,4.07,-0.02,-0.49,359069
13/01/2021,4.04,4.09,4.03,4.09,0.13,3.28,374629
12/01/2021,3.98,4.02,3.96,3.96,-0.01,-0.25,2932769
11/01/2021,4.01,4.03,3.96,3.97,-0.04,-1,908895
08/01/2021,4,4.03,3.98,4.01,0.04,1.01,163720
07/01/2021,3.91,3.98,3.9,3.97,0.14,3.66,273306
06/01/2021,3.73,3.84,3.73,3.83,0.16,4.36,406060
05/01/2021,3.68,3.7,3.66,3.67,-0.01,-0.27,203088
04/01/2021,3.86,3.86,3.66,3.68,-0.12,-3.16,296716
31/12/2020,3.8,3.8,3.74,3.8,0.05,1.33,203270
30/12/2020,3.8,3.8,3.71,3.75,-0.02,-0.53,304650
29/12/2020,3.8,3.85,3.72,3.77,0.02,0.53,311513
24/12/2020,3.82,3.82,3.74,3.75,0.08,2.18,141033
23/12/2020,3.68,3.71,3.63,3.67,0,0,231985
22/12/2020,3.72,3.72,3.66,3.67,-0.07,-1.87,290392
21/12/2020,3.81,3.81,3.71,3.74,-0.07,-1.84,197551
18/12/2020,3.83,3.86,3.8,3.81,-0.03,-0.78,342187
17/12/2020,3.86,3.86,3.81,3.84,0.02,0.52,304580
16/12/2020,3.91,3.91,3.82,3.82,0.04,1.06,246553
15/12/2020,3.88,3.92,3.78,3.78,-0.12,-3.08,283215
14/12/2020,3.95,3.96,3.89,3.9,-0.01,-0.26,234989
11/12/2020,3.9,3.93,3.89,3.91,0.08,2.09,231420
10/12/2020,3.86,3.86,3.83,3.83,-0.01,-0.26,248338
09/12/2020,3.83,3.84,3.82,3.84,0.04,1.05,180436
08/12/2020,3.85,3.85,3.77,3.8,-0.04,-1.04,223118
07/12/2020,3.8,3.86,3.8,3.84,0.12,3.23,212897
04/12/2020,3.75,3.76,3.69,3.72,0,0,1019455
03/12/2020,3.64,3.74,3.64,3.72,0.12,3.33,781630
02/12/2020,3.63,3.63,3.6,3.6,-0.03,-0.83,284621
01/12/2020,3.68,3.68,3.58,3.63,-0.11,-2.94,313656
30/11/2020,3.8,3.85,3.73,3.74,-0.03,-0.8,336459
27/11/2020,3.8,3.82,3.75,3.77,-0.04,-1.05,340242
26/11/2020,3.85,3.85,3.78,3.81,-0.06,-1.55,565499
25/11/2020,3.9,3.9,3.84,3.87,0.13,3.48,444352
24/11/2020,3.69,3.76,3.69,3.74,0.19,5.35,554933
23/11/2020,3.55,3.56,3.52,3.55,0.03,0.85,234709
20/11/2020,3.51,3.52,3.49,3.52,0.03,0.86,579722
19/11/2020,3.55,3.61,3.47,3.49,-0.06,-1.69,281782
18/11/2020,3.55,3.57,3.53,3.55,0.02,0.57,350838
17/11/2020,3.5,3.65,3.5,3.53,0.13,3.82,963898
16/11/2020,3.42,3.5,3.4,3.4,0.11,3.34,3851
13/11/2020,3.35,3.35,3.27,3.29,-0.09,-2.66,613699
12/11/2020,3.48,3.48,3.37,3.38,-0.02,-0.59,1770620
11/11/2020,3.4,3.48,3.37,3.4,0.14,4.29,473667
10/11/2020,3.2,3.38,3.2,3.26,0.27,9.03,583669
09/11/2020,2.97,3.01,2.97,2.99,0.02,0.67,268736
06/11/2020,3.03,3.03,2.96,2.97,-0.02,-0.67,330529
05/11/2020,2.94,3.01,2.94,2.99,0,0,172601
04/11/2020,2.98,3.02,2.93,2.99,0.01,0.34,667942
03/11/2020,2.9,3.03,2.9,2.98,0.12,4.2,292241
02/11/2020,2.83,2.88,2.83,2.86,0.01,0.35,237356
30/10/2020,2.84,2.86,2.83,2.85,0.02,0.71,78440
29/10/2020,2.87,2.87,2.81,2.83,-0.05,-1.74,421061
28/10/2020,2.9,2.9,2.87,2.88,-0.07,-2.37,1853704
27/10/2020,2.96,2.96,2.94,2.95,-0.06,-1.99,297597
26/10/2020,3.03,3.03,3,3.01,-0.03,-0.99,156986
23/10/2020,3.03,3.04,2.99,3.04,0.09,3.05,267085
22/10/2020,2.97,2.97,2.93,2.95,-0.09,-2.96,309677
21/10/2020,3.01,3.05,3.01,3.04,0.04,1.33,335089
20/10/2020,3.05,3.05,2.99,3,-0.07,-2.28,403859
19/10/2020,3.07,3.08,3.05,3.07,0,0,499062
16/10/2020,3.09,3.1,3.06,3.07,-0.03,-0.97,174275
15/10/2020,3.1,3.11,3.07,3.1,0,0,292135
14/10/2020,3.1,3.11,3.07,3.1,-0.03,-0.96,341463
13/10/2020,3.14,3.18,3.11,3.13,-0.01,-0.32,301651
12/10/2020,3.18,3.23,3.11,3.14,-0.03,-0.95,204544
09/10/2020,3.15,3.18,3.14,3.17,0.095,3.09,522907
08/10/2020,3.06,3.075,3.02,3.075,0.035,1.15,298212
07/10/2020,3.04,3.05,3,3.04,-0.03,-0.98,392550
06/10/2020,3.07,3.07,3.05,3.07,0.05,1.66,284514
05/10/2020,3.01,3.04,3.01,3.02,0.1,3.42,169736
02/10/2020,2.99,2.99,2.91,2.92,-0.13,-4.26,338702
01/10/2020,3.01,3.08,3.01,3.05,0.03,0.99,181728
30/09/2020,3.06,3.08,3.01,3.02,-0.09,-2.89,95962
29/09/2020,3.13,3.13,3.09,3.11,0.02,0.65,120860
28/09/2020,3.08,3.09,3.03,3.09,0.02,0.65,196761
25/09/2020,3.08,3.1,3.07,3.07,-0.01,-0.32,1679703
24/09/2020,3.18,3.18,3.065,3.08,-0.12,-3.75,905050
23/09/2020,3.19,3.2,3.17,3.2,0.02,0.63,4721834
22/09/2020,3.2,3.22,3.18,3.18,-0.07,-2.15,1841051
21/09/2020,3.3,3.3,3.25,3.25,-0.08,-2.4,168092
18/09/2020,3.3,3.33,3.3,3.33,0.04,1.22,137717
17/09/2020,3.3,3.32,3.28,3.29,0.03,0.92,79819
16/09/2020,3.26,3.28,3.25,3.26,-0.01,-0.31,140471
15/09/2020,3.29,3.29,3.245,3.27,-0.02,-0.61,107986
14/09/2020,3.28,3.29,3.26,3.29,0.02,0.61,164320
11/09/2020,3.27,3.27,3.25,3.27,-0.06,-1.8,146758
10/09/2020,3.33,3.33,3.31,3.33,0.06,1.83,110092
09/09/2020,3.3,3.3,3.27,3.27,-0.13,-3.82,99445
08/09/2020,3.34,3.42,3.34,3.4,0.07,2.1,192681
07/09/2020,3.37,3.38,3.33,3.33,-0.08,-2.35,158037
04/09/2020,3.38,3.41,3.36,3.41,0.02,0.59,110899
03/09/2020,3.42,3.44,3.38,3.39,-0.03,-0.88,12427576
02/09/2020,3.44,3.44,3.41,3.42,-0.01,-0.29,254617
01/09/2020,3.46,3.46,3.41,3.43,-0.1,-2.83,132881
31/08/2020,3.49,3.53,3.49,3.53,0.07,2.02,48371
28/08/2020,3.45,3.48,3.45,3.46,0,0,129127
27/08/2020,3.46,3.47,3.445,3.46,-0.06,-1.7,134744
26/08/2020,3.51,3.52,3.49,3.52,-0.06,-1.68,137658
25/08/2020,3.52,3.58,3.45,3.58,0.11,3.17,159533
24/08/2020,3.47,3.48,3.45,3.47,-0.03,-0.86,142140
21/08/2020,3.49,3.52,3.47,3.5,0.01,0.29,248112
20/08/2020,3.52,3.52,3.47,3.49,-0.06,-1.69,136284
19/08/2020,3.54,3.58,3.54,3.55,-0.03,-0.84,113466
18/08/2020,3.61,3.61,3.58,3.58,-0.04,-1.1,97090
17/08/2020,3.62,3.63,3.6,3.62,0,0,104688
14/08/2020,3.61,3.63,3.61,3.62,-0.04,-1.09,136981
13/08/2020,3.65,3.71,3.65,3.66,0.04,1.1,218142
12/08/2020,3.62,3.64,3.62,3.62,0.02,0.56,104022
11/08/2020,3.55,3.625,3.55,3.6,0.06,1.69,100400
10/08/2020,3.55,3.56,3.51,3.54,0.04,1.14,196513
07/08/2020,3.54,3.54,3.5,3.5,-0.05,-1.41,143539
06/08/2020,3.56,3.57,3.54,3.55,0.02,0.57,96248
05/08/2020,3.5,3.53,3.47,3.53,0.12,3.52,202233
04/08/2020,3.41,3.44,3.41,3.41,0.01,0.29,276855
03/08/2020,3.42,3.42,3.38,3.4,-0.04,-1.16,83802
31/07/2020,3.54,3.54,3.42,3.44,-0.11,-3.1,172422
30/07/2020,3.56,3.58,3.54,3.55,0.04,1.14,189795
29/07/2020,3.52,3.53,3.5,3.51,-0.05,-1.4,100256
28/07/2020,3.55,3.61,3.51,3.56,-0.01,-0.28,212771
27/07/2020,3.57,3.61,3.56,3.57,-0.04,-1.11,151165
24/07/2020,3.58,3.61,3.55,3.61,0.01,0.28,164552
23/07/2020,3.59,3.6,3.58,3.6,-0.04,-1.1,108181
22/07/2020,3.63,3.67,3.63,3.64,0.13,3.7,176590
21/07/2020,3.61,3.61,3.5,3.51,-0.03,-0.85,178839
