Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,23.35,23.67,23.26,23.43,0.43,1.87,287087
02/02/2021,22.62,23.08,22.53,23,0.75,3.37,385785
01/02/2021,21.55,22.36,21.17,22.25,0.39,1.78,571732
29/01/2021,22.68,22.76,21.68,21.86,-0.3,-1.35,325750
28/01/2021,22.48,22.48,21.79,22.16,-0.97,-4.19,622357
27/01/2021,23.38,23.45,23.01,23.13,-0.33,-1.41,208389
25/01/2021,23.37,23.52,23.34,23.46,0.18,0.77,129605
22/01/2021,23.41,23.43,23.25,23.28,-0.19,-0.81,98716
21/01/2021,23.52,23.55,23.34,23.47,0.37,1.6,176549
20/01/2021,22.96,23.2,22.95,23.1,0.22,0.96,317233
19/01/2021,22.57,22.92,22.57,22.88,0.58,2.6,213034
18/01/2021,22.46,22.54,22.2,22.3,-0.38,-1.68,249885
15/01/2021,22.76,22.96,22.68,22.68,0,0,205411
14/01/2021,22.42,22.77,22.35,22.68,0.21,0.93,134758
13/01/2021,22.33,22.5,22.22,22.47,0.06,0.27,164499
12/01/2021,22.56,22.83,22.41,22.41,-0.18,-0.8,156123
11/01/2021,22.9,23,22.49,22.59,-0.39,-1.7,263170
08/01/2021,22.83,22.98,22.69,22.98,0.32,1.41,236826
07/01/2021,22.63,22.85,22.44,22.66,0.74,3.38,367699
06/01/2021,22.24,22.36,21.76,21.92,-0.5,-2.23,389332
05/01/2021,22.4,22.42,22.06,22.42,-0.05,-0.22,187411
04/01/2021,22.42,22.51,21.9,22.47,0.05,0.22,256439
31/12/2020,22.85,22.91,22.42,22.42,-0.5,-2.18,205527
30/12/2020,22.94,22.94,22.53,22.92,-0.08,-0.35,213439
29/12/2020,23.15,23.19,22.86,23,0.27,1.19,160942
24/12/2020,22.96,23,22.73,22.73,0.14,0.62,114340
23/12/2020,22.53,22.74,22.46,22.59,0.36,1.62,165573
22/12/2020,22.67,22.7,22.13,22.23,-0.51,-2.24,226399
21/12/2020,22.75,22.84,22.5,22.74,-0.07,-0.31,262360
18/12/2020,23.35,23.36,22.81,22.81,-0.59,-2.52,280541
17/12/2020,23.05,23.44,23.04,23.4,0.52,2.27,242877
16/12/2020,22.86,23.18,22.86,22.88,0.4,1.78,200998
15/12/2020,22.67,22.67,22.45,22.48,-0.25,-1.1,235935
14/12/2020,22.66,22.96,22.65,22.73,0.14,0.62,301660
11/12/2020,22.7,22.81,22.5,22.59,-0.32,-1.4,304480
10/12/2020,23.11,23.14,22.84,22.91,-0.36,-1.55,465821
09/12/2020,23.15,23.35,23.11,23.27,0.33,1.44,273980
08/12/2020,22.82,23.02,22.71,22.94,0.12,0.53,126086
07/12/2020,22.88,23.14,22.67,22.82,0.24,1.06,384819
04/12/2020,22.44,22.65,22.42,22.58,0.18,0.8,212012
03/12/2020,22.37,22.5,22.31,22.4,0.19,0.86,270927
02/12/2020,22.42,22.46,21.99,22.21,-0.02,-0.09,193630
01/12/2020,21.74,22.38,21.64,22.23,0.52,2.4,296040
30/11/2020,22.54,22.62,21.71,21.71,-0.61,-2.73,403917
27/11/2020,22.43,22.5,22.22,22.32,-0.24,-1.06,155658
26/11/2020,23.02,23.02,22.56,22.56,-0.37,-1.61,331076
25/11/2020,23.03,23.12,22.93,22.93,0.27,1.19,301323
24/11/2020,22.26,22.77,22.25,22.66,0.63,2.86,353284
23/11/2020,21.99,22.26,21.99,22.03,0.19,0.87,173311
20/11/2020,21.96,22.01,21.82,21.84,-0.03,-0.14,173664
19/11/2020,21.7,21.87,21.5,21.87,0.09,0.41,164759
18/11/2020,21.6,21.87,21.6,21.78,0.25,1.16,265874
17/11/2020,21.7,21.78,21.49,21.53,0.21,0.98,335961
16/11/2020,21.25,21.5,21.25,21.32,0.49,2.35,30979
13/11/2020,20.75,20.92,20.63,20.83,-0.1,-0.48,199751
12/11/2020,21.37,21.37,20.8,20.93,-0.22,-1.04,300919
11/11/2020,20.85,21.16,20.47,21.15,0.87,4.29,390207
10/11/2020,20.95,21.07,20.2,20.28,0.29,1.45,732874
09/11/2020,19.52,20.03,19.47,19.99,0.72,3.74,504878
06/11/2020,19.22,19.39,19.08,19.27,0.29,1.53,278204
05/11/2020,18.69,19.01,18.61,18.98,0.49,2.65,625175
04/11/2020,18.56,18.7,18,18.49,-0.06,-0.32,615414
03/11/2020,17.92,18.66,17.9,18.55,0.72,4.04,392541
02/11/2020,17.78,17.85,17.47,17.83,0.23,1.31,224264
30/10/2020,17.93,18,17.6,17.6,-0.25,-1.4,391620
29/10/2020,17.9,18.05,17.71,17.85,-0.65,-3.51,847823
28/10/2020,18.19,18.58,18.15,18.5,0.09,0.49,352851
27/10/2020,18.8,18.8,18.3,18.41,-0.71,-3.71,644701
26/10/2020,19.2,19.42,19.1,19.12,-0.06,-0.31,177877
23/10/2020,19.26,19.26,19.04,19.18,0.12,0.63,189165
22/10/2020,18.92,19.22,18.73,19.06,-0.25,-1.29,334992
21/10/2020,19.3,19.42,19.25,19.31,0.03,0.16,382604
20/10/2020,19.43,19.64,19.27,19.28,-0.29,-1.48,183688
19/10/2020,19.46,19.68,19.45,19.57,0.33,1.72,495401
16/10/2020,19.37,19.48,19.15,19.24,-0.21,-1.08,198251
15/10/2020,19.32,19.6,19.3,19.45,0.2,1.04,343009
14/10/2020,19.22,19.37,19.18,19.25,-0.11,-0.57,128491
13/10/2020,19.24,19.47,19.24,19.36,0.41,2.16,384471
12/10/2020,18.76,18.95,18.72,18.95,0.2,1.07,306374
09/10/2020,18.79,18.92,18.65,18.75,0.02,0.11,493306
08/10/2020,18.56,18.9,18.54,18.73,0.36,1.96,774633
07/10/2020,17.83,18.41,17.78,18.37,0.53,2.97,734639
06/10/2020,17.86,17.9,17.57,17.84,0.11,0.62,647878
05/10/2020,17.42,17.76,17.42,17.73,0.94,5.6,722035
02/10/2020,17.14,17.2,16.71,16.79,-0.55,-3.17,727808
01/10/2020,17.2,17.59,17.13,17.34,0.34,2,543068
30/09/2020,17.52,17.56,17,17,-0.81,-4.55,2004711
29/09/2020,18.05,18.1,17.71,17.81,0.01,0.06,967212
28/09/2020,17.91,17.98,17.78,17.8,-0.06,-0.34,496400
25/09/2020,17.54,17.97,17.54,17.86,0.51,2.94,591376
24/09/2020,17.15,17.39,17.01,17.35,-0.37,-2.09,365843
23/09/2020,17.18,17.72,17.16,17.72,0.94,5.6,696058
22/09/2020,16.74,16.87,16.62,16.78,-0.25,-1.47,952927
21/09/2020,17.21,17.3,16.92,17.03,-0.29,-1.67,1082975
18/09/2020,17.47,17.62,17.3,17.32,-0.1,-0.57,432831
17/09/2020,17.84,17.84,17.41,17.42,-0.41,-2.3,688408
16/09/2020,17.72,17.86,17.68,17.83,0.47,2.71,688809
15/09/2020,17.6,17.63,17.36,17.36,-0.16,-0.91,387835
14/09/2020,17.46,17.55,17.37,17.52,0.25,1.45,412192
11/09/2020,17.28,17.37,17.07,17.27,-0.23,-1.31,443283
10/09/2020,17.88,17.95,17.35,17.5,0.16,0.92,748430
09/09/2020,17.4,17.5,17.17,17.34,-0.79,-4.36,1183229
08/09/2020,17.99,18.28,17.88,18.13,0.36,2.03,649799
07/09/2020,17.41,17.87,17.28,17.77,0.16,0.91,577895
04/09/2020,17.98,17.98,17.57,17.61,-1.2,-6.38,967781
03/09/2020,18.85,18.93,18.64,18.81,0.38,2.06,766953
02/09/2020,17.98,18.53,17.98,18.43,0.67,3.77,733482
01/09/2020,17.96,17.97,17.46,17.76,-0.6,-3.27,1102640
31/08/2020,18.41,18.6,18.36,18.36,-0.1,-0.54,234738
28/08/2020,18.55,18.61,18.3,18.46,-0.29,-1.55,485870
27/08/2020,18.77,19,18.71,18.75,0.08,0.43,345163
26/08/2020,18.77,18.77,18.48,18.67,-0.31,-1.63,337954
25/08/2020,19.13,19.22,18.8,18.98,0.23,1.23,312611
24/08/2020,18.53,18.78,18.44,18.75,0.18,0.97,294142
21/08/2020,18.79,18.94,18.55,18.57,-0.06,-0.32,397466
20/08/2020,18.62,18.69,18.49,18.63,-0.32,-1.69,267456
19/08/2020,18.74,19.12,18.59,18.95,0.34,1.83,445910
18/08/2020,18.45,18.72,18.34,18.61,0.32,1.75,401330
17/08/2020,18.35,18.44,18.21,18.29,-0.36,-1.93,444904
14/08/2020,18.49,18.72,18.49,18.65,0.28,1.52,330018
13/08/2020,18.93,18.93,18.32,18.37,-0.27,-1.45,635877
12/08/2020,18.68,18.82,18.46,18.64,-0.08,-0.43,365993
11/08/2020,18.53,19.02,18.5,18.72,0.17,0.92,478510
10/08/2020,18.1,18.65,18.1,18.55,0.69,3.86,832977
07/08/2020,17.94,18,17.8,17.86,-0.22,-1.22,558404
06/08/2020,18.02,18.15,17.89,18.08,0.27,1.52,331245
05/08/2020,17.88,17.91,17.59,17.81,-0.24,-1.33,671523
04/08/2020,17.95,18.2,17.95,18.05,0.71,4.09,860662
03/08/2020,17.2,17.5,16.95,17.34,0.03,0.17,847326
31/07/2020,17.99,18,17.17,17.31,-0.82,-4.52,1064383
30/07/2020,18.12,18.28,18.08,18.13,0.24,1.34,244285
29/07/2020,17.98,18.15,17.84,17.89,-0.06,-0.33,278848
28/07/2020,18.3,18.55,17.95,17.95,-0.13,-0.72,282380
27/07/2020,17.85,18.12,17.83,18.08,0.11,0.61,214014
24/07/2020,18.14,18.17,17.9,17.97,-0.47,-2.55,325764
23/07/2020,18.28,18.49,18.18,18.44,0.16,0.88,601103
22/07/2020,18.64,18.65,18.18,18.28,-0.54,-2.87,382028
21/07/2020,18.08,18.88,18.08,18.82,0.99,5.55,527599
20/07/2020,18.1,18.1,17.77,17.83,-0.22,-1.22,533331
17/07/2020,18.02,18.1,17.84,18.05,0.16,0.89,157045
16/07/2020,18.41,18.41,17.78,17.89,-0.28,-1.54,399697
15/07/2020,17.84,18.17,17.84,18.17,0.71,4.07,736754
14/07/2020,17.45,17.62,17.35,17.46,-0.29,-1.63,277571
13/07/2020,17.87,17.92,17.53,17.75,0.3,1.72,309656
10/07/2020,17.45,17.58,17.24,17.45,-0.15,-0.85,493368
09/07/2020,17.63,17.84,17.54,17.6,0.25,1.44,445294
08/07/2020,17.77,17.99,17.35,17.35,-0.57,-3.18,872601
07/07/2020,18.26,18.39,17.91,17.92,-0.05,-0.28,778618
06/07/2020,18.15,18.36,17.97,17.97,-0.22,-1.21,484285
03/07/2020,18.3,18.51,18.01,18.19,0.14,0.78,548254
02/07/2020,17.62,18.09,17.5,18.05,0.63,3.62,526692
01/07/2020,17.29,17.58,17.01,17.42,-0.09,-0.51,362215
30/06/2020,17.38,17.8,17.34,17.51,0.61,3.61,663841
29/06/2020,16.95,17.12,16.64,16.9,-0.56,-3.21,751374
26/06/2020,17.2,17.52,17.1,17.46,0.53,3.13,458487
25/06/2020,17.2,17.56,16.92,16.93,-0.94,-5.26,1050285
24/06/2020,17.85,18.02,17.69,17.87,0.21,1.19,256372
23/06/2020,18.01,18.1,17.28,17.66,-0.03,-0.17,1092736
22/06/2020,17.31,17.88,17.26,17.69,0.04,0.23,302697
19/06/2020,18.05,18.14,17.64,17.65,-0.04,-0.23,299665
18/06/2020,17.92,17.92,17.36,17.69,-0.32,-1.78,586188
17/06/2020,18.12,18.12,17.64,18.01,0.23,1.29,723751
16/06/2020,17.2,17.94,17.2,17.78,1.49,9.15,1067227
15/06/2020,16.89,17.18,16.29,16.29,-0.86,-5.01,1108951
12/06/2020,16.4,17.3,16.4,17.15,-0.62,-3.49,1607975
11/06/2020,18.5,18.66,17.71,17.77,-1.24,-6.52,1310662
10/06/2020,18.66,19.25,18.66,19.01,0,0,418422
09/06/2020,18.9,19.35,18.89,19.01,0.91,5.03,948709
05/06/2020,18.02,18.21,17.83,18.1,0.06,0.33,402103
04/06/2020,18.24,18.38,17.73,18.04,0.3,1.69,1084909
03/06/2020,17.4,17.77,17.31,17.74,0.61,3.56,951212
02/06/2020,16.93,17.23,16.84,17.13,0.18,1.06,494613
01/06/2020,16.21,16.95,16.12,16.95,0.13,0.77,775225
29/05/2020,16.96,16.98,16.55,16.82,-0.36,-2.1,866172
28/05/2020,17.14,17.62,17,17.18,0.6,3.62,847204
27/05/2020,16.52,17.02,16.24,16.58,-0.08,-0.48,1130270
26/05/2020,15.91,16.66,15.79,16.66,1.13,7.28,778362
25/05/2020,15.44,15.59,15.36,15.53,0.59,3.95,319028
22/05/2020,15.3,15.41,14.89,14.94,-0.33,-2.16,508093
21/05/2020,15.73,15.79,15.2,15.27,-0.13,-0.84,634655
20/05/2020,14.88,15.47,14.86,15.4,0.09,0.59,394484
19/05/2020,15.3,15.66,15.22,15.31,0.67,4.58,669098
18/05/2020,14.7,14.84,14.6,14.64,0.48,3.39,430951
15/05/2020,14.12,14.35,13.95,14.16,0.29,2.09,483807
14/05/2020,13.99,14.2,13.87,13.87,-0.45,-3.14,609673
13/05/2020,13.76,14.32,13.64,14.32,-0.02,-0.14,859906
12/05/2020,14.58,14.59,14.1,14.34,-0.31,-2.12,555104
11/05/2020,14.45,14.86,14.43,14.65,0.35,2.45,813157
08/05/2020,14.31,14.46,14.22,14.3,0.24,1.71,405146
07/05/2020,14.14,14.22,13.95,14.06,-0.16,-1.13,374877
06/05/2020,14.3,14.33,13.94,14.22,-0.14,-0.97,589168
05/05/2020,13.98,14.38,13.95,14.36,0.52,3.76,679507
04/05/2020,13.09,13.89,12.85,13.84,0.36,2.67,789201
01/05/2020,14.5,14.77,13.48,13.48,-1.55,-10.31,1826444
30/04/2020,14.7,15.27,14.5,15.03,0.84,5.92,1148967
29/04/2020,13.76,14.19,13.72,14.19,0.44,3.2,407477
28/04/2020,13.78,14.15,13.5,13.75,-0.01,-0.07,802747
27/04/2020,13.39,13.83,13.05,13.76,0.41,3.07,530290
24/04/2020,13.1,13.44,13.01,13.35,0.23,1.75,559357
23/04/2020,13.54,13.58,12.91,13.12,-0.11,-0.83,755835
22/04/2020,12.7,13.39,12.4,13.23,0.02,0.15,1748645
21/04/2020,13.81,13.99,13.1,13.21,-0.89,-6.31,1172993
20/04/2020,14.75,15.1,14.1,14.1,-0.77,-5.18,988324
17/04/2020,14.93,15.38,14.8,14.87,0.51,3.55,1235757
