Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,26.32,26.49,26.16,26.19,0.21,0.81,68674
15/10/2019,26.04,26.33,26.03,26.28,0.09,0.34,31299
16/10/2019,26.76,27.05,26.65,27.03,0.75,2.85,49398
17/10/2019,27.11,27.11,26.53,26.54,-0.49,-1.81,32850
18/10/2019,26.3,26.41,26.15,26.17,-0.37,-1.39,23465
21/10/2019,26.5,26.5,25.95,26.28,0.11,0.42,91672
22/10/2019,26.37,26.52,26.34,26.49,0.21,0.8,17017
23/10/2019,26.35,26.37,26.16,26.35,-0.14,-0.53,6260
24/10/2019,26.8,26.85,26.63,26.63,0.28,1.06,40799
25/10/2019,26.97,27.05,26.92,27,0.37,1.39,14080
28/10/2019,27.24,27.28,27.01,27.01,0.01,0.04,11834
29/10/2019,27.19,27.19,27.01,27.05,0.04,0.15,25926
30/10/2019,26.85,26.87,26.46,26.46,-0.59,-2.18,20903
31/10/2019,26.42,26.5,26.12,26.3,-0.16,-0.6,19795
01/11/2019,26.21,26.4,26.1,26.4,0.1,0.38,38855
04/11/2019,26.66,26.78,26.4,26.43,0.03,0.11,72923
05/11/2019,26.81,26.81,26.49,26.68,0.25,0.95,53362
06/11/2019,26.69,26.71,26.25,26.25,-0.43,-1.61,23687
07/11/2019,26.4,26.92,26.4,26.85,0.6,2.29,51906
08/11/2019,26.96,27.04,26.75,26.83,-0.02,-0.07,25507
11/11/2019,27.17,27.39,27.13,27.38,0.55,2.05,65729
12/11/2019,27.54,27.54,27.14,27.17,-0.21,-0.77,5525
13/11/2019,27.35,27.35,26.81,26.83,-0.34,-1.25,18880
14/11/2019,26.83,27.3,26.83,27.18,0.35,1.3,30486
15/11/2019,27.5,27.75,27.2,27.74,0.56,2.06,60120
18/11/2019,27.68,27.73,27.33,27.37,-0.37,-1.33,34588
19/11/2019,27.49,27.82,27.4,27.82,0.45,1.64,23383
20/11/2019,27.53,27.53,27.02,27.07,-0.75,-2.7,33770
21/11/2019,26.69,26.88,26.4,26.59,-0.48,-1.77,42311
22/11/2019,26.92,27.1,26.89,27,0.41,1.54,30732
25/11/2019,27.21,27.39,27.17,27.18,0.18,0.67,28381
26/11/2019,27.44,27.68,27.44,27.55,0.37,1.36,28595
27/11/2019,27.7,28.23,27.7,28.22,0.67,2.43,29596
28/11/2019,28.54,28.54,28.3,28.3,0.08,0.28,40652
29/11/2019,28.55,28.59,28.23,28.23,-0.07,-0.25,41331
02/12/2019,28.29,28.57,28.29,28.33,0.1,0.35,104365
03/12/2019,27.56,27.56,26.92,26.94,-1.39,-4.91,153498
04/12/2019,26.24,26.32,25.91,26.17,-0.77,-2.86,217496
05/12/2019,26.65,26.74,26.35,26.7,0.53,2.03,81360
06/12/2019,26.8,26.99,26.8,26.95,0.25,0.94,164611
09/12/2019,27.2,27.23,27,27.15,0.2,0.74,55044
10/12/2019,27.04,27.14,26.86,26.86,-0.29,-1.07,49551
11/12/2019,27.1,27.29,27.04,27.23,0.37,1.38,29944
12/12/2019,27.12,27.21,26.87,26.91,-0.32,-1.18,22671
13/12/2019,27.15,27.32,27.14,27.21,0.3,1.11,62696
