Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.13,1.145,1.11,1.135,0,0,3251790
29/01/2021,1.165,1.17,1.13,1.135,-0.015,-1.3,2141852
28/01/2021,1.15,1.16,1.115,1.15,0,0,4807025
27/01/2021,1.17,1.175,1.15,1.15,-0.02,-1.71,2844072
25/01/2021,1.17,1.19,1.157,1.17,0.005,0.43,1991951
22/01/2021,1.165,1.17,1.15,1.165,-0.005,-0.43,2135994
21/01/2021,1.185,1.2,1.17,1.17,-0.01,-0.85,3156319
20/01/2021,1.16,1.19,1.152,1.18,0.015,1.29,2116430
19/01/2021,1.15,1.165,1.145,1.165,0.015,1.3,1414912
18/01/2021,1.165,1.17,1.145,1.15,-0.015,-1.29,3210047
15/01/2021,1.13,1.17,1.13,1.165,0.03,2.64,2817494
14/01/2021,1.14,1.16,1.13,1.135,-0.01,-0.87,2418072
13/01/2021,1.14,1.15,1.13,1.145,0.01,0.88,1907128
12/01/2021,1.15,1.165,1.135,1.135,-0.01,-0.87,1703232
11/01/2021,1.17,1.175,1.14,1.145,-0.035,-2.97,2919249
08/01/2021,1.15,1.185,1.15,1.18,0.02,1.72,1951573
07/01/2021,1.16,1.17,1.15,1.16,0.01,0.87,3324249
06/01/2021,1.175,1.185,1.15,1.15,-0.025,-2.13,3403836
05/01/2021,1.18,1.185,1.17,1.175,-0.02,-1.67,2331284
04/01/2021,1.18,1.2,1.175,1.195,0.015,1.27,2025875
31/12/2020,1.2,1.215,1.18,1.18,-0.02,-1.67,981273
30/12/2020,1.21,1.21,1.195,1.2,-0.015,-1.23,1274477
29/12/2020,1.2,1.225,1.2,1.215,0.02,1.67,2075974
24/12/2020,1.185,1.21,1.18,1.195,0.015,1.27,1783188
23/12/2020,1.14,1.185,1.14,1.18,0.04,3.51,2106340
22/12/2020,1.165,1.175,1.135,1.14,-0.025,-2.15,3678141
21/12/2020,1.175,1.18,1.152,1.165,-0.02,-1.69,4269403
18/12/2020,1.19,1.2,1.167,1.185,-0.01,-0.84,3610857
17/12/2020,1.185,1.205,1.18,1.195,0.005,0.42,4383887
16/12/2020,1.195,1.2125,1.175,1.19,0,0,9986008
15/12/2020,1.19,1.2,1.17,1.19,0,0,4186294
14/12/2020,1.2,1.215,1.16,1.19,-0.01,-0.83,6573060
11/12/2020,1.21,1.225,1.192,1.2,-0.01,-0.83,6671023
10/12/2020,1.23,1.275,1.2075,1.21,-0.02,-1.63,8105700
09/12/2020,1.215,1.2525,1.21,1.23,0.025,2.07,9867990
08/12/2020,1.25,1.26,1.2025,1.205,-0.085,-6.59,12242890
07/12/2020,1.22,1.31,1.22,1.29,0.075,6.17,9098448
04/12/2020,1.205,1.22,1.2,1.215,0.01,0.83,3612832
03/12/2020,1.22,1.24,1.205,1.205,-0.03,-2.43,4650712
02/12/2020,1.215,1.24,1.2,1.235,0.01,0.82,13279086
01/12/2020,1.18,1.23,1.18,1.225,0.045,3.81,4100467
30/11/2020,1.2,1.21,1.18,1.18,-0.02,-1.67,2914218
27/11/2020,1.195,1.207,1.19,1.2,0,0,1225663
26/11/2020,1.215,1.23,1.195,1.2,-0.01,-0.83,2394383
25/11/2020,1.25,1.26,1.195,1.21,-0.03,-2.42,5369884
24/11/2020,1.26,1.285,1.24,1.24,-0.02,-1.59,4160845
23/11/2020,1.25,1.27,1.105,1.26,0.02,1.61,12791203
20/11/2020,1.245,1.255,1.23,1.24,0.005,0.4,3877825
19/11/2020,1.25,1.25,1.227,1.235,-0.015,-1.2,2317619
18/11/2020,1.25,1.27,1.235,1.25,0.02,1.63,6884034
17/11/2020,1.27,1.28,1.22,1.23,-0.0325,-2.57,7453350
16/11/2020,1.27,1.27,1.255,1.2625,0.0175,1.41,493802
13/11/2020,1.215,1.245,1.2,1.245,0.015,1.22,2591733
12/11/2020,1.275,1.285,1.215,1.23,-0.025,-1.99,7220130
11/11/2020,1.24,1.315,1.24,1.255,0.005,0.4,12995770
10/11/2020,1.28,1.3,1.225,1.25,0.025,2.04,8089756
09/11/2020,1.17,1.23,1.17,1.225,0.055,4.7,7181253
06/11/2020,1.175,1.185,1.142,1.17,0.005,0.43,5725956
05/11/2020,1.165,1.195,1.145,1.165,0.015,1.3,4938473
04/11/2020,1.16,1.175,1.13,1.15,-0.01,-0.86,5228109
03/11/2020,1.165,1.18,1.145,1.16,0.01,0.87,10787309
02/11/2020,1.14,1.1725,1.115,1.15,0.025,2.22,12135940
30/10/2020,1.1,1.145,1.095,1.125,0.03,2.74,7394921
29/10/2020,1.1,1.11,1.075,1.095,-0.02,-1.79,5992348
28/10/2020,1.095,1.12,1.0825,1.115,0.005,0.45,3336019
27/10/2020,1.095,1.115,1.085,1.11,0,0,4463120
26/10/2020,1.085,1.12,1.08,1.11,0.035,3.26,10862162
23/10/2020,1.1,1.1,1.07,1.075,-0.025,-2.27,6677842
22/10/2020,1.07,1.12,1.06,1.1,0.015,1.38,4721213
21/10/2020,1.035,1.09,1.035,1.085,0.045,4.33,3630192
20/10/2020,1.035,1.045,1.015,1.04,0,0,4098144
19/10/2020,1.05,1.05,1.02,1.04,-0.005,-0.48,4857528
16/10/2020,1.07,1.087,1.04,1.045,-0.025,-2.34,3779766
15/10/2020,1.08,1.09,1.065,1.07,0,0,5974858
14/10/2020,1.065,1.075,1.04,1.07,0.005,0.47,3890693
13/10/2020,1.1,1.105,1.065,1.065,-0.03,-2.74,8481812
12/10/2020,1.05,1.1,1.04,1.095,0.05,4.78,5103119
09/10/2020,1.05,1.06,1.035,1.045,0,0,2981570
08/10/2020,1.04,1.055,1.025,1.045,0.015,1.46,6875465
07/10/2020,1.02,1.035,1.02,1.03,0.005,0.49,4394444
06/10/2020,1.03,1.035,1.01,1.025,-0.005,-0.49,5584728
05/10/2020,0.99,1.03,0.985,1.03,0.05,5.1,4129073
02/10/2020,0.975,1.005,0.97,0.98,-0.005,-0.51,5076868
01/10/2020,0.97,0.99,0.955,0.985,0.02,2.07,3301961
30/09/2020,0.99,0.99,0.965,0.965,-0.025,-2.53,2946493
29/09/2020,0.995,1.02,0.98,0.99,-0.005,-0.5,4709902
28/09/2020,0.99,1.005,0.98,0.995,0.015,1.53,2794649
25/09/2020,0.975,0.995,0.975,0.98,0.01,1.03,1997051
24/09/2020,0.98,0.99,0.95,0.97,-0.02,-2.02,2827815
23/09/2020,0.995,0.995,0.972,0.99,0.02,2.06,4165521
22/09/2020,0.995,1.01,0.965,0.97,-0.03,-3,5393221
21/09/2020,1,1.02,0.992,1,0.01,1.01,4723014
18/09/2020,0.99,1.005,0.975,0.99,0.005,0.51,6170123
17/09/2020,1.005,1.015,0.985,0.985,-0.025,-2.48,3731751
16/09/2020,1,1.02,0.99,1.01,0.01,1,3241757
15/09/2020,1.01,1.025,1,1,-0.015,-1.48,3182516
14/09/2020,0.995,1.04,0.99,1.015,0.03,3.05,3938738
11/09/2020,0.99,1.005,0.975,0.985,-0.005,-0.51,3275717
10/09/2020,1,1.015,0.982,0.99,-0.005,-0.5,3531097
09/09/2020,1.005,1.005,0.965,0.995,-0.03,-2.93,4122822
08/09/2020,1.02,1.027,0.992,1.025,0.015,1.49,3017029
07/09/2020,0.99,1.015,0.96,1.01,0.025,2.54,3573358
04/09/2020,0.985,1,0.975,0.985,-0.04,-3.9,3978474
03/09/2020,1.01,1.04,0.99,1.025,0.025,2.5,3981747
02/09/2020,1.005,1.015,0.975,1,0.005,0.5,5514671
01/09/2020,1.02,1.03,0.98,0.995,-0.035,-3.4,7386339
31/08/2020,1.015,1.05,1.01,1.03,0.015,1.48,4574476
28/08/2020,1.01,1.03,0.995,1.015,0.005,0.5,5264726
27/08/2020,1.005,1.025,0.98,1.01,0,0,6344477
26/08/2020,1.03,1.065,0.985,1.01,-0.01,-0.98,11222480
25/08/2020,0.95,1.025,0.95,1.02,0.095,10.27,17910067
24/08/2020,0.99,1.02,0.86,0.925,-0.045,-4.64,21124533
21/08/2020,0.94,0.98,0.93,0.97,0.03,3.19,7095069
20/08/2020,0.95,0.95,0.9,0.94,-0.025,-2.59,9374910
19/08/2020,0.86,0.965,0.86,0.965,0.105,12.21,15020236
18/08/2020,0.845,0.86,0.8225,0.86,0.01,1.18,8661776
17/08/2020,0.83,0.86,0.83,0.85,0.015,1.8,4390183
14/08/2020,0.8,0.84,0.79,0.835,0.03,3.73,6111633
13/08/2020,0.82,0.845,0.8,0.805,-0.01,-1.23,9613136
12/08/2020,0.83,0.855,0.81,0.815,-0.015,-1.81,11252596
11/08/2020,0.81,0.83,0.81,0.83,0.01,1.22,3289273
10/08/2020,0.8,0.825,0.8,0.82,0.015,1.86,3002712
07/08/2020,0.79,0.812,0.79,0.805,0.005,0.62,2392779
06/08/2020,0.79,0.815,0.78,0.8,0.01,1.27,5388903
05/08/2020,0.8,0.825,0.785,0.79,-0.005,-0.63,5362769
04/08/2020,0.78,0.81,0.765,0.795,0.02,2.58,3716411
03/08/2020,0.8,0.805,0.76,0.775,-0.03,-3.73,6370066
31/07/2020,0.81,0.815,0.795,0.805,-0.005,-0.62,3778558
30/07/2020,0.83,0.835,0.81,0.81,-0.005,-0.61,3057469
29/07/2020,0.825,0.84,0.81,0.815,-0.01,-1.21,4228038
28/07/2020,0.835,0.835,0.82,0.825,-0.01,-1.2,3319065
27/07/2020,0.855,0.86,0.825,0.835,-0.03,-3.47,4164755
24/07/2020,0.845,0.88,0.845,0.865,0.01,1.17,3849793
23/07/2020,0.825,0.865,0.825,0.855,0.015,1.79,6971961
22/07/2020,0.845,0.855,0.82,0.84,0,0,4500275
21/07/2020,0.805,0.85,0.8,0.84,0.04,5,6969215
20/07/2020,0.815,0.82,0.79,0.8,-0.025,-3.03,6699013
17/07/2020,0.845,0.85,0.81,0.825,-0.005,-0.6,3891061
16/07/2020,0.85,0.86,0.825,0.83,-0.015,-1.78,3734274
15/07/2020,0.815,0.845,0.805,0.845,0.035,4.32,4852233
14/07/2020,0.81,0.825,0.8,0.81,-0.01,-1.22,4159359
13/07/2020,0.84,0.87,0.81,0.82,-0.01,-1.2,9363384
10/07/2020,0.84,0.84,0.825,0.83,-0.025,-2.92,7309190
09/07/2020,0.845,0.865,0.835,0.855,0.01,1.18,6045581
08/07/2020,0.85,0.855,0.835,0.845,-0.01,-1.17,4380833
07/07/2020,0.86,0.87,0.83,0.855,-0.005,-0.58,9716231
06/07/2020,0.865,0.885,0.84,0.86,-0.01,-1.15,9184526
03/07/2020,0.91,0.935,0.855,0.87,-0.035,-3.87,10256568
02/07/2020,0.89,0.915,0.865,0.905,0.01,1.12,7644806
01/07/2020,0.885,0.9,0.86,0.895,0.01,1.13,7758196
30/06/2020,0.9,0.93,0.88,0.885,0.01,1.14,8427761
