Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,26.43,26.57,26.36,26.47,0.73,2.84,73174
02/02/2021,25.42,25.8,25.31,25.74,1.05,4.25,146336
01/02/2021,24.21,24.69,23.67,24.69,-0.2,-0.8,176887
29/01/2021,25.5,25.54,24.82,24.89,0.07,0.28,88929
28/01/2021,25.01,25.16,24.45,24.82,-1.71,-6.45,229380
27/01/2021,26.7,26.77,26.53,26.53,-0.2,-0.75,22484
25/01/2021,26.51,26.76,26.49,26.73,0.18,0.68,89234
22/01/2021,26.85,26.85,26.45,26.55,-0.3,-1.12,164647
21/01/2021,26.5,26.89,26.5,26.85,0.99,3.83,119594
20/01/2021,25.93,26.02,25.79,25.86,0.08,0.31,86608
19/01/2021,25.37,25.9,25.37,25.78,0.55,2.18,132327
18/01/2021,25.22,25.3,25.05,25.23,-0.38,-1.48,86984
15/01/2021,25.9,25.91,25.59,25.61,-0.59,-2.25,111551
14/01/2021,26.1,26.22,26.09,26.2,0.2,0.77,59495
13/01/2021,25.84,26.02,25.83,26,0.16,0.62,32697
12/01/2021,25.85,26,25.8,25.84,-0.01,-0.04,30928
11/01/2021,26.23,26.29,25.85,25.85,-0.29,-1.11,103618
08/01/2021,25.88,26.18,25.88,26.14,0.7,2.75,131289
07/01/2021,25.27,25.52,25.22,25.44,0.86,3.5,76787
06/01/2021,24.89,25.06,24.46,24.58,0.06,0.24,163996
05/01/2021,24.58,24.69,24.46,24.52,-0.73,-2.89,170109
04/01/2021,25.2,25.3,25.15,25.25,0.25,1,161675
31/12/2020,25,25.01,24.97,25,-0.07,-0.28,16452
30/12/2020,25.02,25.09,24.86,25.07,-0.12,-0.48,100840
29/12/2020,25.01,25.19,25,25.19,0.74,3.03,38256
24/12/2020,24.38,24.47,24.38,24.45,0.18,0.74,26024
23/12/2020,24.25,24.42,24.03,24.27,0.01,0.04,86489
22/12/2020,24.42,24.45,24.24,24.26,-0.39,-1.58,55566
21/12/2020,24.98,24.98,24.55,24.65,-0.03,-0.12,67979
18/12/2020,24.81,24.81,24.67,24.68,0.03,0.12,32704
17/12/2020,24.6,24.65,24.46,24.65,0.28,1.15,36266
16/12/2020,24.36,24.48,24.33,24.37,0.58,2.44,23840
15/12/2020,24.16,24.16,23.77,23.79,-0.56,-2.3,46682
14/12/2020,24.49,24.5,24.35,24.35,0.28,1.16,160870
11/12/2020,24.21,24.21,24.01,24.07,-0.11,-0.45,39094
10/12/2020,24.01,24.26,24.01,24.18,-0.58,-2.34,46287
09/12/2020,24.7,24.77,24.68,24.76,0.44,1.81,31524
08/12/2020,24.38,24.4,24.27,24.32,-0.11,-0.45,43555
07/12/2020,24.51,24.64,24.43,24.43,0.21,0.87,54747
04/12/2020,24.29,24.29,24.09,24.22,0.13,0.54,66547
03/12/2020,24.04,24.24,24.04,24.09,0.14,0.58,27060
02/12/2020,24.03,24.1,23.8,23.95,0.01,0.04,121722
01/12/2020,23.59,24.01,23.59,23.94,0.54,2.31,76651
30/11/2020,24.55,24.55,23.4,23.4,-0.13,-0.55,51463
27/11/2020,23.52,23.55,23.4,23.53,-0.11,-0.47,18560
26/11/2020,23.73,23.73,23.58,23.64,-0.12,-0.51,55994
25/11/2020,23.4,23.97,23.4,23.76,0.48,2.06,120725
24/11/2020,23,23.28,23,23.28,0.6,2.65,60956
23/11/2020,22.44,22.72,22.44,22.68,-0.02,-0.09,49214
20/11/2020,22.56,22.72,22.44,22.7,0.04,0.18,60261
19/11/2020,22.66,22.74,22.56,22.66,-0.55,-2.37,137257
18/11/2020,23.34,23.39,23.18,23.21,-0.13,-0.56,48760
17/11/2020,23.6,23.75,23.34,23.34,0,0,206229
16/11/2020,23.02,23.34,23.02,23.34,1.05,4.71,12305
13/11/2020,22.29,22.35,22.06,22.29,-0.11,-0.49,85731
12/11/2020,23.11,23.17,22.33,22.4,-0.06,-0.27,147261
11/11/2020,22.33,22.58,22.28,22.46,0.42,1.91,152948
10/11/2020,22.52,22.71,21.97,22.04,-0.65,-2.86,219999
09/11/2020,22,22.7,21.99,22.69,1.17,5.44,230965
06/11/2020,21.84,21.88,21.45,21.52,0.2,0.94,257500
05/11/2020,21.12,21.36,20.77,21.32,0.97,4.77,105860
04/11/2020,19.8,20.8,19.33,20.35,1.28,6.71,1301083
03/11/2020,18.96,19.25,18.94,19.07,0.62,3.36,127684
02/11/2020,18.42,18.56,18.09,18.45,0.03,0.16,296853
30/10/2020,18.53,18.6,18.38,18.42,-0.55,-2.9,72872
29/10/2020,18.72,19,18.6,18.97,-0.88,-4.43,79838
28/10/2020,19.81,19.91,19.78,19.85,-0.58,-2.84,16110
27/10/2020,20.38,20.44,20.32,20.43,-0.42,-2.01,32732
26/10/2020,20.9,21,20.84,20.85,-0.34,-1.6,19268
23/10/2020,21.19,21.23,21.05,21.19,0.6,2.91,31974
22/10/2020,20.84,20.84,20.45,20.59,-0.63,-2.97,40319
21/10/2020,20.97,21.24,20.97,21.22,0.35,1.68,17461
20/10/2020,21.02,21.05,20.86,20.87,-0.77,-3.56,136028
19/10/2020,21.53,21.66,21.49,21.64,0.16,0.74,78221
16/10/2020,21.53,21.7,21.48,21.48,0.01,0.05,51712
15/10/2020,21.63,21.68,21.33,21.47,-0.61,-2.76,54928
14/10/2020,22.01,22.16,21.91,22.08,-0.07,-0.32,174394
13/10/2020,22.32,22.38,22.09,22.15,0.51,2.36,108168
12/10/2020,21.49,21.64,21.38,21.64,0.43,2.03,96646
09/10/2020,21.19,21.31,21.17,21.21,0.53,2.56,51480
08/10/2020,20.55,20.72,20.54,20.68,0.9,4.55,190141
07/10/2020,19.51,19.81,19.47,19.78,-0.56,-2.75,209280
06/10/2020,20.34,20.4,20.24,20.34,0.44,2.21,96011
05/10/2020,19.8,19.95,19.8,19.9,0.7,3.65,79018
02/10/2020,19.99,20.06,19,19.2,-0.85,-4.24,424499
01/10/2020,19.82,20.07,19.64,20.05,1.21,6.42,196915
30/09/2020,19.52,19.73,18.84,18.84,-1.01,-5.09,183264
29/09/2020,19.79,19.9,19.78,19.85,0.7,3.66,66765
28/09/2020,18.88,19.15,18.87,19.15,0.92,5.05,61851
25/09/2020,18.3,18.32,18.23,18.23,0.31,1.73,53688
24/09/2020,17.84,18.1,17.67,17.92,-1.21,-6.33,88493
23/09/2020,19.09,19.13,18.92,19.13,0.6,3.24,48326
22/09/2020,18.77,18.88,18.47,18.53,-0.47,-2.47,82172
21/09/2020,19.29,19.39,18.97,19,-0.77,-3.89,47897
18/09/2020,19.76,19.82,19.5,19.77,0.25,1.28,82053
17/09/2020,20.15,20.15,19.52,19.52,-0.92,-4.5,52581
16/09/2020,20.33,20.53,20.3,20.44,0.19,0.94,74820
15/09/2020,20.21,20.25,20.01,20.25,0.24,1.2,68293
14/09/2020,19.79,20.05,19.74,20.01,0.17,0.86,73054
11/09/2020,19.59,19.88,19.5,19.84,-0.59,-2.89,44765
10/09/2020,20.5,20.5,20.13,20.43,0.87,4.45,69637
09/09/2020,19.27,19.71,19.25,19.56,-1.43,-6.81,140144
08/09/2020,20.99,21,20.74,20.99,0.59,2.89,105743
07/09/2020,20.48,20.67,20.36,20.4,-0.75,-3.55,102310
04/09/2020,20.88,21.21,20.85,21.15,-1.74,-7.6,141351
03/09/2020,23,23.01,22.82,22.89,0.45,2.01,80453
02/09/2020,22.35,22.45,22.33,22.44,0.6,2.75,55792
01/09/2020,21.75,21.84,21.71,21.84,-0.24,-1.09,72599
31/08/2020,22.14,22.2,22.08,22.08,0.18,0.82,46282
28/08/2020,21.75,22,21.71,21.9,0.38,1.77,34004
27/08/2020,21.54,21.58,21.48,21.52,0.38,1.8,62126
26/08/2020,21.28,21.28,21.05,21.14,-0.01,-0.05,50501
25/08/2020,21.03,21.2,21.02,21.15,0.48,2.32,57750
24/08/2020,20.6,20.67,20.57,20.67,0.21,1.03,38917
21/08/2020,20.5,20.55,20.44,20.46,0.41,2.04,63673
20/08/2020,20.19,20.19,19.98,20.05,-0.44,-2.15,83138
19/08/2020,20.5,20.55,20.45,20.49,0.12,0.59,32722
18/08/2020,20.47,20.47,20.37,20.37,0.11,0.54,42934
17/08/2020,20.26,20.32,20.22,20.26,-0.09,-0.44,35960
14/08/2020,20.31,20.37,20.27,20.35,0.12,0.59,56210
13/08/2020,20.27,20.31,20.21,20.23,0.4,2.02,77612
12/08/2020,19.84,19.91,19.73,19.83,-0.38,-1.88,117739
11/08/2020,20.08,20.21,20.04,20.21,0.14,0.7,106494
10/08/2020,19.92,20.1,19.92,20.07,0.24,1.21,71420
07/08/2020,19.93,20,19.74,19.83,0.19,0.97,54846
06/08/2020,19.63,19.75,19.59,19.64,0.17,0.87,38237
05/08/2020,19.39,19.5,19.32,19.47,0.16,0.83,57485
04/08/2020,19.25,19.35,19.23,19.31,0.33,1.74,59759
03/08/2020,18.88,19.07,18.88,18.98,0.16,0.85,64448
31/07/2020,19,19.01,18.75,18.82,0.07,0.37,51654
30/07/2020,18.83,18.83,18.72,18.75,0.42,2.29,45588
29/07/2020,18.44,18.45,18.25,18.33,-0.28,-1.5,101439
28/07/2020,18.68,18.77,18.58,18.61,0.24,1.31,89850
27/07/2020,18.17,18.47,18.17,18.37,0.01,0.05,122653
24/07/2020,18.65,18.65,18.35,18.36,-0.76,-3.97,108981
23/07/2020,18.98,19.12,18.95,19.12,0.28,1.49,28148
22/07/2020,18.91,19.01,18.83,18.84,-0.16,-0.84,46205
21/07/2020,18.74,19.04,18.74,19,0.73,4,199144
20/07/2020,18.43,18.47,18.18,18.27,0.02,0.11,76628
17/07/2020,18.27,18.31,18.21,18.25,-0.03,-0.16,93796
16/07/2020,18.39,18.45,18.21,18.28,-0.06,-0.33,336830
15/07/2020,18.36,18.39,18.28,18.34,0.72,4.09,287219
14/07/2020,17.73,17.73,17.53,17.62,-0.57,-3.13,737237
13/07/2020,18.05,18.21,18,18.19,0.97,5.63,160119
10/07/2020,17.7,17.7,17.17,17.22,-0.49,-2.77,316410
09/07/2020,17.89,17.89,17.67,17.71,0.34,1.96,288985
08/07/2020,17.39,17.62,17.36,17.37,-0.38,-2.14,42355
07/07/2020,18.02,18.02,17.68,17.75,-0.04,-0.22,103261
06/07/2020,17.45,17.85,17.44,17.79,0.42,2.42,148354
03/07/2020,17.25,17.37,17.24,17.37,0.28,1.64,133982
02/07/2020,17,17.1,16.96,17.09,0.48,2.89,84723
01/07/2020,16.63,16.74,16.58,16.61,0.38,2.34,104263
30/06/2020,16.45,16.45,16.23,16.23,0.44,2.79,278797
29/06/2020,15.79,15.94,15.6,15.79,-0.83,-4.99,247158
26/06/2020,16.71,16.74,16.51,16.62,0.43,2.66,208729
25/06/2020,16.22,16.46,16.01,16.19,-1.07,-6.2,363008
24/06/2020,17.13,17.32,17.1,17.26,0.13,0.76,253543
23/06/2020,17.28,17.29,16.54,17.13,0.59,3.57,714952
22/06/2020,16.28,16.76,16.25,16.54,-0.61,-3.56,240157
19/06/2020,17.18,17.18,16.93,17.15,0.35,2.08,144684
18/06/2020,16.96,16.96,16.55,16.8,-0.48,-2.78,282690
17/06/2020,17.39,17.39,16.98,17.28,0.27,1.59,429812
16/06/2020,14.73,17.2,14.73,17.01,1.98,13.17,273404
15/06/2020,15.68,15.83,15.03,15.03,-1.26,-7.73,344674
12/06/2020,15.81,16.31,15.59,16.29,-1.15,-6.59,448992
11/06/2020,17.89,17.94,17.39,17.44,-1.05,-5.68,245006
10/06/2020,18.45,18.56,18.37,18.49,-0.08,-0.43,197906
09/06/2020,18.4,18.72,18.1,18.57,1.2,6.91,168659
05/06/2020,16.98,17.4,16.96,17.37,0.31,1.82,123493
04/06/2020,17.39,17.41,16.97,17.06,0.19,1.13,292553
03/06/2020,16.73,16.9,16.56,16.87,0.44,2.68,246162
02/06/2020,16.39,16.44,16.29,16.43,0.05,0.31,125366
01/06/2020,16.3,16.4,15.36,16.38,0.13,0.8,268077
29/05/2020,16.15,16.34,15.86,16.25,-0.15,-0.91,175519
28/05/2020,16.21,16.53,16.2,16.4,0.37,2.31,282289
27/05/2020,15.94,16.08,15.7,16.03,0,0,528186
26/05/2020,15.65,16.03,15.6,16.03,0.49,3.15,398785
25/05/2020,15.52,15.54,15.41,15.54,0.49,3.26,408646
22/05/2020,15.25,15.45,14.94,15.05,-0.34,-2.21,258696
21/05/2020,15.18,15.49,15.18,15.39,0.25,1.65,108618
20/05/2020,15.2,15.24,15.05,15.14,-0.15,-0.98,152640
19/05/2020,15.16,15.49,15.12,15.29,0.8,5.52,244164
18/05/2020,14.36,14.63,14.36,14.49,0.34,2.4,99141
15/05/2020,14.21,14.28,14.06,14.15,0.52,3.82,361850
14/05/2020,14,14,13.61,13.63,-0.67,-4.69,356912
13/05/2020,14.21,14.33,13.78,14.3,-0.59,-3.96,441539
12/05/2020,15.05,15.05,14.73,14.89,-0.24,-1.59,233253
11/05/2020,15.48,15.48,15.11,15.13,0.15,1,263889
08/05/2020,14.73,15.01,14.71,14.98,0.69,4.83,174693
07/05/2020,14.3,14.31,14.06,14.29,-0.18,-1.24,93867
06/05/2020,14.3,14.5,14.12,14.47,0.25,1.76,316745
05/05/2020,13.82,14.23,13.82,14.22,0.51,3.72,175981
04/05/2020,13.68,13.78,13.21,13.71,-0.56,-3.92,283995
01/05/2020,14.66,14.66,14.22,14.27,-1.14,-7.4,286012
30/04/2020,15.5,15.6,15.14,15.41,0.66,4.47,500708
29/04/2020,14.55,14.85,14.48,14.75,0.3,2.08,219660
28/04/2020,14.54,14.54,14.18,14.45,0.09,0.63,416225
27/04/2020,13.68,14.41,13.68,14.36,1.08,8.13,143766
24/04/2020,13.54,13.54,13.09,13.28,-0.26,-1.92,112731
23/04/2020,13.48,13.71,13.24,13.54,0.41,3.12,351653
22/04/2020,13.05,13.3,12.5,13.13,-0.51,-3.74,479393
21/04/2020,14,14.07,13.42,13.64,-0.66,-4.62,245995
20/04/2020,14.45,14.52,14.02,14.3,-0.15,-1.04,173033
17/04/2020,14.4,14.67,14.35,14.45,0.88,6.48,474665
16/04/2020,13.35,13.57,12.96,13.57,-0.35,-2.51,233628
15/04/2020,14.17,14.17,13.92,13.92,0.1,0.72,206160
14/04/2020,13.81,13.89,13.22,13.82,0.57,4.3,333140
09/04/2020,13.21,13.29,13.02,13.25,0.89,7.2,252611
08/04/2020,12.4,12.6,12.05,12.36,-0.06,-0.48,247643
07/04/2020,12.44,12.69,12.02,12.42,0.65,5.52,437845
06/04/2020,11,11.77,10.98,11.77,1.06,9.9,275531
03/04/2020,11,11.04,10.66,10.71,0.09,0.85,117896
02/04/2020,10.74,10.78,10.31,10.62,-0.52,-4.67,212568
01/04/2020,11.59,11.59,11.07,11.14,-0.69,-5.83,115765
31/03/2020,11.95,12.16,11.8,11.83,0.52,4.6,342110
30/03/2020,10.84,11.34,10.44,11.31,-0.1,-0.88,230079
27/03/2020,10.89,12.11,10.89,11.41,0.69,6.44,349243
26/03/2020,10.8,11.05,10.53,10.72,0.14,1.32,214327
25/03/2020,11,11.11,10.16,10.58,1.17,12.43,180980
24/03/2020,9.17,9.5,8.9,9.41,0.89,10.45,239355
23/03/2020,8.41,8.64,7.75,8.52,-1.6,-15.81,383433
20/03/2020,9.6,10.36,9.6,10.12,0.94,10.24,116396
19/03/2020,10.68,11.14,9,9.18,-1.34,-12.74,227113
18/03/2020,11.31,11.31,10.5,10.52,-0.88,-7.72,125674
17/03/2020,10.45,12,10.45,11.4,0.65,6.05,155245
16/03/2020,11,11.77,9.9,10.75,-0.09,-0.83,217708
13/03/2020,10.41,10.84,9.2,10.84,-1.96,-15.31,617317
12/03/2020,14.2,14.2,12.17,12.8,-1.67,-11.54,360054
11/03/2020,15.35,15.35,14.47,14.47,-0.47,-3.15,234133
10/03/2020,14.31,14.94,13.98,14.94,0.03,0.2,692639
09/03/2020,15.5,15.5,14.67,14.91,-2.04,-12.04,106092
06/03/2020,17.86,17.86,16.95,16.95,-1.57,-8.48,133631
05/03/2020,18.71,18.75,18.44,18.52,0.83,4.69,177223
04/03/2020,17.1,17.78,16.52,17.69,-0.42,-2.32,99782
03/03/2020,18.58,18.66,18.05,18.11,1.37,8.18,165178
02/03/2020,15.96,16.99,15.58,16.74,0.62,3.85,200860
28/02/2020,16.88,17.1,16.12,16.12,-2.5,-13.43,165307
27/02/2020,19.43,20.5,18.48,18.62,-1.32,-6.62,136026
26/02/2020,20.14,20.21,19.65,19.94,-1.72,-7.94,197839
25/02/2020,21.4,21.76,21.12,21.66,-0.63,-2.83,80335
24/02/2020,22.89,22.89,22.05,22.29,-1.06,-4.54,81539
21/02/2020,23.32,23.44,23.28,23.35,-0.36,-1.52,31168
20/02/2020,23.99,24.02,23.68,23.71,-0.02,-0.08,19354
19/02/2020,23.65,23.74,23.58,23.73,0.19,0.81,12204
18/02/2020,23.85,23.85,23.52,23.54,-0.29,-1.22,8805
17/02/2020,24,24,23.77,23.83,-0.01,-0.04,5475
14/02/2020,23.68,23.85,23.59,23.84,0.3,1.27,37612
13/02/2020,23.4,23.76,23.4,23.54,0.1,0.43,56474
12/02/2020,23.45,23.46,23.35,23.44,-0.01,-0.04,4501
11/02/2020,22.99,23.49,22.99,23.45,0.61,2.67,18231
10/02/2020,22.85,22.95,22.6,22.84,-0.26,-1.13,34982
07/02/2020,23.39,23.39,23.06,23.1,-0.14,-0.6,28172
06/02/2020,23.1,23.24,22.96,23.24,0.89,3.98,44427
05/02/2020,22.45,22.47,22.27,22.35,0.52,2.38,38819
04/02/2020,21.6,21.87,21.43,21.83,0.27,1.25,18687
