Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,17.71,17.925,17.53,17.89,0.21,1.19,5457763
29/01/2021,17.7,17.99,17.615,17.68,-0.01,-0.06,3587072
28/01/2021,17.78,17.84,17.39,17.69,-0.14,-0.79,5189523
27/01/2021,18.34,18.38,17.715,17.83,-0.2,-1.11,4281751
25/01/2021,17.92,18.13,17.88,18.03,0.28,1.58,2224676
22/01/2021,17.71,17.865,17.7,17.75,-0.01,-0.06,2716465
21/01/2021,17.82,17.89,17.65,17.76,0.19,1.08,3733770
20/01/2021,17.42,17.74,17.42,17.57,-0.13,-0.73,4032462
19/01/2021,17.84,17.88,17.66,17.7,0.1,0.57,3603543
18/01/2021,17.72,17.77,17.55,17.6,0.09,0.51,3091185
15/01/2021,17.63,17.85,17.41,17.51,-0.2,-1.13,4489668
14/01/2021,17.8,17.95,17.63,17.71,0.09,0.51,3744177
13/01/2021,17.6,17.75,17.37,17.62,-0.29,-1.62,4409624
12/01/2021,17.94,18.07,17.85,17.91,-0.17,-0.94,3771034
11/01/2021,18.25,18.47,18.045,18.08,-0.31,-1.69,2364316
08/01/2021,18.41,18.58,18.23,18.39,-0.08,-0.43,3814740
07/01/2021,19.13,19.13,18.455,18.47,-0.43,-2.28,3826103
06/01/2021,18.94,19.14,18.83,18.9,-0.39,-2.02,4199586
05/01/2021,19.01,19.29,19,19.29,-0.07,-0.36,2815686
04/01/2021,18.85,19.41,18.85,19.36,0.45,2.38,2380523
31/12/2020,19.39,19.39,18.91,18.91,-0.44,-2.27,1182766
30/12/2020,19.3,19.35,18.95,19.35,0.05,0.26,2772765
29/12/2020,19.05,19.42,19.05,19.3,0.26,1.37,1844413
24/12/2020,19.35,19.43,18.96,19.04,-0.12,-0.63,962157
23/12/2020,19.04,19.24,18.9,19.16,0.48,2.57,2906152
22/12/2020,18.61,18.87,18.51,18.68,0.12,0.65,2633136
21/12/2020,18.65,18.74,18.305,18.56,-0.23,-1.22,2786414
18/12/2020,18.78,18.88,18.63,18.79,-0.05,-0.27,7366550
17/12/2020,18.37,18.91,18.31,18.84,0.61,3.35,6355537
16/12/2020,18.28,18.33,18.06,18.23,0.04,0.22,4018209
15/12/2020,17.77,18.3,17.77,18.19,0.39,2.19,3256802
14/12/2020,17.81,17.94,17.735,17.8,-0.02,-0.11,3782061
11/12/2020,17.9,17.98,17.75,17.82,-0.33,-1.82,3713783
10/12/2020,17.97,18.18,17.86,18.15,-0.02,-0.11,3761878
09/12/2020,18.32,18.41,18.07,18.17,-0.25,-1.36,4529878
08/12/2020,18.33,18.47,18.33,18.42,-0.04,-0.22,3877964
07/12/2020,18.78,18.78,18.295,18.46,0.02,0.11,3643906
04/12/2020,18.59,18.69,18.44,18.44,-0.11,-0.59,3803249
03/12/2020,18.49,18.61,18.44,18.55,0.02,0.11,4335948
02/12/2020,18.96,19.01,18.51,18.53,-0.5,-2.63,4998957
01/12/2020,18.91,19.33,18.85,19.03,0.35,1.87,6606635
30/11/2020,18.9,18.9,18.53,18.68,0.07,0.38,10131851
27/11/2020,18.4,18.72,18.37,18.61,0.17,0.92,3974971
26/11/2020,18.66,18.73,18.44,18.44,-0.11,-0.59,3620938
25/11/2020,18.48,18.68,18.41,18.55,0.05,0.27,5088353
24/11/2020,18.48,18.63,18.37,18.5,0.07,0.38,4244634
23/11/2020,18.65,18.68,18.43,18.43,-0.08,-0.43,2395151
20/11/2020,18.52,18.65,18.38,18.51,-0.17,-0.91,4626424
19/11/2020,18.49,18.73,18.32,18.68,0.09,0.48,4832594
18/11/2020,18.68,18.92,18.505,18.59,-0.17,-0.91,6864586
17/11/2020,19.24,19.28,18.57,18.76,-0.74,-3.79,7659136
