Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.99,4.15,3.95,4.09,0.05,1.24,1304482
29/01/2021,4.18,4.19,4.02,4.04,-0.04,-0.98,1465977
28/01/2021,4.17,4.18,4.02,4.08,-0.12,-2.86,2334567
27/01/2021,4.23,4.24,4.12,4.2,0.03,0.72,806796
25/01/2021,4.18,4.22,4.12,4.17,-0.01,-0.24,547671
22/01/2021,4.29,4.3,4.155,4.18,-0.05,-1.18,1071862
21/01/2021,4.36,4.38,4.2,4.23,-0.08,-1.86,1892374
20/01/2021,4.26,4.34,4.21,4.31,0.04,0.94,894887
19/01/2021,4.23,4.29,4.22,4.27,0.07,1.67,668195
18/01/2021,4.32,4.34,4.2,4.2,-0.12,-2.78,860259
15/01/2021,4.27,4.38,4.27,4.32,0.06,1.41,1055757
14/01/2021,4.32,4.34,4.26,4.26,-0.04,-0.93,507947
13/01/2021,4.33,4.33,4.26,4.3,-0.08,-1.83,805274
12/01/2021,4.34,4.43,4.34,4.38,0.04,0.92,553592
11/01/2021,4.45,4.51,4.295,4.34,-0.09,-2.03,605819
08/01/2021,4.46,4.49,4.4,4.43,0.03,0.68,1054018
07/01/2021,4.2,4.42,4.18,4.4,0.23,5.52,1584979
06/01/2021,4.21,4.26,4.15,4.17,-0.05,-1.18,732164
05/01/2021,4.23,4.29,4.19,4.22,-0.06,-1.4,929365
04/01/2021,4.19,4.3,4.17,4.28,0.09,2.15,519026
31/12/2020,4.2,4.22,4.16,4.19,-0.02,-0.48,753986
30/12/2020,4.2,4.24,4.15,4.21,0.01,0.24,1152833
29/12/2020,4.23,4.25,4.12,4.2,0,0,1114143
24/12/2020,4.2,4.25,4.19,4.2,-0.01,-0.24,181578
23/12/2020,4.24,4.29,4.19,4.21,-0.01,-0.24,473275
22/12/2020,4.22,4.28,4.13,4.22,-0.06,-1.4,1161996
21/12/2020,4.33,4.35,4.24,4.28,-0.03,-0.7,995176
18/12/2020,4.34,4.35,4.26,4.31,-0.02,-0.46,1938136
17/12/2020,4.39,4.4,4.32,4.33,-0.02,-0.46,817524
16/12/2020,4.45,4.48,4.295,4.35,-0.01,-0.23,2144069
15/12/2020,4.44,4.44,4.3,4.36,-0.1,-2.24,1447268
14/12/2020,4.4,4.525,4.38,4.46,0.08,1.83,957008
11/12/2020,4.45,4.56,4.38,4.38,-0.11,-2.45,1353627
10/12/2020,4.46,4.51,4.44,4.49,0,0,2020065
09/12/2020,4.5,4.54,4.46,4.49,0.02,0.45,601083
08/12/2020,4.45,4.52,4.45,4.47,0.02,0.45,528015
07/12/2020,4.53,4.56,4.44,4.45,-0.06,-1.33,882437
04/12/2020,4.48,4.535,4.47,4.51,0.02,0.45,448304
03/12/2020,4.56,4.57,4.44,4.49,-0.04,-0.88,3156956
02/12/2020,4.51,4.6,4.45,4.53,0.08,1.8,2375142
01/12/2020,4.45,4.56,4.39,4.45,0.08,1.83,2304911
30/11/2020,4.41,4.47,4.35,4.37,-0.05,-1.13,1898084
27/11/2020,4.46,4.52,4.4,4.42,-0.06,-1.34,2617974
26/11/2020,4.52,4.54,4.43,4.48,-0.08,-1.75,924881
25/11/2020,4.55,4.585,4.48,4.56,-0.04,-0.87,1171264
24/11/2020,4.51,4.65,4.49,4.6,0.1,2.22,2784521
23/11/2020,4.5,4.59,4.47,4.5,0.02,0.45,1714468
20/11/2020,4.34,4.5,4.34,4.48,0.16,3.7,2218480
19/11/2020,4.38,4.41,4.29,4.32,-0.1,-2.26,1500615
