Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,1.19,1.235,1.17,1.23,0.025,2.07,8998399
29/01/2021,1.195,1.222,1.19,1.205,0.03,2.55,5239913
28/01/2021,1.21,1.21,1.17,1.175,-0.04,-3.29,7432039
27/01/2021,1.255,1.265,1.195,1.215,-0.04,-3.19,11959424
25/01/2021,1.235,1.265,1.225,1.255,0.03,2.45,7413028
22/01/2021,1.265,1.287,1.225,1.225,-0.025,-2,9101032
21/01/2021,1.255,1.275,1.245,1.25,0.02,1.63,8120214
20/01/2021,1.21,1.24,1.19,1.23,0.02,1.65,6741123
19/01/2021,1.2,1.235,1.19,1.21,0.02,1.68,7853348
18/01/2021,1.2,1.225,1.187,1.19,-0.04,-3.25,9515891
15/01/2021,1.26,1.26,1.22,1.23,-0.025,-1.99,8238056
14/01/2021,1.26,1.285,1.24,1.255,-0.02,-1.57,6716101
13/01/2021,1.285,1.29,1.25,1.275,-0.01,-0.78,5885001
12/01/2021,1.27,1.29,1.26,1.285,0.02,1.58,5163215
11/01/2021,1.3,1.305,1.257,1.265,-0.09,-6.64,6896472
08/01/2021,1.4,1.415,1.35,1.355,-0.035,-2.52,3675779
07/01/2021,1.38,1.4,1.37,1.39,-0.015,-1.07,5859268
06/01/2021,1.45,1.465,1.395,1.405,-0.04,-2.77,7883411
05/01/2021,1.42,1.45,1.4,1.445,0.045,3.21,10345095
04/01/2021,1.33,1.405,1.32,1.4,0.075,5.66,8759949
31/12/2020,1.28,1.34,1.28,1.325,0.05,3.92,5197172
30/12/2020,1.26,1.28,1.23,1.275,0,0,4199069
29/12/2020,1.27,1.29,1.25,1.275,0.005,0.39,4535323
24/12/2020,1.255,1.28,1.24,1.27,0.025,2.01,2079135
23/12/2020,1.255,1.265,1.22,1.245,-0.02,-1.58,3576295
22/12/2020,1.325,1.325,1.265,1.265,-0.075,-5.6,7314754
21/12/2020,1.285,1.35,1.28,1.34,0.05,3.88,7625674
18/12/2020,1.3,1.32,1.285,1.29,0.005,0.39,11402925
17/12/2020,1.27,1.295,1.265,1.285,0.02,1.58,6356568
16/12/2020,1.22,1.275,1.22,1.265,0.065,5.42,7367870
15/12/2020,1.22,1.22,1.185,1.2,-0.02,-1.64,4124767
14/12/2020,1.215,1.23,1.19,1.22,-0.005,-0.41,5968837
11/12/2020,1.2,1.23,1.195,1.225,0.025,2.08,5113010
10/12/2020,1.205,1.2125,1.18,1.2,-0.03,-2.44,7013751
09/12/2020,1.29,1.295,1.225,1.23,-0.04,-3.15,11579650
08/12/2020,1.28,1.305,1.255,1.27,0.025,2.01,9850748
07/12/2020,1.28,1.28,1.245,1.245,-0.01,-0.8,3446390
04/12/2020,1.27,1.275,1.25,1.255,-0.02,-1.57,2748135
03/12/2020,1.305,1.31,1.26,1.275,-0.01,-0.78,5364978
02/12/2020,1.285,1.31,1.272,1.285,0.035,2.8,10385633
01/12/2020,1.2,1.255,1.195,1.25,0.055,4.6,6454238
30/11/2020,1.23,1.235,1.19,1.195,-0.05,-4.02,8885759
27/11/2020,1.25,1.265,1.23,1.245,0.025,2.05,10015116
