Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.2,3.25,3.16,3.22,0.02,0.62,752891
29/01/2021,3.24,3.27,3.2,3.2,-0.03,-0.93,617783
28/01/2021,3.25,3.3,3.17,3.23,-0.02,-0.62,1192127
27/01/2021,3.3,3.34,3.25,3.25,-0.02,-0.61,905580
25/01/2021,3.29,3.32,3.25,3.27,-0.01,-0.3,597062
22/01/2021,3.25,3.295,3.25,3.28,0.02,0.61,577495
21/01/2021,3.27,3.27,3.24,3.26,0.02,0.62,1044646
20/01/2021,3.22,3.25,3.2,3.24,0,0,372674
19/01/2021,3.22,3.25,3.19,3.24,0.05,1.57,1062514
18/01/2021,3.22,3.26,3.19,3.19,-0.03,-0.93,596688
15/01/2021,3.23,3.26,3.2,3.22,-0.01,-0.31,748441
14/01/2021,3.24,3.27,3.22,3.23,0.02,0.62,661323
13/01/2021,3.25,3.29,3.17,3.21,-0.07,-2.13,1100640
12/01/2021,3.4,3.4,3.28,3.28,-0.07,-2.09,784132
11/01/2021,3.33,3.39,3.325,3.35,-0.02,-0.59,447422
08/01/2021,3.39,3.44,3.32,3.37,-0.02,-0.59,827710
07/01/2021,3.46,3.46,3.39,3.39,-0.04,-1.17,575048
06/01/2021,3.39,3.44,3.375,3.43,-0.03,-0.87,812892
05/01/2021,3.39,3.46,3.38,3.46,-0.05,-1.42,872937
04/01/2021,3.51,3.55,3.5,3.51,0.02,0.57,521837
31/12/2020,3.58,3.59,3.49,3.49,-0.1,-2.79,415377
30/12/2020,3.65,3.66,3.545,3.59,-0.16,-4.27,871866
29/12/2020,3.7,3.77,3.66,3.75,0.06,1.63,978351
24/12/2020,3.53,3.73,3.53,3.69,0.16,4.53,1014250
23/12/2020,3.55,3.56,3.5,3.53,0.04,1.15,573694
22/12/2020,3.47,3.505,3.44,3.49,0.02,0.58,949097
21/12/2020,3.53,3.54,3.44,3.47,-0.08,-2.25,1297777
18/12/2020,3.59,3.6,3.55,3.55,-0.04,-1.11,1192561
17/12/2020,3.55,3.59,3.54,3.59,0.03,0.84,1382617
16/12/2020,3.59,3.61,3.55,3.56,-0.03,-0.84,624994
15/12/2020,3.56,3.6,3.55,3.59,0,0,653695
14/12/2020,3.51,3.61,3.51,3.59,0.07,1.99,871722
11/12/2020,3.51,3.56,3.5,3.52,-0.02,-0.56,877929
10/12/2020,3.53,3.56,3.51,3.54,-0.02,-0.56,941605
09/12/2020,3.57,3.6,3.55,3.56,-0.01,-0.28,602648
08/12/2020,3.6,3.61,3.56,3.57,-0.03,-0.83,586885
07/12/2020,3.66,3.68,3.59,3.6,-0.02,-0.55,786174
04/12/2020,3.62,3.66,3.62,3.62,-0.01,-0.28,608474
03/12/2020,3.63,3.66,3.59,3.63,-0.03,-0.82,870370
02/12/2020,3.64,3.67,3.6,3.66,-0.01,-0.27,855812
01/12/2020,3.6,3.71,3.59,3.67,0.02,0.55,997738
30/11/2020,3.71,3.72,3.63,3.65,-0.08,-2.14,1480293
27/11/2020,3.77,3.78,3.69,3.73,0.02,0.54,455205
26/11/2020,3.74,3.75,3.7,3.71,-0.02,-0.54,632380
25/11/2020,3.7,3.75,3.69,3.73,0.01,0.27,480908
24/11/2020,3.74,3.77,3.7,3.72,0.08,2.2,1558674
23/11/2020,3.74,3.74,3.63,3.64,-0.08,-2.15,1374497
20/11/2020,3.73,3.75,3.7,3.72,-0.01,-0.27,438146
19/11/2020,3.66,3.75,3.65,3.73,0.04,1.08,1052279
18/11/2020,3.73,3.74,3.69,3.69,-0.02,-0.54,760521
17/11/2020,3.7,3.725,3.67,3.71,0.04,1.09,939673
16/11/2020,3.69,3.69,3.66,3.67,0.04,1.1,11973
13/11/2020,3.64,3.68,3.61,3.63,-0.06,-1.63,501275
12/11/2020,3.81,3.81,3.65,3.69,0.02,0.54,1125244
11/11/2020,3.67,3.7,3.63,3.67,0.05,1.38,2344483
10/11/2020,3.73,3.76,3.57,3.62,0.03,0.84,2185775
09/11/2020,3.65,3.65,3.57,3.59,0.03,0.84,1168306
06/11/2020,3.54,3.58,3.5,3.56,-0.04,-1.11,1847620
05/11/2020,3.6,3.65,3.56,3.6,-0.03,-0.83,3570845
04/11/2020,3.58,3.75,3.57,3.63,0.05,1.4,1376503
03/11/2020,3.45,3.59,3.45,3.58,0.15,4.37,1089380
02/11/2020,3.4,3.45,3.4,3.43,0.03,0.88,1263480
30/10/2020,3.39,3.44,3.39,3.4,0.02,0.59,1128060
29/10/2020,3.4,3.42,3.335,3.38,-0.03,-0.88,1101525
28/10/2020,3.37,3.42,3.35,3.41,-0.01,-0.29,875677
27/10/2020,3.44,3.48,3.4,3.42,-0.06,-1.72,1872073
26/10/2020,3.44,3.5,3.44,3.48,0,0,872562
23/10/2020,3.44,3.49,3.42,3.48,0.02,0.58,1420507
22/10/2020,3.39,3.465,3.39,3.46,0.02,0.58,821355
21/10/2020,3.36,3.44,3.36,3.44,0.04,1.18,908479
20/10/2020,3.41,3.47,3.36,3.4,-0.04,-1.16,1265175
19/10/2020,3.55,3.55,3.43,3.44,-0.04,-1.15,689775
16/10/2020,3.56,3.56,3.475,3.48,-0.08,-2.25,420717
15/10/2020,3.49,3.56,3.48,3.56,0.06,1.71,722623
14/10/2020,3.5,3.54,3.465,3.5,-0.01,-0.28,536255
13/10/2020,3.48,3.53,3.47,3.51,0.03,0.86,999540
12/10/2020,3.42,3.48,3.42,3.48,0,0,848127
09/10/2020,3.52,3.53,3.47,3.48,-0.01,-0.29,1092772
08/10/2020,3.55,3.57,3.465,3.49,-0.07,-1.97,1061761
07/10/2020,3.57,3.57,3.51,3.56,0.04,1.14,1083401
06/10/2020,3.58,3.59,3.5,3.52,-0.02,-0.56,866134
05/10/2020,3.48,3.57,3.47,3.54,0.14,4.12,982532
02/10/2020,3.42,3.48,3.4,3.4,-0.01,-0.29,1126989
01/10/2020,3.36,3.44,3.35,3.41,0.06,1.79,790082
30/09/2020,3.36,3.4,3.35,3.35,-0.07,-2.05,1400464
29/09/2020,3.46,3.48,3.38,3.42,-0.03,-0.87,975168
28/09/2020,3.4,3.46,3.4,3.45,0.01,0.29,607524
25/09/2020,3.36,3.44,3.34,3.44,0.04,1.18,606156
24/09/2020,3.37,3.41,3.35,3.4,0.02,0.59,658498
23/09/2020,3.41,3.41,3.34,3.38,0.03,0.9,903390
22/09/2020,3.33,3.385,3.33,3.35,0,0,1018238
21/09/2020,3.43,3.43,3.34,3.35,0,0,1201129
18/09/2020,3.38,3.4,3.335,3.35,-0.02,-0.59,1397683
17/09/2020,3.41,3.43,3.37,3.37,-0.04,-1.17,996795
16/09/2020,3.38,3.435,3.36,3.41,0.05,1.49,719407
15/09/2020,3.34,3.38,3.33,3.36,0.05,1.51,895730
14/09/2020,3.34,3.36,3.31,3.31,-0.02,-0.6,737346
11/09/2020,3.31,3.345,3.28,3.33,0,0,682308
10/09/2020,3.35,3.37,3.29,3.33,-0.03,-0.89,1596335
09/09/2020,3.29,3.36,3.275,3.36,-0.01,-0.3,794603
08/09/2020,3.37,3.4,3.335,3.37,0.02,0.6,631261
07/09/2020,3.33,3.36,3.27,3.35,0.01,0.3,1135544
04/09/2020,3.34,3.36,3.31,3.34,-0.07,-2.05,1139472
03/09/2020,3.4,3.43,3.38,3.41,0.02,0.59,1027524
02/09/2020,3.33,3.4,3.33,3.39,0.11,3.35,739959
01/09/2020,3.31,3.38,3.28,3.28,-0.07,-2.09,1790364
31/08/2020,3.36,3.41,3.32,3.35,-0.06,-1.76,1580600
28/08/2020,3.36,3.43,3.36,3.41,0.06,1.79,1127651
27/08/2020,3.3,3.37,3.26,3.35,0.05,1.52,1202315
26/08/2020,3.31,3.36,3.255,3.3,-0.09,-2.65,1198580
25/08/2020,3.29,3.39,3.27,3.39,0.14,4.31,1116068
24/08/2020,3.28,3.29,3.21,3.25,-0.01,-0.31,1173455
21/08/2020,3.23,3.26,3.19,3.26,0.02,0.62,948745
20/08/2020,3.09,3.24,3.08,3.24,0.11,3.51,815282
19/08/2020,3.2,3.23,3.13,3.13,-0.09,-2.8,1160307
18/08/2020,3.23,3.31,3.21,3.22,-0.01,-0.31,1602060
17/08/2020,3.17,3.23,3.17,3.23,0,0,939733
14/08/2020,3.24,3.27,3.2,3.23,0.02,0.62,1066362
13/08/2020,3.25,3.26,3.18,3.21,0.01,0.31,1242110
12/08/2020,3.24,3.24,3.14,3.2,-0.04,-1.23,1040543
11/08/2020,3.14,3.27,3.14,3.24,0.09,2.86,1539664
10/08/2020,3.1,3.17,3.08,3.15,0.05,1.61,1145432
07/08/2020,3.08,3.11,3.06,3.1,0.02,0.65,1339874
06/08/2020,3.13,3.16,3.05,3.08,-0.05,-1.6,1276672
05/08/2020,3.15,3.2,3.12,3.13,-0.04,-1.26,1227786
04/08/2020,3.17,3.2,3.13,3.17,0.03,0.96,1404052
03/08/2020,3.15,3.18,3.13,3.14,-0.07,-2.18,1864909
31/07/2020,3.2,3.22,3.18,3.21,0.01,0.31,1009561
