Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.29,4.35,4.245,4.28,-0.04,-0.93,6670938
29/01/2021,4.38,4.44,4.28,4.32,-0.05,-1.14,7854903
28/01/2021,4.33,4.4,4.25,4.37,-0.02,-0.46,7846356
27/01/2021,4.4,4.45,4.36,4.39,0.05,1.15,5883626
25/01/2021,4.36,4.39,4.32,4.34,-0.03,-0.69,4075239
22/01/2021,4.32,4.395,4.32,4.37,0.01,0.23,5073383
21/01/2021,4.42,4.42,4.32,4.36,-0.02,-0.46,4204781
20/01/2021,4.35,4.4,4.32,4.38,-0.03,-0.68,5602178
19/01/2021,4.39,4.43,4.37,4.41,0.05,1.15,4233575
18/01/2021,4.41,4.44,4.35,4.36,-0.03,-0.68,2935287
15/01/2021,4.32,4.435,4.32,4.39,0.04,0.92,6005835
14/01/2021,4.4,4.42,4.33,4.35,0,0,8766896
13/01/2021,4.33,4.35,4.28,4.35,0.04,0.93,8451479
12/01/2021,4.41,4.42,4.31,4.31,-0.08,-1.82,5732449
11/01/2021,4.45,4.46,4.37,4.39,-0.07,-1.57,3861873
08/01/2021,4.57,4.58,4.43,4.46,-0.09,-1.98,6101462
07/01/2021,4.58,4.62,4.52,4.55,0.02,0.44,4811373
06/01/2021,4.45,4.53,4.45,4.53,0.01,0.22,5415389
05/01/2021,4.44,4.52,4.44,4.52,-0.02,-0.44,5762832
04/01/2021,4.56,4.57,4.51,4.54,0.04,0.89,2786754
31/12/2020,4.63,4.65,4.5,4.5,-0.14,-3.02,3521732
30/12/2020,4.6,4.64,4.56,4.64,0.01,0.22,5758379
29/12/2020,4.66,4.68,4.59,4.63,0.03,0.65,3570404
24/12/2020,4.56,4.63,4.56,4.6,0.01,0.22,2033976
23/12/2020,4.57,4.63,4.54,4.59,0.09,2,5624195
22/12/2020,4.47,4.545,4.44,4.5,0.01,0.22,9110200
21/12/2020,4.5,4.53,4.45,4.49,-0.09,-1.97,5280966
18/12/2020,4.72,4.74,4.56,4.58,-0.17,-3.58,9120051
17/12/2020,4.73,4.77,4.71,4.75,0.02,0.42,6860506
16/12/2020,4.86,4.87,4.72,4.73,-0.05,-1.05,6835257
15/12/2020,4.76,4.84,4.74,4.78,0.04,0.84,5424970
14/12/2020,4.67,4.77,4.66,4.74,0.09,1.94,5746100
11/12/2020,4.63,4.69,4.62,4.65,-0.05,-1.06,5268514
10/12/2020,4.63,4.705,4.63,4.7,0.01,0.21,5431348
09/12/2020,4.73,4.75,4.66,4.69,-0.06,-1.26,7711691
08/12/2020,4.75,4.78,4.71,4.75,0,0,9246332
07/12/2020,4.75,4.81,4.7,4.75,0.08,1.71,5963888
04/12/2020,4.64,4.71,4.64,4.67,0.03,0.65,4762867
03/12/2020,4.66,4.685,4.59,4.64,-0.04,-0.85,7895065
02/12/2020,4.67,4.69,4.63,4.68,0.01,0.21,5943776
01/12/2020,4.65,4.73,4.61,4.67,-0.05,-1.06,7674765
30/11/2020,4.77,4.795,4.7,4.72,-0.02,-0.42,15588091
27/11/2020,4.72,4.79,4.69,4.74,0.02,0.42,5094342
26/11/2020,4.78,4.82,4.705,4.72,-0.02,-0.42,4260951
25/11/2020,4.69,4.76,4.67,4.74,0.08,1.72,5081134
24/11/2020,4.7,4.7,4.59,4.66,0.04,0.87,6556529
23/11/2020,4.66,4.66,4.6,4.62,-0.01,-0.22,3790492
20/11/2020,4.58,4.65,4.58,4.63,0.04,0.87,10323851
19/11/2020,4.54,4.61,4.53,4.59,-0.07,-1.5,11916569
18/11/2020,4.77,4.78,4.62,4.66,-0.1,-2.1,11137748
17/11/2020,4.77,4.79,4.72,4.76,0.02,0.42,14107241
16/11/2020,4.76,4.77,4.72,4.74,0.07,1.5,317973
13/11/2020,4.64,4.69,4.6,4.67,-0.11,-2.3,7510789
12/11/2020,4.75,4.85,4.7,4.78,-0.08,-1.65,10952728
11/11/2020,4.83,4.88,4.78,4.86,0.15,3.18,14239049
10/11/2020,4.78,4.94,4.66,4.71,0.42,9.79,18598530
09/11/2020,4.31,4.33,4.26,4.29,0.02,0.47,4646263
06/11/2020,4.25,4.28,4.2,4.27,0,0,11956751
05/11/2020,4.25,4.32,4.23,4.27,0.02,0.47,7625844
04/11/2020,4.12,4.3,4.12,4.25,0.05,1.19,7636460
03/11/2020,4.18,4.2,4.07,4.2,0.05,1.2,11229144
02/11/2020,4.07,4.18,4.04,4.15,0.12,2.98,8395855
30/10/2020,4.02,4.09,4.02,4.03,-0.01,-0.25,10738019
29/10/2020,4.06,4.11,4.02,4.04,-0.07,-1.7,9390164
28/10/2020,4.15,4.17,4.09,4.11,-0.14,-3.29,10278431
27/10/2020,4.24,4.27,4.21,4.25,-0.02,-0.47,13686959
26/10/2020,4.2,4.3,4.17,4.27,0.08,1.91,15175052
23/10/2020,4.13,4.2,4.1,4.19,0.06,1.45,4894969
22/10/2020,4.15,4.17,4.095,4.13,-0.07,-1.67,8706696
21/10/2020,4.17,4.24,4.15,4.2,0.07,1.69,9668698
20/10/2020,4,4.16,3.98,4.13,0.12,2.99,7485835
19/10/2020,4.09,4.09,3.97,4.01,-0.02,-0.5,4917540
16/10/2020,4.17,4.18,4.03,4.03,-0.2,-4.73,10421428
15/10/2020,4.08,4.23,4.07,4.23,0.14,3.42,6336109
14/10/2020,4.08,4.1,4.04,4.09,-0.02,-0.49,4702905
13/10/2020,4.14,4.14,4.06,4.11,0.01,0.24,7441594
