Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.85,11.98,11.69,11.9,-0.03,-0.25,173871
29/01/2021,12.2,12.2,11.88,11.93,-0.09,-0.75,321577
28/01/2021,12.14,12.28,11.85,12.02,-0.23,-1.88,360715
27/01/2021,12.35,12.46,12.06,12.25,-0.11,-0.89,268432
25/01/2021,12.1,12.38,11.97,12.36,0,0,232811
22/01/2021,12.1,12.45,12.1,12.36,0.11,0.9,173722
21/01/2021,12.21,12.29,12.1,12.25,0.08,0.66,501031
20/01/2021,11.86,12.28,11.8,12.17,0.16,1.33,356242
19/01/2021,11.98,12.19,11.93,12.01,0.19,1.61,378775
18/01/2021,11.32,11.91,11.31,11.82,0.52,4.6,301719
15/01/2021,11.25,11.44,11.23,11.3,0.07,0.62,280376
14/01/2021,11,11.32,10.96,11.23,0.12,1.08,228108
13/01/2021,10.95,11.22,10.95,11.11,0.2,1.83,373307
12/01/2021,10.94,11.18,10.91,10.91,0,0,287872
11/01/2021,11.1,11.2,10.85,10.91,-0.36,-3.19,303568
08/01/2021,11.2,11.31,11.14,11.27,0.09,0.81,170853
07/01/2021,11.25,11.26,11.085,11.18,0.15,1.36,174904
06/01/2021,11.26,11.35,10.965,11.03,-0.27,-2.39,328285
05/01/2021,11.5,11.64,11.22,11.3,-0.36,-3.09,322715
04/01/2021,11.88,11.91,11.55,11.66,-0.08,-0.68,209200
31/12/2020,12.07,12.33,11.74,11.74,-0.57,-4.63,262264
30/12/2020,12.06,12.31,11.99,12.31,0.2,1.65,183033
29/12/2020,12.48,12.5,11.98,12.11,-0.15,-1.22,300469
24/12/2020,12.45,12.51,12.25,12.26,-0.15,-1.21,163240
23/12/2020,11.8,12.45,11.755,12.41,0.66,5.62,377243
22/12/2020,11.8,11.96,11.67,11.75,-0.14,-1.18,570264
21/12/2020,11.9,12.01,11.77,11.89,-0.03,-0.25,272963
18/12/2020,11.84,12.07,11.83,11.92,0,0,531468
17/12/2020,11.32,12.03,11.32,11.92,0.46,4.01,560196
16/12/2020,11.56,11.59,11.4,11.46,0.03,0.26,240787
15/12/2020,11.29,11.51,11.18,11.43,0.12,1.06,361604
