Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.36,3.515,3.36,3.5,0.05,1.45,1611258
29/01/2021,3.55,3.55,3.42,3.45,-0.05,-1.43,1189321
28/01/2021,3.49,3.54,3.4,3.5,-0.01,-0.28,946971
27/01/2021,3.55,3.55,3.49,3.51,-0.03,-0.85,444235
25/01/2021,3.52,3.55,3.48,3.54,0.02,0.57,352320
22/01/2021,3.52,3.55,3.49,3.52,-0.01,-0.28,491736
21/01/2021,3.57,3.58,3.5,3.53,-0.01,-0.28,572004
20/01/2021,3.56,3.56,3.495,3.54,0.04,1.14,514621
19/01/2021,3.41,3.51,3.4,3.5,0.14,4.17,472869
18/01/2021,3.37,3.44,3.35,3.36,-0.03,-0.88,291892
15/01/2021,3.34,3.43,3.34,3.39,0.05,1.5,1810002
14/01/2021,3.28,3.39,3.255,3.34,0.02,0.6,2003812
13/01/2021,3.36,3.37,3.32,3.32,0.04,1.22,1133568
12/01/2021,3.41,3.46,3.28,3.28,-0.05,-1.5,992527
11/01/2021,3.32,3.44,3.32,3.33,-0.09,-2.63,685650
08/01/2021,3.47,3.47,3.38,3.42,0.01,0.29,797167
07/01/2021,3.52,3.52,3.41,3.41,-0.06,-1.73,848382
06/01/2021,3.42,3.5,3.42,3.47,0,0,1399286
05/01/2021,3.49,3.51,3.46,3.47,-0.05,-1.42,622905
04/01/2021,3.49,3.55,3.48,3.52,0.03,0.86,706696
31/12/2020,3.47,3.52,3.47,3.49,-0.02,-0.57,533386
30/12/2020,3.5,3.54,3.47,3.51,0.01,0.29,486373
29/12/2020,3.42,3.525,3.42,3.5,0.06,1.74,582524
24/12/2020,3.42,3.47,3.42,3.44,-0.02,-0.58,365576
23/12/2020,3.45,3.47,3.38,3.46,0.07,2.06,594331
22/12/2020,3.51,3.51,3.37,3.39,-0.03,-0.88,1238506
21/12/2020,3.31,3.44,3.3,3.42,0.05,1.48,2342563
18/12/2020,3.34,3.43,3.305,3.37,-0.14,-3.99,3398161
17/12/2020,3.37,3.52,3.34,3.51,0.17,5.09,3147516
16/12/2020,3.32,3.41,3.27,3.34,-0.02,-0.6,2461176
15/12/2020,3.24,3.37,3.19,3.36,0.07,2.13,2373662
14/12/2020,3.08,3.32,3.08,3.29,0.23,7.52,2862791
11/12/2020,3.03,3.11,3.02,3.06,-0.04,-1.29,1119138
10/12/2020,3.09,3.155,3.08,3.1,-0.02,-0.64,1088634
09/12/2020,3.12,3.17,3.09,3.12,0.04,1.3,1527777
08/12/2020,3.1,3.15,3.02,3.08,-0.04,-1.28,1309527
07/12/2020,3,3.17,3,3.12,0.12,4,1864078
04/12/2020,3,3.06,2.99,3,0,0,1587558
03/12/2020,3.02,3.075,2.99,3,-0.05,-1.64,1412263
02/12/2020,2.96,3.06,2.93,3.05,0.11,3.74,1114919
01/12/2020,2.86,2.96,2.86,2.94,0.06,2.08,862615
30/11/2020,2.97,3.01,2.87,2.88,-0.04,-1.37,1776061
27/11/2020,2.93,2.96,2.88,2.92,0.04,1.39,1414329
26/11/2020,2.93,2.97,2.85,2.88,-0.06,-2.04,816957
25/11/2020,2.89,2.97,2.85,2.94,0.05,1.73,941292
24/11/2020,2.94,2.94,2.86,2.89,0.01,0.35,595562
23/11/2020,2.93,2.98,2.85,2.88,-0.05,-1.71,1581027
20/11/2020,2.84,2.95,2.84,2.93,0.07,2.45,576395
19/11/2020,2.89,2.91,2.84,2.86,-0.03,-1.04,1230236
18/11/2020,2.88,2.945,2.845,2.89,0.03,1.05,1121252
17/11/2020,2.85,2.87,2.83,2.86,0.01,0.35,1205708
16/11/2020,2.86,2.86,2.85,2.85,-0.02,-0.7,3403
13/11/2020,2.87,2.89,2.83,2.87,0.07,2.5,1301609
12/11/2020,2.78,2.82,2.76,2.8,0.03,1.08,2346544
11/11/2020,2.8,2.8,2.72,2.77,0.02,0.73,1070283
10/11/2020,2.87,2.9,2.72,2.75,-0.02,-0.72,1802293
09/11/2020,2.77,2.84,2.72,2.77,0.07,2.59,1471223
06/11/2020,2.85,2.85,2.675,2.7,-0.07,-2.53,921055
05/11/2020,2.71,2.83,2.685,2.77,0.06,2.21,2027412
04/11/2020,2.69,2.82,2.64,2.71,-0.02,-0.73,1075126
03/11/2020,2.69,2.78,2.68,2.73,0.07,2.63,1416477
02/11/2020,2.6,2.69,2.57,2.66,0.02,0.76,1312591
30/10/2020,2.74,2.78,2.63,2.64,-0.12,-4.35,1515288
29/10/2020,2.75,2.8,2.71,2.76,-0.01,-0.36,842250
28/10/2020,2.75,2.83,2.75,2.77,-0.03,-1.07,985245
27/10/2020,2.89,2.89,2.8,2.8,-0.12,-4.11,710046
26/10/2020,2.92,2.965,2.89,2.92,-0.02,-0.68,474423
23/10/2020,2.97,2.97,2.87,2.94,-0.06,-2,895845
22/10/2020,2.99,3.05,2.955,3,-0.06,-1.96,667538
21/10/2020,3.01,3.11,3,3.06,0,0,1366512
20/10/2020,2.99,3.11,2.99,3.06,-0.01,-0.33,884006
19/10/2020,3.07,3.09,3,3.07,0.06,1.99,557740
16/10/2020,2.98,3.02,2.94,3.01,0.05,1.69,905459
15/10/2020,3.04,3.04,2.96,2.96,-0.05,-1.66,504846
14/10/2020,2.94,3.05,2.92,3.01,0.07,2.38,994025
13/10/2020,2.84,2.94,2.83,2.94,0.11,3.89,981615
12/10/2020,2.87,2.87,2.83,2.83,-0.04,-1.39,403149
09/10/2020,2.86,2.91,2.85,2.87,0,0,580033
08/10/2020,2.88,2.91,2.85,2.87,0.01,0.35,678191
07/10/2020,2.88,2.91,2.825,2.86,-0.01,-0.35,878226
06/10/2020,2.89,2.93,2.85,2.87,-0.02,-0.69,636286
05/10/2020,2.88,2.935,2.855,2.89,0.06,2.12,683582
02/10/2020,2.8,2.845,2.79,2.83,0.01,0.35,1093420
01/10/2020,2.71,2.85,2.7,2.82,0.04,1.44,750541
30/09/2020,2.75,2.82,2.74,2.78,0.02,0.72,1933997
29/09/2020,2.77,2.8,2.735,2.76,0.01,0.36,943111
28/09/2020,2.79,2.82,2.75,2.75,-0.04,-1.43,562626
25/09/2020,2.72,2.79,2.7,2.79,0.04,1.45,1057047
24/09/2020,2.67,2.78,2.67,2.75,0.01,0.36,703557
23/09/2020,2.69,2.745,2.68,2.74,0.07,2.62,1369594
22/09/2020,2.69,2.705,2.63,2.67,-0.03,-1.11,719543
21/09/2020,2.63,2.71,2.63,2.7,0.07,2.66,940428
18/09/2020,2.57,2.66,2.55,2.63,0.06,2.33,1250050
17/09/2020,2.61,2.65,2.56,2.57,-0.02,-0.77,1567968
16/09/2020,2.65,2.65,2.58,2.59,-0.05,-1.89,2368703
15/09/2020,2.57,2.65,2.57,2.64,-0.01,-0.38,1843774
14/09/2020,2.6,2.7,2.6,2.65,0.08,3.11,844043
11/09/2020,2.5,2.59,2.48,2.57,0.02,0.78,1064170
10/09/2020,2.5,2.56,2.49,2.55,0.06,2.41,816736
09/09/2020,2.45,2.5,2.43,2.49,-0.02,-0.8,1046504
08/09/2020,2.43,2.53,2.43,2.51,-0.01,-0.4,754774
07/09/2020,2.56,2.58,2.5,2.52,-0.07,-2.7,958695
04/09/2020,2.53,2.61,2.53,2.59,-0.03,-1.15,1105036
03/09/2020,2.69,2.7,2.6,2.62,-0.03,-1.13,836500
02/09/2020,2.49,2.68,2.47,2.65,0.2,8.16,1908455
01/09/2020,2.5,2.5,2.41,2.45,-0.08,-3.16,1392256
31/08/2020,2.5,2.55,2.5,2.53,0,0,814340
28/08/2020,2.51,2.55,2.51,2.53,-0.02,-0.78,515574
27/08/2020,2.53,2.58,2.52,2.55,0.04,1.59,1013847
26/08/2020,2.59,2.59,2.5,2.51,-0.06,-2.33,1772365
25/08/2020,2.53,2.58,2.49,2.57,0.09,3.63,858805
24/08/2020,2.5,2.53,2.46,2.48,-0.02,-0.8,853166
21/08/2020,2.55,2.57,2.495,2.5,-0.04,-1.57,584107
20/08/2020,2.45,2.54,2.44,2.54,0.09,3.67,1355672
19/08/2020,2.45,2.51,2.43,2.45,0.02,0.82,1545981
18/08/2020,2.45,2.47,2.4,2.43,-0.04,-1.62,2738625
17/08/2020,2.58,2.61,2.44,2.47,-0.29,-10.51,4145515
14/08/2020,2.7,2.78,2.7,2.76,0.04,1.47,368500
13/08/2020,2.7,2.74,2.67,2.72,0.04,1.49,547760
12/08/2020,2.74,2.74,2.66,2.68,0,0,762321
11/08/2020,2.72,2.75,2.66,2.68,-0.04,-1.47,708266
10/08/2020,2.81,2.81,2.72,2.72,0,0,573233
07/08/2020,2.75,2.78,2.71,2.72,-0.02,-0.73,350624
06/08/2020,2.75,2.79,2.72,2.74,0.04,1.48,653183
05/08/2020,2.71,2.76,2.66,2.7,-0.06,-2.17,625608
04/08/2020,2.84,2.86,2.73,2.76,-0.01,-0.36,680702
03/08/2020,2.86,2.9,2.715,2.77,-0.08,-2.81,1241878
31/07/2020,2.74,2.87,2.74,2.85,0.18,6.74,2502597
30/07/2020,2.64,2.67,2.605,2.67,0.04,1.52,439431
29/07/2020,2.57,2.64,2.57,2.63,0.01,0.38,719466
28/07/2020,2.6,2.64,2.57,2.62,0.05,1.95,544956
27/07/2020,2.56,2.6,2.55,2.57,0,0,328282
24/07/2020,2.55,2.6,2.55,2.57,-0.02,-0.77,299835
23/07/2020,2.55,2.63,2.55,2.59,0.03,1.17,700710
22/07/2020,2.58,2.62,2.55,2.56,-0.02,-0.78,3183450
21/07/2020,2.61,2.63,2.53,2.58,0.04,1.57,886321
20/07/2020,2.61,2.66,2.53,2.54,-0.06,-2.31,849745
17/07/2020,2.62,2.72,2.55,2.6,0.04,1.56,1171069
16/07/2020,2.67,2.67,2.55,2.56,-0.04,-1.54,1019452
15/07/2020,2.7,2.72,2.58,2.6,0,0,547559
14/07/2020,2.67,2.69,2.59,2.6,0,0,1485379
13/07/2020,2.62,2.64,2.53,2.6,0.02,0.78,628833
10/07/2020,2.55,2.64,2.55,2.58,0.01,0.39,434637
09/07/2020,2.67,2.7,2.55,2.57,-0.08,-3.02,833261
08/07/2020,2.77,2.91,2.65,2.65,-0.12,-4.33,499587
07/07/2020,2.8,2.84,2.74,2.77,-0.03,-1.07,517514
06/07/2020,2.73,2.85,2.73,2.8,0.12,4.48,748341
03/07/2020,2.78,2.78,2.66,2.68,-0.04,-1.47,798702
02/07/2020,2.77,2.84,2.69,2.72,-0.05,-1.81,1098580
01/07/2020,2.83,2.84,2.71,2.77,0,0,723632
30/06/2020,2.76,2.875,2.73,2.77,0.1,3.75,1179325
29/06/2020,2.75,2.87,2.66,2.67,-0.04,-1.48,943451
26/06/2020,2.89,2.91,2.71,2.71,-0.14,-4.91,2137350
25/06/2020,3,3,2.85,2.85,-0.22,-7.17,681475
24/06/2020,3.07,3.15,3.01,3.07,0.01,0.33,1262081
23/06/2020,3.2,3.2,3.035,3.06,-0.07,-2.24,935450
22/06/2020,3.01,3.19,3.01,3.13,0.03,0.97,564371
19/06/2020,3.2,3.25,3.07,3.1,0.03,0.98,1032890
18/06/2020,3,3.08,2.96,3.07,0.03,0.99,1190602
17/06/2020,3.04,3.11,3,3.04,0.02,0.66,1368319
16/06/2020,3.03,3.15,2.94,3.02,0.16,5.59,972885
15/06/2020,2.91,2.97,2.85,2.86,-0.09,-3.05,822229
12/06/2020,2.98,3.04,2.9,2.95,-0.07,-2.32,1043724
11/06/2020,3,3.145,2.99,3.02,-0.03,-0.98,1515074
10/06/2020,3.09,3.17,3.04,3.05,-0.03,-0.97,1479693
09/06/2020,3.33,3.37,3.07,3.08,-0.23,-6.95,1511128
05/06/2020,3.22,3.38,3.2,3.31,0.06,1.85,604863
04/06/2020,3.36,3.41,3.24,3.25,0,0,1430999
03/06/2020,3.26,3.31,3.2,3.25,0.06,1.88,984884
02/06/2020,3.11,3.25,3.11,3.19,0.09,2.9,1401613
01/06/2020,2.93,3.13,2.86,3.1,0.12,4.03,1064049
29/05/2020,3.04,3.11,2.9,2.98,0.02,0.68,1047053
28/05/2020,2.82,2.97,2.82,2.96,0.18,6.47,688314
27/05/2020,2.67,2.84,2.67,2.78,0.03,1.09,818096
26/05/2020,2.75,2.79,2.67,2.75,0.05,1.85,1274354
25/05/2020,2.65,2.7,2.64,2.7,0.12,4.65,1388105
22/05/2020,2.61,2.62,2.53,2.58,-0.09,-3.37,1118967
21/05/2020,2.77,2.79,2.65,2.67,-0.09,-3.26,937329
20/05/2020,2.68,2.83,2.68,2.76,0.01,0.36,847617
19/05/2020,2.8,2.83,2.73,2.75,0.04,1.48,454661
18/05/2020,2.74,2.75,2.66,2.71,0,0,553381
15/05/2020,2.63,2.71,2.6,2.71,0.1,3.83,364954
14/05/2020,2.78,2.78,2.61,2.61,-0.04,-1.51,563062
13/05/2020,2.6,2.66,2.55,2.65,-0.04,-1.49,737717
12/05/2020,2.67,2.7,2.66,2.69,0.01,0.37,500000
11/05/2020,2.64,2.71,2.63,2.68,0.07,2.68,430411
