Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.81,3.93,3.81,3.92,0.04,1.03,988706
29/01/2021,3.85,3.94,3.85,3.88,0.03,0.78,1138003
28/01/2021,3.87,3.88,3.78,3.85,-0.08,-2.04,1761499
27/01/2021,3.91,3.96,3.895,3.93,-0.03,-0.76,1242418
25/01/2021,3.95,3.97,3.91,3.96,0.02,0.51,504203
22/01/2021,3.92,3.96,3.92,3.94,0.01,0.25,1132824
21/01/2021,3.98,3.98,3.89,3.93,-0.02,-0.51,1209355
20/01/2021,3.88,3.97,3.855,3.95,0.03,0.77,2382413
19/01/2021,3.87,3.92,3.87,3.92,0.07,1.82,760400
18/01/2021,3.86,3.9,3.845,3.85,-0.03,-0.77,702365
15/01/2021,3.88,3.94,3.83,3.88,-0.04,-1.02,1346655
14/01/2021,3.91,3.935,3.87,3.92,-0.01,-0.25,1711021
13/01/2021,3.87,3.96,3.87,3.93,0.04,1.03,1711440
12/01/2021,3.9,3.93,3.87,3.89,0.02,0.52,1731402
11/01/2021,3.91,3.91,3.84,3.87,-0.03,-0.77,1564603
08/01/2021,3.8,3.9,3.8,3.9,0.1,2.63,836168
07/01/2021,3.85,3.87,3.78,3.8,-0.02,-0.52,1343805
06/01/2021,3.77,3.83,3.72,3.82,0.02,0.53,2068819
05/01/2021,3.7,3.82,3.66,3.8,0.03,0.8,1534533
04/01/2021,3.73,3.77,3.69,3.77,0.04,1.07,1619970
31/12/2020,3.75,3.8,3.7,3.73,-0.03,-0.8,1330042
30/12/2020,3.8,3.83,3.725,3.76,-0.04,-1.05,1156746
29/12/2020,3.82,3.85,3.77,3.8,-0.02,-0.52,1329426
24/12/2020,3.86,3.86,3.78,3.82,-0.01,-0.26,641111
23/12/2020,3.91,3.91,3.82,3.83,-0.01,-0.26,1609278
22/12/2020,3.85,3.89,3.835,3.84,-0.05,-1.29,2927742
21/12/2020,3.83,3.92,3.82,3.89,0.02,0.52,3142341
18/12/2020,3.96,3.96,3.82,3.87,-0.11,-2.76,3752605
17/12/2020,3.98,3.98,3.87,3.98,0.06,1.53,4710090
16/12/2020,3.92,3.96,3.87,3.92,0.01,0.26,7009637
15/12/2020,3.87,3.96,3.87,3.91,0.02,0.51,3145102
14/12/2020,3.96,3.98,3.82,3.89,-0.01,-0.26,2663785
11/12/2020,3.88,3.99,3.84,3.9,-0.05,-1.27,3104766
10/12/2020,3.95,4.01,3.89,3.95,0.05,1.28,5246822
09/12/2020,3.73,3.93,3.73,3.9,0.27,7.44,8044454
08/12/2020,3.58,3.65,3.58,3.63,0.04,1.11,2415898
07/12/2020,3.6,3.64,3.58,3.59,-0.01,-0.28,2072377
04/12/2020,3.63,3.67,3.6,3.6,-0.03,-0.83,1903938
03/12/2020,3.58,3.63,3.56,3.63,-0.07,-1.89,100460467
02/12/2020,3.62,3.72,3.62,3.7,0.02,0.54,2107069
01/12/2020,3.68,3.71,3.64,3.68,0,0,2220185
30/11/2020,3.7,3.71,3.66,3.68,-0.01,-0.27,2210321
27/11/2020,3.69,3.72,3.64,3.69,0.03,0.82,5706523
26/11/2020,3.65,3.67,3.59,3.66,0.03,0.83,1460983
25/11/2020,3.58,3.66,3.57,3.63,0.04,1.11,1603993
24/11/2020,3.56,3.6,3.54,3.59,0.03,0.84,1743453
23/11/2020,3.55,3.59,3.51,3.56,0.03,0.85,4908629
20/11/2020,3.55,3.57,3.53,3.53,-0.06,-1.67,1395019
19/11/2020,3.56,3.61,3.52,3.59,0.02,0.56,4027110
18/11/2020,3.57,3.59,3.53,3.57,0.01,0.28,5716480
17/11/2020,3.52,3.57,3.51,3.56,0.01,0.28,4541906
16/11/2020,3.54,3.55,3.53,3.55,0.04,1.14,152039
13/11/2020,3.5,3.54,3.44,3.51,0.03,0.86,5348711
12/11/2020,3.37,3.5,3.35,3.48,0.02,0.58,8357932
11/11/2020,3.49,3.51,3.37,3.46,-0.03,-0.86,7358157
10/11/2020,3.6,3.62,3.47,3.49,-0.03,-0.85,10848149
09/11/2020,3.6,3.62,3.49,3.52,-0.08,-2.22,6058735
06/11/2020,3.63,3.63,3.52,3.6,0.04,1.12,3121028
05/11/2020,3.5,3.63,3.48,3.56,0.06,1.71,3871078
04/11/2020,3.54,3.54,3.4,3.5,0.07,2.04,7094597
03/11/2020,3.4,3.44,3.37,3.43,0.03,0.88,2185372
02/11/2020,3.38,3.41,3.32,3.4,0.03,0.89,2138999
30/10/2020,3.46,3.49,3.345,3.37,-0.12,-3.44,8254294
29/10/2020,3.5,3.535,3.455,3.49,-0.1,-2.79,3137033
28/10/2020,3.47,3.63,3.46,3.59,0.09,2.57,4608275
27/10/2020,3.48,3.56,3.42,3.5,-0.04,-1.13,5880672
26/10/2020,3.71,3.74,3.51,3.54,-0.13,-3.54,3094252
23/10/2020,3.76,3.85,3.64,3.67,-0.09,-2.39,6272955
22/10/2020,3.5,3.82,3.5,3.76,0.32,9.3,11358363
21/10/2020,3.42,3.46,3.38,3.44,-0.01,-0.29,1569928
20/10/2020,3.45,3.48,3.41,3.45,-0.03,-0.86,1956219
19/10/2020,3.49,3.5,3.44,3.48,0.02,0.58,1797956
16/10/2020,3.48,3.56,3.45,3.46,-0.02,-0.57,1731496
15/10/2020,3.6,3.6,3.46,3.48,-0.08,-2.25,1947765
14/10/2020,3.55,3.61,3.54,3.56,0.08,2.3,2124602
13/10/2020,3.54,3.545,3.475,3.48,-0.03,-0.85,1427504
12/10/2020,3.48,3.53,3.46,3.51,-0.03,-0.85,1227533
09/10/2020,3.51,3.59,3.51,3.54,0.05,1.43,2468866
08/10/2020,3.49,3.51,3.46,3.49,0.02,0.58,1666214
07/10/2020,3.55,3.58,3.45,3.47,-0.07,-1.98,3958143
06/10/2020,3.49,3.55,3.48,3.54,0,0,1745680
05/10/2020,3.58,3.58,3.495,3.54,0.07,2.02,964386
02/10/2020,3.52,3.55,3.435,3.47,-0.12,-3.34,2823782
01/10/2020,3.52,3.66,3.51,3.59,0,0,2921733
