Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.25,5.36,5.18,5.33,-0.01,-0.19,4022313
29/01/2021,5.3,5.39,5.28,5.34,0.02,0.38,4976100
28/01/2021,5.3,5.365,5.26,5.32,-0.06,-1.12,5078268
27/01/2021,5.41,5.49,5.36,5.38,0.09,1.7,4690535
25/01/2021,5.21,5.29,5.2,5.29,0.06,1.15,1636632
22/01/2021,5.22,5.28,5.19,5.23,-0.04,-0.76,4564892
21/01/2021,5.35,5.36,5.225,5.27,-0.05,-0.94,4956497
20/01/2021,5.49,5.495,5.31,5.32,-0.19,-3.45,7061390
19/01/2021,5.38,5.55,5.34,5.51,0.18,3.38,5760694
18/01/2021,5.28,5.39,5.18,5.33,0.19,3.7,4629647
15/01/2021,5.12,5.23,5.1,5.14,0,0,4247940
14/01/2021,5.15,5.27,5.11,5.14,-0.06,-1.15,4361892
13/01/2021,5.03,5.215,5.02,5.2,0.21,4.21,4036483
12/01/2021,4.99,5.02,4.93,4.99,0.01,0.2,4543913
11/01/2021,5.01,5.05,4.97,4.98,-0.01,-0.2,3058329
08/01/2021,4.77,5.03,4.76,4.99,0.23,4.83,6036179
07/01/2021,4.85,4.85,4.76,4.76,0.01,0.21,1988365
06/01/2021,4.8,4.85,4.72,4.75,-0.09,-1.86,2887273
05/01/2021,4.76,4.88,4.76,4.84,0.06,1.26,3359180
04/01/2021,4.7,4.81,4.7,4.78,0.09,1.92,2776451
31/12/2020,4.76,4.79,4.69,4.69,-0.1,-2.09,960973
30/12/2020,4.76,4.81,4.745,4.79,0,0,1838205
29/12/2020,4.79,4.8,4.75,4.79,0.05,1.05,2143675
24/12/2020,4.7,4.81,4.7,4.74,0.02,0.42,2375240
23/12/2020,4.68,4.75,4.67,4.72,0.07,1.51,2624630
22/12/2020,4.75,4.77,4.64,4.65,-0.09,-1.9,2556497
21/12/2020,4.66,4.78,4.66,4.74,0.07,1.5,3409298
18/12/2020,4.68,4.71,4.65,4.67,-0.02,-0.43,2794099
17/12/2020,4.66,4.7,4.61,4.69,0.12,2.63,5516325
16/12/2020,4.66,4.66,4.55,4.57,-0.07,-1.51,4067147
