Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.8,4.91,4.77,4.86,0.01,0.21,9535547
29/01/2021,4.97,4.98,4.83,4.85,-0.11,-2.22,10826733
28/01/2021,4.94,5,4.915,4.96,-0.01,-0.2,12542471
27/01/2021,5.06,5.06,4.965,4.97,-0.01,-0.2,8830432
25/01/2021,5.05,5.05,4.97,4.98,-0.02,-0.4,4050448
22/01/2021,5.06,5.08,4.99,5,-0.12,-2.34,8844609
21/01/2021,5.13,5.15,5.06,5.12,0,0,11042557
20/01/2021,5.11,5.17,5.1,5.12,0.05,0.99,7265145
19/01/2021,5.05,5.17,5.05,5.07,0.05,1,7013351
18/01/2021,5.05,5.08,4.92,5.02,-0.03,-0.59,7671223
15/01/2021,5.11,5.16,5.045,5.05,-0.05,-0.98,7045262
14/01/2021,5.07,5.12,5.04,5.1,0.06,1.19,9709364
13/01/2021,5,5.065,4.98,5.04,0.04,0.8,8875439
12/01/2021,4.93,5.07,4.86,5,0.1,2.04,11037045
11/01/2021,4.77,4.94,4.75,4.9,0.15,3.16,10569934
08/01/2021,4.77,4.78,4.72,4.75,0,0,6004093
07/01/2021,4.78,4.78,4.695,4.75,0.05,1.06,8321314
06/01/2021,4.61,4.72,4.61,4.7,0.05,1.08,8903489
05/01/2021,4.69,4.7,4.61,4.65,-0.07,-1.48,8594920
04/01/2021,4.72,4.75,4.7,4.72,0.02,0.43,8373755
31/12/2020,4.77,4.78,4.7,4.7,-0.08,-1.67,4192891
30/12/2020,4.82,4.84,4.75,4.78,-0.06,-1.24,4768864
29/12/2020,4.85,4.855,4.81,4.84,0.02,0.41,6608704
24/12/2020,4.85,4.86,4.79,4.82,0.03,0.63,5588362
23/12/2020,4.74,4.81,4.71,4.79,0.05,1.05,9471455
22/12/2020,4.85,4.86,4.69,4.74,-0.11,-2.27,15567404
21/12/2020,4.88,4.9,4.85,4.85,-0.06,-1.22,11132907
18/12/2020,5.05,5.07,4.87,4.91,-0.17,-3.35,21766786
17/12/2020,5.13,5.14,5.03,5.08,-0.01,-0.2,13759171
16/12/2020,5.16,5.18,5.07,5.09,-0.04,-0.78,7386574
15/12/2020,5.07,5.16,5.07,5.13,0.01,0.2,7008823
14/12/2020,5.08,5.16,5.07,5.12,0.04,0.79,6535129
11/12/2020,5.11,5.14,5.05,5.08,-0.07,-1.36,9197934
10/12/2020,5.18,5.2,5.125,5.15,-0.05,-0.96,11541980
09/12/2020,5.22,5.24,5.17,5.2,-0.02,-0.38,8314672
08/12/2020,5.16,5.23,5.15,5.22,0.02,0.38,9001503
07/12/2020,5.13,5.24,5.12,5.2,0.08,1.56,11615513
04/12/2020,5.16,5.21,5.08,5.12,-0.03,-0.58,10143721
03/12/2020,5.25,5.27,5.15,5.15,-0.12,-2.28,10996597
02/12/2020,5.3,5.32,5.23,5.27,0.02,0.38,10841299
01/12/2020,5.14,5.26,5.07,5.25,0.1,1.94,12711283
30/11/2020,5.33,5.335,5.14,5.15,-0.17,-3.2,26484892
27/11/2020,5.23,5.36,5.19,5.32,0.04,0.76,21107864
26/11/2020,5.3,5.33,5.21,5.28,-0.06,-1.12,20963323
25/11/2020,5.26,5.36,5.21,5.34,0.09,1.71,23425602
24/11/2020,5.14,5.31,5.11,5.25,0.12,2.34,23272093
23/11/2020,5.05,5.17,5.01,5.13,-0.33,-6.04,22271132
18/11/2020,5.48,5.5,5.39,5.46,0.05,0.92,6683959
17/11/2020,5.32,5.43,5.32,5.41,0.1,1.88,9647168
16/11/2020,5.32,5.33,5.3,5.31,0.08,1.53,280818
13/11/2020,5.34,5.34,5.19,5.23,-0.08,-1.51,5873497
12/11/2020,5.35,5.35,5.28,5.31,-0.02,-0.38,5936183
11/11/2020,5.25,5.365,5.24,5.33,0.14,2.7,8977036
10/11/2020,5.15,5.25,5.11,5.19,0.18,3.59,10188516
09/11/2020,4.88,5.02,4.86,5.01,0.16,3.3,5372919
06/11/2020,4.83,4.87,4.765,4.85,0.02,0.41,8952752
05/11/2020,4.77,4.875,4.75,4.83,0.07,1.47,5346436
04/11/2020,4.79,4.85,4.735,4.76,-0.04,-0.83,7376897
03/11/2020,4.67,4.83,4.66,4.8,0.12,2.56,5643878
02/11/2020,4.78,4.79,4.67,4.68,-0.09,-1.89,6176126
30/10/2020,4.67,4.81,4.67,4.77,0.12,2.58,12551851
29/10/2020,4.68,4.71,4.635,4.65,-0.08,-1.69,4961451
28/10/2020,4.76,4.77,4.65,4.73,-0.09,-1.87,7047219
27/10/2020,4.91,4.93,4.8,4.82,-0.12,-2.43,9076925
26/10/2020,4.88,4.97,4.83,4.94,0.1,2.07,7359957
23/10/2020,4.92,4.925,4.75,4.84,-0.06,-1.22,15863311
22/10/2020,4.72,4.92,4.71,4.9,0.09,1.87,10741156
21/10/2020,4.73,4.82,4.71,4.81,0.05,1.05,6785602
20/10/2020,4.81,4.83,4.74,4.76,-0.11,-2.26,6725169
19/10/2020,4.83,4.88,4.8,4.87,0.08,1.67,3602072
16/10/2020,4.8,4.84,4.77,4.79,0.01,0.21,4288045
15/10/2020,4.78,4.86,4.78,4.78,0,0,5126789
14/10/2020,4.85,4.87,4.76,4.78,-0.12,-2.45,7252609
13/10/2020,4.85,4.94,4.8,4.9,0.11,2.3,7190538
12/10/2020,4.74,4.81,4.7,4.79,0.06,1.27,5344453
09/10/2020,4.67,4.76,4.64,4.73,0.05,1.07,7082071
08/10/2020,4.69,4.74,4.665,4.68,-0.01,-0.21,5763558
07/10/2020,4.63,4.71,4.585,4.69,0.05,1.08,6459073
06/10/2020,4.62,4.68,4.505,4.64,0.01,0.22,9136502
05/10/2020,4.52,4.63,4.495,4.63,0.22,4.99,4193556
02/10/2020,4.42,4.485,4.39,4.41,-0.09,-2,9041146
01/10/2020,4.39,4.54,4.39,4.5,0.12,2.74,8023559
30/09/2020,4.48,4.49,4.38,4.38,-0.16,-3.52,11597300
29/09/2020,4.62,4.64,4.51,4.54,-0.01,-0.22,5336798
28/09/2020,4.6,4.615,4.54,4.55,-0.07,-1.52,4099029
25/09/2020,4.48,4.63,4.46,4.62,0.12,2.67,9086523
24/09/2020,4.55,4.55,4.47,4.5,-0.1,-2.17,6382380
23/09/2020,4.54,4.6,4.47,4.6,0.13,2.91,12400909
22/09/2020,4.5,4.53,4.47,4.47,-0.07,-1.54,12814477
21/09/2020,4.53,4.6,4.5,4.54,0.01,0.22,8301489
18/09/2020,4.58,4.61,4.52,4.53,-0.07,-1.52,15658142
17/09/2020,4.68,4.69,4.57,4.6,-0.1,-2.13,7678191
16/09/2020,4.7,4.73,4.625,4.7,0.04,0.86,12201277
15/09/2020,4.64,4.69,4.55,4.66,-0.01,-0.21,9048125
14/09/2020,4.75,4.75,4.62,4.67,-0.04,-0.85,6837043
11/09/2020,4.74,4.77,4.69,4.71,-0.11,-2.28,8388088
10/09/2020,4.82,4.85,4.78,4.82,0.06,1.26,8957619
09/09/2020,4.72,4.76,4.69,4.76,-0.12,-2.46,10582763
08/09/2020,4.82,4.905,4.8,4.88,0.09,1.88,8507089
07/09/2020,4.67,4.8,4.67,4.79,0.04,0.84,6655187
04/09/2020,4.81,4.84,4.74,4.75,-0.17,-3.46,13823216
03/09/2020,4.93,4.99,4.88,4.92,0.07,1.44,12527089
02/09/2020,4.83,4.92,4.82,4.85,0.07,1.46,10206520
01/09/2020,4.75,4.82,4.68,4.78,0.01,0.21,12320474
31/08/2020,4.85,4.9,4.77,4.77,-0.12,-2.45,6624302
28/08/2020,4.93,4.95,4.88,4.89,-0.05,-1.01,7128812
27/08/2020,4.95,5.02,4.93,4.94,-0.03,-0.6,12072473
26/08/2020,5.04,5.07,4.95,4.97,-0.09,-1.78,8325948
25/08/2020,5.07,5.11,5.03,5.06,0.05,1,8155798
24/08/2020,4.98,5.02,4.96,5.01,0.03,0.6,4221805
21/08/2020,5.08,5.18,4.98,4.98,-0.07,-1.39,7681067
20/08/2020,5.02,5.07,4.985,5.05,-0.04,-0.79,9842378
19/08/2020,5.03,5.14,5.01,5.09,0.01,0.2,11151206
18/08/2020,5.04,5.1,5.02,5.08,0.02,0.4,6137347
17/08/2020,5.03,5.075,5.01,5.06,-0.04,-0.78,8257335
14/08/2020,5.07,5.12,5.01,5.1,0,0,9983762
13/08/2020,5.2,5.22,5.045,5.1,-0.02,-0.39,9178005
12/08/2020,5.04,5.135,5.01,5.12,0.08,1.59,9219340
11/08/2020,5,5.08,4.99,5.04,0.03,0.6,8060005
10/08/2020,5.07,5.07,4.94,5.01,-0.02,-0.4,10361124
07/08/2020,5.02,5.07,4.97,5.03,-0.04,-0.79,7415142
06/08/2020,5.15,5.16,5.02,5.07,-0.07,-1.36,8240133
05/08/2020,5.15,5.19,5.11,5.14,-0.07,-1.34,8875793
04/08/2020,5.22,5.28,5.16,5.21,0.11,2.16,8682977
03/08/2020,5.06,5.13,5.06,5.1,0.01,0.2,7715548
31/07/2020,5.15,5.18,5.07,5.09,-0.05,-0.97,15316562
30/07/2020,5.01,5.14,5.01,5.14,0.15,3.01,11465464
29/07/2020,5.04,5.09,4.98,4.99,-0.05,-0.99,16397328
28/07/2020,5.07,5.12,5.02,5.04,0,0,14039546
27/07/2020,5.19,5.2,5.03,5.04,-0.28,-5.26,18335611
24/07/2020,5.58,5.59,5.32,5.32,-0.45,-7.8,25860222
23/07/2020,5.65,5.85,5.65,5.77,0.09,1.58,8538195
22/07/2020,5.72,5.75,5.61,5.68,-0.08,-1.39,6702493
21/07/2020,5.6,5.78,5.58,5.76,0.19,3.41,10939151
20/07/2020,5.66,5.675,5.53,5.57,-0.09,-1.59,6721806
17/07/2020,5.62,5.66,5.57,5.66,0.07,1.25,7566096
16/07/2020,5.71,5.74,5.56,5.59,-0.07,-1.24,6514287
15/07/2020,5.65,5.67,5.59,5.66,0.07,1.25,21327412
14/07/2020,5.54,5.625,5.525,5.59,0.03,0.54,7485359
13/07/2020,5.63,5.69,5.55,5.56,0.02,0.36,7343181
10/07/2020,5.56,5.61,5.53,5.54,-0.05,-0.89,3587067
09/07/2020,5.72,5.74,5.59,5.59,-0.11,-1.93,4308007
08/07/2020,5.76,5.815,5.685,5.7,-0.08,-1.38,5999597
07/07/2020,5.84,5.87,5.735,5.78,-0.02,-0.34,4652212
06/07/2020,5.86,5.91,5.79,5.8,-0.03,-0.51,3342238
03/07/2020,5.81,5.875,5.78,5.83,0.08,1.39,4611870
02/07/2020,5.66,5.78,5.62,5.75,0.16,2.86,9125472
01/07/2020,5.77,5.84,5.55,5.59,-0.18,-3.12,8524557
30/06/2020,5.81,5.88,5.73,5.77,0.1,1.76,7120009
29/06/2020,5.71,5.75,5.62,5.67,-0.17,-2.91,3696659
26/06/2020,5.71,5.88,5.71,5.84,0.15,2.64,6321861
25/06/2020,5.77,5.86,5.69,5.69,-0.19,-3.23,8183191
24/06/2020,6,6.02,5.87,5.88,-0.07,-1.18,6686698
23/06/2020,6.12,6.12,5.9,5.95,-0.13,-2.14,4746160
22/06/2020,5.93,6.12,5.92,6.08,0.09,1.5,22642303
19/06/2020,5.99,6.1,5.915,5.99,0.07,1.18,18115816
18/06/2020,5.88,5.94,5.78,5.92,-0.1,-1.66,11037051
17/06/2020,6,6.02,5.92,6.02,0.09,1.52,13156389
16/06/2020,5.83,5.99,5.73,5.93,0.27,4.77,11815518
15/06/2020,5.58,5.715,5.55,5.66,0.02,0.35,10675800
12/06/2020,5.77,5.85,5.63,5.64,-0.21,-3.59,11751977
11/06/2020,5.98,6.035,5.83,5.85,-0.34,-5.49,11836575
10/06/2020,6.13,6.23,6.11,6.19,-0.02,-0.32,9016066
09/06/2020,6.38,6.42,6.17,6.21,0.03,0.49,11253360
05/06/2020,6.24,6.29,6.15,6.18,-0.02,-0.32,7554624
04/06/2020,6.29,6.34,6.18,6.2,-0.03,-0.48,12176387
03/06/2020,6.1,6.23,6.08,6.23,0.22,3.66,6758284
02/06/2020,6.01,6.065,5.96,6.01,-0.02,-0.33,5379169
01/06/2020,5.96,6.07,5.945,6.03,-0.08,-1.31,6761097
29/05/2020,6.11,6.18,6.01,6.11,-0.05,-0.81,9649878
28/05/2020,6.1,6.27,6.04,6.16,0.16,2.67,6854778
27/05/2020,5.84,6.05,5.82,6,0.14,2.39,7667010
26/05/2020,5.73,5.86,5.66,5.86,0.24,4.27,7454949
25/05/2020,5.6,5.72,5.53,5.62,0.09,1.63,4752335
22/05/2020,5.5,5.56,5.45,5.53,0.03,0.55,5736444
21/05/2020,5.54,5.58,5.495,5.5,0.02,0.36,6530470
20/05/2020,5.38,5.51,5.38,5.48,0.03,0.55,5177927
19/05/2020,5.57,5.58,5.43,5.45,0.01,0.18,8278353
18/05/2020,5.46,5.47,5.39,5.44,0.03,0.55,4662155
15/05/2020,5.43,5.44,5.35,5.41,0.03,0.56,3671056
14/05/2020,5.38,5.425,5.35,5.38,-0.04,-0.74,5527783
13/05/2020,5.3,5.43,5.27,5.42,0.02,0.37,6219561
12/05/2020,5.41,5.49,5.36,5.4,-0.06,-1.1,7418602
11/05/2020,5.31,5.46,5.29,5.46,0.18,3.41,9925980
08/05/2020,5.31,5.33,5.25,5.28,-0.02,-0.38,8339780
07/05/2020,5.31,5.35,5.26,5.3,-0.08,-1.49,11246836
06/05/2020,5.48,5.51,5.33,5.38,-0.11,-2,5546603
05/05/2020,5.48,5.515,5.37,5.49,0.01,0.18,10312348
04/05/2020,5.4,5.53,5.36,5.48,-0.12,-2.14,14078304
01/05/2020,5.75,5.8,5.6,5.6,-0.18,-3.11,11046567
30/04/2020,5.92,5.93,5.78,5.78,-0.07,-1.2,14890421
