Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,22.8,23.58,22.7,23.5,0.52,2.26,984792
29/01/2021,23.51,23.63,22.81,22.98,0.18,0.79,762872
28/01/2021,23.1,23.23,22.68,22.8,-0.43,-1.85,1178098
27/01/2021,21.88,23.49,21.84,23.23,1.65,7.65,1437839
25/01/2021,20.43,21.68,20.39,21.58,1.17,5.73,483554
22/01/2021,20.58,20.83,20.38,20.41,-0.25,-1.21,617067
21/01/2021,20.44,20.74,20.38,20.66,0.28,1.37,569353
20/01/2021,20,20.53,19.85,20.38,0.19,0.94,617047
19/01/2021,20.18,20.365,20.07,20.19,0.1,0.5,1005263
18/01/2021,19.69,20.21,19.61,20.09,0.36,1.82,327317
15/01/2021,19.89,20.13,19.73,19.73,-0.34,-1.69,513259
14/01/2021,20.32,20.32,19.85,20.07,-0.09,-0.45,547095
13/01/2021,20.41,20.42,19.87,20.16,0.07,0.35,431974
12/01/2021,19.72,20.26,19.58,20.09,0.24,1.21,476767
11/01/2021,20.3,20.3,19.79,19.85,-0.14,-0.7,623256
08/01/2021,20,20.16,19.69,19.99,0.32,1.63,386991
07/01/2021,20.37,20.78,19.59,19.67,-0.12,-0.61,488088
06/01/2021,20.54,20.55,19.65,19.79,-0.35,-1.74,993638
05/01/2021,20.4,20.5,20.03,20.14,-0.49,-2.38,551253
04/01/2021,20.35,20.9,20.01,20.63,0.78,3.93,769761
31/12/2020,20.43,20.43,19.67,19.85,-0.15,-0.75,595292
30/12/2020,19.85,20.42,19.82,20,-0.06,-0.3,348108
29/12/2020,21.17,21.17,19.865,20.06,-0.49,-2.38,636902
24/12/2020,20.34,20.57,20.13,20.55,0.55,2.75,504196
23/12/2020,19.82,20.1,19.6,20,0.66,3.41,874167
22/12/2020,19.44,19.62,19.13,19.34,0.26,1.36,677874
21/12/2020,19.4,19.58,18.94,19.08,-0.4,-2.05,729353
18/12/2020,20.18,20.26,19.23,19.48,-0.86,-4.23,4582355
17/12/2020,20.51,20.73,20.2,20.34,-0.03,-0.15,1197869
16/12/2020,20,20.6,19.93,20.37,0.07,0.34,1970857
15/12/2020,20.05,20.37,19.45,20.3,-0.16,-0.78,1924895
14/12/2020,20.5,20.82,20.22,20.46,-0.02,-0.1,1622213
11/12/2020,21,21.02,20.44,20.48,-0.86,-4.03,1496991
10/12/2020,21.75,22,21.03,21.34,-0.52,-2.38,973647
09/12/2020,22.88,22.88,21.63,21.86,-0.5,-2.24,755368
08/12/2020,21.65,22.6,21.5,22.36,0.99,4.63,1059246
07/12/2020,22.43,22.63,21.36,21.37,-1.11,-4.94,1191263
04/12/2020,23.4,23.43,22.48,22.48,-0.92,-3.93,715577
03/12/2020,23.37,23.75,23.27,23.4,-0.1,-0.43,552625
02/12/2020,23.84,24.07,23.32,23.5,-0.47,-1.96,713607
01/12/2020,24.37,24.49,23.44,23.97,-0.5,-2.04,782748
30/11/2020,25.13,25.21,24.28,24.47,-0.41,-1.65,873483
27/11/2020,25.21,25.25,24.66,24.88,-0.4,-1.58,719368
26/11/2020,25.25,25.74,24.87,25.28,-0.36,-1.4,582153
25/11/2020,25.06,25.76,24.9,25.64,0.77,3.1,826492
24/11/2020,24.42,24.97,24.15,24.87,0.61,2.51,349055
23/11/2020,24.71,24.75,24.24,24.26,-0.2,-0.82,643715
20/11/2020,24.76,24.76,24.24,24.46,0.15,0.62,749571
19/11/2020,23.68,24.53,23.4,24.31,0.68,2.88,688026
18/11/2020,24.6,24.6,23.23,23.63,-0.53,-2.19,998820
17/11/2020,25.14,25.44,23.85,24.16,0.32,1.34,1531244
16/11/2020,24.18,24.19,23.68,23.84,0.31,1.32,40850
13/11/2020,23.06,23.79,22.82,23.53,0.45,1.95,701872
12/11/2020,23,23.8,22.85,23.08,0.51,2.26,1790660
