Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.1,3.23,3.05,3.19,0.07,2.24,6165317
29/01/2021,3.28,3.33,3.11,3.12,-0.08,-2.5,7504078
28/01/2021,3.51,3.52,3.18,3.2,-0.38,-10.61,14126356
27/01/2021,3.66,3.69,3.56,3.58,-0.08,-2.19,3687384
25/01/2021,3.75,3.75,3.65,3.66,-0.08,-2.14,2095184
22/01/2021,3.69,3.76,3.64,3.74,0.01,0.27,4788740
21/01/2021,3.78,3.8,3.68,3.73,-0.04,-1.06,3640411
20/01/2021,3.7,3.8,3.66,3.77,0.07,1.89,2674838
19/01/2021,3.7,3.76,3.69,3.7,0.03,0.82,1850672
18/01/2021,3.69,3.72,3.62,3.67,-0.03,-0.81,2415104
15/01/2021,3.66,3.8,3.65,3.7,0.02,0.54,2975467
14/01/2021,3.65,3.69,3.62,3.68,0.01,0.27,2063396
13/01/2021,3.64,3.69,3.6,3.67,0.04,1.1,1647604
12/01/2021,3.58,3.71,3.58,3.63,0.04,1.11,2649601
11/01/2021,3.58,3.63,3.55,3.59,0,0,2452196
08/01/2021,3.58,3.605,3.54,3.59,0.02,0.56,2164349
07/01/2021,3.51,3.585,3.49,3.57,0.13,3.78,2497545
06/01/2021,3.45,3.49,3.42,3.44,0,0,2497037
05/01/2021,3.51,3.525,3.43,3.44,-0.11,-3.1,3920003
04/01/2021,3.53,3.57,3.52,3.55,0.03,0.85,3113184
31/12/2020,3.59,3.6,3.52,3.52,-0.06,-1.68,1592849
30/12/2020,3.62,3.62,3.55,3.58,-0.04,-1.1,1916143
29/12/2020,3.63,3.68,3.605,3.62,0.02,0.56,1498096
24/12/2020,3.57,3.63,3.57,3.6,0.08,2.27,1640871
23/12/2020,3.5,3.555,3.49,3.52,0.04,1.15,2722627
22/12/2020,3.61,3.61,3.46,3.48,-0.14,-3.87,3472931
21/12/2020,3.62,3.7,3.58,3.62,-0.02,-0.55,3187033
18/12/2020,3.76,3.78,3.58,3.64,-0.11,-2.93,6663629
17/12/2020,3.72,3.75,3.7,3.75,0.05,1.35,2454663
16/12/2020,3.72,3.77,3.7,3.7,0.02,0.54,3131740
15/12/2020,3.74,3.76,3.66,3.68,-0.05,-1.34,3405507
14/12/2020,3.66,3.75,3.65,3.73,0.1,2.75,3682735
11/12/2020,3.65,3.7,3.625,3.63,-0.06,-1.63,7769963
10/12/2020,3.72,3.73,3.67,3.69,-0.04,-1.07,2920979
09/12/2020,3.77,3.79,3.72,3.73,-0.01,-0.27,2646750
