Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.2,6.48,6.15,6.46,0.04,0.62,7909123
29/01/2021,6.74,6.75,6.385,6.42,-0.29,-4.32,7255360
28/01/2021,6.43,6.77,6.38,6.71,-0.08,-1.18,7499762
27/01/2021,7.05,7.1,6.72,6.79,-0.32,-4.5,5207265
25/01/2021,7,7.14,6.92,7.11,0.06,0.85,2589948
22/01/2021,6.99,7.14,6.99,7.05,-0.06,-0.84,3805424
21/01/2021,7.25,7.25,6.93,7.11,-0.05,-0.7,5737950
20/01/2021,7.29,7.34,7.085,7.16,-0.05,-0.69,5660807
19/01/2021,7.2,7.31,7.12,7.21,0.1,1.41,3560379
18/01/2021,7.02,7.21,7,7.11,-0.03,-0.42,3026252
15/01/2021,7.2,7.27,7.14,7.14,0.02,0.28,5606121
14/01/2021,7.12,7.2,6.94,7.12,0.02,0.28,5554441
13/01/2021,7.04,7.2,6.98,7.1,0.04,0.57,3731539
12/01/2021,7,7.13,6.92,7.06,-0.04,-0.56,4396731
11/01/2021,7.04,7.31,7,7.1,-0.15,-2.07,6268489
08/01/2021,7.76,7.77,7.225,7.25,-0.32,-4.23,7348317
07/01/2021,7.4,7.58,7.31,7.57,0.52,7.38,9946818
06/01/2021,6.84,7.1,6.82,7.05,0.3,4.44,7793625
05/01/2021,6.74,6.81,6.63,6.75,0.03,0.45,5287040
04/01/2021,6.39,6.75,6.35,6.72,0.34,5.33,5012988
31/12/2020,6.39,6.41,6.32,6.38,0.1,1.59,1641537
30/12/2020,6.18,6.295,6.18,6.28,0.04,0.64,2140677
29/12/2020,6.2,6.335,6.18,6.24,0.06,0.97,6969095
24/12/2020,6.36,6.39,6.17,6.18,-0.07,-1.12,1638894
23/12/2020,6,6.29,5.97,6.25,0.15,2.46,4626641
22/12/2020,6.25,6.32,6.09,6.1,-0.22,-3.48,6765475
21/12/2020,6.3,6.38,6.24,6.32,0.06,0.96,9016675
18/12/2020,6.37,6.5,6.26,6.26,-0.16,-2.49,8682360
17/12/2020,6.41,6.43,6.285,6.42,0.01,0.16,6574621
16/12/2020,6.23,6.45,6.11,6.41,0.21,3.39,7914223
15/12/2020,6.2,6.25,6.085,6.2,-0.05,-0.8,8368872
14/12/2020,6.31,6.32,6.07,6.25,-0.07,-1.11,11402652
11/12/2020,6,6.55,5.83,6.32,1.225,24.04,30329917
07/12/2020,5.18,5.355,5.06,5.095,0.005,0.1,2637187
04/12/2020,4.96,5.1,4.95,5.09,0.13,2.62,3822671
03/12/2020,4.89,5.04,4.85,4.96,0.11,2.27,3931799
02/12/2020,4.83,4.93,4.81,4.85,0.06,1.25,2931147
01/12/2020,4.7,4.85,4.68,4.79,0.1,2.13,4290807
30/11/2020,4.8,4.82,4.69,4.69,-0.12,-2.49,3646221
27/11/2020,4.75,4.82,4.72,4.81,0.01,0.21,2196328
