Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.2,6.4,6.18,6.36,-0.09,-1.4,2434770
29/01/2021,6.61,6.68,6.27,6.45,-0.16,-2.42,3945181
28/01/2021,6.45,6.65,6.32,6.61,-0.04,-0.6,3920386
27/01/2021,6.98,7.01,6.635,6.65,-0.39,-5.54,3188573
25/01/2021,7,7.15,6.91,7.04,0.09,1.29,1272796
22/01/2021,7.04,7.09,6.89,6.95,-0.09,-1.28,2668740
21/01/2021,6.93,7.09,6.92,7.04,0.13,1.88,2107967
20/01/2021,6.87,6.96,6.82,6.91,0.12,1.77,2569391
19/01/2021,6.7,6.935,6.7,6.79,0.16,2.41,2548572
18/01/2021,6.64,6.72,6.57,6.63,-0.19,-2.79,1898466
15/01/2021,6.77,6.91,6.75,6.82,0,0,2295886
14/01/2021,6.95,6.98,6.71,6.82,-0.09,-1.3,2384258
13/01/2021,6.8,6.98,6.8,6.91,0.31,4.7,2114712
12/01/2021,6.68,6.68,6.5,6.6,-0.02,-0.3,1955015
11/01/2021,6.75,6.78,6.595,6.62,-0.1,-1.49,1297337
08/01/2021,6.65,6.8,6.65,6.72,0.11,1.66,1497569
07/01/2021,6.58,6.615,6.42,6.61,0.23,3.61,2807165
06/01/2021,6.62,6.7,6.325,6.38,-0.24,-3.63,2474253
05/01/2021,6.5,6.68,6.45,6.62,0.03,0.46,2587413
04/01/2021,6.58,6.63,6.49,6.59,0.1,1.54,1360041
31/12/2020,6.34,6.59,6.295,6.49,0.15,2.37,1796831
30/12/2020,6.2,6.36,6.13,6.34,0.07,1.12,1939196
29/12/2020,6.28,6.33,6.2,6.27,-0.04,-0.63,1068487
24/12/2020,6.22,6.31,6.22,6.31,0.06,0.96,810448
23/12/2020,6.16,6.31,6.16,6.25,0.06,0.97,1235379
22/12/2020,6.33,6.37,6.17,6.19,-0.23,-3.58,2713489
21/12/2020,6.39,6.45,6.17,6.42,0.14,2.23,5180808
18/12/2020,6.16,6.35,6.055,6.28,0.2,3.29,13780054
17/12/2020,5.97,6.09,5.91,6.08,0.16,2.7,4723941
16/12/2020,5.86,5.95,5.795,5.92,0.16,2.78,3278836
15/12/2020,5.8,5.84,5.67,5.76,-0.07,-1.2,4546968
14/12/2020,5.93,5.99,5.8,5.83,-0.08,-1.35,2600009
11/12/2020,5.86,5.99,5.82,5.91,0.07,1.2,2757771
10/12/2020,5.8,5.89,5.73,5.84,-0.07,-1.18,3153554
09/12/2020,5.82,5.95,5.79,5.91,0.16,2.78,3604828
08/12/2020,5.77,5.79,5.715,5.75,0.03,0.52,2245515
07/12/2020,5.81,5.84,5.7,5.72,0.01,0.18,1391327
04/12/2020,5.66,5.73,5.6,5.71,0.05,0.88,1070918
03/12/2020,5.41,5.76,5.41,5.66,0.29,5.4,3656568
02/12/2020,5.42,5.47,5.3,5.37,0.02,0.37,3267592
01/12/2020,5.3,5.4,5.21,5.35,0.01,0.19,1514007
30/11/2020,5.5,5.5,5.34,5.34,-0.08,-1.48,2217030
27/11/2020,5.38,5.45,5.315,5.42,0.04,0.74,1534972
26/11/2020,5.46,5.48,5.38,5.38,-0.08,-1.47,1172892
25/11/2020,5.42,5.6,5.39,5.46,0.07,1.3,4024330
24/11/2020,5.26,5.42,5.24,5.39,0.14,2.67,2080170
23/11/2020,5.24,5.32,5.22,5.25,0.02,0.38,1537222
20/11/2020,5.2,5.29,5.19,5.23,0,0,2755234
19/11/2020,5.21,5.265,5.13,5.23,0.01,0.19,3635127
18/11/2020,5.17,5.32,5.15,5.22,0.07,1.36,4889857
17/11/2020,5.08,5.18,5.05,5.15,0.11,2.18,5472867
16/11/2020,5.07,5.08,5.02,5.04,0.07,1.41,170720
13/11/2020,5.05,5.09,4.93,4.97,-0.1,-1.97,3043368
12/11/2020,5.15,5.17,5.05,5.07,-0.09,-1.74,4061886
11/11/2020,5.28,5.29,5.09,5.16,-0.04,-0.77,7944096
10/11/2020,5.33,5.33,5.16,5.2,-0.07,-1.33,2391232
09/11/2020,5.14,5.29,5.13,5.27,0.13,2.53,3128398
06/11/2020,5.02,5.15,5.01,5.14,0.14,2.8,5446760
05/11/2020,5.01,5.09,4.95,5,-0.04,-0.79,1783412
04/11/2020,5.06,5.14,4.99,5.04,0.03,0.6,3413745
03/11/2020,5.13,5.18,4.96,5.01,-0.07,-1.38,4480056
02/11/2020,5.18,5.22,5.06,5.08,-0.07,-1.36,3358075
30/10/2020,5,5.18,4.955,5.15,0.22,4.46,6936425
29/10/2020,5.03,5.08,4.88,4.93,-0.22,-4.27,4707482
28/10/2020,5.15,5.215,5.1,5.15,-0.06,-1.15,4656007
27/10/2020,5.27,5.31,5.16,5.21,-0.1,-1.88,9345520
26/10/2020,5.16,5.35,5.11,5.31,0.19,3.71,11059598
23/10/2020,5.95,5.98,5.06,5.12,-4.78,-48.28,10048817
22/10/2020,9.74,9.91,9.71,9.9,0.15,1.54,3606792
21/10/2020,9.73,9.87,9.72,9.75,0.04,0.41,1783035
20/10/2020,9.7,9.8,9.59,9.71,-0.02,-0.21,2135885
19/10/2020,9.88,9.89,9.7,9.73,0.04,0.41,1702677
16/10/2020,9.45,9.77,9.38,9.69,0.23,2.43,2980276
15/10/2020,9.68,9.68,9.45,9.46,-0.11,-1.15,1644503
14/10/2020,9.55,9.67,9.53,9.57,-0.04,-0.42,2309108
13/10/2020,9.65,9.65,9.53,9.61,0.09,0.95,1679585
12/10/2020,9.55,9.59,9.44,9.52,0.08,0.85,1219111
09/10/2020,9.31,9.5,9.23,9.44,0.07,0.75,1502614
08/10/2020,9.27,9.4,9.19,9.37,0.16,1.74,1656034
07/10/2020,9.16,9.27,9.11,9.21,0.06,0.66,1913376
06/10/2020,9.1,9.24,9.05,9.15,0,0,1260983
05/10/2020,9.07,9.2,9.03,9.15,0.23,2.58,1057828
02/10/2020,9.03,9.14,8.89,8.92,-0.2,-2.19,3040401
01/10/2020,9.06,9.315,9.06,9.12,0.1,1.11,2773139
30/09/2020,9.09,9.15,9.005,9.02,-0.26,-2.8,2569975
29/09/2020,9.28,9.3,9.14,9.28,0.04,0.43,1815434
28/09/2020,9.26,9.34,9.2,9.24,-0.16,-1.7,1766161
25/09/2020,9.45,9.56,9.34,9.4,-0.04,-0.42,2453416
24/09/2020,9.44,9.49,9.3,9.44,-0.2,-2.07,1749013
23/09/2020,9.55,9.64,9.465,9.64,0.25,2.66,2013676
22/09/2020,9.33,9.47,9.22,9.39,-0.12,-1.26,3035555
21/09/2020,9.5,9.63,9.46,9.51,-0.1,-1.04,2211556
18/09/2020,9.63,9.77,9.53,9.61,-0.01,-0.1,7908762
17/09/2020,9.73,9.78,9.58,9.62,-0.17,-1.74,5297854
16/09/2020,9.86,9.94,9.7,9.79,-0.05,-0.51,2670828
15/09/2020,9.69,9.84,9.69,9.84,0.11,1.13,1870987
14/09/2020,9.56,9.74,9.52,9.73,0.13,1.35,2182888
11/09/2020,9.84,9.87,9.54,9.6,-0.39,-3.9,2984456
10/09/2020,10.11,10.31,9.92,9.99,0.21,2.15,3094461
09/09/2020,9.68,9.81,9.67,9.78,-0.12,-1.21,1422601
08/09/2020,10.02,10.04,9.8,9.9,-0.02,-0.2,2270528
07/09/2020,9.81,10.01,9.81,9.92,0.03,0.3,1495768
04/09/2020,9.81,9.94,9.75,9.89,-0.2,-1.98,1253411
03/09/2020,10.11,10.18,10.04,10.09,-0.04,-0.39,2708652
02/09/2020,10.12,10.235,10.04,10.13,0.23,2.32,2318342
01/09/2020,10.01,10.1,9.86,9.9,-0.24,-2.37,3069171
31/08/2020,10.07,10.2,10.07,10.14,0.03,0.3,906383
28/08/2020,10.14,10.25,10.08,10.11,-0.24,-2.32,4767182
27/08/2020,10.28,10.42,10.05,10.35,0.07,0.68,2314410
26/08/2020,10,10.28,9.9,10.28,0.19,1.88,4594677
25/08/2020,10.17,10.22,9.96,10.09,0.02,0.2,2105181
24/08/2020,9.94,10.09,9.83,10.07,0.15,1.51,1320232
21/08/2020,10.06,10.06,9.87,9.92,-0.06,-0.6,2729951
20/08/2020,9.83,10.01,9.68,9.98,0.01,0.1,3075202
19/08/2020,10,10.05,9.79,9.97,0.09,0.91,3240558
18/08/2020,9.75,9.96,9.665,9.88,0.23,2.38,3761369
17/08/2020,9.6,9.73,9.495,9.65,0.05,0.52,3427506
14/08/2020,9.73,9.8,9.5,9.6,-0.08,-0.83,3058375
13/08/2020,9.65,9.77,9.52,9.68,0.05,0.52,1780040
12/08/2020,9.72,9.72,9.45,9.63,-0.04,-0.41,1968894
11/08/2020,9.74,9.83,9.58,9.67,0.04,0.42,1471867
10/08/2020,9.61,9.72,9.48,9.63,0.13,1.37,1305828
07/08/2020,9.6,9.7,9.48,9.5,-0.14,-1.45,1088106
06/08/2020,9.56,9.71,9.48,9.64,0.23,2.44,1734690
05/08/2020,9.29,9.46,9.28,9.41,-0.02,-0.21,949308
04/08/2020,9.41,9.58,9.4,9.43,0.23,2.5,2397773
03/08/2020,9.09,9.26,8.99,9.2,0.15,1.66,1619532
31/07/2020,9.21,9.23,8.91,9.05,-0.34,-3.62,2020369
30/07/2020,9.25,9.43,9.14,9.39,0.2,2.18,1521040
29/07/2020,9.3,9.38,9.16,9.19,-0.18,-1.92,1812352
28/07/2020,9.13,9.48,9.1,9.37,0.07,0.75,2164754
27/07/2020,9.14,9.35,9.13,9.3,0.1,1.09,1766659
24/07/2020,9.17,9.32,9.13,9.2,-0.05,-0.54,1202235
23/07/2020,9.16,9.3,9.14,9.25,0.01,0.11,2343445
22/07/2020,9.2,9.26,9.11,9.24,0.02,0.22,2410579
21/07/2020,9.1,9.31,8.97,9.22,0.24,2.67,2282679
20/07/2020,9.02,9.06,8.92,8.98,0.06,0.67,935301
17/07/2020,9,9.06,8.83,8.92,-0.11,-1.22,1194436
16/07/2020,9.05,9.15,8.98,9.03,-0.01,-0.11,1996443
15/07/2020,8.91,9.21,8.91,9.04,0.23,2.61,2048297
14/07/2020,8.79,8.89,8.78,8.81,-0.09,-1.01,2369795
13/07/2020,8.9,8.96,8.8,8.9,0.16,1.83,2152389
10/07/2020,8.8,8.84,8.67,8.74,-0.06,-0.68,916850
09/07/2020,8.83,8.9,8.7,8.8,0,0,1451093
08/07/2020,8.97,8.97,8.76,8.8,-0.07,-0.79,2025415
07/07/2020,8.8,9.03,8.8,8.87,0.23,2.66,1396210
06/07/2020,8.74,8.79,8.61,8.64,-0.14,-1.59,1845113
03/07/2020,8.5,8.82,8.48,8.78,0.33,3.91,2206392
02/07/2020,8.55,8.6,8.305,8.45,0,0,2170913
01/07/2020,8.52,8.59,8.38,8.45,-0.09,-1.05,1248010
30/06/2020,8.49,8.62,8.19,8.54,0.27,3.26,4685840
29/06/2020,8.28,8.33,8.12,8.27,-0.26,-3.05,2419285
26/06/2020,8.56,8.65,7.97,8.53,0.04,0.47,3596282
25/06/2020,8.47,8.66,8.45,8.49,-0.19,-2.19,1735992
24/06/2020,8.64,8.725,8.57,8.68,0.13,1.52,2113852
23/06/2020,8.34,8.62,8.28,8.55,0.15,1.79,2874064
22/06/2020,8.35,8.54,8.31,8.4,0.02,0.24,1906826
19/06/2020,8.58,8.75,8.3,8.38,-0.05,-0.59,2824392
18/06/2020,8.36,8.63,8.15,8.43,-0.15,-1.75,2505861
17/06/2020,8.8,8.83,8.47,8.58,-0.24,-2.72,2757872
16/06/2020,8.86,8.91,8.6,8.82,0.27,3.16,3834432
15/06/2020,8.53,8.76,8.39,8.55,-0.21,-2.4,1984596
12/06/2020,8.75,8.78,8.54,8.76,-0.27,-2.99,3328723
11/06/2020,9.05,9.24,8.96,9.03,-0.17,-1.85,2542991
10/06/2020,9.24,9.3,9.16,9.2,-0.08,-0.86,1634328
09/06/2020,9.35,9.54,9.075,9.28,0.27,3,3319154
05/06/2020,9.03,9.1,8.92,9.01,-0.07,-0.77,2559096
04/06/2020,9,9.35,8.99,9.08,0.28,3.18,8710642
03/06/2020,8.7,8.81,8.655,8.8,0.21,2.44,2697616
02/06/2020,8.6,8.645,8.44,8.59,0.06,0.7,1662377
01/06/2020,8.19,8.58,8.17,8.53,0.31,3.77,1870301
29/05/2020,8.28,8.39,8.15,8.22,-0.12,-1.44,1673301
28/05/2020,8.38,8.51,8.23,8.34,0.02,0.24,2216503
27/05/2020,8.24,8.41,8.16,8.32,0.01,0.12,2059989
26/05/2020,8.3,8.31,8.11,8.31,0.1,1.22,4131672
25/05/2020,8.35,8.36,8.13,8.21,0.1,1.23,3933247
22/05/2020,8.35,8.36,8.04,8.11,-0.2,-2.41,2072233
21/05/2020,8.21,8.44,8.15,8.31,0.15,1.84,2870313
20/05/2020,7.94,8.2,7.89,8.16,0.22,2.77,1703215
