Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,5.04,5.12,5,5.12,0.1,1.99,1026996
29/01/2021,5.06,5.085,4.99,5.02,0.09,1.83,1056446
28/01/2021,4.86,4.93,4.82,4.93,0,0,2706910
27/01/2021,5.01,5.08,4.9,4.93,-0.08,-1.6,915107
25/01/2021,4.99,5.08,4.94,5.01,0.06,1.21,578745
22/01/2021,4.87,4.99,4.86,4.95,0.08,1.64,575617
21/01/2021,4.97,4.98,4.83,4.87,0.05,1.04,534185
20/01/2021,4.69,4.875,4.67,4.82,0.07,1.47,849982
19/01/2021,4.74,4.8,4.71,4.75,0.02,0.42,881497
18/01/2021,4.73,4.8,4.69,4.73,-0.05,-1.05,941686
15/01/2021,4.76,4.81,4.74,4.78,-0.02,-0.42,1373999
14/01/2021,4.79,4.84,4.75,4.8,0.02,0.42,836760
13/01/2021,4.78,4.82,4.73,4.78,0,0,958685
12/01/2021,4.81,4.81,4.75,4.78,-0.03,-0.62,716443
11/01/2021,4.89,4.94,4.78,4.81,-0.08,-1.64,655805
08/01/2021,4.89,4.94,4.82,4.89,0.03,0.62,655045
07/01/2021,4.92,4.95,4.82,4.86,-0.04,-0.82,1200532
06/01/2021,4.85,4.94,4.81,4.9,-0.1,-2,1212639
05/01/2021,4.89,5.02,4.87,5,0,0,894829
04/01/2021,5.07,5.08,4.97,5,0.08,1.63,685464
31/12/2020,5.12,5.16,4.92,4.92,-0.2,-3.91,765695
30/12/2020,4.99,5.12,4.97,5.12,0.09,1.79,829675
29/12/2020,4.97,5.04,4.97,5.03,0.09,1.82,387448
24/12/2020,4.87,4.99,4.87,4.94,0.04,0.82,316751
23/12/2020,4.85,4.935,4.81,4.9,0.06,1.24,674711
22/12/2020,4.84,4.89,4.81,4.84,-0.02,-0.41,895253
21/12/2020,4.81,4.89,4.81,4.86,-0.04,-0.82,696102
18/12/2020,4.93,4.955,4.85,4.9,-0.06,-1.21,943488
17/12/2020,4.88,4.99,4.87,4.96,0.04,0.81,1569495
16/12/2020,5,5.01,4.91,4.92,-0.08,-1.6,1073669
15/12/2020,4.98,5.09,4.93,5,-0.02,-0.4,1506474
14/12/2020,4.84,5.04,4.82,5.02,0.24,5.02,1345155
11/12/2020,4.68,4.81,4.64,4.78,0.04,0.84,1386591
10/12/2020,4.73,4.77,4.69,4.74,0.03,0.64,1241965
09/12/2020,4.83,4.84,4.7,4.71,-0.06,-1.26,1358733
08/12/2020,4.83,4.84,4.76,4.77,-0.05,-1.04,1108261
07/12/2020,4.84,4.85,4.77,4.82,0.03,0.63,845019
04/12/2020,4.8,4.83,4.705,4.79,-0.03,-0.62,879330
03/12/2020,4.69,4.83,4.68,4.82,0.07,1.47,2470947
02/12/2020,4.84,4.84,4.67,4.75,0.03,0.64,1074777
01/12/2020,4.75,4.79,4.67,4.72,0.01,0.21,1434623
30/11/2020,4.74,4.78,4.64,4.71,0.07,1.51,1233747
