Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.27,3.335,3.25,3.29,0,0,1911935
29/01/2021,3.32,3.345,3.27,3.29,-0.03,-0.9,1953341
28/01/2021,3.16,3.4,3.15,3.32,0.14,4.4,5474073
27/01/2021,3.18,3.21,3.16,3.18,-0.01,-0.31,2767398
25/01/2021,3.19,3.2,3.16,3.19,0.01,0.31,808689
22/01/2021,3.2,3.225,3.17,3.18,-0.02,-0.62,816286
21/01/2021,3.18,3.23,3.17,3.2,0.02,0.63,2255704
20/01/2021,3.18,3.2,3.17,3.18,-0.01,-0.31,2088098
19/01/2021,3.14,3.19,3.13,3.19,0.07,2.24,769108
18/01/2021,3.13,3.15,3.11,3.12,-0.02,-0.64,642443
15/01/2021,3.13,3.15,3.11,3.14,0.03,0.96,801187
14/01/2021,3.15,3.155,3.09,3.11,-0.03,-0.96,3372021
13/01/2021,3.21,3.23,3.14,3.14,-0.06,-1.88,1748542
12/01/2021,3.2,3.215,3.185,3.2,-0.02,-0.62,2229547
11/01/2021,3.2,3.24,3.195,3.22,-0.01,-0.31,1133709
08/01/2021,3.17,3.23,3.15,3.23,0.06,1.89,844743
07/01/2021,3.22,3.22,3.14,3.17,0.01,0.32,764818
06/01/2021,3.15,3.18,3.14,3.16,-0.02,-0.63,1089532
05/01/2021,3.16,3.2,3.15,3.18,0,0,1301163
04/01/2021,3.12,3.19,3.12,3.18,0.06,1.92,1091327
31/12/2020,3.13,3.16,3.12,3.12,-0.03,-0.95,1638691
30/12/2020,3.15,3.16,3.12,3.15,-0.02,-0.63,1028043
29/12/2020,3.16,3.19,3.12,3.17,0.02,0.63,1047375
24/12/2020,3.14,3.18,3.14,3.15,0.01,0.32,359567
23/12/2020,3.17,3.21,3.12,3.14,-0.01,-0.32,1077342
22/12/2020,3.14,3.16,3.12,3.15,0,0,1300595
21/12/2020,3.19,3.22,3.12,3.15,-0.08,-2.48,1587521
18/12/2020,3.18,3.245,3.15,3.23,0.05,1.57,2198828
17/12/2020,3.2,3.22,3.17,3.18,0.01,0.32,2780758
16/12/2020,3.2,3.2,3.15,3.17,-0.02,-0.63,7203172
15/12/2020,3.13,3.21,3.13,3.19,0.06,1.92,1843192
14/12/2020,3.12,3.16,3.11,3.13,0.05,1.62,2150546
11/12/2020,3.07,3.11,3.07,3.08,-0.01,-0.32,1861907
10/12/2020,3.14,3.15,3.08,3.09,-0.04,-1.28,1944028
09/12/2020,3.11,3.15,3.08,3.13,0.05,1.62,3157341
08/12/2020,3.07,3.11,3.06,3.08,0,0,3513114
07/12/2020,3.12,3.18,3.075,3.08,-0.01,-0.32,2660341
04/12/2020,3.12,3.14,3.09,3.09,-0.02,-0.64,2082718
