Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.2,6.365,6.15,6.33,0,0,672489
29/01/2021,6.33,6.45,6.3,6.33,0.1,1.61,864700
28/01/2021,6.28,6.33,6.19,6.23,-0.09,-1.42,588662
27/01/2021,6.27,6.385,6.27,6.32,0.04,0.64,577014
25/01/2021,6.34,6.365,6.255,6.28,0.01,0.16,454345
22/01/2021,6.37,6.39,6.27,6.27,-0.11,-1.72,852775
21/01/2021,6.29,6.4,6.28,6.38,0.11,1.75,741718
20/01/2021,6.17,6.34,6.16,6.27,0.1,1.62,1033818
19/01/2021,6.08,6.2,6.08,6.17,0.13,2.15,834126
18/01/2021,5.9,6.13,5.9,6.04,0.18,3.07,866846
15/01/2021,5.89,5.91,5.77,5.86,-0.04,-0.68,937177
14/01/2021,5.94,6.03,5.88,5.9,-0.05,-0.84,679063
13/01/2021,5.99,6.04,5.905,5.95,-0.06,-1,984386
12/01/2021,6.02,6.1,6,6.01,-0.01,-0.17,889424
11/01/2021,6.14,6.15,5.98,6.02,-0.14,-2.27,992687
08/01/2021,6.22,6.34,6.13,6.16,-0.08,-1.28,910460
07/01/2021,6.45,6.53,6.22,6.24,-0.18,-2.8,1057026
06/01/2021,6.45,6.5,6.36,6.42,-0.09,-1.38,642660
05/01/2021,6.5,6.65,6.465,6.51,-0.06,-0.91,1336426
04/01/2021,6.49,6.58,6.46,6.57,0.14,2.18,561186
31/12/2020,6.51,6.54,6.43,6.43,-0.11,-1.68,255030
30/12/2020,6.56,6.58,6.5,6.54,-0.02,-0.3,407049
29/12/2020,6.62,6.7,6.48,6.56,0.1,1.55,562467
24/12/2020,6.38,6.51,6.37,6.46,0.09,1.41,746274
23/12/2020,6.27,6.47,6.25,6.37,0.17,2.74,866191
22/12/2020,6.31,6.34,6.19,6.2,-0.18,-2.82,563095
21/12/2020,6.38,6.455,6.35,6.38,-0.03,-0.47,389927
18/12/2020,6.44,6.5,6.35,6.41,-0.05,-0.77,1113151
17/12/2020,6.4,6.5,6.4,6.46,0.02,0.31,778703
16/12/2020,6.48,6.48,6.37,6.44,-0.03,-0.46,657472
15/12/2020,6.5,6.57,6.41,6.47,-0.05,-0.77,839238
14/12/2020,6.58,6.66,6.52,6.52,-0.04,-0.61,672572
11/12/2020,6.6,6.67,6.56,6.56,-0.09,-1.35,801179
10/12/2020,6.61,6.71,6.6,6.65,0.02,0.3,957561
09/12/2020,6.7,6.74,6.61,6.63,-0.04,-0.6,607945
08/12/2020,6.72,6.73,6.57,6.67,0.05,0.76,741002
07/12/2020,6.87,6.98,6.6,6.62,-0.27,-3.92,1073941
04/12/2020,6.91,6.97,6.88,6.89,-0.06,-0.86,865518
03/12/2020,6.88,6.96,6.82,6.95,-0.01,-0.14,510140
02/12/2020,6.96,7.03,6.89,6.96,0,0,2528028
01/12/2020,6.97,7.03,6.86,6.96,0.04,0.58,740215
30/11/2020,7,7.05,6.86,6.92,0,0,1038628
27/11/2020,7.05,7.12,6.86,6.92,-0.11,-1.56,616785
26/11/2020,7.06,7.11,7.01,7.03,0.09,1.3,1261378
25/11/2020,7.24,7.29,6.91,6.94,-0.27,-3.74,1179004
24/11/2020,7.3,7.3,7.03,7.21,0.08,1.12,1468785
23/11/2020,7.24,7.24,7.12,7.13,0,0,1120529
20/11/2020,7.06,7.18,7.04,7.13,0.1,1.42,711629
19/11/2020,6.99,7.11,6.97,7.03,0.05,0.72,708798
18/11/2020,6.94,7.07,6.89,6.98,0.08,1.16,735654
17/11/2020,6.95,7,6.84,6.9,-0.06,-0.86,879157
16/11/2020,6.95,6.96,6.92,6.96,0.07,1.02,4323
13/11/2020,7.03,7.03,6.89,6.89,-0.03,-0.43,294344
12/11/2020,6.98,7.02,6.9,6.92,0.01,0.14,353599
11/11/2020,6.99,6.99,6.86,6.91,0.01,0.14,722049
10/11/2020,7.04,7.12,6.9,6.9,0.03,0.44,489167
09/11/2020,6.9,6.94,6.82,6.87,0.05,0.73,577716
06/11/2020,6.8,6.87,6.68,6.82,0.16,2.4,726472
05/11/2020,6.76,6.85,6.57,6.66,-0.06,-0.89,1244422
04/11/2020,6.55,6.76,6.55,6.72,0.13,1.97,447632
03/11/2020,6.5,6.67,6.46,6.59,0.08,1.23,638073
02/11/2020,6.56,6.6,6.47,6.51,-0.06,-0.91,610366
30/10/2020,6.79,6.83,6.57,6.57,-0.19,-2.81,828535
29/10/2020,6.76,6.87,6.7,6.76,-0.03,-0.44,862558
28/10/2020,6.78,6.83,6.72,6.79,-0.01,-0.15,674509
27/10/2020,6.91,6.93,6.8,6.8,-0.16,-2.3,686125
26/10/2020,7.06,7.16,6.96,6.96,-0.03,-0.43,950184
23/10/2020,6.95,7.06,6.95,6.99,0.04,0.58,751837
22/10/2020,7.1,7.145,6.86,6.95,-0.3,-4.14,1566830
21/10/2020,7.25,7.38,7.13,7.25,-0.08,-1.09,882750
20/10/2020,7.39,7.49,7.26,7.33,-0.11,-1.48,1099436
19/10/2020,7.4,7.49,7.36,7.44,0.11,1.5,439364
16/10/2020,7.33,7.38,7.31,7.33,-0.02,-0.27,661624
15/10/2020,7.3,7.395,7.28,7.35,0.05,0.68,567225
14/10/2020,7.35,7.41,7.27,7.3,-0.03,-0.41,655479
13/10/2020,7.25,7.42,7.23,7.33,0.12,1.66,553651
12/10/2020,7.1,7.22,7.04,7.21,0.1,1.41,816494
09/10/2020,7.09,7.17,7.09,7.11,0,0,359702
08/10/2020,7.1,7.17,7.06,7.11,0.04,0.57,683433
07/10/2020,7.08,7.26,7.04,7.07,0.06,0.86,882916
06/10/2020,7.1,7.15,6.99,7.01,-0.13,-1.82,699030
05/10/2020,7.3,7.3,7.06,7.14,0.09,1.28,395182
02/10/2020,7.1,7.2,7.02,7.05,-0.12,-1.67,695959
01/10/2020,7.18,7.31,7.16,7.17,0.01,0.14,2294411
30/09/2020,7.31,7.34,7.13,7.16,-0.19,-2.59,807842
