Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.62,2.78,2.61,2.73,0.09,3.41,10425923
29/01/2021,2.65,2.73,2.62,2.64,0.04,1.54,13434352
28/01/2021,2.63,2.65,2.57,2.6,-0.09,-3.35,12978275
27/01/2021,2.74,2.75,2.68,2.69,-0.06,-2.18,9411237
25/01/2021,2.84,2.84,2.71,2.75,-0.05,-1.79,7894876
22/01/2021,2.7,2.82,2.68,2.8,0.07,2.56,16625858
21/01/2021,2.67,2.75,2.65,2.73,0.07,2.63,24310071
20/01/2021,2.6,2.71,2.58,2.66,0.06,2.31,12744266
19/01/2021,2.52,2.615,2.52,2.6,0.08,3.17,5948804
18/01/2021,2.52,2.53,2.49,2.52,-0.01,-0.4,6711532
15/01/2021,2.54,2.61,2.5,2.53,0.02,0.8,11050336
14/01/2021,2.47,2.53,2.4,2.51,0.13,5.46,10867166
13/01/2021,2.41,2.43,2.35,2.38,0.02,0.85,4701405
12/01/2021,2.42,2.45,2.36,2.36,-0.06,-2.48,4025019
11/01/2021,2.41,2.45,2.405,2.42,-0.02,-0.82,7568269
08/01/2021,2.44,2.46,2.41,2.44,-0.01,-0.41,8180056
07/01/2021,2.35,2.47,2.325,2.45,0.16,6.99,10808183
06/01/2021,2.3,2.35,2.28,2.29,0.05,2.23,8485192
05/01/2021,2.24,2.27,2.23,2.24,-0.04,-1.75,3915282
04/01/2021,2.25,2.28,2.24,2.28,0,0,6225472
31/12/2020,2.31,2.32,2.26,2.28,-0.02,-0.87,3615179
30/12/2020,2.27,2.32,2.265,2.3,0.01,0.44,4391747
29/12/2020,2.32,2.32,2.265,2.29,-0.01,-0.43,4130174
24/12/2020,2.28,2.3,2.275,2.3,0.03,1.32,1110552
23/12/2020,2.27,2.29,2.24,2.27,0,0,3157610
22/12/2020,2.29,2.32,2.27,2.27,-0.02,-0.87,3677505
21/12/2020,2.29,2.34,2.28,2.29,-0.02,-0.87,3649751
18/12/2020,2.3,2.35,2.29,2.31,0,0,8370108
17/12/2020,2.29,2.34,2.28,2.31,0.01,0.43,7585867
16/12/2020,2.35,2.37,2.28,2.3,0,0,5829268
15/12/2020,2.31,2.32,2.29,2.3,-0.02,-0.86,2462717
14/12/2020,2.34,2.37,2.3,2.32,-0.02,-0.85,6227251
11/12/2020,2.36,2.4,2.33,2.34,-0.05,-2.09,7907872
10/12/2020,2.41,2.43,2.37,2.39,-0.01,-0.42,10934241
09/12/2020,2.42,2.43,2.39,2.4,0.04,1.69,4062845
08/12/2020,2.41,2.42,2.36,2.36,-0.07,-2.88,8112641
07/12/2020,2.39,2.47,2.39,2.43,0.07,2.97,9414023
04/12/2020,2.32,2.37,2.32,2.36,0.02,0.85,2310640
03/12/2020,2.34,2.38,2.32,2.34,-0.01,-0.43,4653924
02/12/2020,2.34,2.37,2.32,2.35,0,0,5840668
01/12/2020,2.34,2.37,2.31,2.35,0.06,2.62,6738314
30/11/2020,2.4,2.41,2.29,2.29,-0.09,-3.78,9492790
27/11/2020,2.39,2.41,2.36,2.38,-0.03,-1.24,5017598
26/11/2020,2.45,2.46,2.4,2.41,-0.05,-2.03,6415098
25/11/2020,2.45,2.48,2.4,2.46,0.1,4.24,26820865
24/11/2020,2.35,2.38,2.33,2.36,0.04,1.72,14356318
23/11/2020,2.29,2.345,2.26,2.32,0.04,1.75,15454750
20/11/2020,2.33,2.33,2.27,2.28,-0.04,-1.72,14893508
19/11/2020,2.35,2.35,2.28,2.32,0.04,1.75,15662168
18/11/2020,2.24,2.32,2.22,2.28,0.05,2.24,20452273
17/11/2020,2.12,2.23,2.12,2.23,0.12,5.69,14030379
16/11/2020,2.12,2.13,2.11,2.11,0.02,0.96,289368
13/11/2020,2.1,2.13,2.08,2.09,-0.01,-0.48,10929048
12/11/2020,2.05,2.12,2.05,2.1,0.06,2.94,16969415
11/11/2020,2.1,2.11,2.04,2.04,-0.06,-2.86,13917126
10/11/2020,2.16,2.17,2.05,2.1,-0.06,-2.78,19515353
09/11/2020,2.07,2.17,2.06,2.16,0.08,3.85,9023716
06/11/2020,2.07,2.08,2.05,2.08,0.02,0.97,6957667
05/11/2020,2.03,2.06,2.03,2.06,0.02,0.98,7130296
04/11/2020,2.02,2.08,2.02,2.04,-0.01,-0.49,11621412
03/11/2020,1.97,2.07,1.97,2.05,0.105,5.4,5132981
02/11/2020,1.905,1.98,1.9,1.945,0.025,1.3,11196014
30/10/2020,1.995,2,1.915,1.92,-0.05,-2.54,10627925
29/10/2020,2.03,2.05,1.97,1.97,-0.08,-3.9,12763663
28/10/2020,2.06,2.08,2.045,2.05,-0.03,-1.44,6418893
27/10/2020,2.1,2.11,2.07,2.08,-0.05,-2.35,5438280
26/10/2020,2.08,2.14,2.07,2.13,0.04,1.91,15943714
23/10/2020,2.05,2.11,2.03,2.09,0.04,1.95,6709546
22/10/2020,2.04,2.06,2.02,2.05,-0.01,-0.49,5445631
21/10/2020,2.06,2.08,2.05,2.06,-0.01,-0.48,4424414
20/10/2020,2.1,2.11,2.06,2.07,-0.05,-2.36,4773142
19/10/2020,2.13,2.14,2.1,2.12,0,0,3608291
16/10/2020,2.11,2.125,2.08,2.12,0,0,4649260
15/10/2020,2.07,2.14,2.06,2.12,0.07,3.41,6800936
14/10/2020,2.08,2.11,2.04,2.05,-0.06,-2.84,7054963
13/10/2020,2.13,2.14,2.08,2.11,-0.01,-0.47,4516681
12/10/2020,2.13,2.13,2.1,2.12,-0.02,-0.93,2512256
09/10/2020,2.13,2.16,2.11,2.14,0.02,0.94,2335414
08/10/2020,2.07,2.13,2.06,2.12,0.06,2.91,9112912
07/10/2020,2.05,2.07,2.02,2.06,0,0,6600846
