Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,9.84,10.09,9.82,9.98,-0.02,-0.2,296447
29/01/2021,10.06,10.18,9.98,10,0.05,0.5,542394
28/01/2021,9.99,10.05,9.82,9.95,-0.22,-2.16,843733
27/01/2021,10.21,10.33,10.1,10.17,-0.09,-0.88,629340
25/01/2021,10.18,10.3,10.12,10.26,0.1,0.98,260649
22/01/2021,10.28,10.34,10.105,10.16,-0.27,-2.59,474239
21/01/2021,10.47,10.54,10.37,10.43,0.06,0.58,387374
20/01/2021,10.38,10.47,10.36,10.37,-0.06,-0.58,418165
19/01/2021,10.47,10.52,10.37,10.43,0.1,0.97,206676
18/01/2021,10.2,10.39,10.2,10.33,0.06,0.58,265163
15/01/2021,10.3,10.44,10.27,10.27,-0.11,-1.06,268458
14/01/2021,10.16,10.4,10.12,10.38,0.19,1.86,395474
13/01/2021,10.14,10.25,10.12,10.19,0.02,0.2,398928
12/01/2021,10.21,10.34,10.13,10.17,-0.03,-0.29,634132
11/01/2021,10.3,10.42,10.19,10.2,-0.15,-1.45,459301
08/01/2021,10.19,10.42,10.14,10.35,0.1,0.98,361280
07/01/2021,10.44,10.44,10.25,10.25,-0.1,-0.97,378598
06/01/2021,10.51,10.6,10.3,10.35,-0.29,-2.73,338204
05/01/2021,10.55,10.7,10.55,10.64,-0.08,-0.75,290492
04/01/2021,10.68,10.77,10.65,10.72,0.11,1.04,750490
31/12/2020,10.78,10.86,10.61,10.61,-0.22,-2.03,392371
30/12/2020,10.7,10.87,10.69,10.83,0.01,0.09,329358
29/12/2020,10.75,10.84,10.62,10.82,0.27,2.56,343052
24/12/2020,10.54,10.69,10.52,10.55,0.04,0.38,202694
23/12/2020,10.52,10.68,10.435,10.51,0.09,0.86,513477
22/12/2020,10.55,10.61,10.33,10.42,-0.22,-2.07,718954
21/12/2020,10.73,10.75,10.515,10.64,-0.18,-1.66,455973
18/12/2020,10.7,10.84,10.63,10.82,0.11,1.03,950053
17/12/2020,10.51,10.71,10.38,10.71,0.28,2.68,756567
16/12/2020,10.3,10.53,10.21,10.43,0.29,2.86,609604
15/12/2020,10.07,10.27,9.98,10.14,-0.03,-0.29,638809
14/12/2020,10.04,10.28,9.89,10.17,-0.03,-0.29,1038682
11/12/2020,10.1,10.25,10.01,10.2,0.01,0.1,470223
10/12/2020,10.27,10.35,10.12,10.19,-0.26,-2.49,800238
09/12/2020,10.33,10.51,10.26,10.45,0.21,2.05,672935
08/12/2020,10.19,10.28,10.14,10.24,0.06,0.59,561184
07/12/2020,10.31,10.31,10.09,10.18,0.04,0.39,567465
04/12/2020,10.15,10.22,10.13,10.14,0,0,380535
03/12/2020,10.25,10.34,10.07,10.14,-0.16,-1.55,589142
02/12/2020,10.4,10.51,10.26,10.3,-0.17,-1.62,858009
01/12/2020,10.46,10.64,10.34,10.47,0.06,0.58,817021
30/11/2020,10.7,10.71,10.33,10.41,-0.21,-1.98,1175157
27/11/2020,10.63,10.67,10.51,10.62,-0.01,-0.09,970893
26/11/2020,10.49,10.7,10.39,10.63,0.17,1.63,1018185
