Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
14/10/2019,13.72,13.85,13.67,13.69,0.05,0.37,305287
15/10/2019,13.73,13.73,13.63,13.69,0,0,459625
16/10/2019,13.79,14.06,13.68,14,0.31,2.26,380841
17/10/2019,14.02,14.17,13.61,13.68,-0.32,-2.29,483233
18/10/2019,13.62,13.8,13.55,13.64,-0.04,-0.29,365246
21/10/2019,13.72,13.8,13.51,13.77,0.13,0.95,258676
22/10/2019,13.81,13.83,13.62,13.64,-0.13,-0.94,161502
23/10/2019,13.69,13.69,13.565,13.64,0,0,161856
24/10/2019,13.71,13.76,13.5,13.54,-0.1,-0.73,211030
25/10/2019,13.73,13.75,13.56,13.59,0.05,0.37,174753
28/10/2019,13.61,13.63,13.33,13.38,-0.21,-1.55,335133
29/10/2019,13.51,13.62,13.28,13.46,0.08,0.6,461423
30/10/2019,13.5,13.62,13.25,13.26,-0.2,-1.49,412998
31/10/2019,13.42,13.46,12.96,13.09,-0.17,-1.28,696259
01/11/2019,13.21,13.25,13,13.14,0.05,0.38,327361
04/11/2019,13.17,13.42,13.17,13.33,0.19,1.45,210982
05/11/2019,13.34,13.48,13.23,13.24,-0.09,-0.68,159319
06/11/2019,13.22,13.36,13.05,13.08,-0.16,-1.21,294388
07/11/2019,13.07,13.36,13.05,13.33,0.25,1.91,356523
08/11/2019,13.34,13.4,13.23,13.33,0,0,273805
11/11/2019,13.35,13.48,13.24,13.48,0.15,1.13,268885
12/11/2019,13.6,13.9,13.5,13.83,0.35,2.6,534883
13/11/2019,13.88,13.88,13.695,13.8,-0.03,-0.22,459300
14/11/2019,13.85,13.97,13.78,13.78,-0.02,-0.14,198157
15/11/2019,13.95,13.95,13.75,13.83,0.05,0.36,193899
18/11/2019,13.71,13.84,13.12,13.2,-0.63,-4.56,572519
19/11/2019,13.29,13.4,13.205,13.27,0.07,0.53,424092
20/11/2019,13.3,13.32,13.12,13.15,-0.12,-0.9,349397
21/11/2019,13.14,13.15,12.98,13.03,-0.12,-0.91,242733
22/11/2019,13.03,13.12,12.99,13.12,0.09,0.69,321858
25/11/2019,13.21,13.21,13,13.04,-0.08,-0.61,209227
26/11/2019,13.1,13.17,13,13.09,0.05,0.38,350146
27/11/2019,13.01,13.41,13,13.36,0.27,2.06,490776
28/11/2019,13.31,13.44,13.19,13.32,-0.04,-0.3,258707
29/11/2019,13.4,13.42,13.17,13.17,-0.15,-1.13,260165
02/12/2019,13.08,13.17,13,13.03,-0.14,-1.06,253651
03/12/2019,13,13,12.57,12.58,-0.45,-3.45,625044
04/12/2019,12.5,12.55,12.36,12.53,-0.05,-0.4,585713
05/12/2019,12.56,12.89,12.53,12.85,0.32,2.55,251908
06/12/2019,12.85,12.94,12.82,12.86,0.01,0.08,122130
09/12/2019,12.88,13.03,12.84,12.95,0.09,0.7,215875
10/12/2019,12.84,13.065,12.8,13,0.05,0.39,194541
11/12/2019,13,13.1,12.98,13.05,0.05,0.38,247274
12/12/2019,13.03,13.12,12.96,13.1,0.05,0.38,291055
13/12/2019,13.15,13.35,13.06,13.3,0.2,1.53,218440
16/12/2019,13.32,13.71,13.32,13.61,0.31,2.33,449625
17/12/2019,13.64,13.78,13.55,13.64,0.03,0.22,254800
18/12/2019,13.64,13.64,13.44,13.48,-0.16,-1.17,247802
19/12/2019,13.5,13.51,13.34,13.39,-0.09,-0.67,609894
20/12/2019,13.31,13.43,13.15,13.15,-0.24,-1.79,334006
23/12/2019,13.35,13.7,13.27,13.61,0.46,3.5,250016
24/12/2019,13.61,13.65,13.53,13.58,-0.03,-0.22,71287
27/12/2019,13.6,13.69,13.54,13.6,0.02,0.15,108119
30/12/2019,13.6,13.65,13.27,13.39,-0.21,-1.54,236359
31/12/2019,13.42,13.44,13.16,13.19,-0.2,-1.49,182277
02/01/2020,13.53,13.55,13.31,13.44,0.25,1.9,156769
03/01/2020,13.6,13.77,13.45,13.49,0.05,0.37,263180
06/01/2020,13.35,13.54,13.26,13.49,0,0,264443
07/01/2020,13.55,13.62,13.42,13.53,0.04,0.3,180606
08/01/2020,13.54,13.59,13.375,13.45,-0.08,-0.59,216392
09/01/2020,13.58,13.75,13.51,13.59,0.14,1.04,258679
10/01/2020,13.62,13.79,13.57,13.78,0.19,1.4,308916
13/01/2020,13.76,13.76,13.55,13.7,-0.08,-0.58,154437
14/01/2020,13.8,14.11,13.79,14,0.3,2.19,494253
15/01/2020,14.05,14.09,13.9,13.99,-0.01,-0.07,255088
16/01/2020,14,14.07,13.84,13.95,-0.04,-0.29,499218
17/01/2020,13.96,14.02,13.76,13.82,-0.13,-0.93,316981
20/01/2020,13.85,13.89,13.63,13.72,-0.1,-0.72,264647
21/01/2020,13.79,13.84,13.63,13.64,-0.08,-0.58,182844
22/01/2020,13.74,13.83,13.54,13.65,0.01,0.07,267372
23/01/2020,13.59,13.67,13.45,13.47,-0.18,-1.32,257295
24/01/2020,13.37,13.59,13.29,13.29,-0.18,-1.34,397264
28/01/2020,13.25,13.38,13.02,13.12,-0.17,-1.28,470497
29/01/2020,13.17,13.28,13.01,13.05,-0.07,-0.53,451903
30/01/2020,13.06,13.19,13.02,13.11,0.06,0.46,704303
31/01/2020,13.31,13.54,13.18,13.41,0.3,2.29,486142
03/02/2020,13.4,13.52,13.11,13.51,0.1,0.75,386174
04/02/2020,13.51,13.51,13.18,13.21,-0.3,-2.22,253714
05/02/2020,13.24,13.39,13.16,13.28,0.07,0.53,1163653
06/02/2020,13.3,13.41,13.15,13.3,0.02,0.15,485301
07/02/2020,13.41,13.41,13.23,13.29,-0.01,-0.08,167327
10/02/2020,13.31,13.39,13.2,13.35,0.06,0.45,887352
11/02/2020,13.4,13.52,13.24,13.26,-0.09,-0.67,372855
12/02/2020,13.2,13.38,13.13,13.26,0,0,452501
13/02/2020,13.34,13.34,13.17,13.21,-0.05,-0.38,497190
14/02/2020,13.21,13.23,13.125,13.18,-0.03,-0.23,225083
17/02/2020,13.18,13.2,13.05,13.08,-0.1,-0.76,215745
18/02/2020,13.2,13.2,12.93,12.95,-0.13,-0.99,329923
19/02/2020,12.91,13.15,12.91,13.06,0.11,0.85,322243
20/02/2020,13.12,13.395,13.1,13.36,0.3,2.3,604570
21/02/2020,13.4,13.46,13.26,13.3,-0.06,-0.45,304714
24/02/2020,13.18,13.24,12.78,12.86,-0.44,-3.31,330729
25/02/2020,12.77,12.98,12.58,12.75,-0.11,-0.86,449594
26/02/2020,13.73,14.74,13.6,14.48,1.73,13.57,2846378
27/02/2020,14.77,15.79,14.5,14.92,0.44,3.04,1380864
28/02/2020,14.47,14.55,14.17,14.5,-0.42,-2.82,1180786
02/03/2020,14.64,14.99,14.37,14.59,0.09,0.62,962126
03/03/2020,14.6,14.8,14.26,14.3,-0.29,-1.99,881903
04/03/2020,13.6,14.15,13.6,14.13,-0.17,-1.19,699445
05/03/2020,14.3,14.39,14.16,14.29,0.16,1.13,914836
06/03/2020,14.15,14.26,13.85,13.85,-0.44,-3.08,557545
09/03/2020,13.85,13.97,13.37,13.48,-0.37,-2.67,746382
10/03/2020,13.4,14.27,13,14.27,0.79,5.86,906007
11/03/2020,14.3,14.39,13.56,13.56,-0.71,-4.98,873787
12/03/2020,13.5,13.5,12.76,13.08,-0.48,-3.54,997560
13/03/2020,12.9,13.55,12.32,13.55,0.47,3.59,1211764
16/03/2020,13.39,13.48,12.635,12.8,-0.75,-5.54,947001
17/03/2020,12.59,13.81,12.54,13.81,1.01,7.89,982963
18/03/2020,13.5,14.63,13.35,13.72,-0.09,-0.65,1069407
19/03/2020,14.01,14.28,13.26,13.77,0.05,0.36,1095871
20/03/2020,13.82,14.12,13.04,13.1,-0.67,-4.87,871089
23/03/2020,12.5,12.6,11.85,12.3,-0.8,-6.11,1092571
24/03/2020,12.2,12.33,10.75,11.19,-1.11,-9.02,1121438
25/03/2020,10.48,10.555,9.07,9.83,-1.36,-12.15,2746599
26/03/2020,10.17,10.725,9.88,10.51,0.68,6.92,1751585
27/03/2020,10.78,10.94,9.91,9.98,-0.53,-5.04,1436928
30/03/2020,9.97,10.37,9.67,10.37,0.39,3.91,1086310
31/03/2020,10.45,10.88,10.24,10.51,0.14,1.35,952559
01/04/2020,10.83,11.22,10.62,10.86,0.35,3.33,756880
02/04/2020,10.81,10.81,10.37,10.41,-0.45,-4.14,696856
03/04/2020,10.42,10.62,9.97,10.03,-0.38,-3.65,864039
06/04/2020,10.34,11.09,10.28,10.97,0.94,9.37,635184
07/04/2020,11.1,11.18,10.45,10.58,-0.39,-3.56,480281
08/04/2020,10.5,11.08,10.29,10.86,0.28,2.65,603781
09/04/2020,10.93,11.46,10.92,11.28,0.42,3.87,612227
15/04/2020,11.21,11.98,11.1,11.51,0.23,2.04,3560755
16/04/2020,11.26,11.3,11.02,11.14,-0.37,-3.21,1110097
17/04/2020,11.2,11.47,10.79,10.9,-0.24,-2.15,1872279
20/04/2020,10.79,10.95,10.35,10.35,-0.55,-5.05,1900884
21/04/2020,10.35,10.425,9.93,10,-0.35,-3.38,2839399
22/04/2020,9.97,10.18,9.72,10.08,0.08,0.8,1344740
23/04/2020,10.38,10.38,9.955,10.05,-0.03,-0.3,831716
24/04/2020,10.05,10.27,9.99,10.05,0,0,1048454
27/04/2020,10.19,10.68,10.01,10.6,0.55,5.47,753431
28/04/2020,10.55,10.63,10.2,10.35,-0.25,-2.36,980338
29/04/2020,10.21,10.34,9.97,10.16,-0.19,-1.84,1684063
30/04/2020,10.2,10.36,10.13,10.28,0.12,1.18,1960681
01/05/2020,10.2,10.53,10.07,10.34,0.06,0.58,1080394
04/05/2020,10.32,10.5,10.04,10.4,0.06,0.58,1050582
05/05/2020,10.32,10.745,10.29,10.59,0.19,1.83,584809
06/05/2020,10.58,10.645,10.4,10.4,-0.19,-1.79,480330
07/05/2020,10.39,10.46,10.2,10.44,0.04,0.38,679211
08/05/2020,10.5,11.13,10.42,10.93,0.49,4.69,1421285
11/05/2020,11.03,11.175,10.86,11,0.07,0.64,1163180
12/05/2020,10.9,11.07,10.75,10.8,-0.2,-1.82,964258
13/05/2020,10.61,10.78,10.44,10.75,-0.05,-0.46,926579
14/05/2020,10.75,10.75,10.38,10.39,-0.36,-3.35,846880
15/05/2020,10.49,10.6,10.25,10.55,0.16,1.54,855646
18/05/2020,10.59,11,10.54,11,0.45,4.27,697241
19/05/2020,11.16,11.29,10.99,11.02,0.02,0.18,680022
20/05/2020,10.92,11.22,10.85,11.13,0.11,1,540974
21/05/2020,11.21,11.36,11.1,11.28,0.15,1.35,727078
22/05/2020,11.18,11.18,10.91,11.01,-0.27,-2.39,1027052
25/05/2020,11.14,11.26,11.05,11.25,0.24,2.18,649941
26/05/2020,11.4,11.4,11.09,11.2,-0.05,-0.44,740732
27/05/2020,11.22,11.7,11.18,11.61,0.41,3.66,1032810
28/05/2020,11.79,12.12,11.69,11.69,0.08,0.69,1076502
29/05/2020,11.6,11.66,11.35,11.38,-0.31,-2.65,896482
01/06/2020,11.4,11.5,11.26,11.39,0.01,0.09,1310361
02/06/2020,11.45,11.49,11.16,11.19,-0.2,-1.76,796493
03/06/2020,11.3,11.38,11.17,11.26,0.07,0.63,1053191
04/06/2020,11.29,11.48,11.16,11.23,-0.03,-0.27,746438
05/06/2020,11.03,11.22,10.95,11.19,-0.04,-0.36,1065032
09/06/2020,11.39,11.79,11.39,11.58,0.39,3.49,787653
10/06/2020,11.5,11.72,11.34,11.59,0.01,0.09,577213
11/06/2020,11.38,11.53,11.24,11.3,-0.29,-2.5,613090
12/06/2020,11.06,11.23,10.93,11.16,-0.14,-1.24,773727
15/06/2020,11.07,11.24,10.97,11.05,-0.11,-0.99,855495
16/06/2020,11.35,11.56,11.26,11.38,0.33,2.99,1242533
17/06/2020,11.23,11.34,10.93,11.31,-0.07,-0.62,1498200
18/06/2020,11.25,11.34,10.96,11.12,-0.19,-1.68,965824
19/06/2020,11.11,11.53,11.01,11.36,0.24,2.16,2423132
22/06/2020,11.15,11.21,10.8,10.8,-0.56,-4.93,1360515
23/06/2020,10.92,11,10.59,10.73,-0.07,-0.65,1241611
24/06/2020,10.71,10.83,10.55,10.6,-0.13,-1.21,905555
25/06/2020,10.55,10.64,10.43,10.43,-0.17,-1.6,830257
26/06/2020,10.43,10.54,10.24,10.5,0.07,0.67,832010
29/06/2020,10.34,10.65,10.23,10.41,-0.09,-0.86,691930
30/06/2020,10.67,10.75,10.37,10.48,0.07,0.67,657369
01/07/2020,10.6,10.67,10.42,10.51,0.03,0.29,531596
