Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,50.53,51.41,50.13,50.74,-1.03,-1.99,438040
29/01/2021,51.8,52.87,51.44,51.77,0.51,0.99,528341
28/01/2021,51.74,52.22,51,51.26,-1.21,-2.31,381146
27/01/2021,52.98,53.7,52.1,52.47,0.43,0.83,530575
25/01/2021,50.8,52.23,50.52,52.04,1.03,2.02,334218
22/01/2021,51.72,52.16,50.77,51.01,-0.99,-1.9,558894
21/01/2021,52.2,52.79,51.71,52,-0.15,-0.29,615527
20/01/2021,53.5,53.5,51.89,52.15,-1.54,-2.87,388425
19/01/2021,52.75,53.72,52.6,53.69,0.99,1.88,700649
18/01/2021,54,55.25,51.93,52.7,1.93,3.8,773946
15/01/2021,50.86,51.59,50.705,50.77,-0.47,-0.92,550572
14/01/2021,50.61,51.68,50.02,51.24,-0.62,-1.2,632882
13/01/2021,51.1,53.05,51.1,51.86,1.16,2.29,666517
12/01/2021,50.24,51.04,50.2,50.7,0.94,1.89,608001
11/01/2021,49.87,50.57,49.55,49.76,-0.06,-0.12,424397
08/01/2021,48.33,49.92,48.21,49.82,2.37,4.99,461548
07/01/2021,49,49.7,47.34,47.45,-0.82,-1.7,374290
06/01/2021,49.04,49.38,47.8,48.27,-0.98,-1.99,382095
05/01/2021,49.26,50.24,48.9,49.25,-0.63,-1.26,507558
04/01/2021,48.62,49.88,48.45,49.88,1.26,2.59,297411
31/12/2020,48.75,48.95,48.51,48.62,-0.23,-0.47,398995
30/12/2020,48.25,48.85,48.09,48.85,0.38,0.78,255727
29/12/2020,48.55,48.86,48.1,48.47,0.15,0.31,252135
24/12/2020,48.66,48.72,48.11,48.32,0.27,0.56,163214
23/12/2020,48.2,48.63,47.66,48.05,0.37,0.78,346119
22/12/2020,48.8,48.97,47.61,47.68,-0.7,-1.45,396576
21/12/2020,48.5,49.43,48.24,48.38,0.38,0.79,563610
18/12/2020,47.43,48.18,47.36,48,0.62,1.31,860360
17/12/2020,46.92,47.68,46.66,47.38,0.68,1.46,583794
16/12/2020,46.88,47.2,46.12,46.7,0.49,1.06,579061
15/12/2020,46.3,47.2,45.92,46.21,0.05,0.11,621682
14/12/2020,44.89,46.41,44.89,46.16,2.14,4.86,580257
11/12/2020,44.72,44.86,43.92,44.02,-0.75,-1.68,595132
10/12/2020,43.92,44.93,43.92,44.77,0.85,1.94,608654
09/12/2020,43.01,44.19,42.9,43.92,1.03,2.4,1046765
08/12/2020,43.01,43.88,42.3,42.89,-1.08,-2.46,1166387
07/12/2020,45.05,45.11,43.78,43.97,-1.03,-2.29,682502
04/12/2020,45.42,45.73,44.94,45,-0.59,-1.29,454388
03/12/2020,45.3,45.84,45.23,45.59,0.29,0.64,327364
02/12/2020,46.4,46.47,45.11,45.3,-1.05,-2.27,785767
01/12/2020,45.68,46.78,45.5,46.35,0.64,1.4,435644
30/11/2020,46.58,46.68,45.44,45.71,-0.33,-0.72,603506
27/11/2020,46.06,46.49,45.97,46.04,0.26,0.57,367657
26/11/2020,45.57,46.3,45.54,45.78,0.39,0.86,351435
25/11/2020,46.08,46.83,45.39,45.39,-0.76,-1.65,491729
24/11/2020,45.53,46.21,45.44,46.15,0.65,1.43,575277
23/11/2020,46,46.01,45.38,45.5,-0.52,-1.13,418642
20/11/2020,45.9,46.47,45.74,46.02,0.47,1.03,570283
19/11/2020,45.93,46.06,45.34,45.55,-0.02,-0.04,706369
18/11/2020,45.5,46.13,45.24,45.57,-0.17,-0.37,822983
17/11/2020,46.38,46.4,45.5,45.74,-0.7,-1.51,892196
16/11/2020,46.16,46.49,46.05,46.44,0.63,1.38,40605
13/11/2020,45.63,46.36,45.5,45.81,0.35,0.77,705038
12/11/2020,45.3,45.5,44.5,45.46,1.04,2.34,807891
11/11/2020,46.3,46.31,44.12,44.42,-2.04,-4.39,988703
10/11/2020,49.7,49.7,46.19,46.46,-3.72,-7.41,1070634
09/11/2020,49.62,50.34,49.27,50.18,1.43,2.93,470650
06/11/2020,49.31,49.55,48.47,48.75,-0.06,-0.12,469350
05/11/2020,48.58,48.94,48.27,48.81,0.26,0.54,476196
04/11/2020,48.04,48.74,47.26,48.55,0.38,0.79,557809
03/11/2020,47.6,48.77,47.6,48.17,0.37,0.77,485601
02/11/2020,47.53,47.95,47.19,47.8,0.37,0.78,573553
30/10/2020,47.43,48.72,47.1,47.43,0.05,0.11,779899
29/10/2020,49.74,49.74,46.92,47.38,-3.12,-6.18,977419
28/10/2020,48.94,50.95,48.88,50.5,1.09,2.21,472267
27/10/2020,49.08,49.51,48.68,49.41,-0.1,-0.2,401785
26/10/2020,51.08,51.74,49.36,49.51,-1.32,-2.6,837082
23/10/2020,50.73,51.16,50.405,50.83,-0.45,-0.88,276103
22/10/2020,50.08,51.4,49.76,51.28,0.25,0.49,518028
21/10/2020,51.52,51.81,50.78,51.03,-0.83,-1.6,564769
20/10/2020,51.7,52.5,51.65,51.86,-0.34,-0.65,451996
19/10/2020,52.52,52.99,52.2,52.2,0.02,0.04,353067
16/10/2020,52.05,52.54,51.86,52.18,0.15,0.29,715781
15/10/2020,52.67,52.79,51.69,52.03,-0.55,-1.05,514286
14/10/2020,51.5,52.63,51.36,52.58,1.28,2.5,459735
13/10/2020,50.75,51.475,50.14,51.3,1.09,2.17,399678
12/10/2020,49.7,50.46,49.7,50.21,0.52,1.05,454004
09/10/2020,49.56,50.19,49.34,49.69,0.09,0.18,455552
08/10/2020,49.18,49.655,48.82,49.6,0.85,1.74,804886
07/10/2020,47.07,48.82,46.81,48.75,1.71,3.64,909087
06/10/2020,47.28,47.52,46.87,47.04,-0.2,-0.42,637215
05/10/2020,47,47.47,46.53,47.24,1.03,2.23,371962
02/10/2020,46.3,46.96,45.91,46.21,-0.28,-0.6,718266
01/10/2020,47.5,47.59,46.47,46.49,-0.57,-1.21,617274
30/09/2020,47.1,47.91,46.88,47.06,-0.3,-0.63,961330
29/09/2020,47.5,47.77,47.07,47.36,0.25,0.53,836377
28/09/2020,47.67,48.01,46.82,47.11,-0.48,-1.01,776212
25/09/2020,47.6,47.93,46.93,47.59,0.15,0.32,678501
24/09/2020,47.54,47.76,47.03,47.44,-0.7,-1.45,717590
23/09/2020,47.76,48.91,47.61,48.14,1.07,2.27,1294292
22/09/2020,46.86,47.9,46.86,47.07,0.07,0.15,1183889
21/09/2020,47.6,47.93,46.81,47,-0.05,-0.11,1008874
18/09/2020,47.75,47.9,46.84,47.05,-0.21,-0.44,862649
17/09/2020,47.64,47.83,46.86,47.26,-0.41,-0.86,664782
16/09/2020,47.55,48.44,47.44,47.67,0.91,1.95,1030812
