Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
10/10/2019,34.28,34.77,34.28,34.69,-0.07,-0.2,709012
11/10/2019,34.66,35.1,34.59,34.77,0.08,0.23,582056
14/10/2019,34.89,35.58,34.59,34.63,-0.14,-0.4,589781
15/10/2019,34.34,34.59,32.74,33.06,-1.57,-4.53,1564657
16/10/2019,33.11,33.59,32.92,33.5,0.44,1.33,1066047
17/10/2019,33.63,33.66,33.17,33.55,0.05,0.15,562970
18/10/2019,33.24,33.89,33.09,33.82,0.27,0.8,662950
21/10/2019,33.89,34.315,33.78,34.24,0.42,1.24,348346
22/10/2019,34.08,34.66,33.85,34.55,0.31,0.91,365209
23/10/2019,34.05,34.43,33.99,34.14,-0.41,-1.19,529787
24/10/2019,36.11,37.07,35.9,36.45,2.31,6.77,1341866
25/10/2019,36.77,37.19,36.37,37.19,0.74,2.03,692567
28/10/2019,37.49,37.67,37.1,37.24,0.05,0.13,686629
29/10/2019,37.51,37.73,37.29,37.36,0.12,0.32,738707
30/10/2019,37.24,37.54,36.84,36.91,-0.45,-1.2,544736
31/10/2019,37.35,37.545,37.04,37.04,0.13,0.35,531600
01/11/2019,36.94,36.98,36.49,36.63,-0.41,-1.11,498974
04/11/2019,36.65,36.9,35.63,35.83,-0.8,-2.18,1007374
05/11/2019,35.91,36.25,35.7,35.85,0.02,0.06,446462
06/11/2019,35.7,36.01,35.64,35.77,-0.08,-0.22,450899
07/11/2019,35.97,36.86,35.7,36.73,0.96,2.68,587517
08/11/2019,36.99,36.99,36.345,36.59,-0.14,-0.38,554372
11/11/2019,36.46,36.71,36.21,36.47,-0.12,-0.33,624559
12/11/2019,36.53,36.81,36.03,36.15,-0.32,-0.88,462930
13/11/2019,36.06,36.57,35.94,36.24,0.09,0.25,529790
14/11/2019,36.42,36.65,36.24,36.48,0.24,0.66,327147
15/11/2019,36.2,36.77,36.12,36.61,0.13,0.36,398936
18/11/2019,36.8,37.05,36.5,36.68,0.07,0.19,219721
19/11/2019,36.38,36.915,36.3,36.72,0.04,0.11,492086
20/11/2019,36.5,37.08,36.37,36.6,-0.12,-0.33,558466
21/11/2019,36.49,36.54,35.65,35.98,-0.62,-1.69,513534
22/11/2019,35.88,36.43,35.8,36.4,0.42,1.17,308265
25/11/2019,36.33,36.65,36.25,36.31,-0.09,-0.25,315210
26/11/2019,36.34,37.08,36.34,36.81,0.5,1.38,509682
27/11/2019,37.07,37.46,36.71,37.39,0.58,1.58,341925
28/11/2019,37.4,37.83,37.4,37.49,0.1,0.27,387225
29/11/2019,37.56,37.87,37.4,37.41,-0.08,-0.21,225734
02/12/2019,37.98,38.19,37.18,37.25,-0.16,-0.43,335698
03/12/2019,36.93,37.21,36.62,36.75,-0.5,-1.34,441375
04/12/2019,36.75,37.05,36.42,36.59,-0.16,-0.44,583809
05/12/2019,36.65,37.52,36.65,37.43,0.84,2.3,359978
06/12/2019,37.88,38.31,37.52,38.08,0.65,1.74,472934
09/12/2019,38.24,38.5,37.85,38.01,-0.07,-0.18,409067
10/12/2019,38.09,38.28,37.28,37.37,-0.64,-1.68,488942
11/12/2019,37.49,37.62,37.03,37.31,-0.06,-0.16,307402
12/12/2019,37.53,37.53,37.02,37.16,-0.15,-0.4,269699
13/12/2019,37.28,37.71,37.02,37.48,0.32,0.86,626401
16/12/2019,38.15,38.85,37.85,38.6,1.12,2.99,501162
17/12/2019,38.61,39.16,38.54,38.62,0.02,0.05,559361
18/12/2019,38.87,39.18,38.56,38.71,0.09,0.23,369285
19/12/2019,39.5,39.74,38.96,39.29,0.58,1.5,550043
