Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,40,40.22,39.41,40.22,-1.34,-3.22,107267
29/01/2021,42,42.44,41.53,41.56,1.21,3,158075
28/01/2021,40.36,40.69,39.89,40.35,-1.49,-3.56,100001
27/01/2021,42.4,42.4,41.67,41.84,-1.75,-4.01,113472
25/01/2021,42.81,43.59,42.73,43.59,0.49,1.14,137887
22/01/2021,43.24,43.48,43,43.1,-1.07,-2.42,108186
21/01/2021,44.2,44.59,43.91,44.17,0.68,1.56,208928
20/01/2021,43.29,44.26,43.29,43.49,-1.14,-2.55,85015
19/01/2021,44.04,44.63,44,44.63,0.33,0.74,128573
18/01/2021,44.04,44.51,43.96,44.3,0.31,0.7,140621
15/01/2021,44.98,45.09,43.77,43.99,-0.35,-0.79,183363
14/01/2021,44.32,44.5,44.03,44.34,0.48,1.09,71345
13/01/2021,43.63,44.2,43.63,43.86,0.36,0.83,87170
12/01/2021,43.22,43.89,43.22,43.5,0.21,0.49,88023
11/01/2021,43.25,43.73,43.11,43.29,-0.28,-0.64,60470
08/01/2021,43.16,43.62,42.97,43.57,0.11,0.25,86502
07/01/2021,42.07,43.46,42.07,43.46,3.2,7.95,132166
06/01/2021,40.52,40.62,39.14,40.26,-0.88,-2.14,110630
05/01/2021,41.1,41.19,40.86,41.14,-1.04,-2.47,103673
04/01/2021,41.91,42.18,41.81,42.18,-0.05,-0.12,77245
31/12/2020,41.92,42.39,41.92,42.23,-0.33,-0.78,30450
30/12/2020,42.04,42.62,42.04,42.56,-0.33,-0.77,54407
29/12/2020,42.8,42.89,42.56,42.89,0.56,1.32,35027
24/12/2020,42.14,42.86,42.14,42.33,0.23,0.55,17401
23/12/2020,41.94,42.4,41.87,42.1,0.1,0.24,62916
22/12/2020,42.06,42.2,41.77,42,-0.4,-0.94,161742
21/12/2020,42.06,42.59,42,42.4,0.03,0.07,115382
18/12/2020,42.52,42.89,42.2,42.37,-0.42,-0.98,123633
17/12/2020,42.76,43,42.37,42.79,0.37,0.87,108956
16/12/2020,42.32,42.87,42.28,42.42,0.62,1.48,215183
15/12/2020,42.1,42.2,41.77,41.8,-1.1,-2.56,202327
14/12/2020,42.9,43.14,42.78,42.9,0.03,0.07,503541
11/12/2020,42.7,43.39,42.7,42.87,-0.63,-1.45,285355
10/12/2020,44.12,44.42,43.39,43.5,-1.31,-2.92,214789
09/12/2020,44.99,45.25,44.72,44.81,0.72,1.63,319461
08/12/2020,43.82,44.38,43.82,44.09,0.81,1.87,537539
07/12/2020,43.27,43.77,42.81,43.28,1.29,3.07,414077
04/12/2020,42.83,43.08,41.69,41.99,2.81,7.17,593700
03/12/2020,39.3,39.52,39.09,39.18,-0.11,-0.28,113674
02/12/2020,39.29,39.6,39.145,39.29,0.09,0.23,110551
01/12/2020,39,39.64,38.64,39.2,-0.09,-0.23,124953
