Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,36.49,37.19,36.07,36.62,-0.17,-0.46,992694
29/01/2021,36.92,37.4,36.54,36.79,0.07,0.19,1114254
28/01/2021,38,38.01,36.09,36.72,-1.5,-3.92,1870069
27/01/2021,37.75,38.48,37.53,38.22,0.24,0.63,1169142
25/01/2021,37.78,38.105,37.63,37.98,0.2,0.53,441081
22/01/2021,37.51,37.855,37.345,37.78,0.04,0.11,1489996
21/01/2021,38.75,38.75,37.71,37.74,-0.28,-0.74,1520078
20/01/2021,37.83,38.35,37.52,38.02,0.31,0.82,675052
19/01/2021,36.98,38.265,36.98,37.71,0.86,2.33,867562
18/01/2021,36.95,37.32,36.73,36.85,-0.03,-0.08,516213
15/01/2021,36.86,37.32,36.72,36.88,-0.21,-0.57,635621
14/01/2021,36.82,37.36,36.79,37.09,0.24,0.65,881930
13/01/2021,36.6,37.14,36.57,36.85,0.68,1.88,1406332
12/01/2021,36.36,36.78,36.17,36.17,-0.08,-0.22,1014684
11/01/2021,36.33,36.8,36.18,36.25,-0.61,-1.65,598365
08/01/2021,36,36.86,35.8,36.86,0.31,0.85,690887
07/01/2021,37.25,37.3,36.21,36.55,-0.15,-0.41,1590056
06/01/2021,37.7,37.94,36.38,36.7,-1.58,-4.13,948958
05/01/2021,38.12,38.58,38.06,38.28,-0.46,-1.19,691902
04/01/2021,38.26,39.06,38.26,38.74,0.52,1.36,350989
31/12/2020,38.55,39.25,38.22,38.22,-0.59,-1.52,361045
30/12/2020,38.31,38.81,38.2,38.81,0.06,0.15,465688
29/12/2020,38.75,38.75,38.34,38.75,0.27,0.7,297178
24/12/2020,38.84,38.92,38.33,38.48,-0.16,-0.41,231445
23/12/2020,38.19,38.77,37.84,38.64,0.81,2.14,732576
22/12/2020,37.66,38.48,37.64,37.83,-0.34,-0.89,722503
21/12/2020,37.34,38.5,37.34,38.17,0.46,1.22,851848
18/12/2020,38.56,38.88,37.53,37.71,-1.36,-3.48,1978361
17/12/2020,38.57,39.23,38.03,39.07,0.45,1.17,1476099
16/12/2020,38.27,38.94,37.85,38.62,1.02,2.71,1011541
15/12/2020,36.89,37.86,36.53,37.6,0.34,0.91,979702
14/12/2020,36.87,37.53,36.605,37.26,0.3,0.81,749148
11/12/2020,36.29,37.11,36.15,36.96,0.17,0.46,1081111
