Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,17.9,17.91,17.01,17.31,-0.68,-3.78,2263937
29/01/2021,20.2,20.4,17.99,17.99,-1.67,-8.49,3381891
28/01/2021,20.45,20.46,19.4,19.66,-1.25,-5.98,1215162
27/01/2021,21.67,21.89,20.67,20.91,-0.76,-3.51,1307571
25/01/2021,20.96,21.74,20.84,21.67,0.79,3.78,830252
22/01/2021,21,21.28,20.76,20.88,-0.08,-0.38,782603
21/01/2021,21.11,21.29,20.73,20.96,0.08,0.38,1131861
20/01/2021,20.99,21.17,20.61,20.88,-0.07,-0.33,806578
19/01/2021,20.8,21.02,20.45,20.95,0.27,1.31,929044
18/01/2021,20.23,20.89,20.2,20.68,0.62,3.09,893045
15/01/2021,20.27,20.44,19.95,20.06,-0.2,-0.99,679759
14/01/2021,20.33,20.65,20.05,20.26,-0.06,-0.3,660896
13/01/2021,19.85,20.6,19.8,20.32,0.69,3.52,1072294
12/01/2021,19.38,19.8,18.98,19.63,0.32,1.66,695939
11/01/2021,19.95,20.06,19.31,19.31,-0.49,-2.47,749776
08/01/2021,19.6,20.01,19.54,19.8,0.4,2.06,1081050
07/01/2021,19.2,19.45,19.02,19.4,0.38,2,1048978
06/01/2021,19.81,19.91,18.82,19.02,-0.79,-3.99,1192126
05/01/2021,19.42,19.81,19.25,19.81,0.39,2.01,863863
04/01/2021,19.12,19.55,19.12,19.42,0.42,2.21,975204
31/12/2020,19.32,19.42,18.89,19,-0.32,-1.66,439337
30/12/2020,18.98,19.47,18.73,19.32,0.35,1.85,758900
29/12/2020,19.16,19.27,18.88,18.97,0.2,1.07,766266
24/12/2020,18.99,19.18,18.6,18.77,0.12,0.64,554552
23/12/2020,18.36,18.88,18.18,18.65,0.59,3.27,1040603
22/12/2020,18.9,18.9,17.96,18.06,-0.84,-4.44,1147052
21/12/2020,18.44,19.4,18.29,18.9,0.86,4.77,1761996
18/12/2020,18.45,18.71,17.68,18.04,-0.39,-2.12,4219573
17/12/2020,18.31,18.6,17.93,18.43,0.18,0.99,874427
16/12/2020,17.75,18.33,17.54,18.25,0.7,3.99,1071493
15/12/2020,18.34,18.34,17.36,17.55,-0.8,-4.36,1048418
14/12/2020,18.38,18.48,17.73,18.35,0.19,1.05,1170082
11/12/2020,18.2,18.45,18.03,18.16,0.16,0.89,688701
10/12/2020,18,18.02,17.65,18,-0.2,-1.1,897285
09/12/2020,17.67,18.29,17.6,18.2,0.63,3.59,1099063
08/12/2020,18.25,18.28,17.48,17.57,-0.47,-2.61,1487293
07/12/2020,17.89,18.43,17.74,18.04,0.66,3.8,1787106
04/12/2020,17.74,18.62,16.8,17.38,0.03,0.17,2227520
03/12/2020,17.11,17.555,16.62,17.35,1.24,7.7,2579103
02/12/2020,16.46,16.64,16.02,16.11,-0.29,-1.77,1099196
01/12/2020,16.46,16.59,16.16,16.4,0,0,964347
30/11/2020,16.3,16.86,16.3,16.4,0.21,1.3,1567877
27/11/2020,16.36,16.66,15.81,16.19,-0.16,-0.98,892635
26/11/2020,15.52,16.76,15.52,16.35,0.81,5.21,2082000
25/11/2020,16.2,16.47,15.45,15.54,-0.84,-5.13,2895741
24/11/2020,17.25,17.25,16.32,16.38,-0.92,-5.32,2220448
23/11/2020,17.48,17.5,16.81,17.3,-0.2,-1.14,2937091
20/11/2020,18.23,18.57,17.39,17.5,-0.83,-4.53,3251908
19/11/2020,18.91,18.94,17.9,18.33,-0.69,-3.63,2147302
18/11/2020,18.96,19.24,18.79,19.02,-0.01,-0.05,1189845
17/11/2020,19.7,19.7,18.95,19.03,-0.71,-3.6,1555258
16/11/2020,19.5,19.84,19.49,19.74,0.28,1.44,127306
13/11/2020,19.9,19.97,19.13,19.46,-0.46,-2.31,1280721
12/11/2020,20.19,20.59,19.81,19.92,0.29,1.48,1635901
11/11/2020,19.9,20.5,18.86,19.63,-0.18,-0.91,2557990
10/11/2020,22,22.15,19.7,19.81,-4.09,-17.11,3416822
09/11/2020,23.2,23.98,22.77,23.9,1.2,5.29,1090358
06/11/2020,22.63,23.09,22.42,22.7,0.61,2.76,1029933
05/11/2020,22,22.47,21.765,22.09,0.51,2.36,819179
04/11/2020,21.24,21.95,20.74,21.58,0.68,3.25,910220
03/11/2020,20.35,21.05,20.35,20.9,0.55,2.7,671082
02/11/2020,20.5,20.6,20.06,20.35,-0.24,-1.17,983184
30/10/2020,21.3,21.59,20.52,20.59,-0.54,-2.56,1285422
29/10/2020,20.5,21.2,20.26,21.13,0.1,0.48,985572
28/10/2020,20.45,21.44,20.11,21.03,0.53,2.59,1296399
27/10/2020,20.15,20.75,20.01,20.5,-0.11,-0.53,1533749
26/10/2020,21.88,22.38,20.6,20.61,-1.37,-6.23,2262552
23/10/2020,23,23,21.38,21.98,-1.07,-4.64,1505411
22/10/2020,24.3,24.4,22.87,23.05,-1.48,-6.03,1357879
21/10/2020,25.06,25.14,24.34,24.53,-0.57,-2.27,1160930
20/10/2020,25.07,25.29,24.65,25.1,0.02,0.08,455863
19/10/2020,24.81,25.57,24.76,25.08,0.33,1.33,1002367
16/10/2020,24.61,24.81,24.22,24.75,0.15,0.61,546690
15/10/2020,24.5,24.86,24.16,24.6,0.15,0.61,1091690
14/10/2020,22.75,24.45,22.52,24.45,1.73,7.61,1187970
13/10/2020,22.35,22.77,22.2,22.72,0.58,2.62,712203
12/10/2020,22.2,22.38,21.94,22.14,0.11,0.5,584590
09/10/2020,22.48,22.6,21.87,22.03,-0.17,-0.77,574150
08/10/2020,22.22,22.52,22.07,22.2,0.19,0.86,927214
07/10/2020,20.71,22.23,20.6,22.01,1.24,5.97,1627376
06/10/2020,20.48,20.93,20.13,20.77,0.46,2.26,915560
05/10/2020,20.25,20.52,19.99,20.31,0.29,1.45,692553
02/10/2020,20.1,20.62,19.885,20.02,-0.08,-0.4,1552567
01/10/2020,20.48,20.71,20.05,20.1,-0.08,-0.4,637303
30/09/2020,20.87,21.17,20.08,20.18,-0.99,-4.68,1098408
29/09/2020,20.88,21.32,20.62,21.17,0.56,2.72,1254657
28/09/2020,20.17,20.88,20.05,20.61,0.58,2.9,935367
25/09/2020,20.08,20.3,19.82,20.03,0.09,0.45,685204
24/09/2020,20.02,20.44,19.82,19.94,-0.55,-2.68,1120531
23/09/2020,20.4,20.93,20.35,20.49,0.41,2.04,759799
22/09/2020,19.63,20.19,19.31,20.08,0.26,1.31,960669
21/09/2020,20.74,20.93,19.74,19.82,-0.97,-4.67,1122553
18/09/2020,20.2,20.98,20.2,20.79,0.64,3.18,3122546
17/09/2020,20.5,20.8,20.12,20.15,-0.26,-1.27,1806074
16/09/2020,20.11,20.97,19.84,20.41,1.18,6.14,3441603
15/09/2020,18.65,19.26,18.55,19.23,0.51,2.72,1278685
14/09/2020,18.9,19.15,18.35,18.72,-0.13,-0.69,1356615
11/09/2020,18.65,19,18.31,18.85,-0.45,-2.33,1590722
10/09/2020,19.55,19.92,19.16,19.3,-0.16,-0.82,1123817
09/09/2020,19.04,19.5,18.76,19.46,-0.54,-2.7,1944219
08/09/2020,20.02,20.35,19.87,20,0.12,0.6,719073
07/09/2020,19.19,20.1,19.02,19.88,0.56,2.9,1795428
04/09/2020,20.52,20.59,19.08,19.32,-2.35,-10.84,3680218
03/09/2020,21.99,22.13,20.91,21.67,0,0,1299510
02/09/2020,21.61,22.16,21.31,21.67,0.16,0.74,1780882
01/09/2020,20.59,21.6,20.27,21.51,0.71,3.41,1748120
31/08/2020,20.86,21,20.46,20.8,-0.06,-0.29,1016008
28/08/2020,21.23,21.3,20.52,20.86,-0.37,-1.74,825822
27/08/2020,20.81,21.41,20.59,21.23,0.34,1.63,1064878
26/08/2020,21.21,21.62,20.6,20.89,-0.3,-1.42,1314965
25/08/2020,22.2,22.2,21.05,21.19,-0.72,-3.29,1478688
24/08/2020,21.7,22.66,21.7,21.91,0.21,0.97,1231201
21/08/2020,22.1,22.39,21.6,21.7,-0.29,-1.32,1104164
20/08/2020,21.98,22.44,21.46,21.99,-0.01,-0.05,1706480
19/08/2020,22,22.22,21.63,22,-0.99,-4.31,2542030
18/08/2020,21.4,22.99,21,22.99,2.48,12.09,10421679
17/08/2020,22.05,22.15,20.32,20.51,-1.33,-6.09,3912089
14/08/2020,20.5,21.84,20.08,21.84,1.77,8.82,1558488
13/08/2020,20.84,21.18,19.98,20.07,-0.4,-1.95,1199712
12/08/2020,20.7,20.84,19.84,20.47,-0.4,-1.92,1447076
