Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,11.9,12.33,11.81,12.27,0.26,2.16,1516604
29/01/2021,12.13,12.27,12.01,12.01,-0.04,-0.33,1641954
28/01/2021,12.01,12.07,11.82,12.05,-0.13,-1.07,2042596
27/01/2021,12.46,12.51,12.15,12.18,-0.35,-2.79,2158568
25/01/2021,12.5,12.6,12.47,12.53,0.03,0.24,934686
22/01/2021,12.6,12.66,12.46,12.5,-0.03,-0.24,3310933
21/01/2021,12.57,12.64,12.49,12.53,0.08,0.64,1487926
20/01/2021,12.62,12.73,12.45,12.45,-0.25,-1.97,1828289
19/01/2021,12.73,12.8,12.67,12.7,0.08,0.63,1140476
18/01/2021,12.72,12.82,12.59,12.62,-0.15,-1.17,1127867
15/01/2021,12.71,12.86,12.61,12.77,0.05,0.39,1024489
14/01/2021,12.82,12.87,12.71,12.72,-0.18,-1.4,1406108
13/01/2021,13.2,13.29,12.81,12.9,-0.39,-2.93,2330013
12/01/2021,13.25,13.48,13.17,13.29,0.2,1.53,1743591
11/01/2021,13,13.17,12.99,13.09,0.08,0.61,1016534
08/01/2021,13.06,13.12,12.93,13.01,-0.03,-0.23,1240453
07/01/2021,13.11,13.24,13.01,13.04,0.11,0.85,1412387
06/01/2021,13.04,13.13,12.91,12.93,-0.22,-1.67,1817863
05/01/2021,13.1,13.28,13.03,13.15,-0.18,-1.35,1301402
04/01/2021,13.12,13.43,13.12,13.33,0.23,1.76,958356
31/12/2020,13.25,13.35,13.1,13.1,-0.24,-1.8,645393
30/12/2020,13.3,13.34,13.2,13.34,-0.01,-0.07,746768
29/12/2020,13.49,13.54,13.31,13.35,0.07,0.53,669501
24/12/2020,13.33,13.7,13.28,13.28,0.3,2.31,843882
23/12/2020,13.07,13.2,12.91,12.98,0.08,0.62,1053579
22/12/2020,13.1,13.15,12.84,12.9,-0.14,-1.07,1757341
21/12/2020,13.13,13.24,13.01,13.04,-0.13,-0.99,1420329
18/12/2020,13.4,13.45,13.15,13.17,-0.37,-2.73,3011379
17/12/2020,13.3,13.57,13.24,13.54,0.18,1.35,2681120
16/12/2020,13.45,13.68,13.16,13.36,-0.02,-0.15,1947336
15/12/2020,13.47,13.52,13.31,13.38,-0.23,-1.69,2275220
14/12/2020,13.65,13.88,13.61,13.61,-0.12,-0.87,2277108
11/12/2020,13.86,14.07,13.64,13.73,-0.36,-2.56,4994797
10/12/2020,14.23,14.3,13.95,14.09,-0.23,-1.61,1646563
09/12/2020,14.26,14.34,14.18,14.32,0.09,0.63,1058461
08/12/2020,14.15,14.36,14.15,14.23,-0.07,-0.49,2112214
07/12/2020,14.44,14.5,14.11,14.3,-0.07,-0.49,1116350
04/12/2020,14.4,14.7,14.36,14.37,0.01,0.07,1511069
03/12/2020,14.44,14.46,14.15,14.36,-0.11,-0.76,1262527
02/12/2020,14.5,14.61,14.4,14.47,0.16,1.12,1689109
01/12/2020,14.32,14.4,14.1,14.31,0.15,1.06,1758675
30/11/2020,14.35,14.41,14.06,14.16,-0.04,-0.28,5226648
27/11/2020,14.2,14.32,14.14,14.2,-0.19,-1.32,1829547
26/11/2020,14.75,14.79,14.31,14.39,-0.37,-2.51,3053673
25/11/2020,14.6,14.88,14.58,14.76,0.27,1.86,3660899
24/11/2020,14.32,14.6,14.32,14.49,0.15,1.05,1329864
23/11/2020,14.55,14.59,14.25,14.34,-0.15,-1.04,1581831
20/11/2020,14.88,14.88,14.48,14.49,-0.4,-2.69,4708316
19/11/2020,14.22,14.89,14.22,14.89,0.42,2.9,3249372
18/11/2020,14.56,14.72,14.42,14.47,-0.09,-0.62,5475040
17/11/2020,14.37,14.73,14.37,14.56,0.17,1.18,2909969
16/11/2020,14.18,14.42,14.14,14.39,0.11,0.77,86120
13/11/2020,14.2,14.45,14.09,14.28,-0.12,-0.83,1832084
12/11/2020,14.65,14.7,14.29,14.4,-0.22,-1.5,2338189
11/11/2020,14.01,14.67,14.01,14.62,0.62,4.43,3422887
10/11/2020,13.75,14.14,13.73,14,1,7.69,4027110
09/11/2020,13.1,13.3,12.89,13,-0.03,-0.23,2065925
06/11/2020,12.9,13.04,12.8,13.03,0.2,1.56,1343048
05/11/2020,12.87,13.01,12.76,12.83,-0.01,-0.08,1320270
04/11/2020,12.65,12.9,12.57,12.84,0.15,1.18,1933254
03/11/2020,12.43,12.835,12.4,12.69,0.34,2.75,2008423
02/11/2020,12.06,12.42,12.06,12.35,0.39,3.26,1589193
30/10/2020,12.17,12.24,11.96,11.96,-0.07,-0.58,1892014
29/10/2020,12.06,12.14,11.89,12.03,-0.24,-1.96,1455328
28/10/2020,12.37,12.39,12.24,12.27,-0.31,-2.46,1856207
27/10/2020,12.64,12.72,12.47,12.58,-0.17,-1.33,1754727
26/10/2020,12.62,12.89,12.55,12.75,0.13,1.03,1176355
23/10/2020,12.45,12.68,12.41,12.62,0.1,0.8,1333622
22/10/2020,12.51,12.67,12.41,12.52,-0.16,-1.26,1389807
21/10/2020,12.67,12.71,12.52,12.68,0.01,0.08,1413390
20/10/2020,12.47,12.725,12.37,12.67,0.2,1.6,2351044
19/10/2020,12.5,12.56,12.34,12.47,0.08,0.65,1972465
16/10/2020,12.38,12.39,12.14,12.39,-0.02,-0.16,2220804
15/10/2020,12.31,12.54,12.14,12.41,0.2,1.64,3052646
14/10/2020,12.14,12.4,12.09,12.21,0.06,0.49,3416168
13/10/2020,11.95,12.19,11.9,12.15,0.29,2.45,2186348
12/10/2020,11.88,11.98,11.71,11.86,-0.12,-1,1394357
09/10/2020,11.94,12.02,11.83,11.98,0.03,0.25,1709091
08/10/2020,11.84,11.97,11.705,11.95,0.11,0.93,1371522
07/10/2020,11.58,11.88,11.49,11.84,0.35,3.05,1893308
06/10/2020,11.41,11.56,11.23,11.49,0.18,1.59,1699682
05/10/2020,11.05,11.37,11.05,11.31,0.45,4.14,1108545
02/10/2020,11.1,11.26,10.84,10.86,-0.28,-2.51,2576431
01/10/2020,11.04,11.315,11.04,11.14,0.11,1,1794524
30/09/2020,11.27,11.31,11.01,11.03,-0.39,-3.42,3184437
29/09/2020,11.65,11.72,11.38,11.42,-0.12,-1.04,2420339
28/09/2020,11.66,11.81,11.54,11.54,-0.06,-0.52,1875539
25/09/2020,11.77,11.91,11.49,11.6,-0.15,-1.28,3638407
24/09/2020,11.9,12,11.665,11.75,-0.25,-2.08,3098332
23/09/2020,11.9,12.04,11.86,12,0.23,1.95,2460800
22/09/2020,11.84,11.98,11.71,11.77,-0.18,-1.51,1928461
21/09/2020,11.83,12.06,11.72,11.95,0.22,1.88,2819572
18/09/2020,11.51,11.9,11.48,11.73,0.2,1.73,5323711
17/09/2020,11.73,11.85,11.37,11.53,-0.29,-2.45,3988088
16/09/2020,11.99,12.05,11.74,11.82,-0.08,-0.67,2636646
15/09/2020,12.08,12.1,11.86,11.9,-0.22,-1.82,3034689
14/09/2020,12.23,12.28,12.03,12.12,-0.03,-0.25,1529532
11/09/2020,12.33,12.41,12.04,12.15,-0.43,-3.42,2327789
10/09/2020,12.85,12.92,12.44,12.58,-0.14,-1.1,3687352
09/09/2020,12.42,12.74,12.35,12.72,0.08,0.63,3379555
08/09/2020,12.55,12.74,12.44,12.64,0.21,1.69,1993174
07/09/2020,12.09,12.44,11.97,12.43,0.22,1.8,1974562
04/09/2020,12.15,12.3,12.01,12.21,-0.29,-2.32,2282002
03/09/2020,12.2,12.53,12,12.5,0.38,3.14,3455634
02/09/2020,12,12.19,11.92,12.12,0.24,2.02,3204105
01/09/2020,11.44,12.15,11.4,11.88,0.26,2.24,4295828
31/08/2020,11.28,11.73,11.25,11.62,0.43,3.84,2991216
28/08/2020,11.05,11.23,11.03,11.19,0.02,0.18,1692320
27/08/2020,11.18,11.27,11.04,11.17,-0.04,-0.36,2213067
26/08/2020,11.13,11.22,10.97,11.21,-0.1,-0.88,3298791
25/08/2020,11.53,11.65,11.22,11.31,-0.11,-0.96,1867295
