Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.75,4.9,4.75,4.86,0.08,1.67,2514091
29/01/2021,4.9,4.905,4.75,4.78,-0.05,-1.04,2518284
28/01/2021,4.85,4.89,4.79,4.83,-0.05,-1.02,3530123
27/01/2021,4.89,4.92,4.86,4.88,0.01,0.21,3307841
25/01/2021,4.94,4.95,4.86,4.87,-0.01,-0.2,2619822
22/01/2021,4.81,4.88,4.78,4.88,0.07,1.46,10936854
21/01/2021,4.81,4.85,4.77,4.81,0.07,1.48,12368342
20/01/2021,4.65,4.74,4.615,4.74,0.07,1.5,5727946
19/01/2021,4.64,4.67,4.595,4.67,0.04,0.86,3238929
18/01/2021,4.64,4.67,4.62,4.63,-0.03,-0.64,2930551
15/01/2021,4.61,4.66,4.6,4.66,0.02,0.43,4847392
14/01/2021,4.63,4.66,4.6,4.64,0,0,3550419
13/01/2021,4.62,4.675,4.62,4.64,0.04,0.87,3005047
12/01/2021,4.64,4.66,4.59,4.6,-0.05,-1.08,3842011
11/01/2021,4.65,4.69,4.64,4.65,0,0,2552271
08/01/2021,4.71,4.76,4.62,4.65,-0.03,-0.64,3055157
07/01/2021,4.65,4.68,4.62,4.68,0.04,0.86,5265521
06/01/2021,4.66,4.68,4.53,4.64,-0.01,-0.22,5763584
05/01/2021,4.71,4.77,4.61,4.65,-0.15,-3.12,12447676
04/01/2021,4.96,5.04,4.69,4.8,-0.75,-13.51,15054851
31/12/2020,5.58,5.63,5.55,5.55,-0.03,-0.54,1256073
30/12/2020,5.56,5.59,5.55,5.58,-0.03,-0.53,1201469
29/12/2020,5.64,5.65,5.57,5.61,-0.03,-0.53,1178230
24/12/2020,5.57,5.67,5.57,5.64,0.09,1.62,1886707
23/12/2020,5.57,5.6,5.545,5.55,0,0,3204913
22/12/2020,5.58,5.605,5.55,5.55,-0.04,-0.72,3532198
21/12/2020,5.58,5.61,5.57,5.59,0.01,0.18,1371554
18/12/2020,5.59,5.6,5.57,5.58,-0.02,-0.36,5617323
17/12/2020,5.6,5.65,5.58,5.6,0,0,9308859
16/12/2020,5.62,5.64,5.57,5.6,-0.02,-0.36,6151179
15/12/2020,5.6,5.62,5.56,5.62,0.02,0.36,13072866
14/12/2020,5.64,5.65,5.59,5.6,-0.02,-0.36,8387759
11/12/2020,5.61,5.65,5.61,5.62,0.01,0.18,4445960
10/12/2020,5.55,5.62,5.55,5.61,0.05,0.9,8397957
09/12/2020,5.63,5.65,5.53,5.56,-0.08,-1.42,11644721
08/12/2020,5.42,5.68,5.42,5.64,0.68,13.71,18657763
07/12/2020,5,5.04,4.95,4.96,-0.05,-1,1149070
04/12/2020,4.99,5.03,4.935,5.01,0.02,0.4,1552934
03/12/2020,5.02,5.08,4.97,4.99,-0.01,-0.2,2233916
02/12/2020,4.99,5.05,4.935,5,-0.01,-0.2,2186413
01/12/2020,4.95,5.08,4.93,5.01,0.09,1.83,1924642
30/11/2020,4.97,5.03,4.91,4.92,-0.03,-0.61,2531615
27/11/2020,4.91,4.96,4.91,4.95,0.04,0.81,1234692
26/11/2020,4.95,4.98,4.91,4.91,-0.03,-0.61,2147806
25/11/2020,4.96,5.01,4.91,4.94,-0.02,-0.4,2290818
24/11/2020,4.95,5.01,4.93,4.96,0.04,0.81,1619952
23/11/2020,4.92,4.945,4.89,4.92,0.01,0.2,1025778
20/11/2020,4.9,4.94,4.9,4.91,-0.03,-0.61,1087038
19/11/2020,4.88,4.975,4.875,4.94,0.01,0.2,1983691
18/11/2020,4.95,4.95,4.86,4.93,0.01,0.2,1912497
17/11/2020,4.96,5,4.9,4.92,-0.04,-0.81,4330212
16/11/2020,4.97,4.98,4.94,4.96,0.05,1.02,107494
13/11/2020,4.95,4.97,4.89,4.91,-0.07,-1.41,1981196
12/11/2020,4.98,5.025,4.89,4.98,-0.01,-0.2,2179103
11/11/2020,4.95,4.99,4.82,4.99,0.08,1.63,2758402
10/11/2020,4.92,4.99,4.84,4.91,0.03,0.61,3031929
09/11/2020,4.84,4.93,4.84,4.88,0.05,1.04,2174243
06/11/2020,4.89,4.89,4.78,4.83,-0.03,-0.62,1393931
05/11/2020,4.9,4.92,4.81,4.86,-0.01,-0.21,1984383
04/11/2020,4.77,4.89,4.75,4.87,0.03,0.62,2136611
03/11/2020,4.68,4.87,4.68,4.84,0.11,2.33,1837098
02/11/2020,4.8,4.8,4.665,4.73,-0.04,-0.84,1764307
30/10/2020,4.77,4.8,4.7,4.77,0.01,0.21,5351610
29/10/2020,4.85,4.9,4.65,4.76,-0.06,-1.24,5494612
28/10/2020,4.8,4.825,4.755,4.82,-0.02,-0.41,2870612
27/10/2020,4.86,4.88,4.7,4.84,-0.1,-2.02,4935966
26/10/2020,5.06,5.07,4.94,4.94,0.04,0.82,4686919
23/10/2020,4.91,4.93,4.86,4.9,-0.04,-0.81,1848004
22/10/2020,4.87,4.94,4.85,4.94,-0.01,-0.2,4147851
21/10/2020,4.85,4.99,4.83,4.95,0.05,1.02,4029654
20/10/2020,4.85,4.93,4.85,4.9,0,0,3464663
19/10/2020,4.86,4.93,4.86,4.9,0.05,1.03,2923089
16/10/2020,4.92,4.94,4.815,4.85,-0.07,-1.42,5640371
15/10/2020,4.96,5.025,4.89,4.92,-0.07,-1.4,6492250
14/10/2020,4.98,5.01,4.94,4.99,-0.02,-0.4,7178958
13/10/2020,5,5.06,4.95,5.01,0.02,0.4,10133854
12/10/2020,5.05,5.1,4.85,4.99,1,25.06,12781367
