Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,4.65,4.86,4.475,4.83,0.05,1.05,18304970
29/01/2021,5.17,5.27,4.67,4.78,-0.2,-4.02,16776944
28/01/2021,5.15,5.15,4.95,4.98,-0.33,-6.21,15005523
27/01/2021,5.4,5.4,5.23,5.31,-0.07,-1.3,15565144
25/01/2021,5.52,5.52,5.21,5.38,-0.18,-3.24,18574607
22/01/2021,5.14,5.69,5.11,5.56,0.67,13.7,31631635
21/01/2021,4.7,4.9,4.65,4.89,0.19,4.04,8980507
20/01/2021,4.57,4.73,4.57,4.7,0.22,4.91,8895167
19/01/2021,4.25,4.51,4.25,4.48,0.23,5.41,11288308
18/01/2021,4.38,4.41,4.22,4.25,-0.16,-3.63,7488928
15/01/2021,4.39,4.43,4.32,4.41,0.06,1.38,7102606
14/01/2021,4.39,4.4,4.29,4.35,-0.02,-0.46,4982007
13/01/2021,4.4,4.45,4.355,4.37,-0.01,-0.23,7578492
12/01/2021,4.53,4.55,4.345,4.38,-0.13,-2.88,9990415
11/01/2021,4.63,4.73,4.49,4.51,-0.09,-1.96,13338710
08/01/2021,4.66,4.68,4.55,4.6,0.01,0.22,11944176
07/01/2021,4.43,4.635,4.4,4.59,0.31,7.24,14487809
06/01/2021,4.38,4.45,4.24,4.28,-0.07,-1.61,10036537
05/01/2021,4.2,4.37,4.2,4.35,0.17,4.07,12840867
04/01/2021,4,4.19,3.98,4.18,0.2,5.03,14114425
31/12/2020,3.94,4.025,3.92,3.98,0.04,1.02,4882561
30/12/2020,3.93,3.96,3.875,3.94,-0.01,-0.25,5624052
29/12/2020,3.95,4,3.91,3.95,0.08,2.07,9282661
24/12/2020,3.87,3.94,3.86,3.87,0.04,1.04,4481949
23/12/2020,3.83,3.87,3.78,3.83,-0.01,-0.26,7744431
22/12/2020,3.95,3.95,3.82,3.84,-0.11,-2.78,11303388
21/12/2020,3.91,3.95,3.86,3.95,0.04,1.02,6593483
18/12/2020,3.96,4,3.86,3.91,0.06,1.56,23740276
17/12/2020,3.8,3.87,3.76,3.85,0.12,3.22,8202631
16/12/2020,3.73,3.79,3.69,3.73,0.03,0.81,10821161
15/12/2020,3.66,3.775,3.63,3.7,-0.03,-0.8,17115929
14/12/2020,3.8,3.84,3.66,3.73,-0.11,-2.86,15244599
11/12/2020,3.95,4.015,3.8,3.84,-0.17,-4.24,23501554
10/12/2020,4.16,4.17,3.965,4.01,-0.21,-4.98,18160816
09/12/2020,4.25,4.33,4.19,4.22,0.01,0.24,12674000
08/12/2020,4.1,4.23,4.1,4.21,0.15,3.69,11279792
07/12/2020,4.1,4.15,4.03,4.06,0.04,1,13357229
04/12/2020,4,4.04,3.93,4.02,0.06,1.52,9288734
03/12/2020,3.9,3.98,3.89,3.96,0.07,1.8,9107868
02/12/2020,3.79,3.91,3.77,3.89,0.17,4.57,9779869
01/12/2020,3.8,3.85,3.7,3.72,-0.06,-1.59,15864764
30/11/2020,3.73,3.84,3.725,3.78,0.1,2.72,12539785
27/11/2020,3.7,3.73,3.61,3.68,-0.01,-0.27,11033739
26/11/2020,3.69,3.85,3.66,3.69,0.04,1.1,16841458
25/11/2020,3.65,3.7,3.57,3.65,0.12,3.4,18031149
24/11/2020,3.65,3.71,3.52,3.53,-0.05,-1.4,10020944
23/11/2020,3.4,3.6,3.4,3.58,0.2,5.92,7898678
20/11/2020,3.4,3.42,3.36,3.38,-0.06,-1.74,4213634
19/11/2020,3.38,3.44,3.325,3.44,0.03,0.88,6012990
18/11/2020,3.43,3.49,3.39,3.41,0.01,0.29,5140171
17/11/2020,3.36,3.44,3.35,3.4,0.07,2.1,8193504
16/11/2020,3.34,3.35,3.33,3.33,0.05,1.52,494925
13/11/2020,3.25,3.295,3.22,3.28,0.01,0.31,6648220
12/11/2020,3.16,3.3,3.16,3.27,0.14,4.47,8282660
11/11/2020,3.19,3.22,3.12,3.13,-0.04,-1.26,6846780
10/11/2020,3.26,3.33,3.14,3.17,-0.08,-2.46,10371560
09/11/2020,3.09,3.26,3.09,3.25,0.18,5.86,8384041
06/11/2020,3.04,3.09,3.01,3.07,0.11,3.72,8393669
05/11/2020,3.02,3.02,2.92,2.96,-0.06,-1.99,6983768
04/11/2020,2.96,3.045,2.885,3.02,0.08,2.72,12098242
03/11/2020,2.89,2.98,2.865,2.94,0.1,3.52,7515047
02/11/2020,2.86,2.88,2.78,2.84,0.01,0.35,5115483
30/10/2020,2.83,2.89,2.82,2.83,0.01,0.35,6966158
29/10/2020,2.74,2.82,2.7,2.82,-0.01,-0.35,6967293
28/10/2020,2.8,2.835,2.76,2.83,0,0,9154534
27/10/2020,2.89,2.9,2.81,2.83,-0.11,-3.74,8501777
26/10/2020,2.87,2.95,2.85,2.94,0.08,2.8,12689367
23/10/2020,2.87,2.89,2.82,2.86,-0.05,-1.72,9885376
22/10/2020,2.96,2.97,2.85,2.91,-0.08,-2.68,14119911
21/10/2020,2.89,3.02,2.89,2.99,0.12,4.18,22426254
20/10/2020,2.85,2.9,2.82,2.87,0.02,0.7,13008982
19/10/2020,2.73,2.93,2.72,2.85,0.17,6.34,15098265
16/10/2020,2.69,2.73,2.67,2.68,0,0,5145114
15/10/2020,2.71,2.74,2.68,2.68,-0.02,-0.74,5538623
14/10/2020,2.68,2.73,2.66,2.7,0,0,7647278
13/10/2020,2.7,2.73,2.65,2.7,0,0,9156667
12/10/2020,2.7,2.71,2.65,2.7,0,0,5989997
09/10/2020,2.71,2.75,2.68,2.7,0,0,9506981
08/10/2020,2.69,2.75,2.68,2.7,0.08,3.05,12341022
07/10/2020,2.61,2.65,2.57,2.62,0.01,0.38,7149460
06/10/2020,2.51,2.66,2.47,2.61,0.12,4.82,11455012
05/10/2020,2.47,2.52,2.45,2.49,0.06,2.47,4732490
02/10/2020,2.47,2.51,2.415,2.43,-0.01,-0.41,10541794
01/10/2020,2.38,2.47,2.38,2.44,0.12,5.17,10111069
30/09/2020,2.34,2.37,2.27,2.32,-0.05,-2.11,7279576
29/09/2020,2.38,2.4,2.35,2.37,0,0,4157514
28/09/2020,2.37,2.39,2.345,2.37,0.04,1.72,6442217
25/09/2020,2.38,2.42,2.32,2.33,-0.03,-1.27,7917088
24/09/2020,2.44,2.45,2.34,2.36,-0.11,-4.45,9194977
23/09/2020,2.5,2.51,2.46,2.47,0,0,7825152
22/09/2020,2.44,2.51,2.425,2.47,-0.01,-0.4,6641903
21/09/2020,2.51,2.52,2.48,2.48,-0.03,-1.2,6703256
18/09/2020,2.45,2.52,2.445,2.51,0.08,3.29,10604999
17/09/2020,2.51,2.53,2.42,2.43,-0.1,-3.95,9557478
16/09/2020,2.53,2.55,2.49,2.53,0.05,2.02,15914188
15/09/2020,2.4,2.53,2.39,2.48,0.09,3.77,10717781
14/09/2020,2.39,2.4,2.37,2.39,0,0,7278817
11/09/2020,2.37,2.41,2.36,2.39,-0.01,-0.42,9479583
10/09/2020,2.39,2.41,2.35,2.4,0.01,0.42,11523734
09/09/2020,2.36,2.41,2.34,2.39,-0.02,-0.83,5309076
08/09/2020,2.43,2.48,2.39,2.41,-0.01,-0.41,5340185
07/09/2020,2.35,2.45,2.35,2.42,0.06,2.54,5999049
04/09/2020,2.36,2.39,2.33,2.36,-0.06,-2.48,7786582
