Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,47.78,48.13,46.74,47.44,-0.48,-1,569462
29/01/2021,48.58,49.3,47.89,47.92,0.38,0.8,794682
28/01/2021,48.5,48.69,47.53,47.54,-1.22,-2.5,634944
27/01/2021,48.8,49.41,48.52,48.76,-0.04,-0.08,712031
25/01/2021,48.1,48.9,47.9,48.8,1.07,2.24,414991
22/01/2021,49.57,49.57,47.49,47.73,-1.72,-3.48,917440
21/01/2021,49.4,50.42,49.01,49.45,0.45,0.92,822499
20/01/2021,50,50,48.81,49,-0.55,-1.11,834709
19/01/2021,48.7,50.27,48.64,49.55,1.39,2.89,732575
18/01/2021,47.3,48.35,47.01,48.16,0.59,1.24,650740
15/01/2021,49.2,49.4,47.36,47.57,-1.6,-3.25,855353
14/01/2021,50,50.13,49.17,49.17,-0.96,-1.92,651138
13/01/2021,50,50.77,49.4,50.13,0.34,0.68,523839
12/01/2021,51.05,51.25,49.37,49.79,-1.61,-3.13,780465
11/01/2021,51.27,52.65,51.1,51.4,0.7,1.38,820949
08/01/2021,50.48,51.11,50.25,50.7,0.65,1.3,545256
07/01/2021,51.49,51.93,49.93,50.05,-1.13,-2.21,775936
06/01/2021,51.76,52.39,50.975,51.18,-0.49,-0.95,481051
05/01/2021,52.73,52.75,51.53,51.67,-1.35,-2.55,761628
04/01/2021,53.8,54.14,53.02,53.02,-0.64,-1.19,494268
31/12/2020,54.35,54.95,53.66,53.66,-0.79,-1.45,151057
30/12/2020,54.87,54.9,53.75,54.45,-0.66,-1.2,313076
29/12/2020,55.07,55.39,54.69,55.11,0.88,1.62,252408
24/12/2020,55.42,55.63,54.02,54.23,-0.7,-1.27,367620
23/12/2020,55.11,55.51,54.85,54.93,-0.06,-0.11,383102
22/12/2020,55.5,56.89,54.99,54.99,-0.19,-0.34,646293
21/12/2020,55.5,55.83,55.02,55.18,-0.11,-0.2,286784
18/12/2020,56.24,56.24,54.95,55.29,-0.95,-1.69,630765
17/12/2020,55.6,56.36,55.53,56.24,0.75,1.35,733268
16/12/2020,56.25,56.47,55.25,55.49,0.01,0.02,601586
15/12/2020,55,55.99,54.87,55.48,0.65,1.19,524530
14/12/2020,55,55.41,54.71,54.83,0.03,0.05,1034801
11/12/2020,55.5,55.78,54.7,54.8,-0.7,-1.26,630747
10/12/2020,57.4,57.4,55.5,55.5,-2.6,-4.48,950713
09/12/2020,58.4,58.45,57.6,58.1,-0.06,-0.1,602651
08/12/2020,57.61,58.52,57.45,58.16,0.45,0.78,691283
07/12/2020,57.73,58.02,57.315,57.71,0.17,0.3,350854
04/12/2020,57.5,58.135,57.5,57.54,0.03,0.05,269983
03/12/2020,58.5,58.72,57.49,57.51,-0.99,-1.69,508109
02/12/2020,59.11,59.73,58.09,58.5,-0.94,-1.58,668738
01/12/2020,58.73,60.44,58.24,59.44,0.26,0.44,564634
30/11/2020,60.71,61.28,58.85,59.18,-1.8,-2.95,1103082
27/11/2020,61.09,61.3,60,60.98,0.25,0.41,389777
26/11/2020,60.25,61.13,60.06,60.73,0.26,0.43,416277
25/11/2020,61.66,61.92,60.04,60.47,-1.53,-2.47,884974
24/11/2020,61.18,62.83,61.18,62,0.56,0.91,439704
23/11/2020,62.43,62.55,61.35,61.44,-0.99,-1.59,351733
20/11/2020,62.31,62.79,61.91,62.43,0.14,0.22,386123
19/11/2020,61.75,62.29,61.27,62.29,0.94,1.53,561226
18/11/2020,60.08,61.55,60.08,61.35,0.72,1.19,492004
17/11/2020,62.09,62.28,60.06,60.63,-0.36,-0.59,782617
16/11/2020,61.08,61.18,60.63,60.99,0.48,0.79,21641
13/11/2020,61,61.26,60.18,60.51,-0.46,-0.75,407962
12/11/2020,62.12,62.38,60.67,60.97,-1.42,-2.28,737148
11/11/2020,61.38,62.98,61,62.39,1.88,3.11,1080412
10/11/2020,63.48,63.48,59.64,60.51,-0.87,-1.42,1284289
09/11/2020,60.96,61.38,60.52,61.38,1.38,2.3,911843
06/11/2020,61.6,62.62,59.88,60,-0.14,-0.23,736654
05/11/2020,59,60.77,59,60.14,1.96,3.37,818902
04/11/2020,56.9,58.95,55.41,58.18,1.04,1.82,625415
03/11/2020,55.1,57.84,55.1,57.14,2.27,4.14,731651
02/11/2020,55.55,55.91,54.585,54.87,-0.23,-0.42,554669
30/10/2020,56.61,57.11,55.1,55.1,-1.86,-3.27,624363
29/10/2020,56.7,57.67,56.29,56.96,-0.6,-1.04,790938
28/10/2020,56.92,57.91,56.82,57.56,0.49,0.86,533283
27/10/2020,57.74,58.01,57.07,57.07,-1.29,-2.21,681847
26/10/2020,59.22,60.06,58.36,58.36,-0.91,-1.54,530227
23/10/2020,60,60.81,59.18,59.27,-0.2,-0.34,335946
22/10/2020,59.41,59.64,58.63,59.47,-0.39,-0.65,717612
21/10/2020,60.2,60.8,59.75,59.86,-0.39,-0.65,432617
20/10/2020,60.5,61.07,60.03,60.25,-0.44,-0.72,1038372
19/10/2020,62.22,62.4,60.42,60.69,-1.69,-2.71,710318
16/10/2020,62,63.23,62,62.38,-0.24,-0.38,332174
15/10/2020,63.94,63.94,62.34,62.62,-1.27,-1.99,525996
14/10/2020,63.98,64.44,63.4,63.89,-0.31,-0.48,494317
13/10/2020,64,64.345,63.55,64.2,0.9,1.42,350747
12/10/2020,63,63.65,62.8,63.3,0.57,0.91,402024
09/10/2020,63.2,63.44,62.53,62.73,-0.25,-0.4,419076
08/10/2020,60.94,63.165,60.59,62.98,2.64,4.38,890630
07/10/2020,59.7,60.38,59.21,60.34,1.36,2.31,775395
06/10/2020,58.25,59.27,57.65,58.98,0.81,1.39,608569
05/10/2020,57.93,58.22,57.55,58.17,1.47,2.59,179427
02/10/2020,57.34,58.07,56.44,56.7,-0.83,-1.44,379672
01/10/2020,57,58.02,56.81,57.53,0.89,1.57,417852
30/09/2020,57.24,57.7,56.5,56.64,-1.4,-2.41,576351
29/09/2020,57.2,58.04,56.8,58.04,1.35,2.38,699751
28/09/2020,56.29,57.21,56.23,56.69,0.59,1.05,388485
25/09/2020,56.16,56.52,55.83,56.1,0.36,0.65,527776
24/09/2020,55.34,56.21,55.11,55.74,-0.32,-0.57,626572
23/09/2020,56.22,56.44,55.63,56.06,1.26,2.3,1057746
22/09/2020,53.99,55.05,53.8,54.8,-0.19,-0.35,746383
21/09/2020,57.08,57.53,54.77,54.99,-1.94,-3.41,951053
18/09/2020,57.1,57.51,56.57,56.93,-0.21,-0.37,1190300
17/09/2020,59.82,60,57.14,57.14,-2.44,-4.1,752000
16/09/2020,58.4,59.84,58.01,59.58,1.63,2.81,719711
15/09/2020,57.55,58.07,57.27,57.95,1.14,2.01,599133
14/09/2020,56.75,57.26,55.13,56.81,-0.06,-0.11,768264
11/09/2020,56.81,57.58,56.15,56.87,-0.78,-1.35,457491
10/09/2020,57.9,58.38,57.09,57.65,0.67,1.18,614810
09/09/2020,57.61,57.94,56.3,56.98,-2.47,-4.15,991420
08/09/2020,60,60.95,59.03,59.45,0.96,1.64,682618
07/09/2020,58,58.94,57.3,58.49,-0.03,-0.05,656394
04/09/2020,60.5,60.81,58.52,58.52,-3.98,-6.37,699749
03/09/2020,61.57,62.7,60.9,62.5,2.48,4.13,1401334
02/09/2020,59.26,60.52,58.905,60.02,1.74,2.99,446220
01/09/2020,57.77,58.62,56.69,58.28,-0.97,-1.64,829364
31/08/2020,60.18,60.81,59.25,59.25,-0.94,-1.56,498319
28/08/2020,60.66,60.93,59.61,60.19,-1.22,-1.99,538240
27/08/2020,61,62.22,60.88,61.41,0.68,1.12,395484
26/08/2020,61.6,61.89,60.29,60.73,-1.11,-1.79,442934
25/08/2020,63.09,63.47,61.3,61.84,-0.78,-1.25,548258
24/08/2020,61.61,63.15,61.61,62.62,1.01,1.64,417597
21/08/2020,63.05,63.415,61.24,61.61,-1.3,-2.07,382607
20/08/2020,62.68,64,62.49,62.91,-0.41,-0.65,493814
19/08/2020,63.01,63.74,62.6,63.32,-0.04,-0.06,387132
18/08/2020,63.01,64.09,63,63.36,0.04,0.06,418840
17/08/2020,63.53,64.19,62.82,63.32,-2.04,-3.12,467142
14/08/2020,64,65.96,63.76,65.36,1.22,1.9,634596
13/08/2020,64.5,65.1,63.32,64.14,0.73,1.15,775500
12/08/2020,64.8,66,62.61,63.41,1.73,2.8,608388
11/08/2020,62.51,63.04,61.43,61.68,-1.12,-1.78,466812
10/08/2020,61.96,63.66,61.83,62.8,1.69,2.77,414084
07/08/2020,61.26,62.01,60.84,61.11,-0.65,-1.05,259097
06/08/2020,61.4,62.33,61.12,61.76,0.41,0.67,400217
05/08/2020,61.76,62,60.74,61.35,-1.32,-2.11,695840
04/08/2020,62.71,63.38,62.41,62.67,1.31,2.13,609058
03/08/2020,60.88,61.66,60.1,61.36,0.2,0.33,507607
31/07/2020,61.82,62.68,60.71,61.16,-1.34,-2.14,556841
30/07/2020,60.95,62.67,60.9,62.5,1.83,3.02,490502
29/07/2020,60.08,60.99,59.7,60.67,1.01,1.69,566765
28/07/2020,59.8,61.43,59.66,59.66,0.05,0.08,525277
27/07/2020,58.1,59.89,57.91,59.61,1.05,1.79,586432
24/07/2020,59.76,59.8,58.12,58.56,-1.98,-3.27,838316
23/07/2020,60.46,61.43,59.92,60.54,-1.81,-2.9,668454
22/07/2020,62.6,62.86,62.03,62.35,-1.12,-1.76,293052
21/07/2020,61,63.86,60.6,63.47,3.22,5.34,529283
20/07/2020,60.93,61.26,59.79,60.25,-0.46,-0.76,311632
17/07/2020,60.7,61.45,60.125,60.71,-0.53,-0.87,452650
16/07/2020,62.95,63.4,61.01,61.24,-1.55,-2.47,413092
15/07/2020,61.92,62.95,61.59,62.79,1.8,2.95,636348
14/07/2020,61.34,61.75,60.635,60.99,-0.93,-1.5,469001
13/07/2020,61.99,62.34,60.81,61.92,0.67,1.09,442458
10/07/2020,62.09,62.91,60.62,61.25,-1.16,-1.86,472749
09/07/2020,62.36,63.34,61.73,62.41,1.02,1.66,452897
08/07/2020,63.11,63.73,61.21,61.39,-2.62,-4.09,572225
07/07/2020,63.25,65.13,63.2,64.01,1.69,2.71,814264
06/07/2020,62.05,62.785,61.7,62.32,-0.13,-0.21,516380
03/07/2020,62.75,63.5,61.46,62.45,0.77,1.25,613085
02/07/2020,60.2,61.94,59.9,61.68,2.56,4.33,688865
01/07/2020,58.7,60.1,58.02,59.12,1.11,1.91,599998
30/06/2020,56.77,58.88,56.21,58.01,2.65,4.79,739946
29/06/2020,55.99,56.23,54.54,55.36,-2.68,-4.62,527730
26/06/2020,56.31,58.1,56.31,58.04,2.99,5.43,1000145
25/06/2020,56.13,57.12,55.05,55.05,-3.03,-5.22,707401
24/06/2020,57.66,58.9,57.16,58.08,0.57,0.99,787011
23/06/2020,57.91,58.815,57.05,57.51,0.81,1.43,687009
22/06/2020,56.08,57.2,55.8,56.7,-0.84,-1.46,511125
19/06/2020,57.4,57.88,56.8,57.54,0.7,1.23,982887
18/06/2020,56.23,57.48,56.08,56.84,-0.67,-1.17,779464
17/06/2020,56.5,57.72,56.26,57.51,1.4,2.5,1224747
16/06/2020,55.58,56.58,54.85,56.11,2.95,5.55,1000941
15/06/2020,55.11,55.76,53.08,53.16,-2.56,-4.59,1004487
12/06/2020,55.18,56.33,53.68,55.72,-2.94,-5.01,1288794
11/06/2020,59.63,60.23,58.56,58.66,-1.94,-3.2,698612
10/06/2020,60.3,61,59.47,60.6,0.3,0.5,852260
09/06/2020,59.5,61.44,59.2,60.3,2.3,3.97,959818
05/06/2020,58.58,59.49,57.435,58,-0.59,-1.01,835090
04/06/2020,59.71,60.47,58.09,58.59,-0.44,-0.75,1152931
03/06/2020,59.93,60.72,58.82,59.03,-0.28,-0.47,690601
02/06/2020,58.07,59.78,58.07,59.31,0.78,1.33,653683
01/06/2020,57.5,58.59,56.83,58.53,0.18,0.31,410873
