Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.35,2.42,2.35,2.42,0.04,1.68,10951999
29/01/2021,2.45,2.465,2.37,2.38,-0.05,-2.06,15124434
28/01/2021,2.43,2.45,2.39,2.43,-0.04,-1.62,14251263
27/01/2021,2.5,2.53,2.46,2.47,-0.02,-0.8,13911645
25/01/2021,2.5,2.53,2.47,2.49,-0.04,-1.58,9075806
22/01/2021,2.5,2.53,2.5,2.53,0,0,15892729
21/01/2021,2.56,2.57,2.51,2.53,-0.01,-0.39,12226121
20/01/2021,2.54,2.59,2.53,2.54,0,0,16099688
19/01/2021,2.53,2.58,2.52,2.54,0.02,0.79,11112770
18/01/2021,2.57,2.57,2.51,2.52,-0.02,-0.79,12102878
15/01/2021,2.48,2.565,2.48,2.54,0.04,1.6,19265435
14/01/2021,2.5,2.535,2.475,2.5,0,0,27317641
13/01/2021,2.52,2.55,2.46,2.5,-0.04,-1.57,20392251
12/01/2021,2.58,2.58,2.53,2.54,-0.03,-1.17,6172569
11/01/2021,2.57,2.59,2.555,2.57,-0.01,-0.39,5089573
08/01/2021,2.6,2.62,2.55,2.58,-0.04,-1.53,10513570
07/01/2021,2.67,2.68,2.61,2.62,-0.01,-0.38,5691917
06/01/2021,2.62,2.65,2.59,2.63,-0.03,-1.13,13487366
05/01/2021,2.58,2.665,2.58,2.66,0.01,0.38,11511900
04/01/2021,2.64,2.68,2.63,2.65,0.01,0.38,14568518
31/12/2020,2.73,2.735,2.64,2.64,-0.09,-3.3,6781463
30/12/2020,2.71,2.73,2.67,2.73,-0.02,-0.73,7416700
29/12/2020,2.78,2.79,2.73,2.75,0.01,0.36,7478104
24/12/2020,2.67,2.74,2.67,2.74,0.05,1.86,3799431
23/12/2020,2.69,2.705,2.66,2.69,0.05,1.89,8826075
22/12/2020,2.62,2.66,2.6,2.64,0.01,0.38,10766484
21/12/2020,2.64,2.67,2.62,2.63,-0.04,-1.5,12241727
18/12/2020,2.75,2.765,2.66,2.67,-0.09,-3.26,24267293
17/12/2020,2.76,2.79,2.74,2.76,0,0,17069045
16/12/2020,2.78,2.78,2.73,2.76,0.01,0.36,12364826
15/12/2020,2.84,2.84,2.74,2.75,0.02,0.73,16761891
14/12/2020,2.7,2.73,2.68,2.73,0.05,1.87,12624983
11/12/2020,2.65,2.71,2.65,2.68,-0.02,-0.74,19662992
10/12/2020,2.63,2.73,2.63,2.7,0.04,1.5,17285729
09/12/2020,2.66,2.68,2.65,2.66,0,0,22981627
08/12/2020,2.67,2.67,2.64,2.66,0,0,13324437
07/12/2020,2.7,2.7,2.63,2.66,0.01,0.38,11883381
04/12/2020,2.61,2.66,2.61,2.65,0.03,1.15,19583101
03/12/2020,2.58,2.63,2.575,2.62,0.03,1.16,17965547
02/12/2020,2.61,2.62,2.57,2.59,-0.02,-0.77,12774645
01/12/2020,2.59,2.635,2.56,2.61,0.03,1.16,16113624
30/11/2020,2.65,2.65,2.56,2.58,-0.03,-1.15,36166887
27/11/2020,2.59,2.64,2.57,2.61,0.02,0.77,8435337
26/11/2020,2.65,2.675,2.57,2.59,-0.05,-1.89,17943430
25/11/2020,2.63,2.67,2.61,2.64,0.04,1.54,21714472
24/11/2020,2.65,2.67,2.58,2.6,-0.04,-1.52,20388949
23/11/2020,2.69,2.7,2.64,2.64,-0.04,-1.49,8774442
20/11/2020,2.67,2.69,2.64,2.68,-0.02,-0.74,18335452
19/11/2020,2.67,2.71,2.655,2.7,-0.02,-0.74,17627389
18/11/2020,2.69,2.74,2.63,2.72,-0.01,-0.37,29909057
17/11/2020,2.7,2.78,2.68,2.73,0.09,3.41,29239848
16/11/2020,2.65,2.65,2.63,2.64,0.04,1.54,477592
13/11/2020,2.55,2.62,2.55,2.6,-0.03,-1.14,17974559
12/11/2020,2.66,2.67,2.61,2.63,-0.03,-1.13,20780996
11/11/2020,2.62,2.67,2.59,2.66,0.06,2.31,26823612
10/11/2020,2.54,2.62,2.52,2.6,0.26,11.11,54585787
09/11/2020,2.34,2.37,2.32,2.34,0.04,1.74,15283805
06/11/2020,2.3,2.32,2.27,2.3,0,0,9779550
05/11/2020,2.29,2.32,2.27,2.3,0.03,1.32,9636863
04/11/2020,2.24,2.29,2.22,2.27,0.02,0.89,14466672
03/11/2020,2.16,2.285,2.15,2.25,0.12,5.63,24649420
02/11/2020,2.12,2.15,2.11,2.13,0.02,0.95,8914348
30/10/2020,2.14,2.15,2.11,2.11,-0.02,-0.94,19625369
29/10/2020,2.13,2.15,2.11,2.13,-0.03,-1.39,9049341
28/10/2020,2.18,2.2,2.15,2.16,-0.06,-2.7,27890277
27/10/2020,2.21,2.22,2.195,2.22,-0.01,-0.45,16659688
26/10/2020,2.2,2.24,2.195,2.23,0.03,1.36,8028483
23/10/2020,2.22,2.22,2.18,2.2,-0.03,-1.35,15618362
22/10/2020,2.25,2.26,2.2,2.23,-0.04,-1.76,10528569
21/10/2020,2.22,2.28,2.22,2.27,0.04,1.79,12128998
20/10/2020,2.21,2.25,2.21,2.23,0,0,5560153
19/10/2020,2.24,2.255,2.2,2.23,0.01,0.45,9492706
16/10/2020,2.27,2.29,2.19,2.22,-0.08,-3.48,20520860
15/10/2020,2.26,2.32,2.25,2.3,0.03,1.32,13576086
14/10/2020,2.28,2.3,2.26,2.27,-0.03,-1.3,7048774
13/10/2020,2.29,2.32,2.28,2.3,0.03,1.32,12017006
12/10/2020,2.25,2.28,2.24,2.27,0.01,0.44,10726466
09/10/2020,2.28,2.3,2.25,2.26,0,0,17934592
08/10/2020,2.27,2.29,2.24,2.26,-0.04,-1.74,16629982
07/10/2020,2.28,2.3,2.23,2.3,0.04,1.77,19240514
06/10/2020,2.31,2.32,2.24,2.26,-0.06,-2.59,17560588
05/10/2020,2.29,2.35,2.27,2.32,0.08,3.57,10018898
02/10/2020,2.22,2.27,2.21,2.24,0.01,0.45,22544696
01/10/2020,2.17,2.25,2.16,2.23,0.05,2.29,14670564
30/09/2020,2.17,2.2,2.15,2.18,-0.03,-1.36,22098392
29/09/2020,2.27,2.28,2.18,2.21,-0.04,-1.78,21941705
28/09/2020,2.22,2.275,2.2,2.25,0.04,1.81,19164408
25/09/2020,2.13,2.22,2.13,2.21,0.07,3.27,35230393
24/09/2020,2.06,2.15,2.04,2.14,0.07,3.38,31415156
23/09/2020,2.05,2.08,2.03,2.07,0.04,1.97,16859938
22/09/2020,2.04,2.05,2.01,2.03,-0.03,-1.46,18857815
21/09/2020,2.09,2.1,2.06,2.06,-0.05,-2.37,18876633
18/09/2020,2.1,2.16,2.065,2.11,0.01,0.48,53673986
17/09/2020,2.09,2.13,2.075,2.1,0.04,1.94,27401188
16/09/2020,2.06,2.07,2.04,2.06,0.01,0.49,21322987
15/09/2020,2.06,2.07,2.025,2.05,0,0,18881219
14/09/2020,2.07,2.08,2.03,2.05,-0.01,-0.49,9224239
11/09/2020,2.04,2.07,2.03,2.06,-0.01,-0.48,14588493
10/09/2020,2.09,2.095,2.045,2.07,-0.01,-0.48,15496511
09/09/2020,2.07,2.09,2.06,2.08,-0.04,-1.89,15339490
08/09/2020,2.1,2.13,2.09,2.12,0.03,1.44,17258054
07/09/2020,2.09,2.1,2.05,2.09,-0.02,-0.95,7744303
04/09/2020,2.11,2.13,2.09,2.11,-0.07,-3.21,15555854
03/09/2020,2.12,2.2,2.11,2.18,0.07,3.32,26199374
02/09/2020,2.07,2.11,2.05,2.11,0.07,3.43,14913218
01/09/2020,2.08,2.09,2.04,2.04,-0.07,-3.32,28907519
31/08/2020,2.08,2.12,2.08,2.11,0.02,0.96,15216128
28/08/2020,2.08,2.09,2.06,2.09,0.01,0.48,17051213
27/08/2020,2.1,2.11,2.07,2.08,-0.03,-1.42,12762763
26/08/2020,2.08,2.12,2.06,2.11,0.01,0.48,15028807
25/08/2020,2.11,2.14,2.07,2.1,0.02,0.96,18660763
24/08/2020,2.09,2.11,2.06,2.08,-0.04,-1.89,12566947
21/08/2020,2.09,2.125,2.08,2.12,0.02,0.95,19007796
20/08/2020,2.02,2.11,2.02,2.1,0.05,2.44,28688667
19/08/2020,2.03,2.08,2.03,2.05,-0.01,-0.49,16313548
18/08/2020,2.06,2.08,2.03,2.06,-0.02,-0.96,22549887
17/08/2020,2.08,2.1,2.06,2.08,-0.02,-0.95,14759049
14/08/2020,2.11,2.12,2.08,2.1,-0.03,-1.41,10558836
13/08/2020,2.14,2.16,2.09,2.13,0,0,19955040
12/08/2020,2.13,2.15,2.105,2.13,0,0,14619645
11/08/2020,2.07,2.14,2.07,2.13,0.05,2.4,18589811
10/08/2020,2.09,2.12,2.055,2.08,0.02,0.97,14798906
07/08/2020,2.07,2.08,2.03,2.06,-0.01,-0.48,12285634
06/08/2020,2.11,2.12,2.05,2.07,-0.04,-1.9,17887852
05/08/2020,2.17,2.19,2.11,2.11,-0.05,-2.31,22229687
04/08/2020,2.14,2.17,2.11,2.16,0.06,2.86,21435205
03/08/2020,2.07,2.125,2.065,2.1,0.01,0.48,16147985
31/07/2020,2.09,2.12,2.05,2.09,-0.01,-0.48,22450917
30/07/2020,2.15,2.155,2.09,2.1,-0.02,-0.94,16057962
29/07/2020,2.12,2.145,2.11,2.12,0,0,15182310
28/07/2020,2.13,2.15,2.11,2.12,0.01,0.47,14093496
27/07/2020,2.06,2.12,2.06,2.11,0.02,0.96,11989346
24/07/2020,2.13,2.145,2.07,2.09,-0.06,-2.79,15783327
