Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,34,34.73,33.33,34.59,0.24,0.7,1768704
29/01/2021,36.96,37.15,34.05,34.35,-2,-5.5,1051382
28/01/2021,36.2,36.66,35.1,36.35,-1.18,-3.14,876493
27/01/2021,39.02,39.45,36.95,37.53,-1.31,-3.37,881624
25/01/2021,38.2,38.87,38.2,38.84,0.65,1.7,340970
22/01/2021,38.76,39.295,38.16,38.19,-0.69,-1.77,467171
21/01/2021,38.3,38.96,37.8,38.88,0.62,1.62,587698
20/01/2021,38.45,38.88,38.13,38.26,-0.09,-0.23,741322
19/01/2021,38.4,38.63,38.17,38.35,-0.15,-0.39,807010
18/01/2021,39.5,39.72,38.31,38.5,-1.33,-3.34,670890
15/01/2021,39.94,40.25,39.28,39.83,0.81,2.08,774410
14/01/2021,39.04,39.43,38.39,39.02,0.1,0.26,587853
13/01/2021,39.16,40.29,38.68,38.92,0.02,0.05,768413
12/01/2021,39.5,39.66,38.76,38.9,-0.6,-1.52,819280
11/01/2021,40.48,40.69,39.31,39.5,-0.98,-2.42,809016
08/01/2021,40.86,41.19,40.13,40.48,0.72,1.81,1049714
07/01/2021,39.79,40.5,39.16,39.76,1.26,3.27,798368
06/01/2021,39.79,40.78,38,38.5,-0.55,-1.41,2297485
05/01/2021,39.4,39.49,38.75,39.05,0.58,1.51,1292605
04/01/2021,38.93,38.95,37.98,38.47,1.02,2.72,891309
31/12/2020,36.98,37.83,36.85,37.45,0.68,1.85,424210
30/12/2020,36.5,36.99,35.86,36.77,0.12,0.33,686369
29/12/2020,35.85,36.85,35.85,36.65,0.86,2.4,743970
24/12/2020,35.35,35.8,35.35,35.79,0.79,2.26,291154
23/12/2020,34.7,35.31,34.4,35,0.16,0.46,764614
22/12/2020,35.36,35.4,34.42,34.84,-0.02,-0.06,1098099
21/12/2020,33.8,34.86,33.4,34.86,1.56,4.68,1325420
18/12/2020,33.29,34.32,33.16,33.3,0.6,1.83,4795234
17/12/2020,32.53,33.06,32.13,32.7,0.28,0.86,1727956
16/12/2020,32.22,32.88,31.73,32.42,0.06,0.19,1650434
15/12/2020,33.66,33.66,31.56,32.36,-2.35,-6.77,1860650
14/12/2020,35.34,35.67,34.35,34.71,-0.55,-1.56,907346
11/12/2020,35.3,35.92,34.85,35.26,0.51,1.47,2959801
10/12/2020,35.11,35.89,34.66,34.75,-0.32,-0.91,843300
09/12/2020,34.69,35.35,34.67,35.07,0.29,0.83,1261926
08/12/2020,34.64,35.14,34.52,34.78,0.03,0.09,964397
07/12/2020,35.4,35.55,34.48,34.75,0.19,0.55,1252634
04/12/2020,34.13,35.02,34.13,34.56,0.28,0.82,1666117
03/12/2020,32.78,34.39,32.5,34.28,2.41,7.56,1780506
02/12/2020,32.63,32.97,31.49,31.87,-0.33,-1.02,952699
01/12/2020,32.46,32.46,31.55,32.2,-0.13,-0.4,969959
30/11/2020,32.3,32.53,31.98,32.33,0.35,1.09,1429346
27/11/2020,31.82,32.1,31.34,31.98,0.1,0.31,1129226
26/11/2020,31.92,32.25,31.65,31.88,0.23,0.73,987368
25/11/2020,32.19,32.67,31.52,31.65,0.01,0.03,1339302
24/11/2020,32,32,31.15,31.64,0.54,1.74,1284490
23/11/2020,30.17,31.31,29.8,31.1,1.23,4.12,1154141
20/11/2020,28.7,30.15,28.7,29.87,1.47,5.18,1562213
19/11/2020,28.21,28.65,28,28.4,0.23,0.82,654376
18/11/2020,28.51,28.73,28.12,28.17,-0.33,-1.16,1069576
17/11/2020,28.71,29.32,28.39,28.5,0.25,0.88,1180306
16/11/2020,28.22,28.25,27.58,28.25,0.67,2.43,9294
13/11/2020,27.46,27.79,27.2,27.58,0.28,1.03,638584
12/11/2020,27.35,27.66,26.99,27.3,0.02,0.07,736952
11/11/2020,27.5,27.75,27.08,27.28,0.11,0.4,784754
10/11/2020,28.99,29,27.05,27.17,-0.73,-2.62,745591
09/11/2020,26.75,28.04,26.75,27.9,1.57,5.96,872617
06/11/2020,25.77,26.37,25.7,26.33,1.12,4.44,871426
05/11/2020,25.02,25.28,24.79,25.21,-0.11,-0.43,674343
04/11/2020,25.24,26.3,24.84,25.32,0.23,0.92,675298
03/11/2020,24.1,25.29,24.095,25.09,0.76,3.12,831679
02/11/2020,24.71,24.84,24.11,24.33,-0.63,-2.52,706472
30/10/2020,24.66,25.22,24.58,24.96,0.11,0.44,937603
