Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
02/02/2021,13.01,13.4,13,13.25,0.33,2.55,303379
01/02/2021,12.54,13.04,12.38,12.92,-0.04,-0.31,508922
29/01/2021,13.59,13.6,12.96,12.96,-0.46,-3.43,493561
28/01/2021,13.95,13.95,13.32,13.42,-0.79,-5.56,535235
27/01/2021,14.58,14.58,14.08,14.21,-0.15,-1.04,272838
25/01/2021,14.45,14.53,14.215,14.36,-0.05,-0.35,89015
22/01/2021,14.34,14.55,14.28,14.41,-0.08,-0.55,123472
21/01/2021,14.43,14.63,14.27,14.49,0.13,0.91,284802
20/01/2021,14.23,14.6,14.21,14.36,0.16,1.13,268677
19/01/2021,13.91,14.23,13.86,14.2,0.36,2.6,269301
18/01/2021,13.6,13.93,13.06,13.84,-0.24,-1.7,454003
15/01/2021,14.07,14.36,13.95,14.08,0.01,0.07,338165
14/01/2021,14.05,14.18,13.9,14.07,-0.03,-0.21,280765
13/01/2021,13.96,14.19,13.96,14.1,0.31,2.25,639937
12/01/2021,13.81,14.03,13.67,13.79,0.02,0.15,155582
11/01/2021,14.09,14.17,13.75,13.77,-0.36,-2.55,207263
08/01/2021,13.86,14.19,13.68,14.13,0.44,3.21,206108
07/01/2021,13.75,13.75,13.6,13.69,0.11,0.81,208367
06/01/2021,13.66,13.72,13.43,13.58,-0.04,-0.29,161357
05/01/2021,13.33,13.67,13.33,13.62,-0.12,-0.87,117963
04/01/2021,13.58,13.78,13.42,13.74,0.27,2,117843
31/12/2020,13.59,13.75,13.47,13.47,-0.22,-1.61,90963
30/12/2020,13.6,13.86,13.5,13.69,-0.07,-0.51,133670
29/12/2020,13.97,14.05,13.64,13.76,-0.01,-0.07,176756
24/12/2020,13.65,14,13.6,13.77,0.02,0.15,74277
23/12/2020,13.44,13.81,13.36,13.75,0.3,2.23,246905
22/12/2020,13.57,13.73,13.4,13.45,-0.34,-2.47,218250
21/12/2020,13.46,13.97,13.36,13.79,0.16,1.17,396341
18/12/2020,14.17,14.18,13.55,13.63,-0.57,-4.01,405051
17/12/2020,14.25,14.37,13.78,14.2,-0.05,-0.35,586269
16/12/2020,14.53,14.74,14.17,14.25,-0.25,-1.72,461104
15/12/2020,14.5,14.55,14.08,14.5,-0.16,-1.09,577129
14/12/2020,14.75,14.95,14.58,14.66,-0.05,-0.34,397564
11/12/2020,15.25,15.35,14.62,14.71,-0.64,-4.17,434538
10/12/2020,15.18,15.5,15.14,15.35,0.07,0.46,415141
09/12/2020,15.18,15.55,15.15,15.28,0.18,1.19,1020241
08/12/2020,14.95,15.21,14.77,15.1,0.12,0.8,561485
07/12/2020,14.89,15.11,14.62,14.98,0.48,3.31,688931
04/12/2020,14.26,14.9,14.26,14.5,0.34,2.4,1302186
03/12/2020,14.22,14.3,14.05,14.16,-0.06,-0.42,239902
02/12/2020,13.94,14.29,13.69,14.22,0.52,3.8,596517
01/12/2020,12.92,13.79,12.69,13.7,0.91,7.11,670502
30/11/2020,12.75,12.96,12.67,12.79,0.05,0.39,721394
27/11/2020,12.82,12.93,12.71,12.74,-0.04,-0.31,470139
26/11/2020,12.9,13.19,12.61,12.78,-0.14,-1.08,461781
25/11/2020,12.42,13.03,12.42,12.92,0.64,5.21,1587666
24/11/2020,12.26,12.43,12.13,12.28,0.24,1.99,461795
23/11/2020,11.79,12.06,11.62,12.04,0.29,2.47,249542
20/11/2020,11.62,11.91,11.57,11.75,0.04,0.34,1291073
19/11/2020,11.75,11.83,11.45,11.71,-0.06,-0.51,379672
18/11/2020,11.62,11.87,11.51,11.77,0.2,1.73,404962
17/11/2020,11.07,11.57,11.07,11.57,0.6,5.47,376482
16/11/2020,10.98,10.98,10.97,10.97,0.07,0.64,4083
13/11/2020,11.09,11.09,10.71,10.9,-0.17,-1.54,181699
12/11/2020,10.85,11.2,10.79,11.07,0.22,2.03,361183
11/11/2020,10.71,10.97,10.69,10.85,0.23,2.17,489464
10/11/2020,10.3,10.83,10.25,10.62,0.64,6.41,601888
09/11/2020,10.1,10.2,9.87,9.98,-0.08,-0.8,350512
06/11/2020,9.59,10.06,9.54,10.06,0.5,5.23,450401
05/11/2020,9.3,9.56,9.25,9.56,0.18,1.92,218410
04/11/2020,9.53,9.545,9.24,9.38,-0.1,-1.05,218113
03/11/2020,9.24,9.58,9.24,9.48,0.32,3.49,226175
02/11/2020,9.18,9.53,9.13,9.16,0.02,0.22,376567
30/10/2020,9.53,9.6,9.11,9.14,-0.44,-4.59,522167
29/10/2020,9.83,9.83,9.56,9.58,-0.33,-3.33,296003
28/10/2020,9.9,10.01,9.83,9.91,-0.08,-0.8,223881
27/10/2020,10.02,10.14,9.92,9.99,-0.21,-2.06,264740
26/10/2020,10.15,10.27,10.06,10.2,0.03,0.29,259065
23/10/2020,10.03,10.2,10.03,10.17,0.15,1.5,143971
22/10/2020,9.95,10.06,9.85,10.02,-0.07,-0.69,206853
21/10/2020,9.98,10.17,9.88,10.09,0.11,1.1,391466
20/10/2020,10.36,10.36,9.91,9.98,-0.43,-4.13,344263
19/10/2020,10.32,10.5,10.3,10.41,0.16,1.56,202835
16/10/2020,10.3,10.36,10.19,10.25,-0.05,-0.49,204266
15/10/2020,10.24,10.38,10.12,10.3,0.13,1.28,500770
14/10/2020,10.37,10.42,10.14,10.17,-0.28,-2.68,233933
