Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
08/10/2019,14.92,14.98,14.83,14.92,0.02,0.13,295959
09/10/2019,14.84,14.95,14.77,14.77,-0.15,-1.01,357168
10/10/2019,14.74,14.94,14.65,14.71,-0.06,-0.41,300968
11/10/2019,14.93,14.97,14.745,14.8,0.09,0.61,325508
14/10/2019,14.94,15.25,14.93,15.02,0.22,1.49,365946
15/10/2019,14.9,15.08,14.86,15.05,0.03,0.2,170654
16/10/2019,15.22,15.35,15.06,15.31,0.26,1.73,409703
17/10/2019,15.25,15.58,15.22,15.41,0.1,0.65,271323
18/10/2019,15.3,15.55,15.24,15.35,-0.06,-0.39,362548
21/10/2019,15.41,15.57,15.28,15.5,0.15,0.98,261487
22/10/2019,15.48,15.79,15.37,15.67,0.17,1.1,304240
23/10/2019,15.62,15.705,15.22,15.43,-0.24,-1.53,223959
24/10/2019,15.55,15.61,15.27,15.27,-0.16,-1.04,132918
25/10/2019,15.47,15.62,15.39,15.51,0.24,1.57,195287
28/10/2019,15.51,15.75,15.51,15.56,0.05,0.32,269967
29/10/2019,15.53,15.7,15.37,15.39,-0.17,-1.09,329548
30/10/2019,15.44,15.58,15.2,15.39,0,0,546832
31/10/2019,15.57,15.63,15.23,15.34,-0.05,-0.32,295939
01/11/2019,15.37,15.86,15.23,15.74,0.4,2.61,644925
04/11/2019,15.85,15.87,15.7,15.8,0.06,0.38,415484
05/11/2019,15.94,16.015,15.8,15.9,0.1,0.63,292365
06/11/2019,15.82,16.05,15.5,15.57,-0.33,-2.08,306338
07/11/2019,15.39,15.53,15.26,15.4,-0.17,-1.09,281631
08/11/2019,15.55,15.87,15.46,15.86,0.46,2.99,271972
11/11/2019,15.98,16.06,15.54,15.82,-0.04,-0.25,580866
12/11/2019,15.94,15.94,15.43,15.57,-0.25,-1.58,261849
13/11/2019,15.57,15.86,15.49,15.58,0.01,0.06,636131
14/11/2019,15.72,15.85,15.62,15.71,0.13,0.83,226138
15/11/2019,15.82,15.96,15.66,15.7,-0.01,-0.06,320779
18/11/2019,15.46,15.565,15.14,15.34,-0.36,-2.29,295318
19/11/2019,15.32,15.43,14.95,15.37,0.03,0.2,629790
20/11/2019,15.3,16.2,14.95,16.02,0.65,4.23,894548
21/11/2019,16.29,16.8,16.21,16.5,0.48,3,1134114
22/11/2019,16.63,16.64,16.14,16.38,-0.12,-0.73,728162
25/11/2019,16.42,16.64,15.94,16.1,-0.28,-1.71,331326
26/11/2019,16.1,16.3,15.56,15.98,-0.12,-0.75,296604
27/11/2019,16.1,16.37,15.55,16.32,0.34,2.13,356991
28/11/2019,16.32,16.67,16.32,16.55,0.23,1.41,319977
29/11/2019,16.77,16.79,16.33,16.35,-0.2,-1.21,499596
02/12/2019,16.35,16.88,16.27,16.66,0.31,1.9,395031
03/12/2019,16.41,16.63,16.32,16.4,-0.26,-1.56,1015270
04/12/2019,16.01,16.26,15.55,15.64,-0.76,-4.63,554399
05/12/2019,15.71,15.84,15.56,15.79,0.15,0.96,264150
06/12/2019,15.63,15.99,15.63,15.94,0.15,0.95,1362955
09/12/2019,15.91,16.325,15.9,16.24,0.3,1.88,429038
10/12/2019,16.12,16.3,16.06,16.1,-0.14,-0.86,182003
11/12/2019,16.31,16.39,16.09,16.35,0.25,1.55,564386
12/12/2019,16.31,16.82,16.31,16.72,0.37,2.26,624504
13/12/2019,17.03,17.56,16.93,17.47,0.75,4.49,597969
16/12/2019,17.54,17.6,17.3,17.41,-0.06,-0.34,310072
17/12/2019,17.4,17.46,17.07,17.26,-0.15,-0.86,349467
18/12/2019,17.39,17.58,17.07,17.16,-0.1,-0.58,533376
19/12/2019,17.54,17.54,16.95,17.08,-0.08,-0.47,533715
20/12/2019,16.91,17.23,16.89,17.07,-0.01,-0.06,409820
23/12/2019,16.94,17.28,16.94,17.02,-0.05,-0.29,207283
24/12/2019,17.03,17.21,16.94,17.13,0.11,0.65,121755
27/12/2019,16.98,17.25,16.98,17.14,0.01,0.06,117547
30/12/2019,16.96,17.22,16.96,17.2,0.06,0.35,108910
31/12/2019,17,17.09,16.68,16.68,-0.52,-3.02,159258
02/01/2020,16.72,16.87,16.45,16.64,-0.04,-0.24,207522
03/01/2020,16.94,17.12,16.83,16.9,0.26,1.56,171613
06/01/2020,16.61,16.8,16.51,16.64,-0.26,-1.54,190854
07/01/2020,17.05,17.14,16.92,17.08,0.44,2.64,165538
08/01/2020,17.17,17.17,16.61,16.87,-0.21,-1.23,173966
09/01/2020,17.28,17.495,17.155,17.23,0.36,2.13,197672
