Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,13.44,13.45,12.68,12.98,-0.5,-3.71,852324
29/01/2021,13.48,13.89,13.3,13.48,0.41,3.14,658170
28/01/2021,13.44,13.68,13.01,13.07,-0.29,-2.17,1126913
27/01/2021,13.12,13.43,13.1,13.36,0.3,2.3,881819
25/01/2021,12.85,13.25,12.7,13.06,0.22,1.71,540523
22/01/2021,12.84,13.15,12.7,12.84,0.19,1.5,710000
21/01/2021,12.45,12.98,12.38,12.65,0.53,4.37,1733705
20/01/2021,12.51,12.55,11.905,12.12,-0.7,-5.46,2058332
19/01/2021,13.03,13.07,12.46,12.82,-0.17,-1.31,1128577
18/01/2021,12.88,13.04,12.8,12.99,0.05,0.39,447010
15/01/2021,13.26,13.26,12.86,12.94,-0.33,-2.49,461171
14/01/2021,13,13.31,12.91,13.27,0.37,2.87,548405
13/01/2021,13.02,13.2,12.83,12.9,-0.11,-0.85,436962
12/01/2021,13,13.22,12.87,13.01,0.09,0.7,761358
11/01/2021,13,13.18,12.76,12.92,-0.12,-0.92,653216
08/01/2021,13.04,13.08,12.7,13.04,0.01,0.08,1088709
07/01/2021,13.41,13.42,12.985,13.03,-0.5,-3.7,757520
06/01/2021,14.05,14.14,13.405,13.53,-0.67,-4.72,605155
05/01/2021,13.97,14.21,13.92,14.2,-0.01,-0.07,401487
04/01/2021,14.22,14.35,14.04,14.21,-0.04,-0.28,370310
31/12/2020,14.32,14.51,14.25,14.25,-0.2,-1.38,154056
30/12/2020,14.68,14.78,14.32,14.45,-0.31,-2.1,405288
29/12/2020,14.54,14.83,14.5,14.76,0.26,1.79,417654
24/12/2020,14.3,14.5,14.22,14.5,-0.1,-0.68,170501
23/12/2020,14.35,14.62,14.3,14.6,0.39,2.74,562094
22/12/2020,14.52,14.64,14.145,14.21,-0.49,-3.33,672102
21/12/2020,14.67,14.75,14.43,14.7,-0.29,-1.93,904886
18/12/2020,14.24,14.99,14.01,14.99,0.73,5.12,2267012
17/12/2020,14.08,14.32,13.88,14.26,0.27,1.93,908019
16/12/2020,13.24,14.09,13.15,13.99,0.8,6.07,1173902
15/12/2020,13.4,13.59,13.06,13.19,-0.22,-1.64,1358296
14/12/2020,13.5,13.61,13.18,13.41,-0.03,-0.22,531284
11/12/2020,13.16,13.53,13.02,13.44,0.32,2.44,564933
10/12/2020,13.35,13.44,13.08,13.12,-0.41,-3.03,607480
09/12/2020,13.4,13.84,13.4,13.53,0.18,1.35,498262
08/12/2020,13.59,13.68,13.3,13.35,-0.23,-1.69,2207135
07/12/2020,13.6,13.75,13.32,13.58,0.26,1.95,903194
04/12/2020,13.49,13.49,13.285,13.32,-0.02,-0.15,478385
03/12/2020,13.4,13.49,13.16,13.34,-0.19,-1.4,552504
02/12/2020,13.4,13.89,13.38,13.53,0.1,0.74,1223234
01/12/2020,12.88,13.56,12.83,13.43,0.65,5.09,1315971
30/11/2020,12.7,12.96,12.54,12.78,0.14,1.11,1340090
27/11/2020,13,13.05,12.42,12.64,-0.26,-2.02,1257509
26/11/2020,12.75,13.1,12.74,12.9,0.25,1.98,1149735
25/11/2020,13.57,13.62,12.63,12.65,-0.95,-6.99,1343711
24/11/2020,13.69,13.84,13.38,13.6,-0.09,-0.66,872543
23/11/2020,14.14,14.15,13.67,13.69,-0.31,-2.21,660264
20/11/2020,14,14.17,13.9,14,0.09,0.65,291743
19/11/2020,13.92,13.95,13.62,13.91,-0.05,-0.36,699838
18/11/2020,14.05,14.19,13.85,13.96,-0.02,-0.14,931258
17/11/2020,14.47,14.74,13.97,13.98,-0.45,-3.12,1083368
16/11/2020,14.29,14.46,14.19,14.43,0.1,0.7,40114
13/11/2020,14,14.39,13.96,14.33,0.29,2.07,632333
12/11/2020,14.52,14.61,14.04,14.04,-0.2,-1.4,690341
11/11/2020,14.01,14.29,13.64,14.24,0.12,0.85,988144
10/11/2020,15.26,15.28,14.01,14.12,-1.35,-8.73,1540121
09/11/2020,14.93,15.47,14.93,15.47,0.66,4.46,545087
06/11/2020,14.84,15.08,14.66,14.81,0.1,0.68,2506332
05/11/2020,14.56,14.75,14.1,14.71,0.21,1.45,1018259
04/11/2020,13.7,14.63,13.61,14.5,0.9,6.62,1113047
03/11/2020,13.5,13.85,13.39,13.6,0.31,2.33,752270
02/11/2020,13.29,13.34,13.01,13.29,-0.18,-1.34,1145961
30/10/2020,13.94,14.04,13.39,13.47,-0.37,-2.67,876299
29/10/2020,13.65,13.99,13.51,13.84,-0.2,-1.42,1010303
28/10/2020,13.99,14.25,13.88,14.04,0.04,0.29,939172
27/10/2020,14.4,14.48,13.8,14,-0.6,-4.11,1177300
26/10/2020,14.61,15.1,14.44,14.6,0.07,0.48,1191886
23/10/2020,14.88,14.97,14.33,14.53,-0.36,-2.42,2091449
22/10/2020,14.6,15.23,14.42,14.89,0.31,2.13,2784456
21/10/2020,16.39,16.5,14.24,14.58,-2.21,-13.16,4066904
20/10/2020,16.59,16.85,16.3,16.79,0.14,0.84,524153
19/10/2020,16.47,16.98,16.27,16.65,0.29,1.77,677604
16/10/2020,16.5,16.65,16.24,16.36,0.12,0.74,563495
15/10/2020,16.72,16.88,16.2,16.24,-0.4,-2.4,662476
14/10/2020,16.12,16.7,15.87,16.64,0.66,4.13,709774
13/10/2020,16.06,16.12,15.93,15.98,0.15,0.95,842080
12/10/2020,15.85,16.015,15.7,15.83,0.13,0.83,473196
09/10/2020,15.9,15.96,15.57,15.7,-0.2,-1.26,612722
08/10/2020,16.11,16.12,15.83,15.9,0,0,624802
07/10/2020,16.02,16.04,15.85,15.9,-0.11,-0.69,664289
06/10/2020,15.7,16.08,15.48,16.01,0.35,2.23,453172
05/10/2020,16.06,16.39,15.42,15.66,-0.34,-2.12,494517
02/10/2020,16.25,16.43,15.89,16,-0.1,-0.62,504859
01/10/2020,16.21,16.63,16.1,16.1,0.01,0.06,357736
30/09/2020,16.8,17,16.08,16.09,-0.5,-3.01,1129807
29/09/2020,16.3,16.63,16.1,16.59,0.49,3.04,663990
28/09/2020,15.97,16.45,15.93,16.1,0.22,1.39,820911
25/09/2020,16.25,16.25,15.74,15.88,-0.25,-1.55,730201
24/09/2020,16.11,16.43,16.05,16.13,-0.35,-2.12,654866
23/09/2020,16.5,16.66,16.34,16.48,0.51,3.19,1170010
22/09/2020,15.68,16.02,15.66,15.97,0.44,2.83,863616
21/09/2020,15.7,15.84,15.36,15.53,-0.05,-0.32,770270
18/09/2020,15.43,15.74,15.38,15.58,0.2,1.3,1094411
17/09/2020,15.87,15.88,15.21,15.38,-0.46,-2.9,909153
16/09/2020,15.64,15.92,15.46,15.84,0.6,3.94,1241679
15/09/2020,15.19,15.44,15.04,15.24,0.22,1.46,860151
14/09/2020,15.17,15.21,14.52,15.02,-0.11,-0.73,1161795
11/09/2020,15.13,15.26,14.81,15.13,-0.24,-1.56,709866
10/09/2020,15.39,15.55,15.2,15.37,0.54,3.64,1076461
09/09/2020,15.2,15.33,14.65,14.83,-0.96,-6.08,1932110
08/09/2020,16,16.05,15.58,15.79,0.07,0.45,534423
07/09/2020,15.52,15.8,15.33,15.72,-0.14,-0.88,636098
04/09/2020,15.8,16.27,15.61,15.86,-0.84,-5.03,1082307
03/09/2020,17.45,17.48,16.41,16.7,-0.56,-3.24,984446
02/09/2020,17.28,17.34,16.91,17.26,0.17,0.99,570092
01/09/2020,16.9,17.34,16.78,17.09,0.05,0.29,753553
31/08/2020,17.07,17.27,16.71,17.04,-0.03,-0.18,915744
28/08/2020,17.24,17.26,16.72,17.07,-0.18,-1.04,754032
27/08/2020,16.94,17.67,16.86,17.25,0.36,2.13,810457
26/08/2020,16.63,17.3,16.52,16.89,0.36,2.18,1245632
25/08/2020,17.22,17.36,16.38,16.53,-0.39,-2.3,963030
24/08/2020,16,17.02,16,16.92,1.07,6.75,1168057
21/08/2020,16.05,16.65,15.83,15.85,0.04,0.25,1075218
