Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.91,2.96,2.9,2.95,0.03,1.03,11640171
29/01/2021,2.91,2.96,2.9,2.92,0.01,0.34,10670207
28/01/2021,2.93,2.95,2.9,2.91,-0.05,-1.69,14662067
27/01/2021,2.94,2.97,2.94,2.96,0.01,0.34,6480126
25/01/2021,2.94,2.97,2.94,2.95,0,0,4102889
22/01/2021,2.94,2.96,2.93,2.95,0,0,4985141
21/01/2021,2.96,2.98,2.93,2.95,0,0,17783839
20/01/2021,2.94,2.96,2.92,2.95,0.02,0.68,12394992
19/01/2021,2.94,2.97,2.92,2.93,0.02,0.69,11840169
18/01/2021,2.9,2.95,2.89,2.91,0.01,0.34,11766850
15/01/2021,2.91,2.94,2.9,2.9,-0.04,-1.36,5921734
14/01/2021,2.98,3,2.92,2.94,-0.05,-1.67,8656724
13/01/2021,2.99,3.02,2.96,2.99,0,0,7168596
12/01/2021,2.95,3.02,2.95,2.99,0.02,0.67,6978964
11/01/2021,2.98,3.02,2.96,2.97,-0.04,-1.33,5975475
08/01/2021,3.01,3.03,2.98,3.01,-0.03,-0.99,7149590
07/01/2021,3.1,3.13,3.03,3.04,-0.01,-0.33,18622548
06/01/2021,3.02,3.08,3.01,3.05,-0.02,-0.65,8496777
05/01/2021,3.02,3.07,3.01,3.07,0.03,0.99,7288570
04/01/2021,3.02,3.06,3.01,3.04,0.03,1,5409752
31/12/2020,3.04,3.06,3.01,3.01,-0.05,-1.63,3834513
30/12/2020,3,3.06,3,3.06,0.03,0.99,4448883
29/12/2020,3,3.06,2.99,3.03,0.04,1.34,3612062
24/12/2020,3.02,3.03,2.99,2.99,-0.02,-0.66,2854579
23/12/2020,2.98,3.035,2.97,3.01,0.04,1.35,7665964
22/12/2020,2.96,3.01,2.95,2.97,-0.07,-2.3,6458881
21/12/2020,2.88,3.09,2.87,3.04,0.11,3.75,16987141
18/12/2020,2.85,2.93,2.845,2.93,0.06,2.09,14251153
17/12/2020,2.86,2.88,2.82,2.87,0.05,1.77,7915654
16/12/2020,2.91,2.91,2.82,2.82,-0.06,-2.08,8658293
15/12/2020,2.85,2.91,2.85,2.88,0.01,0.35,6765436
14/12/2020,2.86,2.92,2.85,2.87,0.04,1.41,10571364
11/12/2020,2.83,2.86,2.81,2.83,-0.01,-0.35,12129557
10/12/2020,2.84,2.87,2.83,2.84,-0.02,-0.7,7926983
09/12/2020,2.88,2.89,2.845,2.86,-0.02,-0.69,6148555
08/12/2020,2.82,2.89,2.82,2.88,0.04,1.41,7495621
07/12/2020,2.85,2.86,2.82,2.84,0,0,8775934
04/12/2020,2.86,2.88,2.82,2.84,0,0,6233209
03/12/2020,2.91,2.915,2.82,2.84,-0.05,-1.73,10574524
02/12/2020,2.85,2.9,2.84,2.89,0.03,1.05,11709209
01/12/2020,2.85,2.89,2.84,2.86,0.01,0.35,7747280
30/11/2020,2.9,2.905,2.84,2.85,-0.04,-1.38,16348105
27/11/2020,2.9,2.905,2.87,2.89,-0.02,-0.69,8360346
26/11/2020,2.88,2.94,2.865,2.91,0.03,1.04,5995599
25/11/2020,2.84,2.89,2.83,2.88,0.03,1.05,10971841
24/11/2020,2.86,2.88,2.82,2.85,-0.02,-0.7,9769984
23/11/2020,2.95,2.95,2.86,2.87,-0.06,-2.05,8927704
20/11/2020,2.89,2.945,2.89,2.93,0.01,0.34,7312758
19/11/2020,2.91,2.93,2.88,2.92,-0.02,-0.68,11064678
18/11/2020,2.89,2.97,2.89,2.94,0.04,1.38,9376436
17/11/2020,2.91,2.925,2.87,2.9,-0.01,-0.34,8538923
16/11/2020,2.94,2.94,2.91,2.91,0.01,0.34,473672
13/11/2020,2.86,2.95,2.85,2.9,0.05,1.75,11405083
12/11/2020,2.82,2.93,2.81,2.85,0.05,1.79,12309104
11/11/2020,2.77,2.81,2.76,2.8,0.04,1.45,10570107
10/11/2020,2.83,2.85,2.75,2.76,-0.06,-2.13,12551889
09/11/2020,2.75,2.83,2.74,2.82,0.1,3.68,6800109
06/11/2020,2.74,2.76,2.69,2.72,-0.01,-0.37,8121055
05/11/2020,2.67,2.78,2.67,2.73,0.05,1.87,13225219
04/11/2020,2.66,2.69,2.63,2.68,0,0,7378930
03/11/2020,2.69,2.695,2.65,2.68,0.02,0.75,8216463
02/11/2020,2.65,2.68,2.61,2.66,-0.01,-0.37,7806613
30/10/2020,2.71,2.72,2.65,2.67,-0.02,-0.74,9798039
29/10/2020,2.68,2.74,2.66,2.69,-0.01,-0.37,8009041
28/10/2020,2.65,2.72,2.64,2.7,0.03,1.12,9490491
27/10/2020,2.68,2.71,2.63,2.67,-0.02,-0.74,8460825
26/10/2020,2.65,2.695,2.65,2.69,0.02,0.75,6361812
23/10/2020,2.71,2.73,2.645,2.67,-0.06,-2.2,10491852
22/10/2020,2.68,2.74,2.66,2.73,0,0,14591323
