Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,129.23,132.71,126.51,132.13,0.73,0.56,819314
29/01/2021,134.67,135.29,130.38,131.4,-2,-1.5,1231401
28/01/2021,135,135.14,132.13,133.4,-2.24,-1.65,1173482
27/01/2021,136,136.45,135.54,135.64,-1.44,-1.05,902846
25/01/2021,137.01,137.58,136.3,137.08,-0.02,-0.01,476265
22/01/2021,138.94,138.94,136.835,137.1,-2.35,-1.69,1141910
21/01/2021,138.67,140.3,138.36,139.45,1.01,0.73,707487
20/01/2021,138.59,139.44,138.11,138.44,-0.39,-0.28,583780
19/01/2021,136.91,139.79,136.75,138.83,2.18,1.6,706397
18/01/2021,136.96,137.52,136.28,136.65,-0.68,-0.5,386769
15/01/2021,137.75,138.58,137.33,137.33,-0.97,-0.7,386000
14/01/2021,136.01,138.66,136.01,138.3,1.34,0.98,602949
13/01/2021,138,138.275,136.91,136.96,-1.83,-1.32,1016427
12/01/2021,140.01,140.8,138.79,138.79,-1.22,-0.87,700462
11/01/2021,141,142.51,139.72,140.01,-0.94,-0.67,534598
08/01/2021,139.69,140.95,139.5,140.95,2.5,1.81,740125
07/01/2021,139.05,139.99,137.17,138.45,2.63,1.94,897455
06/01/2021,138.16,138.8,135.16,135.82,-3.29,-2.37,985130
05/01/2021,138.65,139.92,138.11,139.11,-0.89,-0.64,631513
04/01/2021,138.54,140.25,138.29,140,1.52,1.1,457096
31/12/2020,140.25,140.82,138.48,138.48,-2.01,-1.43,285809
30/12/2020,140,140.49,139.03,140.49,-0.03,-0.02,329658
29/12/2020,140.71,141.2,140.12,140.52,0.41,0.29,292017
24/12/2020,140.2,141.16,139.77,140.11,1.23,0.89,334559
23/12/2020,138.15,140.55,137.81,138.88,1.63,1.19,560978
22/12/2020,137.5,137.58,136.32,137.25,-0.4,-0.29,622431
21/12/2020,137.75,138.37,136.86,137.65,-0.31,-0.22,450443
18/12/2020,141.79,141.79,137.85,137.96,-3.62,-2.56,1928295
17/12/2020,139.41,141.58,139.11,141.58,3.16,2.28,1139698
16/12/2020,139.01,139.68,138.21,138.42,0.89,0.65,687988
15/12/2020,137.84,138.25,137.14,137.53,-0.27,-0.2,530785
14/12/2020,138.5,139.75,137.73,137.8,-0.28,-0.2,500908
11/12/2020,138.2,138.905,137.58,138.08,-1.07,-0.77,644825
10/12/2020,141.22,141.46,139.03,139.15,-0.62,-0.44,976598
09/12/2020,141.46,141.46,139.7,139.77,-1.26,-0.89,617918
08/12/2020,140,141.42,140,141.03,0.08,0.06,672155
07/12/2020,142.25,142.54,139.54,140.95,-0.87,-0.61,657145
04/12/2020,139.55,142.48,139.24,141.82,3.22,2.32,1048887
03/12/2020,137.69,139.08,137.34,138.6,0.26,0.19,774606
02/12/2020,139.49,140.05,137.01,138.34,-1.85,-1.32,1238023
01/12/2020,138.05,142.14,138.05,140.19,1.52,1.1,1161945
30/11/2020,138.51,140.69,137.83,138.67,1.18,0.86,2196984
27/11/2020,137.78,138.69,136.95,137.49,-0.78,-0.56,816412
26/11/2020,140.23,140.5,137.93,138.27,-2.77,-1.96,1172425
25/11/2020,139.78,141.725,139.64,141.04,1.43,1.02,887041
24/11/2020,137.21,140.21,137.21,139.61,-0.09,-0.06,827495
23/11/2020,136.87,141.31,136.87,139.7,3.03,2.22,712444
20/11/2020,137,137.79,136.18,136.67,-1.34,-0.97,1704695
19/11/2020,138.23,138.82,137.47,138.01,-1.17,-0.84,1294879
18/11/2020,139.1,140.04,138.06,139.18,-0.5,-0.36,1329044
17/11/2020,140.88,141.29,139.42,139.68,-1.32,-0.94,1514899
16/11/2020,141.1,141.48,140,141,-0.17,-0.12,503023
13/11/2020,140,142.06,139.75,141.17,0.15,0.11,834128
12/11/2020,142.98,143.37,140.25,141.02,-1.02,-0.72,889343
