Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,2.39,2.53,2.36,2.52,0.14,5.88,8072245
29/01/2021,2.36,2.5,2.36,2.38,0.06,2.59,7472507
28/01/2021,2.38,2.39,2.31,2.32,-0.07,-2.93,3979830
27/01/2021,2.41,2.43,2.39,2.39,-0.02,-0.83,3677257
25/01/2021,2.43,2.46,2.4,2.41,-0.02,-0.82,2687350
22/01/2021,2.46,2.49,2.42,2.43,-0.03,-1.22,3763077
21/01/2021,2.47,2.495,2.45,2.46,-0.01,-0.4,3743787
20/01/2021,2.5,2.51,2.45,2.47,-0.09,-3.52,6081767
19/01/2021,2.48,2.57,2.48,2.56,0.09,3.64,4830835
18/01/2021,2.47,2.5,2.45,2.47,0.02,0.82,2768403
15/01/2021,2.5,2.51,2.44,2.45,-0.07,-2.78,3850945
14/01/2021,2.52,2.54,2.43,2.52,0.08,3.28,5916949
13/01/2021,2.6,2.6,2.42,2.44,-0.16,-6.15,11010674
12/01/2021,2.81,2.85,2.57,2.6,0.04,1.56,22495090
11/01/2021,2.23,2.58,2.16,2.56,0.32,14.29,22402270
08/01/2021,2.26,2.28,2.22,2.24,-0.02,-0.88,6006558
07/01/2021,2.3,2.3,2.26,2.26,0,0,3356059
06/01/2021,2.3,2.32,2.25,2.26,-0.04,-1.74,4285190
05/01/2021,2.27,2.31,2.26,2.3,-0.01,-0.43,4632880
04/01/2021,2.25,2.32,2.25,2.31,0.06,2.67,4903686
31/12/2020,2.26,2.32,2.25,2.25,0,0,2955724
30/12/2020,2.31,2.32,2.25,2.25,-0.06,-2.6,5089594
29/12/2020,2.34,2.37,2.3,2.31,-0.01,-0.43,4815247
24/12/2020,2.44,2.44,2.31,2.32,-0.05,-2.11,6778715
23/12/2020,2.17,2.38,2.17,2.37,0.2,9.22,16116001
22/12/2020,2.27,2.3,2.13,2.17,-0.13,-5.65,17324381
21/12/2020,2.46,2.51,2.27,2.3,-0.11,-4.56,17001748
18/12/2020,2.58,2.75,2.08,2.41,-1.36,-36.07,75223962
16/12/2020,3.67,3.78,3.64,3.77,-0.08,-2.08,3983614
15/12/2020,4.25,4.25,3.85,3.85,-0.69,-15.2,18999376
14/12/2020,4.58,4.59,4.49,4.54,-0.06,-1.3,3361135
11/12/2020,4.46,4.63,4.46,4.6,0.12,2.68,4539459
10/12/2020,4.65,4.65,4.48,4.48,-0.23,-4.88,7806644
09/12/2020,4.53,4.72,4.52,4.71,0.22,4.9,6751580
08/12/2020,4.5,4.56,4.43,4.49,0,0,8249390
07/12/2020,4.35,4.57,4.32,4.49,0.17,3.94,9639611
04/12/2020,4.26,4.34,4.21,4.32,0.06,1.41,5056229
03/12/2020,4.35,4.39,4.26,4.26,-0.17,-3.84,7475336
02/12/2020,4.75,4.9,4.34,4.43,0.3,7.26,21513489
01/12/2020,4.18,4.22,4.09,4.13,-0.03,-0.72,3228495
30/11/2020,4.1,4.26,4.085,4.16,0.09,2.21,4363073
27/11/2020,4.04,4.12,4.02,4.07,-0.02,-0.49,3701673
26/11/2020,4.13,4.31,4,4.09,-0.06,-1.45,6605798
25/11/2020,4.55,4.62,4.13,4.15,-0.32,-7.16,9464165
