Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,3.41,3.47,3.41,3.42,0,0,5587775
29/01/2021,3.43,3.47,3.39,3.42,0.01,0.29,7431033
28/01/2021,3.43,3.47,3.385,3.41,-0.06,-1.73,4322525
27/01/2021,3.53,3.54,3.43,3.47,-0.02,-0.57,4371443
25/01/2021,3.49,3.52,3.46,3.49,0.02,0.58,3576066
22/01/2021,3.46,3.49,3.41,3.47,-0.02,-0.57,4344164
21/01/2021,3.4,3.5,3.38,3.49,0.12,3.56,4694748
20/01/2021,3.37,3.38,3.33,3.37,0.02,0.6,3773804
19/01/2021,3.36,3.4,3.345,3.35,0,0,1525909
18/01/2021,3.38,3.41,3.34,3.35,-0.02,-0.59,1945095
15/01/2021,3.37,3.41,3.365,3.37,0.02,0.6,2508126
14/01/2021,3.38,3.4,3.325,3.35,-0.03,-0.89,3294391
13/01/2021,3.4,3.43,3.38,3.38,-0.05,-1.46,2503536
12/01/2021,3.43,3.47,3.39,3.43,0,0,3034321
11/01/2021,3.44,3.5,3.4,3.43,-0.04,-1.15,3899443
08/01/2021,3.42,3.47,3.42,3.47,0.02,0.58,2376344
07/01/2021,3.43,3.49,3.41,3.45,0.04,1.17,3206653
06/01/2021,3.37,3.43,3.37,3.41,-0.01,-0.29,3081789
05/01/2021,3.38,3.425,3.37,3.42,-0.02,-0.58,8509097
04/01/2021,3.41,3.46,3.41,3.44,0.06,1.78,3305123
31/12/2020,3.44,3.47,3.38,3.38,-0.06,-1.74,3204958
30/12/2020,3.44,3.46,3.42,3.44,0,0,2674477
29/12/2020,3.48,3.49,3.42,3.44,0.01,0.29,2093960
24/12/2020,3.47,3.48,3.43,3.43,-0.02,-0.58,1129636
23/12/2020,3.46,3.52,3.415,3.45,-0.05,-1.43,5926573
22/12/2020,3.48,3.51,3.44,3.5,-0.08,-2.23,4932991
21/12/2020,3.59,3.62,3.56,3.58,0.01,0.28,6138271
18/12/2020,3.55,3.62,3.52,3.57,0.02,0.56,8633695
17/12/2020,3.59,3.6,3.54,3.55,0.02,0.57,8236422
16/12/2020,3.55,3.58,3.49,3.53,0,0,6473095
15/12/2020,3.5,3.58,3.5,3.53,-0.01,-0.28,8069860
14/12/2020,3.48,3.59,3.44,3.54,0.08,2.31,7297386
11/12/2020,3.4,3.48,3.4,3.46,0.02,0.58,9436536
10/12/2020,3.4,3.48,3.39,3.44,-0.02,-0.58,10147966
09/12/2020,3.47,3.52,3.425,3.46,0,0,8345230
08/12/2020,3.51,3.55,3.42,3.46,-0.09,-2.54,17824634
07/12/2020,3.47,3.6,3.43,3.55,0.33,10.25,18814946
04/12/2020,3.15,3.22,3.135,3.22,0.12,3.87,11085795
03/12/2020,3.01,3.135,3.01,3.1,0.08,2.65,6067109
02/12/2020,3.01,3.06,2.99,3.02,0.04,1.34,5676048
01/12/2020,3,3.04,2.98,2.98,0.03,1.02,5995136
30/11/2020,3.05,3.05,2.95,2.95,-0.09,-2.96,13299912
27/11/2020,3.01,3.04,2.98,3.04,0.04,1.33,4693151
26/11/2020,3.03,3.05,2.98,3,-0.02,-0.66,3995740
25/11/2020,3.05,3.08,3.01,3.02,-0.06,-1.95,4365722
24/11/2020,3.09,3.13,3.03,3.08,0.02,0.65,5274307
23/11/2020,3.06,3.1,3.03,3.06,0.01,0.33,4950663
20/11/2020,3.06,3.09,3.03,3.05,0.01,0.33,5763750
19/11/2020,3.1,3.12,3,3.04,-0.05,-1.62,6719374
18/11/2020,3.04,3.11,3.01,3.09,0.08,2.66,8232296
17/11/2020,2.99,3.03,2.97,3.01,0,0,6480679
16/11/2020,3.04,3.04,3,3.01,0.02,0.67,57687
13/11/2020,3,3.04,2.98,2.99,0.01,0.34,3739554
12/11/2020,2.95,3.01,2.95,2.98,0.04,1.36,6247354
11/11/2020,2.95,2.97,2.92,2.94,-0.01,-0.34,6510444
10/11/2020,3.17,3.18,2.915,2.95,-0.22,-6.94,9205819
09/11/2020,3.11,3.17,3.09,3.17,0.09,2.92,3641836
06/11/2020,3.07,3.11,3.06,3.08,0.01,0.33,3926760
05/11/2020,3,3.08,2.99,3.07,0.07,2.33,4608365
04/11/2020,3.03,3.05,2.96,3,-0.03,-0.99,3366938
03/11/2020,2.93,3.045,2.93,3.03,0.1,3.41,4454168
02/11/2020,2.94,2.96,2.88,2.93,-0.02,-0.68,5317447
30/10/2020,3.01,3.03,2.94,2.95,-0.05,-1.67,7135789
29/10/2020,3.06,3.07,3,3,-0.09,-2.91,6254165
28/10/2020,3.03,3.09,3.03,3.09,0.03,0.98,5796266
27/10/2020,3.1,3.13,3.02,3.06,-0.06,-1.92,5908318
26/10/2020,3.12,3.14,3.09,3.12,0,0,3034481
23/10/2020,3.11,3.12,3.085,3.12,0.02,0.65,2945848
22/10/2020,3.08,3.11,3.05,3.1,0.02,0.65,8462207
21/10/2020,3.07,3.12,3.04,3.08,0.03,0.98,2861457
20/10/2020,3.03,3.08,3.02,3.05,-0.01,-0.33,6513489
19/10/2020,3.05,3.08,2.99,3.06,0.02,0.66,5354273
16/10/2020,3.01,3.05,3,3.04,0.02,0.66,9195428
15/10/2020,3,3.03,2.97,3.02,0.02,0.67,8527456
14/10/2020,2.97,3.03,2.97,3,0.03,1.01,7034646
13/10/2020,2.93,2.98,2.925,2.97,0.07,2.41,4874770
12/10/2020,2.88,2.93,2.85,2.9,0,0,3631546
09/10/2020,2.86,2.92,2.86,2.9,0.03,1.05,1857259
08/10/2020,2.84,2.89,2.83,2.87,0.01,0.35,3018347
07/10/2020,2.78,2.86,2.77,2.86,0.09,3.25,5047555
06/10/2020,2.79,2.835,2.75,2.77,0,0,3708554
05/10/2020,2.73,2.77,2.71,2.77,0.06,2.21,1567743
02/10/2020,2.73,2.75,2.69,2.71,-0.05,-1.81,4069485
01/10/2020,2.76,2.8,2.73,2.76,0,0,4708944
30/09/2020,2.8,2.82,2.76,2.76,-0.04,-1.43,11104527
29/09/2020,2.87,2.87,2.79,2.8,-0.05,-1.75,2736695
28/09/2020,2.86,2.89,2.85,2.85,-0.02,-0.7,2396386
25/09/2020,2.89,2.91,2.84,2.87,-0.06,-2.05,3786165
