Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,23,23.87,22.85,23.81,0.27,1.15,6344402
29/01/2021,24.11,24.21,23.46,23.54,-0.38,-1.59,7024930
28/01/2021,23.9,23.94,23.45,23.92,-0.3,-1.24,8185832
27/01/2021,24.37,24.4,24.15,24.22,0.09,0.37,4695265
25/01/2021,24.22,24.32,24.05,24.13,0.01,0.04,2990629
22/01/2021,24.15,24.27,24.04,24.12,-0.18,-0.74,11237582
21/01/2021,24.3,24.47,24.25,24.3,0.39,1.63,4813503
20/01/2021,24.17,24.26,23.89,23.91,-0.11,-0.46,3886659
19/01/2021,23.81,24.1,23.75,24.02,0.37,1.56,5424994
18/01/2021,24.04,24.06,23.55,23.65,-0.49,-2.03,5868122
15/01/2021,23.85,24.29,23.81,24.14,0.36,1.51,7331275
14/01/2021,23.5,23.84,23.46,23.78,0.3,1.28,6877463
13/01/2021,23.35,23.535,23.295,23.48,0.02,0.09,4134513
12/01/2021,23.3,23.65,23.28,23.46,0.25,1.08,6365734
11/01/2021,23.28,23.35,23.15,23.21,-0.14,-0.6,5254515
08/01/2021,23.18,23.35,23.05,23.35,0.31,1.35,5237218
07/01/2021,22.85,23.2,22.68,23.04,0.63,2.81,7599322
06/01/2021,22.5,22.67,22.245,22.41,-0.28,-1.23,6725219
05/01/2021,22.73,22.74,22.52,22.69,-0.24,-1.05,5552672
04/01/2021,22.75,22.94,22.71,22.93,0.33,1.46,3937547
31/12/2020,23,23.05,22.6,22.6,-0.43,-1.87,3203768
30/12/2020,23,23.06,22.84,23.03,-0.08,-0.35,3479714
29/12/2020,23.27,23.3,23.04,23.11,0.11,0.48,2175621
24/12/2020,23.27,23.33,23,23,0.02,0.09,1838573
23/12/2020,23,23.12,22.89,22.98,0.05,0.22,4990365
22/12/2020,23.13,23.34,22.81,22.93,-0.37,-1.59,7318058
21/12/2020,23.05,23.37,22.96,23.3,-0.07,-0.3,4040122
18/12/2020,23.75,23.75,23.35,23.37,-0.48,-2.01,18904086
17/12/2020,23.81,23.95,23.65,23.85,0.24,1.02,9710237
16/12/2020,23.51,23.88,23.51,23.61,0.23,0.98,5162123
15/12/2020,23.65,23.65,23.27,23.38,-0.17,-0.72,5747833
14/12/2020,23.45,23.785,23.4,23.55,0.22,0.94,4754856
11/12/2020,23.36,23.55,23.22,23.33,-0.21,-0.89,5801089
10/12/2020,23.6,23.7,23.48,23.54,0.1,0.43,6945070
09/12/2020,23.31,23.57,23.26,23.44,0.13,0.56,5498337
08/12/2020,23.01,23.36,22.93,23.31,0.06,0.26,7189882
07/12/2020,23.36,23.45,23.04,23.25,0.12,0.52,4557901
04/12/2020,22.96,23.3,22.92,23.13,0.16,0.7,4256533
