Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,6.72,6.9,6.68,6.83,-0.01,-0.15,1572432
29/01/2021,6.97,6.99,6.81,6.84,-0.01,-0.15,1131730
28/01/2021,7.03,7.2,6.82,6.85,-0.25,-3.52,1752784
27/01/2021,7.08,7.14,7.065,7.1,0.01,0.14,1123432
25/01/2021,7.11,7.14,7.02,7.09,-0.06,-0.84,886488
22/01/2021,7.12,7.2,7.1,7.15,-0.01,-0.14,968270
21/01/2021,7.2,7.3,7.11,7.16,-0.04,-0.56,933218
20/01/2021,7.28,7.31,7.19,7.2,-0.08,-1.1,1110905
19/01/2021,7.3,7.39,7.14,7.28,0.05,0.69,1156103
18/01/2021,7.07,7.28,7.07,7.23,0.17,2.41,674783
15/01/2021,7.3,7.3,7.03,7.06,-0.14,-1.94,1245037
14/01/2021,7.22,7.3,7.16,7.2,0.01,0.14,916737
13/01/2021,7.28,7.37,7.17,7.19,-0.1,-1.37,935609
12/01/2021,7.55,7.55,7.24,7.29,-0.18,-2.41,809668
11/01/2021,7.66,7.7,7.43,7.47,-0.11,-1.45,1115023
08/01/2021,7.55,7.61,7.48,7.58,0.13,1.74,1133206
07/01/2021,7.6,7.69,7.41,7.45,-0.02,-0.27,1022808
06/01/2021,7.77,7.825,7.43,7.47,-0.57,-7.09,1426685
05/01/2021,8.2,8.25,7.95,8.04,-0.21,-2.55,1171533
04/01/2021,8.03,8.25,7.95,8.25,0.22,2.74,902118
31/12/2020,8.02,8.1,7.97,8.03,0.07,0.88,454499
30/12/2020,7.99,8.02,7.87,7.96,-0.04,-0.5,741410
29/12/2020,7.86,8.05,7.86,8,0.1,1.27,1315307
24/12/2020,7.85,7.92,7.8,7.9,0.05,0.64,738543
23/12/2020,7.83,7.95,7.82,7.85,0.12,1.55,557428
22/12/2020,7.68,7.82,7.6,7.73,-0.1,-1.28,923421
21/12/2020,7.81,7.95,7.75,7.83,0.02,0.26,1509111
