Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
03/02/2021,10.68,10.73,10.51,10.6,-0.05,-0.47,300126
02/02/2021,10.1,10.69,10.1,10.65,0.57,5.65,488970
01/02/2021,10.14,10.14,9.78,10.08,-0.22,-2.14,459715
29/01/2021,10.24,10.59,10.2,10.3,0.06,0.59,675088
28/01/2021,10.42,10.42,10.03,10.24,-0.18,-1.73,335668
27/01/2021,10.5,10.59,10.31,10.42,-0.08,-0.76,236590
25/01/2021,10.41,10.65,10.255,10.5,0.09,0.86,144635
22/01/2021,10.45,10.65,10.24,10.41,0,0,523910
21/01/2021,10.6,10.66,10.27,10.41,-0.27,-2.53,342952
20/01/2021,10.66,10.75,10.52,10.68,0.04,0.38,174212
19/01/2021,10.65,10.81,10.53,10.64,0.05,0.47,280503
18/01/2021,10.6,10.79,10.53,10.59,-0.12,-1.12,115574
15/01/2021,10.85,10.85,10.63,10.71,-0.22,-2.01,177323
14/01/2021,11.09,11.15,10.76,10.93,-0.01,-0.09,283095
13/01/2021,10.94,11.22,10.84,10.94,0.29,2.72,421030
12/01/2021,10.75,10.88,10.57,10.65,-0.17,-1.57,305552
11/01/2021,10.84,10.97,10.62,10.82,0.03,0.28,313573
08/01/2021,10.98,10.98,10.53,10.79,-0.05,-0.46,253873
07/01/2021,11.23,11.23,10.68,10.84,-0.32,-2.87,340658
06/01/2021,10.59,11.61,10.59,11.16,0.65,6.18,1185601
05/01/2021,10.4,10.81,10.22,10.51,0.62,6.27,598408
04/01/2021,9.59,9.89,9.59,9.89,0.24,2.49,139068
31/12/2020,9.76,9.84,9.53,9.65,-0.12,-1.23,119717
30/12/2020,9.8,10.05,9.68,9.77,-0.07,-0.71,207415
29/12/2020,9.64,9.84,9.59,9.84,0.31,3.25,126250
24/12/2020,9.52,9.62,9.43,9.53,0,0,93299
23/12/2020,9.3,9.66,9.3,9.53,0.23,2.47,242549
22/12/2020,9.6,9.66,9.16,9.3,-0.27,-2.82,286852
21/12/2020,9.83,9.91,9.46,9.57,-0.22,-2.25,226012
