Date,Open $,High $,Low $,Close $,Change $,Change %,Volume
01/02/2021,25.42,25.96,25.12,25.65,0.53,2.11,4404133
29/01/2021,25.6,25.78,25.02,25.12,-0.21,-0.83,4624285
28/01/2021,25.92,26,25.3,25.33,-0.74,-2.84,3949185
27/01/2021,26.34,26.5,25.76,26.07,-0.27,-1.03,5302627
25/01/2021,26.74,26.75,26.21,26.34,-0.42,-1.57,2213596
22/01/2021,26.91,27.33,26.68,26.76,-0.4,-1.47,6143077
21/01/2021,27.95,27.95,27.14,27.16,0.16,0.59,3473426
20/01/2021,26.57,27.13,26.32,27,0.58,2.2,2913038
19/01/2021,26.54,26.905,26.25,26.42,0.19,0.72,1849641
18/01/2021,26.31,26.685,26.1,26.23,-0.45,-1.69,2341816
15/01/2021,26.59,26.78,26.2,26.68,0,0,2526663
14/01/2021,26.9,27.02,26.6,26.68,-0.28,-1.04,2990041
13/01/2021,26,27.09,25.855,26.96,0.83,3.18,4310034
12/01/2021,26.59,26.6,26.06,26.13,-0.19,-0.72,2477179
11/01/2021,26.3,26.38,25.85,26.32,-0.96,-3.52,4051063
08/01/2021,27.63,27.95,27.06,27.28,-0.31,-1.12,2669074
07/01/2021,27.53,27.81,27.26,27.59,-0.08,-0.29,2637069
06/01/2021,28.14,28.14,27.59,27.67,-0.47,-1.67,3288350
05/01/2021,27.7,28.18,27.52,28.14,1.13,4.18,4662089
04/01/2021,26.15,27.07,26.05,27.01,1.23,4.77,2375585
31/12/2020,26.16,26.2,25.78,25.78,-0.15,-0.58,1291826
30/12/2020,26,26.01,25.52,25.93,-0.1,-0.38,5926622
29/12/2020,26.34,26.36,25.98,26.03,-0.23,-0.88,2044931
24/12/2020,26.42,26.45,26.25,26.26,0.09,0.34,905491
23/12/2020,26.34,26.385,25.89,26.17,-0.57,-2.13,3761356
22/12/2020,26.91,27.07,26.7,26.74,-0.57,-2.09,4685259
21/12/2020,26.8,27.31,26.73,27.31,0.03,0.11,3767785
18/12/2020,27.46,27.54,27.13,27.28,0.2,0.74,11903500
17/12/2020,27.16,27.25,26.94,27.08,0.15,0.56,4292474
16/12/2020,27.15,27.24,26.84,26.93,0.26,0.97,4641041
